,AirT_10m
AirT_10m,1.0
PTemp,0.6133333638660066
AirT_1pt5m,0.603321139718853
AirT_2m,0.5882154841294728
SoilSfcT,0.5649011467273003
IRTS_Body,0.5638590742476065
IRTS_Trgt,0.5609737150554588
QuantRadn,0.4177521538925749
TotalRadn,0.4048982382044868
WndSpd_10m_WVc_4,0.30095270553115044
WndSpd_2m_WVc_4,0.2896412133965974
Vitel_100cm_d,-0.27702798059081063
DayOfYear,0.2701543735157594
Temp_C,0.2679836740383503
Pressure_1,-0.26782478866504633
SoilCond_tc,0.26695195474276745
eI_tc,0.2669519544944947
RH_2m,-0.24725798243569017
wfv,0.2441977892860689
eR_tc,0.2352585146092104
eR,0.23346460324894
Vitel_100cm_c,0.22567304562102883
eI,0.22195459851407254
SoilCond,0.22195459013909336
RH_10m,-0.2138685758105765
AirT_9pt5m,0.20262713293408274
Vitel_100cm_a,-0.19703012134875642
WndSpd_2m_WVc_3,0.17467965977550706
WndSpd_10m_WVc_3,0.12813477219191602
WndSpd_2m_Std,0.11201939659290096
Hour,0.10792701964819372
Pressure_2,0.09824999114703434
WndSpd_10m_Std,0.0824199042650384
WndDir_2m,0.07907345449551378
WndDir_10m,0.07684980022267354
WndSpd_10m_WVc_2,-0.07012426688634144
WndSpd_Vert_Min,-0.05545115345938245
WndSpd_Vert_Tot,-0.048377785860717726
WndSpd_10m_WVc_1,-0.04642459415737961
WndSpd_Vert,-0.04485658569386071
WndSpd_10m,-0.04267156412036697
WndSpd_2m_WVc_2,-0.04184685511614055
WndSpd_2m_Max,0.04055766452117044
Vitel_100cm_b,-0.030595969176312736
SoilT_5cm,0.018785960120024845
SoilT_10cm,0.017514152395048
WndSpd_Vert_Max,-0.017360138919437763
SoilT_20cm,0.01469389459619068
SoilT_50cm,0.013402339553444212
Precip_TB3_Today,-0.012356267064760292
SoilT_100cm,0.0116820693456566
Precip_TX_Today,-0.010344255662362634
WndSpd_2m_WVc_1,-0.005671666519884592
WndSpd_2m,-0.005614564674703373
WndSpd_10m_Max,0.0035029874603960125
Precip_TX_Tot,0.0011194598914930447
Precip_TB3_Tot,0.0008133840296596163
Minute,-0.00026498460473287083
NaCI,-9.422565520514176e-05
SoilType,
