,AirT_9pt5m
AirT_9pt5m,1.0
AirT_1pt5m,0.3458175781678796
AirT_2m,0.3434407075759245
PTemp,0.3341473633694913
IRTS_Body,0.328284624885171
SoilSfcT,0.29020664006773633
IRTS_Trgt,0.2849521011332857
Temp_C,0.2424834059447926
Vitel_100cm_d,-0.24103087046786453
DayOfYear,0.22393106654127728
eI_tc,0.21644640114572516
SoilCond_tc,0.21644639842304603
AirT_10m,0.2026179124166278
wfv,0.18694378068620024
Vitel_100cm_a,-0.18472185422211437
eR_tc,0.17725033669877374
eR,0.17420774218299864
eI,0.16936188505798733
SoilCond,0.1693618811665427
Vitel_100cm_c,0.16035252298550384
QuantRadn,0.1527827598099307
Pressure_1,-0.1472010439887309
TotalRadn,0.145482193478471
WndSpd_10m_WVc_2,-0.10941163101773986
WndSpd_10m_WVc_4,0.10346223937924932
WndSpd_2m_WVc_2,-0.1013883503304463
WndSpd_10m_WVc_1,-0.10137500856875156
WndSpd_10m,-0.0919132870364621
WndSpd_2m_WVc_1,-0.08845366807660013
WndSpd_2m_WVc_4,0.08524248227318296
WndSpd_10m_Max,-0.08259062618755625
WndSpd_2m,-0.07863657929726083
WndSpd_2m_Max,-0.06869703733024508
WndSpd_10m_WVc_3,0.061209082710633286
WndDir_2m,0.06016465298227146
WndDir_10m,0.058729464536673416
WndSpd_2m_WVc_3,0.0551569239346511
Hour,0.051181695921054385
RH_2m,-0.040960502928683924
WndSpd_10m_Std,-0.04018529871612654
RH_10m,-0.02985503348827757
WndSpd_2m_Std,-0.029015234744331708
Vitel_100cm_b,-0.02724279934004734
Precip_TB3_Today,-0.015355835858651768
Precip_TX_Today,-0.014502957265692515
WndSpd_Vert_Tot,-0.01400673322043539
WndSpd_Vert_Max,-0.013858092430006849
WndSpd_Vert,-0.013411546854917756
SoilT_5cm,0.01086191392265173
SoilT_10cm,0.010282273687128852
SoilT_20cm,0.00891062832094634
SoilT_50cm,0.007971514308535418
WndSpd_Vert_Min,-0.007741583526058066
SoilT_100cm,0.006814374197819333
Pressure_2,-0.005294228423236994
Minute,0.004140177831372116
Precip_TX_Tot,0.003074923790371253
Precip_TB3_Tot,0.0018587278985266597
NaCI,-0.000590507390478969
SoilType,
