,DayOfYear
DayOfYear,1.0
eI_tc,0.9366769337019797
SoilCond_tc,0.9366769324347901
Vitel_100cm_d,-0.9315599108248127
Temp_C,0.9276931298910318
wfv,0.8433825115765551
eI,0.8229448599995464
SoilCond,0.8229448588476578
Vitel_100cm_a,-0.8133855276517662
eR_tc,0.809758332975954
eR,0.801780584770931
Vitel_100cm_c,0.7199119536785875
AirT_1pt5m,0.6359118210982203
AirT_2m,0.6353499311974308
IRTS_Body,0.6247326601951366
PTemp,0.576039484415051
SoilSfcT,0.45706143132364224
IRTS_Trgt,0.4427437563677253
Pressure_1,-0.28762187429084934
WndSpd_2m_WVc_2,-0.2700600346218658
AirT_10m,0.27004962058231763
Pressure_2,-0.26635421416203653
WndSpd_2m_WVc_1,-0.2628334845937156
WndSpd_10m_WVc_2,-0.254794333620815
WndSpd_10m_WVc_1,-0.24750744383846873
WndSpd_2m_Max,-0.2396287388145981
WndSpd_2m,-0.23626239816634817
Vitel_100cm_b,0.23478473113305975
WndSpd_10m_Max,-0.23257782124641121
WndSpd_10m,-0.22450459900975625
AirT_9pt5m,0.22382261332019526
QuantRadn,0.1938199206537758
TotalRadn,0.1856223723354785
WndSpd_2m_Std,-0.17754890336515877
WndSpd_10m_Std,-0.16877266398162138
WndDir_2m,0.10975703780802824
WndSpd_Vert_Tot,-0.07636479151967328
WndSpd_Vert_Min,-0.07448347696251478
WndDir_10m,0.07389672780517983
WndSpd_Vert,-0.0709140379742551
WndSpd_10m_WVc_3,0.05395227373621428
RH_10m,-0.042719037879543634
WndSpd_10m_WVc_4,0.04261726932464555
WndSpd_Vert_Max,-0.04214756424487458
RH_2m,-0.04205411963406373
SoilT_100cm,-0.022626920253153025
WndSpd_2m_WVc_4,-0.02163775581232371
SoilT_50cm,-0.018970318755595683
SoilT_20cm,-0.016625046087280347
SoilT_10cm,-0.015351643396811599
SoilT_5cm,-0.015008978982850085
WndSpd_2m_WVc_3,0.00717314859462779
Precip_TB3_Tot,-0.006432454352845269
Precip_TX_Tot,-0.005193519025502733
NaCI,0.005159544620577628
Hour,0.0047891193678966035
Precip_TX_Today,0.004484194970866459
Minute,-0.0019922270410635146
Precip_TB3_Today,0.0001862026956683763
SoilType,
