,Hour
Hour,1.0
RH_10m,-0.22622282499660712
WndSpd_Vert_Tot,-0.22561375439726433
PTemp,0.2159559661375066
WndSpd_Vert,-0.2103211210168114
RH_2m,-0.20829298329264545
IRTS_Body,0.1910664855175007
WndSpd_Vert_Min,-0.19054025633807983
AirT_2m,0.18085630478609016
WndSpd_Vert_Max,-0.180309567469177
AirT_1pt5m,0.16767651218563584
SoilSfcT,0.15090073605389492
IRTS_Trgt,0.14747072916163903
Precip_TX_Today,0.14136152958112252
AirT_10m,0.14124905420057576
Precip_TB3_Today,0.14111738526035522
WndDir_10m,0.1111078748832391
WndSpd_10m_WVc_3,0.10477168508878901
WndSpd_10m_WVc_4,0.10434051186880276
WndDir_2m,0.09211833522622091
WndSpd_2m_WVc_3,0.08481092708824071
WndSpd_2m_WVc_4,0.079164010968077
AirT_9pt5m,0.058383119729482943
WndSpd_10m_Std,0.03921882026413609
Pressure_1,-0.0355694408922401
WndSpd_2m_Std,0.03215044076674713
WndSpd_10m_WVc_2,-0.028506485239578033
WndSpd_2m_WVc_2,-0.024490718937843183
WndSpd_10m_WVc_1,-0.02012432816635771
WndSpd_10m,-0.01898716617131983
QuantRadn,0.01642288446556941
Vitel_100cm_a,-0.011575574851919426
eR,0.011447730009117743
eR_tc,0.011412780200293725
eI,0.011332834714194946
SoilCond,0.011332832939788018
WndSpd_2m_WVc_1,-0.011161865960425099
SoilCond_tc,0.010875922379349081
eI_tc,0.010875921425163628
Vitel_100cm_b,0.010744218285795158
WndSpd_2m,-0.00965454698153396
wfv,0.008973057606740291
Vitel_100cm_d,-0.008801505131246211
Temp_C,0.008252860456879115
WndSpd_2m_Max,0.00749885164225984
TotalRadn,0.006939359183832139
Pressure_2,-0.005796907482858157
WndSpd_10m_Max,0.00446831856489337
DayOfYear,0.004387918429062119
SoilT_5cm,0.004102438849459349
SoilT_10cm,0.0037303491819926722
Precip_TB3_Tot,-0.0036639377326129646
Precip_TX_Tot,-0.003658415862513731
Vitel_100cm_c,0.002607330921703411
NaCI,0.0015573538192428394
SoilT_20cm,0.0009126967838119367
Minute,-0.0007100109265611787
SoilT_100cm,0.00012453361883989715
SoilT_50cm,-5.080495782301165e-05
SoilType,
