,IRTS_Trgt
IRTS_Trgt,1.0
SoilSfcT,0.9785441192280274
PTemp,0.9013179136369648
IRTS_Body,0.8751579102206886
AirT_1pt5m,0.8651457104015557
AirT_2m,0.8452697484913972
QuantRadn,0.7420396362306064
TotalRadn,0.7253806519414709
AirT_10m,0.5529393434455862
Temp_C,0.46720370269164146
Vitel_100cm_d,-0.4652816946420469
WndSpd_10m_WVc_4,0.4443677173293956
DayOfYear,0.44294076792921927
WndSpd_2m_WVc_4,0.4374691316386911
eI_tc,0.42330238581272117
SoilCond_tc,0.4233023852905393
RH_2m,-0.41519881226717936
wfv,0.36537647173685933
RH_10m,-0.36257781295917885
Vitel_100cm_a,-0.35565650890954426
eR_tc,0.3550924722349393
eR,0.34973894635311087
eI,0.3349597973997478
SoilCond,0.33495979256032055
Vitel_100cm_c,0.3095794607687465
AirT_9pt5m,0.28068051754219264
WndSpd_2m_Std,0.2752908034784258
Pressure_1,-0.271691503444196
WndSpd_2m_WVc_3,0.26683739714318555
WndSpd_10m_Std,0.22374734081458308
WndSpd_10m_WVc_3,0.2191141934502933
WndSpd_2m_Max,0.19667713802392492
WndDir_10m,0.14260470577565726
WndSpd_10m_Max,0.13974062605830612
WndDir_2m,0.13793671296822824
WndSpd_2m_WVc_1,0.1374171297515568
WndSpd_2m,0.12280182929534494
WndSpd_Vert_Tot,-0.11905154837873935
WndSpd_Vert_Min,-0.11762224257707611
WndSpd_Vert,-0.11066900391010573
Hour,0.10299930718395986
WndSpd_2m_WVc_2,0.08676924045274848
WndSpd_10m_WVc_1,0.07894488958171363
WndSpd_Vert_Max,-0.07159103450355532
WndSpd_10m,0.07106171856609741
Vitel_100cm_b,-0.046592396611348876
WndSpd_10m_WVc_2,0.04514603446416439
SoilT_5cm,0.016852914350072006
SoilT_10cm,0.015133570792347803
Pressure_2,-0.011774266600560506
SoilT_20cm,0.011696454789741722
Precip_TB3_Today,-0.010464973283478627
SoilT_50cm,0.010386134204117345
SoilT_100cm,0.00808436440170658
Precip_TX_Today,-0.007758741940443665
Precip_TX_Tot,0.004288770557603362
Precip_TB3_Tot,0.0036643927771970934
NaCI,0.0004782296230895087
Minute,-0.00035465087968701705
SoilType,
