,Minute
Minute,1.0
SoilT_5cm,0.010325295776230202
SoilT_20cm,0.010321001265052697
SoilT_10cm,0.01031932046897955
SoilT_50cm,0.010313247032046443
SoilT_100cm,0.010310377356886653
Precip_TX_Tot,0.002723721502058026
WndDir_2m,0.002542494215632543
WndSpd_10m,-0.0025415880406788305
WndDir_10m,-0.002406161608760057
WndSpd_2m_WVc_3,0.0023709051698631955
QuantRadn,-0.0022723603341679092
NaCI,0.0021868616010248393
TotalRadn,-0.001996650267457979
WndSpd_10m_WVc_1,-0.0018696352694336036
WndSpd_Vert_Tot,-0.0018466107635917643
WndSpd_10m_WVc_2,-0.0018250621853422484
Vitel_100cm_b,0.0017871026704477792
Vitel_100cm_a,0.001687123038932893
WndSpd_10m_Max,-0.0015914759024701854
WndSpd_Vert,-0.0014845672037627658
WndSpd_Vert_Max,-0.0014359712697478246
AirT_9pt5m,0.0012989797510404367
WndSpd_Vert_Min,-0.0012794251387979398
SoilCond,-0.0012745831709701557
eI,-0.001274579282716887
Precip_TB3_Tot,0.0012428234366646989
WndSpd_10m_WVc_4,-0.0011786349378600934
WndSpd_2m_WVc_1,-0.0010641372778747084
SoilCond_tc,-0.0009990245634076556
eI_tc,-0.0009990206025777759
WndSpd_2m_WVc_2,-0.0008976747827645916
IRTS_Trgt,-0.0008252545964091792
SoilSfcT,-0.0007395071358345429
WndSpd_10m_WVc_3,-0.0007142885157415915
Precip_TX_Today,-0.0007141522789340289
Precip_TB3_Today,-0.000680955250742648
AirT_1pt5m,-0.0006743240416676763
WndSpd_2m_Max,-0.0006651270146421831
IRTS_Body,-0.0006477505237980538
Temp_C,-0.0005616649153650807
Vitel_100cm_c,-0.0005452302935663328
eR_tc,-0.0005337895451373023
eR,-0.0005257341759599596
Vitel_100cm_d,0.0005220116379909631
RH_10m,0.000499095758742374
WndSpd_2m_WVc_4,-0.0004696537696661923
WndSpd_2m_Std,0.00036205094587869974
RH_2m,0.00026301399363453385
AirT_2m,-0.00026069338694675105
PTemp,-0.0002525691210102721
Pressure_2,-0.0002524347967379784
AirT_10m,0.00023864028578945458
wfv,-0.0002178805505673819
Pressure_1,0.00020573905735894691
Hour,-0.00019729024222844813
WndSpd_10m_Std,-0.00013861670787122704
WndSpd_2m,7.662079729966056e-05
DayOfYear,-1.7229438036756333e-05
SoilType,
