,NaCI
NaCI,1.0
DayOfYear,0.005024141496370585
Vitel_100cm_d,-0.004286296060974456
Temp_C,0.004060960913808359
WndSpd_10m_WVc_3,-0.0039081719972032265
SoilCond_tc,0.003898557214751424
eI_tc,0.0038985481300186785
wfv,0.003816562916716845
WndDir_10m,-0.003579598971298062
WndSpd_10m_Std,-0.0032444131379412823
Vitel_100cm_c,0.003156308612169271
WndSpd_10m_WVc_4,-0.0031086361015749886
Pressure_2,-0.0030781500714777226
SoilCond,0.0029683691713320837
eI,0.0029683664587482625
Vitel_100cm_a,-0.002904210337924454
WndSpd_10m_Max,-0.002777707045243146
eR_tc,0.002696954139892911
eR,0.002667256940572796
Minute,-0.002525063291110229
WndSpd_2m_WVc_4,-0.002462823403679214
WndSpd_2m_WVc_3,0.002336508192955655
WndDir_2m,0.0021227108121952944
WndSpd_10m,-0.0020539289228182927
WndSpd_10m_WVc_1,-0.0018574961623845268
Hour,0.0017983477345854084
WndSpd_10m_WVc_2,-0.0016857337652994397
WndSpd_2m_Std,-0.001668558496656436
IRTS_Body,0.0016025237964874014
WndSpd_2m_Max,-0.0013560356459277557
WndSpd_2m_WVc_1,-0.0011617211464681916
WndSpd_2m_WVc_2,-0.0010008869370196675
WndSpd_2m,-0.0009641778990318877
RH_10m,0.0009345102446471155
RH_2m,0.0007524746372325114
WndSpd_Vert_Max,-0.0006629240196739261
TotalRadn,0.0006556888227268631
QuantRadn,0.0006482445629781804
Precip_TB3_Tot,-0.000613507475871942
PTemp,0.00048451732447116116
Precip_TX_Tot,-0.0004727204759811036
AirT_2m,0.00046806680965346764
WndSpd_Vert_Tot,-0.0004380862584657555
AirT_9pt5m,-0.00042478475880245944
AirT_1pt5m,0.00041573069872492954
SoilSfcT,0.0003897467977801643
WndSpd_Vert,-0.00037473010328214573
IRTS_Trgt,0.00036057864702739533
Vitel_100cm_b,0.0003464235085194177
Precip_TB3_Today,0.0003034507825289465
Precip_TX_Today,0.0003006677488125359
Pressure_1,-0.00018323921775548706
AirT_10m,-8.786998814276703e-05
SoilT_10cm,6.207711004107306e-05
SoilT_5cm,5.90005390945931e-05
SoilT_20cm,5.877097822564107e-05
SoilT_50cm,4.918408867169917e-05
SoilT_100cm,2.971615563648615e-05
WndSpd_Vert_Min,-1.049068573727611e-05
SoilType,
