,PTemp
PTemp,1.0
AirT_1pt5m,0.9858510534552757
AirT_2m,0.9743695182882679
IRTS_Body,0.970131755755065
SoilSfcT,0.9325893187123971
IRTS_Trgt,0.9207431941066617
AirT_10m,0.6180337752602376
Temp_C,0.6110179184047486
Vitel_100cm_d,-0.608915190607606
QuantRadn,0.5782689332278209
DayOfYear,0.5763370675967157
SoilCond_tc,0.5583387449182458
eI_tc,0.5583387445592329
TotalRadn,0.5583169281857792
wfv,0.48525777760249866
Vitel_100cm_a,-0.4704822006188449
eR_tc,0.46891776934001417
eR,0.46196369572629853
eI,0.44616185445663487
SoilCond,0.44616185085574017
Vitel_100cm_c,0.4182912631952057
WndSpd_10m_WVc_4,0.4085005796690973
Pressure_1,-0.37841124717055036
WndSpd_2m_WVc_4,0.3742520266082802
RH_2m,-0.3370922679229277
AirT_9pt5m,0.3354043995068849
RH_10m,-0.29468839293050175
WndSpd_2m_WVc_3,0.24755579541212694
WndSpd_10m_WVc_3,0.23589393799945782
WndDir_10m,0.18524067654750168
Hour,0.1789978951959997
WndDir_2m,0.17745597838548796
WndSpd_2m_Std,0.1296893167390664
WndSpd_Vert_Tot,-0.12934423671871584
WndSpd_Vert_Min,-0.12526096804268141
WndSpd_Vert,-0.12005584546916237
WndSpd_10m_WVc_2,-0.11940736540364708
WndSpd_10m_Std,0.09701577588084359
WndSpd_2m_WVc_2,-0.08774927878951443
WndSpd_10m_WVc_1,-0.08670403887041818
WndSpd_Vert_Max,-0.08017348366255496
WndSpd_10m,-0.07959271003907452
Vitel_100cm_b,-0.06255222165843145
WndSpd_2m_WVc_1,-0.037988616320532895
Pressure_2,-0.03637870388618231
WndSpd_2m,-0.03415653309487189
Precip_TB3_Today,-0.03175023106745691
Precip_TX_Today,-0.028762270802892176
WndSpd_2m_Max,0.02713095679243129
SoilT_5cm,0.02547904294422425
SoilT_10cm,0.023744493935808398
SoilT_20cm,0.019491359023134102
WndSpd_10m_Max,-0.01733077905661912
SoilT_50cm,0.017132654237911823
SoilT_100cm,0.014086655116300912
Precip_TB3_Tot,-0.0020326624414376757
Precip_TX_Tot,-0.00110341195355428
Minute,-0.0008629505090626357
NaCI,0.000616705369740279
SoilType,
