,Precip_TX_Today
Precip_TX_Today,1.0
Precip_TB3_Today,0.9863568271091002
Vitel_100cm_c,-0.3353163875678967
WndSpd_Vert_Max,0.3062395452108302
Pressure_1,-0.23795101500726742
WndSpd_Vert_Tot,0.16672784663021248
Precip_TB3_Tot,0.15942026121359476
WndSpd_Vert,0.1561290583607876
RH_10m,0.15597540477440536
Precip_TX_Tot,0.15563208779149038
RH_2m,0.1474458014657325
Hour,0.14163394016427688
SoilCond,-0.12763828154841114
eI,-0.1276382721527323
Pressure_2,0.1049241959325684
wfv,-0.09452063469145443
WndSpd_2m_WVc_3,0.09049446087656028
WndSpd_10m_WVc_3,0.08256668755197798
WndDir_10m,0.0758201814901124
eR_tc,-0.07283549202876928
eR,-0.07275087139170833
WndDir_2m,0.07142327674510947
SoilCond_tc,-0.0659229484686024
eI_tc,-0.06592294479497761
TotalRadn,-0.0646484222433076
QuantRadn,-0.06242818367212252
WndSpd_10m_Std,0.05631767985492934
WndSpd_2m_Std,0.05085703230309894
WndSpd_10m_WVc_4,0.05064465335612625
WndSpd_Vert_Min,0.038343696355771284
WndSpd_2m_Max,0.03617657592364753
AirT_2m,-0.03558573585697511
WndSpd_10m_Max,0.035443754465240854
Vitel_100cm_a,-0.030858267783705262
AirT_1pt5m,-0.030376290316579107
IRTS_Body,-0.030137269432584525
WndSpd_2m_WVc_4,0.02612966802851976
PTemp,-0.02311170407634301
WndSpd_2m_WVc_1,0.020917339166800514
WndSpd_2m,0.01762362282750117
Vitel_100cm_b,-0.017027204497473577
WndSpd_10m_WVc_1,0.01691679094575689
WndSpd_10m,0.015934572281269852
WndSpd_2m_WVc_2,0.015930300567549148
AirT_9pt5m,-0.014167636829826764
WndSpd_10m_WVc_2,0.01081562740260674
Vitel_100cm_d,-0.00753423859272317
AirT_10m,-0.004693020540176665
DayOfYear,0.004566330525494476
IRTS_Trgt,-0.0023019419666621675
SoilSfcT,-0.0012474915734412265
SoilT_100cm,0.0011801945741531895
Temp_C,0.0010067472132441867
SoilT_50cm,0.0008243443288581564
SoilT_20cm,0.0008079033340342543
SoilT_5cm,0.0007647114582775902
Minute,-0.0007585711423733345
SoilT_10cm,0.0004489033418344805
NaCI,0.00016954374312337376
SoilType,
