,Pressure_1
Pressure_1,1.0
AirT_1pt5m,-0.4162593260032146
AirT_2m,-0.41504223305924265
PTemp,-0.38600600997302364
IRTS_Body,-0.34095461144451367
RH_10m,-0.33756034428628245
RH_2m,-0.31665001370349644
Vitel_100cm_d,0.3114934365536623
Temp_C,-0.30367316605952444
SoilSfcT,-0.2992179022180351
IRTS_Trgt,-0.28668360688620326
DayOfYear,-0.28362361543298065
AirT_10m,-0.2717680893129082
SoilCond_tc,-0.2626563269703607
eI_tc,-0.2626563198716614
WndDir_10m,-0.2575271297517578
Vitel_100cm_a,0.2559405407694828
WndSpd_10m_WVc_3,-0.2547941726830146
wfv,-0.23336150127504116
Precip_TB3_Today,-0.2332758784715729
eR_tc,-0.2331480357468618
Precip_TX_Today,-0.23274336457407713
WndSpd_Vert_Max,-0.23231870878741415
WndDir_2m,-0.23103583709776493
eR,-0.23057055295204285
WndSpd_Vert_Tot,-0.21553447186199845
WndSpd_2m_WVc_2,0.21391035820014234
WndSpd_10m_WVc_2,0.21027411736382823
WndSpd_Vert,-0.20110613860533336
WndSpd_2m_WVc_3,-0.2010450543268639
WndSpd_10m_WVc_4,-0.19081179407806764
eI,-0.1848768501420247
SoilCond,-0.1848768477560125
WndSpd_10m_WVc_1,0.18473564942266732
WndSpd_2m_WVc_1,0.17511489016532603
WndSpd_10m,0.1683576241011997
WndSpd_2m,0.15699680922923676
AirT_9pt5m,-0.1476501841238458
Pressure_2,-0.14681472097289863
WndSpd_2m_WVc_4,-0.13679268687680277
WndSpd_Vert_Min,-0.1333122666430762
WndSpd_2m_Max,0.11014707458472782
WndSpd_10m_Max,0.10602240858048076
Vitel_100cm_c,-0.06692776037703463
TotalRadn,0.06570581203009652
Precip_TB3_Tot,-0.06144823773662283
Precip_TX_Tot,-0.05924702616692966
QuantRadn,0.05248413538513068
Hour,-0.03720700774025155
Vitel_100cm_b,0.034798043087997096
SoilT_5cm,-0.018062162277887615
SoilT_10cm,-0.017294425941624714
WndSpd_10m_Std,-0.01677214114774894
SoilT_20cm,-0.015459037018167818
SoilT_50cm,-0.013322809790224559
SoilT_100cm,-0.011400380230107613
WndSpd_2m_Std,0.011045141217055774
Minute,0.0010993955143816926
NaCI,-0.000329947943115987
SoilType,
