,RH_2m
RH_2m,1.0
RH_10m,0.9803528960306529
QuantRadn,-0.6552057194816812
TotalRadn,-0.6534822121514974
WndSpd_Vert_Tot,0.4660725281489811
WndSpd_Vert,0.43495882383120194
IRTS_Trgt,-0.43205912197357765
SoilSfcT,-0.41731012288303726
WndSpd_Vert_Max,0.4129936065884233
WndSpd_2m_Max,-0.40782365171277435
WndSpd_2m_WVc_1,-0.3986231012524237
WndSpd_2m_Std,-0.3902282596506125
WndSpd_10m_WVc_1,-0.3873589888580131
WndSpd_10m_Max,-0.38668135714232554
WndSpd_2m_WVc_2,-0.38266927961392855
WndSpd_10m_WVc_2,-0.37508878424096154
WndSpd_2m,-0.3581173255171445
WndSpd_Vert_Min,0.3576575229478646
WndSpd_10m,-0.3518373339336857
WndSpd_10m_Std,-0.34975912589176705
Pressure_1,-0.3324826005108235
PTemp,-0.3303186678892119
WndSpd_2m_WVc_4,-0.325399162425899
IRTS_Body,-0.3101006386622793
WndSpd_10m_WVc_4,-0.27873026647471955
AirT_10m,-0.24671219570187383
AirT_1pt5m,-0.24617602421349358
AirT_2m,-0.22169471272894767
WndSpd_2m_WVc_3,-0.20908888783152876
Hour,-0.1631174410667115
Precip_TB3_Today,0.15066823898488663
Precip_TX_Today,0.1475454633901952
Vitel_100cm_c,-0.12748732047979408
WndSpd_10m_WVc_3,-0.11810661273932242
eI,-0.10695081177937842
SoilCond,-0.10695080730407949
wfv,-0.08867256066426457
eR,-0.08696195360600725
eR_tc,-0.08602083333808697
Pressure_2,0.08335045189632415
eI_tc,-0.08061686312968713
SoilCond_tc,-0.08061686022521959
Vitel_100cm_a,0.06598259058043361
Precip_TB3_Tot,0.0610160754145158
Precip_TX_Tot,0.05943780108083363
DayOfYear,-0.041931623821581256
AirT_9pt5m,-0.04155343229877416
Vitel_100cm_d,0.03676310518695264
Temp_C,-0.03306542325312859
WndDir_10m,-0.02324537704731117
WndDir_2m,-0.022969123774662422
Vitel_100cm_b,-0.020082991976904434
SoilT_5cm,-0.0029687028897892056
SoilT_100cm,-0.0026964670899953446
SoilT_10cm,-0.0025114213869896745
SoilT_50cm,-0.0021241993201763553
SoilT_20cm,-0.0008803477222766263
Minute,0.0008099391987570246
NaCI,0.0007226053544359368
SoilType,
