,SoilCond
SoilCond,1.0
eI,0.9069035921281104
SoilCond_tc,0.8734301428137371
eI_tc,0.8734301388006208
wfv,0.8668233739503192
eR_tc,0.8466240671429738
eR,0.8444164328290636
Vitel_100cm_c,0.830305919837658
Vitel_100cm_a,-0.8127359393411222
DayOfYear,0.7909010013476927
Vitel_100cm_d,-0.7096684244381304
Temp_C,0.7056038468157073
AirT_1pt5m,0.47510584553085594
AirT_2m,0.4733241586655368
IRTS_Body,0.4619519429634537
PTemp,0.4287340301082436
SoilSfcT,0.32969292794094535
IRTS_Trgt,0.3225821724231326
WndSpd_2m_WVc_2,-0.2506549889892953
Vitel_100cm_b,0.25048974994833423
Pressure_2,-0.24950948742624163
WndSpd_2m_WVc_1,-0.24630776448542566
WndSpd_10m_WVc_2,-0.2348463225233136
WndSpd_10m_WVc_1,-0.22987707635985577
WndSpd_2m_Max,-0.22910951777664376
WndSpd_10m_Max,-0.22152262604147752
WndSpd_2m,-0.2209455448561628
AirT_10m,0.21402817436376453
WndSpd_10m,-0.20818114512368174
QuantRadn,0.18721675775687288
TotalRadn,0.18364480281020695
Pressure_1,-0.17821342918470343
WndSpd_2m_Std,-0.17699775409093263
WndSpd_10m_Std,-0.16951541132301168
AirT_9pt5m,0.1620028564765451
Precip_TB3_Today,-0.12891705840621037
Precip_TX_Today,-0.12318594595066765
WndSpd_Vert_Tot,-0.11845744481796296
WndSpd_Vert,-0.11065770209147417
RH_10m,-0.11038958987955917
WndSpd_Vert_Max,-0.10598861905861585
RH_2m,-0.104798957889954
WndSpd_Vert_Min,-0.08738587654330493
WndDir_2m,0.07427682931991161
WndDir_10m,0.051347378953036586
WndSpd_2m_WVc_4,-0.04424612022708259
Precip_TB3_Tot,-0.042108088374943994
Precip_TX_Tot,-0.03964727488768766
WndSpd_10m_WVc_3,0.029335804954735634
WndSpd_2m_WVc_3,-0.027862042223589695
SoilT_100cm,-0.02128010784000923
SoilT_50cm,-0.018576772413097027
SoilT_20cm,-0.016880449751410717
SoilT_10cm,-0.01582471174725946
SoilT_5cm,-0.015704769195999255
Hour,0.01154072796454944
WndSpd_10m_WVc_4,0.01153350269085925
Minute,-0.0022332434141904643
NaCI,0.0008692580051377303
SoilType,
