,SoilCond_tc
SoilCond_tc,1.0
eI_tc,0.9682895993661197
DayOfYear,0.9251305567095011
Vitel_100cm_d,-0.9102092661814987
wfv,0.9096713920052542
Temp_C,0.9061777693734148
SoilCond,0.8973645769208968
eI,0.8973645768516416
eR_tc,0.8775546911345139
eR,0.8710722458920682
Vitel_100cm_a,-0.8659133201837648
Vitel_100cm_c,0.8118318941320354
AirT_2m,0.6129290999256904
AirT_1pt5m,0.609356418186707
IRTS_Body,0.5939936037437987
PTemp,0.5515600152438902
SoilSfcT,0.4307530511495521
IRTS_Trgt,0.41869357655131184
WndSpd_2m_WVc_2,-0.27467227939586847
WndSpd_2m_WVc_1,-0.268887582175294
AirT_10m,0.2641895667730507
Pressure_1,-0.26210735487245285
WndSpd_10m_WVc_2,-0.25824759340546155
WndSpd_10m_WVc_1,-0.25182823966006074
WndSpd_2m_Max,-0.24735850397365297
WndSpd_2m,-0.2413885871452808
WndSpd_10m_Max,-0.23996974558098072
Pressure_2,-0.22847865873806117
WndSpd_10m,-0.22843355510338495
AirT_9pt5m,0.21329835357311555
QuantRadn,0.20896766206192227
TotalRadn,0.2024845788866879
WndSpd_2m_Std,-0.18738862566186204
WndSpd_10m_Std,-0.17887579090529568
Vitel_100cm_b,0.15190568566448473
WndSpd_Vert_Tot,-0.11565027555190087
WndDir_2m,0.10990147257428479
WndSpd_Vert,-0.10774222990439838
WndSpd_Vert_Min,-0.09542221987043856
WndSpd_Vert_Max,-0.08943325281985033
RH_10m,-0.08723025433100115
RH_2m,-0.08085702004185323
WndDir_10m,0.07865994220006545
Precip_TB3_Today,-0.07087999269757739
Precip_TX_Today,-0.0653702564787811
WndSpd_10m_WVc_3,0.04942806447428038
WndSpd_2m_WVc_4,-0.03813910674664192
Precip_TB3_Tot,-0.026468289944723503
WndSpd_10m_WVc_4,0.024514891149408063
Precip_TX_Tot,-0.024428071777645315
Hour,0.011125204108310296
SoilT_100cm,-0.008131721894955642
WndSpd_2m_WVc_3,-0.007376808943980546
SoilT_50cm,-0.004519623690435412
NaCI,0.0026382970894178047
SoilT_20cm,-0.0022973930607143203
Minute,-0.0016374313181618276
SoilT_10cm,-0.0010670568889361719
SoilT_5cm,-0.0008490785363602343
SoilType,
