,SoilSfcT
SoilSfcT,1.0
IRTS_Trgt,0.9794475008825753
PTemp,0.9142131879466318
IRTS_Body,0.8894756001070789
AirT_1pt5m,0.8801394300283217
AirT_2m,0.8606831472287044
QuantRadn,0.7272375550882753
TotalRadn,0.7102538450714784
AirT_10m,0.5576521204945207
Temp_C,0.4841362376199377
Vitel_100cm_d,-0.48159141074579365
DayOfYear,0.45725421322772164
WndSpd_10m_WVc_4,0.44377099229923644
eI_tc,0.43557392054816013
SoilCond_tc,0.43557392008579127
WndSpd_2m_WVc_4,0.4348138496234969
RH_2m,-0.40172205018893636
wfv,0.37395680001253523
Vitel_100cm_a,-0.3662570138691476
eR_tc,0.3634095852131099
eR,0.35773480195598956
RH_10m,-0.3485936775122201
eI,0.34248010073461876
SoilCond,0.3424800959584427
Vitel_100cm_c,0.31650559364683845
AirT_9pt5m,0.28619723633958377
Pressure_1,-0.28485812072142375
WndSpd_2m_Std,0.26815179357920166
WndSpd_2m_WVc_3,0.26740244555722736
WndSpd_10m_WVc_3,0.22131698564536226
WndSpd_10m_Std,0.2175957490267976
WndSpd_2m_Max,0.1882369733193081
WndDir_10m,0.14587389061797065
WndDir_2m,0.14170569410374836
WndSpd_10m_Max,0.1317077096146151
WndSpd_2m_WVc_1,0.12859675983644187
WndSpd_2m,0.11492110613698403
WndSpd_Vert_Min,-0.11305406185515808
WndSpd_Vert_Tot,-0.11257733148924019
Hour,0.10664296523367306
WndSpd_Vert,-0.10458175677782768
WndSpd_2m_WVc_2,0.07804772368486956
WndSpd_10m_WVc_1,0.07022776638169757
WndSpd_Vert_Max,-0.06551646965242477
WndSpd_10m,0.06313246994265623
Vitel_100cm_b,-0.04820369011152753
WndSpd_10m_WVc_2,0.03649136136816426
SoilT_5cm,0.016974383118888266
SoilT_10cm,0.015248393075819834
Pressure_2,-0.01364346959318185
SoilT_20cm,0.011758026831443008
SoilT_50cm,0.010351900996011732
Precip_TB3_Today,-0.0095118122987155
SoilT_100cm,0.00796302919494523
Precip_TX_Today,-0.006871456099278076
Precip_TX_Tot,0.00537650921583537
Precip_TB3_Tot,0.004789034459883168
NaCI,0.0005197304281886754
Minute,-0.00046369807855443587
SoilType,
