,Temp_C
Temp_C,1.0
Vitel_100cm_d,-0.6876900654332058
DayOfYear,0.6405927404578053
SoilCond_tc,0.6300101556130152
eI_tc,0.630010154547277
wfv,0.550679756400583
Vitel_100cm_a,-0.5432174654053203
eR_tc,0.5215672125123637
eR,0.5137550809002991
eI,0.502326683106406
SoilCond,0.5023266788148317
AirT_2m,0.47628360041567935
AirT_1pt5m,0.4688619750273516
IRTS_Body,0.4652935993227939
Vitel_100cm_c,0.449036087215606
PTemp,0.42708146260846774
SoilSfcT,0.3407256930862386
IRTS_Trgt,0.3289646916254142
Pressure_1,-0.21120208134240787
AirT_10m,0.18815599080358317
WndSpd_2m_WVc_2,-0.17610394512946842
WndSpd_2m_WVc_1,-0.1719439171004661
AirT_9pt5m,0.16975289949469177
WndSpd_10m_WVc_2,-0.16599606800807654
WndSpd_10m_WVc_1,-0.1614259751540639
WndSpd_2m_Max,-0.15625864857998906
WndSpd_2m,-0.15432818858684025
WndSpd_10m_Max,-0.15222715397915446
WndSpd_10m,-0.14580227790131442
QuantRadn,0.1370938424224548
TotalRadn,0.13037535630822839
Pressure_2,-0.11845498451441472
WndSpd_2m_Std,-0.11510007331857142
WndSpd_10m_Std,-0.11002979642819104
WndDir_2m,0.09342548561716923
WndDir_10m,0.07202306736842047
WndSpd_Vert_Tot,-0.06748523135783908
WndSpd_Vert,-0.06258971556728142
WndSpd_Vert_Min,-0.06255338472037873
WndSpd_10m_WVc_3,0.049095825027466726
WndSpd_Vert_Max,-0.04300294597690215
RH_10m,-0.030971274228043896
RH_2m,-0.027190914242258196
WndSpd_10m_WVc_4,0.023544464072945352
WndSpd_2m_WVc_4,-0.01573583979891006
WndSpd_2m_WVc_3,0.014672015681360825
SoilT_5cm,0.009870491664366047
SoilT_10cm,0.009647163672122174
SoilT_20cm,0.008775523935758847
Hour,0.007616162929979331
SoilT_50cm,0.007090522805054707
Vitel_100cm_b,0.005931124510700306
Precip_TB3_Tot,-0.004815383162748704
SoilT_100cm,0.004336162922749563
Precip_TX_Tot,-0.003993341641223112
Precip_TB3_Today,-0.00343946291268004
Minute,-0.0028696850196558233
NaCI,0.0022797424077543784
Precip_TX_Today,-0.0007009079618071441
SoilType,
