,TotalRadn
TotalRadn,1.0
QuantRadn,0.8976644131696742
IRTS_Trgt,0.6823432212196135
SoilSfcT,0.666573682224352
RH_2m,-0.5948693765896214
RH_10m,-0.5534599439307811
PTemp,0.5020062178327706
IRTS_Body,0.47931444369461434
AirT_1pt5m,0.4659242034786106
AirT_2m,0.43340111392235303
WndSpd_2m_WVc_4,0.390811501396735
AirT_10m,0.37197726149988186
WndSpd_2m_Std,0.35529996548735604
WndSpd_10m_WVc_4,0.3515254264315474
WndSpd_2m_Max,0.3271854783268104
WndSpd_2m_WVc_1,0.2951300066769859
WndSpd_10m_Std,0.28884090412235197
WndSpd_10m_Max,0.2710671779049261
WndSpd_2m,0.26326672475422025
WndSpd_2m_WVc_2,0.2611319142459385
WndSpd_Vert_Tot,-0.2485289973733213
WndSpd_10m_WVc_1,0.2467313870363865
WndSpd_Vert,-0.2320698709491984
WndSpd_10m,0.22345665163083858
WndSpd_10m_WVc_2,0.22310296212580893
WndSpd_Vert_Max,-0.21823400397067835
WndSpd_2m_WVc_3,0.21241953873523003
eI_tc,0.20294049627933092
SoilCond_tc,0.20294049495978556
wfv,0.19931727705485974
WndSpd_Vert_Min,-0.19351169479540514
eR_tc,0.19188493764608214
eR,0.19118658180423015
Vitel_100cm_d,-0.18815099676514424
eI,0.18790971958622057
SoilCond,0.18790971577157
DayOfYear,0.1855806721910037
Temp_C,0.18400379549065354
Vitel_100cm_c,0.17304783708257815
Vitel_100cm_a,-0.1684245453639655
WndSpd_10m_WVc_3,0.13434745804638887
AirT_9pt5m,0.1321179660193231
Pressure_1,0.08497228073216467
Precip_TB3_Today,-0.06876008105750868
Precip_TX_Today,-0.06563205805269678
WndDir_10m,0.04721702712158592
Hour,-0.04121133167619131
WndDir_2m,0.039552237145355315
Precip_TB3_Tot,-0.03333213049965094
Precip_TX_Tot,-0.031174543749869953
SoilT_5cm,0.01234865844326909
SoilT_10cm,0.011271615366465784
SoilT_50cm,0.011129099996976272
Vitel_100cm_b,-0.010666960750245315
SoilT_100cm,0.010598377860383656
SoilT_20cm,0.010287175114174499
Pressure_2,0.0027098215343601836
Minute,0.00167390895172121
NaCI,0.00041271598664525396
SoilType,
