,Vitel_100cm_c
Vitel_100cm_c,1.0
eI,0.8602870605184847
SoilCond,0.8602870600423012
SoilCond_tc,0.8186065545685811
eI_tc,0.8186065512761396
wfv,0.8109951671906003
eR_tc,0.7792705554751571
eR,0.7768599592533382
DayOfYear,0.7167137296537048
Vitel_100cm_d,-0.6540640155609199
Temp_C,0.6499390385660899
Vitel_100cm_a,-0.6497583295859439
AirT_2m,0.46176534733329344
AirT_1pt5m,0.45973570837197447
IRTS_Body,0.4482015318959263
PTemp,0.41418829642659133
Precip_TB3_Today,-0.3418817427127826
Precip_TX_Today,-0.33564701650658035
SoilSfcT,0.31296113972816453
IRTS_Trgt,0.30618973143804334
Pressure_2,-0.27739100028560776
WndSpd_2m_WVc_2,-0.2508401703532699
WndSpd_2m_WVc_1,-0.24873160234493025
WndSpd_2m_Max,-0.24017798500279355
WndSpd_10m_WVc_2,-0.23973341780949511
WndSpd_10m_WVc_1,-0.23738591195698544
WndSpd_10m_Max,-0.23666327271718096
AirT_10m,0.22338409776490983
WndSpd_2m,-0.2224279165333777
WndSpd_10m,-0.21490759670482723
Vitel_100cm_b,0.2002794127241825
WndSpd_2m_Std,-0.19958232973460954
WndSpd_10m_Std,-0.1964360437881324
QuantRadn,0.1769705374398809
TotalRadn,0.1742512087832699
WndSpd_Vert_Max,-0.16755799017491027
AirT_9pt5m,0.15909138903560355
WndSpd_Vert_Tot,-0.14564899057047886
RH_10m,-0.1364387971464518
WndSpd_Vert,-0.13615460574098137
RH_2m,-0.1300179622763931
WndSpd_2m_WVc_3,-0.09297083262550214
WndSpd_Vert_Min,-0.08631049194740631
Precip_TB3_Tot,-0.08073596300490335
Precip_TX_Tot,-0.07701586660864758
Pressure_1,-0.06529879578196932
WndSpd_2m_WVc_4,-0.058169930783464996
WndSpd_10m_WVc_3,-0.037421783654339014
WndDir_2m,0.01728335273038338
WndSpd_10m_WVc_4,-0.010190139468456833
WndDir_10m,-0.005670322149567489
SoilT_100cm,-0.0055998554618458376
Hour,0.004253527995869505
NaCI,0.003658584097854693
SoilT_50cm,-0.002788823158177153
SoilT_20cm,-0.0011163103028951568
Minute,-0.0007014141550620507
SoilT_5cm,6.770843648038154e-05
SoilT_10cm,2.9326839400907536e-05
SoilType,
