,WndSpd_10m_Max
WndSpd_10m_Max,1.0
WndSpd_10m_WVc_1,0.7783733726554267
WndSpd_2m_Max,0.7777611290019646
WndSpd_2m_WVc_1,0.764629694365179
WndSpd_10m_WVc_2,0.7609935106718154
WndSpd_2m_WVc_2,0.7399953184493419
WndSpd_2m_Std,0.7107941849533054
WndSpd_10m,0.709105900580909
WndSpd_10m_Std,0.7035381688046085
WndSpd_2m,0.6889736211860784
WndSpd_2m_WVc_4,0.39530209611341877
RH_2m,-0.3612054397043046
RH_10m,-0.3237844756771652
WndSpd_10m_WVc_4,0.3215302262774065
TotalRadn,0.2804991423697238
QuantRadn,0.2789403625502725
WndSpd_2m_WVc_3,0.2773574676070056
wfv,-0.24541498040154786
SoilCond_tc,-0.24283796976589223
eI_tc,-0.24283796847830302
Vitel_100cm_c,-0.2360493995448081
DayOfYear,-0.23268047836662137
SoilCond,-0.22988070594881133
eI,-0.22988070371918695
Vitel_100cm_d,0.22217753290414785
eR_tc,-0.22183567561427722
Temp_C,-0.22088978621418573
eR,-0.22038413546351002
Vitel_100cm_a,0.20483869897073353
WndSpd_10m_WVc_3,0.139622249676586
IRTS_Trgt,0.12954774809408237
SoilSfcT,0.12118009636581667
WndSpd_Vert_Min,-0.11917135977133565
WndSpd_Vert_Tot,-0.11435990396629593
Pressure_1,0.1081981776488989
WndSpd_Vert,-0.1073339174582703
AirT_2m,-0.10706174738198827
AirT_1pt5m,-0.09011625001135455
AirT_9pt5m,-0.08637815393014081
WndSpd_Vert_Max,-0.07023943915895715
IRTS_Body,-0.05194483939968623
Precip_TB3_Tot,0.03681905224134929
Precip_TX_Tot,0.03629460015212144
PTemp,-0.03222454945662828
Hour,-0.02731369896215643
Precip_TB3_Today,0.025238076548744638
Precip_TX_Today,0.02393479084426361
SoilT_5cm,-0.0050251228781814025
SoilT_10cm,-0.005017943221015097
SoilT_20cm,-0.0046485881805456925
WndDir_10m,-0.004444554783119446
SoilT_50cm,-0.0033440824251780477
SoilT_100cm,-0.0025372798739523644
Vitel_100cm_b,0.002347990104727441
NaCI,-0.0021544540342327643
WndDir_2m,-0.0017676196709734918
Minute,-0.0015409276379575669
AirT_10m,-0.0011149541851923715
Pressure_2,0.0010088087257208017
SoilType,
