,WndSpd_10m_Std
WndSpd_10m_Std,1.0
WndSpd_10m_Max,0.7036717185036232
WndSpd_2m_Max,0.6931704680842143
WndSpd_2m_Std,0.6752743056346694
WndSpd_10m_WVc_1,0.6572005536610404
WndSpd_2m_WVc_1,0.6518766547090663
WndSpd_10m_WVc_2,0.6290129837225716
WndSpd_2m_WVc_2,0.6096852379703868
WndSpd_10m,0.5992887843559783
WndSpd_2m,0.5887511249954771
WndSpd_2m_WVc_4,0.46088086078389245
WndSpd_10m_WVc_4,0.4059084298816148
WndSpd_2m_WVc_3,0.32952906449804886
RH_2m,-0.32889236507186687
QuantRadn,0.3078387784983279
TotalRadn,0.30587735270070016
RH_10m,-0.2885235849527658
IRTS_Trgt,0.2185770059516634
WndSpd_10m_WVc_3,0.21618906096182586
SoilSfcT,0.21196736295429802
Vitel_100cm_c,-0.19516825652035485
eI_tc,-0.1811979284573632
SoilCond_tc,-0.18119792836942583
wfv,-0.17971512276863805
SoilCond,-0.17562137946348488
eI,-0.17562137836387368
DayOfYear,-0.1694279790443033
Temp_C,-0.16266008633392207
Vitel_100cm_d,0.16212324842014708
eR_tc,-0.15844760965446372
eR,-0.15710048202193905
Vitel_100cm_a,0.14925278004864556
WndSpd_Vert_Min,-0.11489935509836288
WndSpd_Vert_Tot,-0.10113015120756942
WndSpd_Vert,-0.09488345347601088
PTemp,0.08444161566213511
AirT_10m,0.07975577772036335
WndDir_10m,0.07921288550704715
WndDir_2m,0.06647778408939269
IRTS_Body,0.058124281247550764
WndSpd_Vert_Max,-0.05102542347682213
Precip_TB3_Tot,0.045040354811394276
Precip_TB3_Today,0.04500175386317304
Precip_TX_Today,0.044155168737107744
Precip_TX_Tot,0.043635498008476506
AirT_9pt5m,-0.042168671988023716
AirT_1pt5m,0.02964533417574097
Pressure_2,0.021879294702443496
Pressure_1,-0.014845090727854959
AirT_2m,0.012319151152556182
Hour,0.007215377212175837
Vitel_100cm_b,-0.006913924600927476
NaCI,-0.0027108568425360875
Minute,-0.0019790074750412573
SoilT_20cm,-0.0015454683193641817
SoilT_10cm,-0.001273129419799634
SoilT_5cm,-0.000999669449055489
SoilT_50cm,-0.0006716473797693155
SoilT_100cm,-0.0001684174965116707
SoilType,
