,WndSpd_10m_WVc_3
WndSpd_10m_WVc_3,1.0
WndSpd_2m_WVc_3,0.480693819792656
WndDir_10m,0.461368825472327
WndDir_2m,0.365393594291263
WndSpd_10m_WVc_4,0.279012072493291
Pressure_1,-0.2607056531035184
WndSpd_2m_WVc_4,0.24185485501860715
PTemp,0.24009876700106458
IRTS_Body,0.23677809645082193
SoilSfcT,0.23620182010533308
IRTS_Trgt,0.23446997623764218
AirT_1pt5m,0.21990065817882687
WndSpd_10m_Std,0.21858005264774752
AirT_2m,0.21520235668383633
WndSpd_2m_Std,0.21257079596750075
QuantRadn,0.163600271155977
TotalRadn,0.15647443141598655
WndSpd_2m_Max,0.14495961499495083
WndSpd_10m_Max,0.1422124528090236
AirT_10m,0.12907667982685692
RH_2m,-0.11639952820526711
RH_10m,-0.09873779584357156
Vitel_100cm_a,-0.09498880142322033
WndSpd_2m_WVc_1,0.09164112247250761
Hour,0.08760357540906938
WndSpd_10m_WVc_1,0.08193083964914008
WndSpd_2m,0.08067270555126539
Precip_TX_Today,0.07783381899081498
Precip_TB3_Today,0.07652962353099665
WndSpd_10m,0.07321023123999659
Temp_C,0.06828128867449401
eR_tc,0.06615254357549868
Vitel_100cm_d,-0.06596383895400429
eR,0.0656425803597294
WndSpd_2m_WVc_2,0.06355340297195221
WndSpd_Vert_Min,-0.0627437254708372
wfv,0.06271619413235323
WndSpd_10m_WVc_2,0.061410995198851216
AirT_9pt5m,0.059474410604967505
WndSpd_Vert_Tot,-0.056375937327561465
DayOfYear,0.055039443209737214
WndSpd_Vert,-0.05348197575675213
eI_tc,0.05171922595985119
SoilCond_tc,0.05171922293431512
Vitel_100cm_c,-0.03538786072731949
SoilCond,0.03324736939283391
eI,0.033247367986206054
Pressure_2,-0.031057086712873966
Vitel_100cm_b,-0.029353298740290818
Precip_TB3_Tot,0.029038781013456097
Precip_TX_Tot,0.026985745919427793
WndSpd_Vert_Max,-0.026082244035826176
SoilT_5cm,0.009595025713444606
SoilT_10cm,0.009218533471044385
SoilT_20cm,0.007966590160147165
SoilT_50cm,0.007618661152364964
SoilT_100cm,0.007463545735565516
NaCI,-0.0025005749766456664
Minute,-0.0013625679893108902
SoilType,
