,WndSpd_2m
WndSpd_2m,1.0
WndSpd_2m_WVc_1,0.7097789518172894
WndSpd_2m_Max,0.7009781792986801
WndSpd_2m_WVc_2,0.696795858028177
WndSpd_10m_WVc_1,0.6930667381196518
WndSpd_10m_Max,0.6852134346271206
WndSpd_10m_WVc_2,0.6839116955741706
WndSpd_10m,0.6305624462740825
WndSpd_2m_Std,0.614899738777355
WndSpd_10m_Std,0.584255468874982
RH_2m,-0.3308233560058348
WndSpd_2m_WVc_4,0.3003840982980231
RH_10m,-0.29772899985103995
TotalRadn,0.2684196678483125
QuantRadn,0.2652163743401775
wfv,-0.2500276378675023
SoilCond_tc,-0.24397070941280966
eI_tc,-0.24397070774780522
DayOfYear,-0.23577824651790402
SoilCond,-0.2289808382987551
eI,-0.22898083676657108
eR_tc,-0.22734979340473677
eR,-0.22614305072417043
Vitel_100cm_d,0.22444585813337475
WndSpd_10m_WVc_4,0.2224877883793879
Vitel_100cm_c,-0.22235644049335798
Temp_C,-0.2220293733362182
WndSpd_2m_WVc_3,0.2119046693056111
Vitel_100cm_a,0.21007450850600318
Pressure_1,0.1608167099765833
AirT_2m,-0.12144781955904588
IRTS_Trgt,0.10963336159909445
AirT_1pt5m,-0.10453360946555258
SoilSfcT,0.10137118171977821
WndSpd_Vert_Tot,-0.09566885070552127
WndSpd_Vert_Min,-0.09309591933381052
WndSpd_Vert,-0.0899117570612075
AirT_9pt5m,-0.08440040478548459
WndSpd_10m_WVc_3,0.07755751875201229
IRTS_Body,-0.06764524181045627
WndSpd_Vert_Max,-0.06665882328037191
PTemp,-0.05206664736877008
WndDir_10m,-0.04075420554910528
Hour,-0.03738585759948716
WndDir_2m,-0.02882332246289719
Pressure_2,0.026147047174134047
Precip_TX_Tot,0.024750942085108318
Precip_TB3_Tot,0.024259130199990177
AirT_10m,-0.012183898747239793
Precip_TB3_Today,0.010700397886770407
Precip_TX_Today,0.009342698177085561
SoilT_5cm,-0.007472922873616168
SoilT_10cm,-0.007410293614748051
SoilT_20cm,-0.006907478724134658
Vitel_100cm_b,0.0066743958112619834
SoilT_50cm,-0.005583093387774125
SoilT_100cm,-0.004784592202967364
NaCI,-0.0016434463363092873
Minute,-0.0012303836730747067
SoilType,
