,WndSpd_Vert
WndSpd_Vert,1.0
WndSpd_Vert_Tot,0.7359899244323093
WndSpd_Vert_Min,0.6212355343784572
WndSpd_Vert_Max,0.5245666825339588
RH_10m,0.45739080123568615
RH_2m,0.44124974364738184
QuantRadn,-0.2533962261118296
TotalRadn,-0.2524982456476206
Pressure_1,-0.2045371072533641
Hour,-0.19102440730001505
Precip_TB3_Today,0.15607573099116775
Precip_TX_Today,0.15413404174640957
Vitel_100cm_c,-0.13390938496017257
PTemp,-0.12422683984562966
IRTS_Trgt,-0.12159406089538544
IRTS_Body,-0.11646642309960457
WndSpd_10m_WVc_1,-0.11595076745523775
SoilSfcT,-0.11520771052618221
WndSpd_10m_Max,-0.11399318370037761
SoilCond,-0.1134438609710281
eI,-0.1134438594833759
WndSpd_2m_WVc_4,-0.11290908832053671
WndSpd_2m_Max,-0.11227349537298258
wfv,-0.11161540855072409
WndSpd_10m_WVc_2,-0.11110300150582711
WndSpd_2m_Std,-0.10869307391278976
SoilCond_tc,-0.10835860450706543
eI_tc,-0.1083586027188543
WndSpd_2m_WVc_1,-0.10802544603214263
WndSpd_10m,-0.10393660466133191
WndSpd_10m_Std,-0.10019741442307337
WndSpd_2m_WVc_2,-0.10009362049327396
WndSpd_2m,-0.09639513062357143
Pressure_2,0.09528448810971493
eR_tc,-0.0949566130854837
eR,-0.09451687291579633
AirT_2m,-0.09234292625977825
WndSpd_10m_WVc_4,-0.09217361654905672
AirT_1pt5m,-0.0882956394915607
Vitel_100cm_d,0.08635194588298195
Temp_C,-0.08548211979821306
Vitel_100cm_a,0.08200140860241042
DayOfYear,-0.07179852102725266
Precip_TB3_Tot,0.06729338897696886
WndSpd_2m_WVc_3,-0.06442138196311609
Precip_TX_Tot,0.06398943484056649
WndSpd_10m_WVc_3,-0.051992199801233555
AirT_10m,-0.04547600557897818
WndDir_10m,-0.039153779097233464
WndDir_2m,-0.0335299209248164
AirT_9pt5m,-0.01773035620416717
SoilT_5cm,-0.01130285495604064
SoilT_10cm,-0.01122342686878565
SoilT_100cm,-0.010612122492928427
SoilT_50cm,-0.010504954938839918
SoilT_20cm,-0.010318662151032628
Vitel_100cm_b,-0.009085260955345866
NaCI,-0.0005245509655021906
Minute,0.00015341286506179774
SoilType,
