,WndSpd_Vert_Tot
WndSpd_Vert_Tot,1.0
WndSpd_Vert,0.7455612262914795
WndSpd_Vert_Min,0.6621959462189566
WndSpd_Vert_Max,0.5949887727505571
RH_10m,0.49752442520023155
RH_2m,0.4800116076511287
QuantRadn,-0.27589623721991
TotalRadn,-0.27489672247462316
Pressure_1,-0.22388143663505874
Hour,-0.20709885036359077
Precip_TB3_Today,0.1771857556722062
Precip_TX_Today,0.17490456119994213
Vitel_100cm_c,-0.14682489992557193
PTemp,-0.1351696854078537
IRTS_Trgt,-0.1314049032351291
IRTS_Body,-0.1268740227132902
WndSpd_10m_WVc_1,-0.1264092299424415
WndSpd_10m_Max,-0.12483441517927084
SoilSfcT,-0.12463363454292954
SoilCond,-0.12319158073003295
eI,-0.1231915803695661
WndSpd_2m_WVc_4,-0.12302723814028121
WndSpd_2m_Max,-0.12233472656098647
wfv,-0.12126967642795977
WndSpd_10m_WVc_2,-0.12105759863837386
WndSpd_2m_Std,-0.11876513719770268
WndSpd_2m_WVc_1,-0.11780502011499715
SoilCond_tc,-0.11770756875250078
eI_tc,-0.11770756700235104
WndSpd_10m,-0.11365726615346168
WndSpd_10m_Std,-0.1105975615792058
WndSpd_2m_WVc_2,-0.10944211436787005
WndSpd_2m,-0.1051638789393766
Pressure_2,0.1040229789958389
eR_tc,-0.10316203326028814
eR,-0.10266892937125757
WndSpd_10m_WVc_4,-0.10113628524727034
AirT_2m,-0.10024096078387063
AirT_1pt5m,-0.09582050566120462
Vitel_100cm_d,0.09391462265712028
Temp_C,-0.0930651457679347
Vitel_100cm_a,0.08861540017905081
DayOfYear,-0.07795317898123723
WndSpd_2m_WVc_3,-0.07053184050507355
Precip_TB3_Tot,0.06854248195507291
Precip_TX_Tot,0.06535886161625772
WndSpd_10m_WVc_3,-0.05647216159068494
AirT_10m,-0.049115362011356495
WndDir_10m,-0.041167772799197366
WndDir_2m,-0.03522778408074391
AirT_9pt5m,-0.019083393901355005
SoilT_5cm,-0.012174769358281146
SoilT_10cm,-0.012089878199237328
SoilT_100cm,-0.011424766787148754
SoilT_50cm,-0.0113096964806361
SoilT_20cm,-0.01110857262055816
Vitel_100cm_b,-0.01019916856158514
NaCI,-0.0006602120691546498
Minute,0.00030105906039562893
SoilType,
