,eI
eI,1.0
SoilCond,0.9069035924279264
SoilCond_tc,0.8734301426860747
eI_tc,0.8734301386729624
wfv,0.8668233721498723
eR_tc,0.8466240652085896
eR,0.8444164308707512
Vitel_100cm_c,0.8303059211623129
Vitel_100cm_a,-0.8127359369323427
DayOfYear,0.7909010021655134
Vitel_100cm_d,-0.7096684250427789
Temp_C,0.7056038472242648
AirT_1pt5m,0.4751058469755794
AirT_2m,0.47332415966894764
IRTS_Body,0.4619519446122867
PTemp,0.4287340327851143
SoilSfcT,0.32969293174722153
IRTS_Trgt,0.3225821763724775
WndSpd_2m_WVc_2,-0.2506549820796857
Vitel_100cm_b,0.25048975433771326
Pressure_2,-0.24950948710228196
WndSpd_2m_WVc_1,-0.24630775738559
WndSpd_10m_WVc_2,-0.2348463160799062
WndSpd_10m_WVc_1,-0.22987707013898748
WndSpd_2m_Max,-0.22910951152557732
WndSpd_10m_Max,-0.2215226194108356
WndSpd_2m,-0.22094553860382476
AirT_10m,0.2140281801762037
WndSpd_10m,-0.20818113897981316
QuantRadn,0.1872167634262951
TotalRadn,0.1836448085591374
Pressure_1,-0.17821343125949543
WndSpd_2m_Std,-0.17699774913975555
WndSpd_10m_Std,-0.1695154053946095
AirT_9pt5m,0.1620028597157876
Precip_TB3_Today,-0.12891705092883074
Precip_TX_Today,-0.12318593835781332
WndSpd_Vert_Tot,-0.11845744209043221
WndSpd_Vert,-0.11065769814943513
RH_10m,-0.11038959310121604
WndSpd_Vert_Max,-0.1059886179030451
RH_2m,-0.10479896167075842
WndSpd_Vert_Min,-0.08738587271857247
WndDir_2m,0.07427682318172375
WndDir_10m,0.05134737587710778
WndSpd_2m_WVc_4,-0.0442461171926391
Precip_TB3_Tot,-0.042108089281329385
Precip_TX_Tot,-0.03964727426814714
WndSpd_10m_WVc_3,0.029335805318083153
WndSpd_2m_WVc_3,-0.02786204268974714
SoilT_100cm,-0.021280103539436126
SoilT_50cm,-0.01857676812697218
SoilT_20cm,-0.016880445481661868
SoilT_10cm,-0.01582470746011742
SoilT_5cm,-0.015704764894784822
Hour,0.01154072622963516
WndSpd_10m_WVc_4,0.011533501530711658
Minute,-0.00223324332923119
NaCI,0.0008692584634491375
SoilType,
