,eI_tc
eI_tc,1.0
SoilCond_tc,0.9682896003940967
DayOfYear,0.9251305578858375
Vitel_100cm_d,-0.910209268217367
wfv,0.9096713923195551
Temp_C,0.906177771068031
SoilCond,0.8973645746618665
eI,0.8973645745926192
eR_tc,0.8775546906353721
eR,0.8710722453775934
Vitel_100cm_a,-0.8659133193579904
Vitel_100cm_c,0.8118318921295543
AirT_2m,0.6129290989963878
AirT_1pt5m,0.6093564175537819
IRTS_Body,0.5939936043839639
PTemp,0.551560015260065
SoilSfcT,0.4307530517628412
IRTS_Trgt,0.41869357716062927
WndSpd_2m_WVc_2,-0.2746722728010705
WndSpd_2m_WVc_1,-0.26888757642231453
AirT_10m,0.264189567399355
Pressure_1,-0.2621073498016695
WndSpd_10m_WVc_2,-0.258247588285693
WndSpd_10m_WVc_1,-0.2518282343542599
WndSpd_2m_Max,-0.24735849701703663
WndSpd_2m,-0.2413885817181815
WndSpd_10m_Max,-0.23996974032544763
Pressure_2,-0.22847866173276274
WndSpd_10m,-0.22843354813703415
AirT_9pt5m,0.21329834547015056
QuantRadn,0.20896766302329514
TotalRadn,0.20248457996186506
WndSpd_2m_Std,-0.18738861810620822
WndSpd_10m_Std,-0.17887578636296675
Vitel_100cm_b,0.15190568476185048
WndSpd_Vert_Tot,-0.11565027363262628
WndDir_2m,0.10990147264272183
WndSpd_Vert,-0.10774222633691631
WndSpd_Vert_Min,-0.09542221875035725
WndSpd_Vert_Max,-0.0894332513416127
RH_10m,-0.08723025704008944
RH_2m,-0.08085702330719997
WndDir_10m,0.0786599418624737
Precip_TB3_Today,-0.07087998920443926
Precip_TX_Today,-0.06537025309793068
WndSpd_10m_WVc_3,0.049428063692808444
WndSpd_2m_WVc_4,-0.038139107033299084
Precip_TB3_Tot,-0.0264682929319034
WndSpd_10m_WVc_4,0.024514893827258778
Precip_TX_Tot,-0.024428072063357432
Hour,0.011125202759002731
SoilT_100cm,-0.008131718973340366
WndSpd_2m_WVc_3,-0.007376801154661504
SoilT_50cm,-0.004519620752184839
NaCI,0.002638300757124473
SoilT_20cm,-0.0022973901242239157
Minute,-0.0016374339757481999
SoilT_10cm,-0.0010670539548478107
SoilT_5cm,-0.0008490756046854893
SoilType,
