,wfv
wfv,1.0
eR_tc,0.9256250155476572
eR,0.9227729280484508
eI_tc,0.9210666769305703
SoilCond_tc,0.9210666765297174
SoilCond,0.9022130190944637
eI,0.9022130184891882
Vitel_100cm_a,-0.8644065288392926
DayOfYear,0.8430630487335516
Vitel_100cm_c,0.8143097229715273
Vitel_100cm_d,-0.8089597237931982
Temp_C,0.8023922710575182
AirT_2m,0.5412782436293092
AirT_1pt5m,0.536162774392686
IRTS_Body,0.5210444188693749
PTemp,0.4857228459392744
SoilSfcT,0.3749520062316827
IRTS_Trgt,0.36644098096227473
WndSpd_2m_WVc_2,-0.28508872238339816
WndSpd_2m_WVc_1,-0.2789861716740181
WndSpd_10m_WVc_2,-0.2673878716263955
WndSpd_10m_WVc_1,-0.2603270650730568
WndSpd_2m_Max,-0.2553378933904876
Pressure_2,-0.25064663249422287
WndSpd_2m,-0.2504049247616566
WndSpd_10m_Max,-0.2458388524158874
AirT_10m,0.24468913558133626
WndSpd_10m,-0.23657839489516494
Pressure_1,-0.23592819903919507
QuantRadn,0.2062842182153319
TotalRadn,0.20207472739495352
WndSpd_2m_Std,-0.19102958194863315
AirT_9pt5m,0.18624912054046433
WndSpd_10m_Std,-0.18011837501358183
WndSpd_Vert_Tot,-0.12013479133707668
WndSpd_Vert,-0.11235886262996728
WndDir_2m,0.11128701862993298
WndSpd_Vert_Max,-0.10891832195764964
RH_10m,-0.10027340615149928
Precip_TB3_Today,-0.09924346538458595
Precip_TX_Today,-0.09365926181435692
Vitel_100cm_b,0.0933891306311421
RH_2m,-0.09041501813125755
WndDir_10m,0.08865484633534433
WndSpd_Vert_Min,-0.08817176212440414
WndSpd_10m_WVc_3,0.06111519295125761
WndSpd_2m_WVc_4,-0.04075263910499737
Precip_TB3_Tot,-0.032796698852638695
Precip_TX_Tot,-0.030432534827788908
WndSpd_10m_WVc_4,0.02249058974818633
Hour,0.010439295890143358
SoilT_5cm,0.005035674680882794
SoilT_10cm,0.004906862993167679
SoilT_20cm,0.0036684223180173206
NaCI,0.0031093169686113526
WndSpd_2m_WVc_3,-0.002982858617535648
SoilT_50cm,0.0016706110121281522
SoilT_100cm,-0.0016188127900291212
Minute,-0.0006854308395275521
SoilType,
