Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,1,3,-10.0,-999.0,0.0,22700.0,-10.0,-10.0,-10.0,2.1450019143521786,5.3542869091033936,2.1566925048828125,5500.9599609375,245.83966064453125,233.0659027099609,3.4897918701171875,2.7498016357421875,2999.83935546875,260.8552398681641,231.68728637695312,10.387683868408203,2.294816970825196,1509.0064697265625,262.82958984375,240.68728637695312,7.615238189697266,3.2742996215820312,260.82962036132807,248.24978637695312,4.730875015258789,2.368839263916016,264.1034698486328,252.74978637695312,-0.3687658309936523,1.830301284790039,0.0,-0.031630516052246094,0.02240729331970215,103243.0,262.1664581298828,0.0,0.0,0.0,0.0,0.8788032531738281,2.7674579620361333,99850.0,272.5577545166016,257.651382446289,0.0,61.6,0.0,0.5625,100.0,0.006999999999999999,259.79055786132807,259.93017578125,0.00095,255.38568115234366,55.1,-0.6962680816650391,1.5352973937988281,2.0659773519728333,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,-10.0,0.0,100.0,12.0,28.20000000000001,0.0,0.0,1.683804988861084,0.0,0.0,0.0,0.0,--,--,--,--,--,203.1,0.0,170.70000000000005,0.0,249.9667510986328,0.0,0.0,42.0,28.70000000000001,-1.1060667037963867,-1.4679813385009766,7.677303314208982,1.4117240905761719,0.8727741241455078,-1.352142333984375,0.0,76.0,99800.0,0.0,76.0,99800.0,1360.0,4500.0,18.5,0.0,0.0,327.41317176818853,1671.5263671875,0.0,0.0,0.0,0.0,291.43069076538086,71100.0,15.8,1.0,0.0,239.47,257.01,231.43,256.84000000000003
1,0,2018,1,3,-10.0,-999.0,0.0,18000.0,-10.0,-10.0,-10.0,2.2782068457454443,6.816072463989258,3.3524398803710938,5498.3251953125,245.93386840820312,232.07400512695312,3.898538112640381,3.9820785522460938,2995.56591796875,260.96853637695307,232.31228637695312,10.598706245422363,2.5692138671875,1504.534912109375,262.97967529296875,239.87478637695312,8.630266189575195,2.9725399017333984,261.29263305664057,249.62478637695312,5.080524444580078,2.4071407318115234,262.85891723632807,253.62478637695312,-0.5482139587402344,1.5402259826660156,0.0,-0.029521465301513675,-0.02897477149963379,103171.0,256.68804168701166,0.0,0.0,0.0,0.0,1.0661029815673828,2.8581466674804688,99780.0,272.5577545166016,256.56497192382807,0.0,61.6,0.0,0.5625,100.0,0.006999999999999999,258.38803100585943,258.53225708007807,0.00091,254.8617706298828,61.40000000000001,-0.5997657775878906,1.6120128631591797,2.0030108829960227,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.05,-7.0,0.0,59.0,12.0,29.8,0.0,0.0,1.67995223402977,0.0,0.0,0.0,0.0,--,--,--,--,--,201.9,0.0,170.10000000000005,0.0,245.6996307373047,0.0,0.0,81.0,67.60000000000001,4.5785980224609375,-4.62989616394043,8.638648986816406,1.4097175598144531,0.9238376617431641,-0.10616683959960938,0.0,83.0,99800.0,0.0,83.0,99800.0,1430.0,4520.0,18.6,0.0,0.0,60.09877586364746,1410.0921630859375,0.0,0.0,0.0,0.0,291.39413833618164,71000.0,16.2,1.0,0.0,239.8,255.96,231.75,255.83
2,0,2018,1,3,-10.0,-999.0,0.0,16600.0,-10.0,-10.0,-10.0,2.2823229692876343,9.369698941707613,4.325950622558594,5489.1044921875,245.7061462402344,229.99978637695312,3.6397581100463854,7.267360687255857,2989.9755859375,260.66366577148443,232.24978637695312,9.684328079223633,4.310546875,1499.1578369140625,262.93569946289057,239.68728637695312,8.131904602050781,3.334238052368164,261.5956878662109,246.81228637695312,4.828485488891602,2.9038925170898438,262.47691345214844,254.50244140625,-0.4867935180664063,1.1670799255371094,0.0,-0.02980279922485352,-0.0016155242919921875,103102.0,250.8072052001953,0.0,0.0,0.0,0.0,1.2381725311279297,2.683490753173828,99710.0,272.5577545166016,255.75955200195312,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,260.03524780273443,260.258544921875,0.0008600000000000001,254.32188415527344,62.40000000000001,-0.19753646850585926,1.550729751586914,1.8173807016573849,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.04,-7.0,0.0,56.0,12.0,30.20000000000001,0.0,0.0,1.576390564441681,0.0,0.0,0.0,0.0,--,--,--,--,--,200.8,0.0,168.5,0.0,242.63731384277344,0.0,0.0,20.0,15.5,12.753026962280273,3.0181045532226562,7.845663070678711,1.8847160339355469,0.4677963256835938,3.6702842712402335,0.0,67.0,99700.0,0.0,67.0,99700.0,1380.0,4430.0,18.2,0.0,0.0,54.95952606201172,1285.2991943359375,0.0,0.0,0.0,0.0,291.2047843933105,71000.0,15.4,1.0,0.0,240.01,255.17,231.91,255.06
3,0,2018,1,3,-10.0,-999.0,0.0,17000.0,-10.0,-10.0,-10.0,2.898231210187077,12.534874022006989,6.809474945068359,5484.19873046875,245.60894775390625,226.68728637695312,3.8992090225219727,8.1446533203125,2987.48779296875,260.7073974609375,232.31228637695312,9.655823707580566,5.385406494140625,1495.9315185546875,263.24176025390625,238.43728637695312,8.941997528076172,3.4745330810546875,261.6085662841797,244.99978637695312,6.720615386962893,3.5533370971679688,262.6121826171875,254.87478637695312,0.36053466796875,1.4893684387207031,0.0,0.014078617095947266,0.020335912704467773,103056.0,247.19225311279297,0.0,0.0,0.0,0.0,2.3688507080078125,2.9951572418212886,99660.0,272.5577545166016,255.094482421875,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,257.22573852539057,257.48788452148443,0.0008300000000000001,253.86502075195312,59.6,0.6616439819335938,1.7998123168945312,2.3134845836320888,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.06,-10.0,0.0,54.0,12.0,30.0,0.0,0.0,1.455762892961502,0.0,0.0,0.0,0.0,--,--,--,--,--,200.7,0.0,167.5,0.0,240.09320068359366,0.0,0.0,15.0,5.1000000000000005,13.496674537658693,4.664714813232422,8.120223999023438,1.9049720764160158,-0.0916290283203125,4.124805450439453,0.0,85.0,99600.0,0.0,85.0,99600.0,1610.0,4360.0,17.900000000000006,0.0,0.0,61.90192222595215,1273.8236083984375,0.0,0.0,0.0,0.0,291.10606384277344,70900.0,14.1,1.0,0.0,241.06,254.53,232.97,254.44
4,0,2018,1,3,-10.0,-999.0,0.0,15900.0,-10.0,-10.0,-10.0,2.9180901385843754,15.980850398540495,8.940196990966797,5478.455078125,245.49246215820312,224.06228637695312,4.868330001831055,9.462295532226562,2983.453125,260.50701904296875,232.12478637695312,10.32871913909912,7.3689727783203125,1491.5115966796875,263.38577270507807,239.68728637695312,8.3372802734375,4.075756072998047,262.4032440185547,243.62478637695312,6.53187370300293,3.976591110229492,262.6083831787109,254.510498046875,-0.08858489990234375,1.468637466430664,0.0,-0.031645774841308594,0.002885580062866211,102979.0,240.8275184631348,0.0,0.0,0.0,0.0,2.1769676208496094,3.3079814910888667,99590.0,272.5577545166016,254.94810485839844,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,256.8989715576172,257.2279510498047,0.0008200000000000001,253.73126220703125,61.8,-0.3170661926269531,1.7572746276855469,2.127882821019739,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.05,-8.0,0.0,56.0,12.0,30.4,0.0,0.0,1.365663468837738,0.0,0.0,0.0,0.0,--,--,--,--,--,201.2,0.0,166.5,0.0,239.5560607910156,0.0,0.0,38.0,20.5,13.528597831726074,3.84658432006836,8.3519287109375,2.613006591796875,1.3196611404418943,5.889579772949219,0.0,87.0,99600.0,0.0,87.0,99600.0,1960.0,4320.0,17.5,0.0,0.0,45.92358779907226,1323.398681640625,0.0,0.0,0.0,0.0,291.00743103027344,70900.0,13.3,1.0,0.0,242.0,254.38,233.99,254.29
5,0,2018,1,3,-10.0,-999.0,0.0,15300.0,-10.0,-10.0,-10.0,3.0979938097298145,18.22964811325073,9.26739501953125,5467.29931640625,245.32272338867188,216.43728637695312,5.062789440155028,12.750415802001953,2978.433837890625,259.860107421875,232.56228637695312,11.171667098999023,8.62208366394043,1488.17626953125,263.5483245849609,239.62478637695312,7.6953773498535165,4.4586334228515625,262.70529174804693,243.49978637695312,5.541414260864258,4.775651931762695,262.07037353515625,254.50927734375,-0.3247489929199219,1.5765724182128906,0.0,-0.00411224365234375,-0.02268052101135254,102938.0,236.97698974609366,0.0,0.0,0.0,0.0,1.7162590026855469,3.8148880004882812,99540.0,272.5577545166016,254.9888916015625,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,256.57000732421875,256.8798675537109,0.0008100000000000001,253.50823974609366,65.10000000000001,-0.29581546783447266,1.9497489929199217,2.440227986779064,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.06,-8.0,0.0,52.0,12.0,31.0,0.0,0.0,1.3694485127925873,0.0,0.0,0.0,0.0,--,--,--,--,--,203.0,0.0,165.10000000000005,0.0,239.6070709228516,0.0,0.0,42.0,24.3,13.21552562713623,4.6847801208496085,7.7189884185791025,2.8544921875,2.4113969802856445,8.179889678955076,0.0,88.0,99500.0,0.0,88.0,99500.0,1910.0,4180.0,17.1,0.0,0.0,39.00923156738281,1288.06396484375,0.0,0.0,0.0,0.0,291.0018653869629,70900.0,12.8,1.0,0.0,244.21,254.39,236.49,254.3
6,0,2018,1,3,-10.0,-999.0,0.0,14700.0,-10.0,-10.0,-10.0,3.5988829992711544,18.82982683181763,9.027347564697266,5451.5966796875,244.8461456298828,209.12478637695312,7.902215957641602,13.265701293945312,2969.8974609375,259.2025756835937,231.87478637695312,11.340746879577635,8.9847412109375,1481.427490234375,263.7160797119141,239.43728637695312,7.7714385986328125,5.202932357788086,263.6020965576172,242.74978637695312,5.477235794067383,5.940828323364258,261.95700073242193,254.6701812744141,-0.3625526428222656,1.7669696807861328,0.0,0.0017170906066894533,-0.01258254051208496,102830.0,227.7730827331543,0.0,0.0,0.0,0.0,1.1887702941894531,4.658323287963867,99430.0,272.5577545166016,254.95919799804688,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,256.3431854248047,256.7419586181641,0.0008,253.36849975585938,67.2,-0.12941551208496094,2.243568420410156,2.6880537217948586,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.06,-7.0,0.0,48.0,12.0,30.9,0.0,0.0,1.158140778541565,0.0,0.0,0.0,0.0,--,--,--,--,--,204.0,0.0,163.20000000000005,0.0,239.43247985839844,0.0,0.0,81.0,58.6,11.413467407226562,1.7301006317138672,7.914464950561522,3.131061553955078,8.04842472076416,6.725055694580077,0.0,89.0,99400.0,0.0,89.0,99400.0,1850.0,4040.0,16.6,0.0,0.0,36.51759147644043,1243.7713012695312,0.0,0.0,0.0,0.0,290.9543724060058,70800.0,11.8,1.0,0.0,245.83,254.36,238.26,254.26
7,0,2018,1,3,-10.0,-999.0,0.0,14500.0,-10.0,-10.0,-10.0,4.282422352582216,20.992127716541287,10.621192932128906,5443.66455078125,244.5663146972656,223.1724090576172,15.26276445388794,10.360069274902344,2966.569580078125,258.9271240234375,229.49978637695312,12.594718933105467,9.001914978027344,1477.09912109375,264.52383422851557,239.56228637695312,7.137144088745117,6.0219154357910165,264.45762634277344,242.18728637695312,4.5927696228027335,7.394166946411133,261.6983642578125,254.57601928710938,-0.5819492340087891,1.6088447570800781,0.0,-0.031090259552001964,-0.014595270156860353,102744.0,220.4663543701172,0.0,0.0,0.0,0.0,0.3446083068847656,5.806793212890625,99330.0,272.5577545166016,255.0713348388672,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,256.41574096679693,256.89854431152344,0.0008100000000000001,253.4121398925781,69.0,-0.2540473937988281,2.2858543395996094,2.5641987806884567,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.08,-10.0,0.0,42.0,12.0,30.8,0.0,0.0,1.2923803329467771,0.0,0.0,0.0,0.0,--,--,--,--,--,203.5,0.0,163.9,0.0,240.1318664550781,0.0,0.0,120.0,87.60000000000002,9.998621940612793,0.2255897521972656,7.18494987487793,4.106273651123047,15.528549194335938,4.611492156982422,0.0,89.0,99300.0,0.0,89.0,99300.0,2010.0,3920.0,15.8,0.0,0.0,34.434539794921875,1246.8848266601562,0.0,0.0,0.0,0.0,290.9136505126953,70700.0,12.6,1.0,0.0,244.44,254.52,237.22,254.42
8,0,2018,1,3,-10.0,-999.0,0.0,13900.0,-10.0,-10.0,-10.0,3.681786522269249,21.26450610160828,10.132617950439453,5435.5947265625,244.3983154296875,232.6644287109375,21.33397054672241,11.406417846679688,2961.15966796875,258.40298461914057,229.06228637695312,13.304795265197756,7.724863052368164,1474.293212890625,264.473373413086,239.99978637695312,7.760885238647461,5.776031494140625,264.49530029296875,243.677490234375,5.546276092529297,7.1489715576171875,261.59625244140625,255.17849731445312,-0.19208717346191406,0.8735466003417969,0.0,-0.03483247756958008,-0.023775339126586914,102712.0,217.5301742553711,0.0,0.0,0.0,0.0,0.6917877197265625,5.438203811645508,99300.0,272.5577545166016,254.8290100097656,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,256.2309112548828,256.7757568359375,0.0008100000000000001,253.42596435546875,67.9,0.3016395568847656,1.9046669006347656,2.0649360567331314,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.06,-7.0,0.0,40.0,12.0,30.3,0.0,0.0,1.533984124660492,0.0,0.0,0.0,0.0,--,--,--,--,--,199.8,0.0,166.0,0.0,239.0988922119141,0.0,0.0,134.0,98.7,12.26711654663086,0.007915496826171875,7.466178894042969,4.246868133544922,20.38045215606689,7.42962646484375,0.0,91.0,99300.0,0.0,91.0,99300.0,1950.0,3880.0,15.6,0.0,0.0,38.78748893737793,1161.27978515625,0.0,0.0,0.0,0.0,290.8628387451172,70700.0,15.9,1.0,0.0,240.46,254.3,233.46,254.2
9,0,2018,1,3,-10.0,-999.0,0.0,17000.0,-10.0,-10.0,-10.0,3.088050164282322,19.320096224546432,9.117301940917967,5432.2705078125,244.150390625,239.74978637695312,22.308560371398926,13.262653350830078,2955.8349609375,258.79928588867193,232.68728637695312,13.298803329467773,6.9377708435058585,1469.0286865234375,264.44216918945307,240.24978637695312,8.588470458984375,5.185432434082031,264.4089813232422,244.62478637695312,6.768718719482423,6.108610153198242,261.81207275390625,255.04782104492188,-0.030401229858398438,0.7935409545898438,0.0,0.012412071228027344,-0.02782773971557617,102644.0,212.30745315551758,0.0,0.0,0.0,0.0,1.3034896850585938,4.4889984130859375,99230.0,272.5577545166016,254.0607147216797,0.0,61.7,0.0,0.5625,100.0,0.006999999999999999,256.23736572265625,256.82432556152344,0.0007700000000000001,252.82237243652344,59.0,0.5898551940917969,1.7070121765136719,2.001496337121353,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.05,-10.0,0.0,47.0,12.0,29.20000000000001,0.0,0.0,2.146778583526612,0.0,0.0,0.0,0.0,--,--,--,--,--,195.9,0.0,170.0,0.0,236.29527282714844,0.0,0.0,128.0,92.2,13.713597297668455,-0.09827613830566406,8.012113571166992,3.4773197174072266,21.60201072692871,10.128578186035156,0.0,86.0,99200.0,0.0,86.0,99200.0,1930.0,3940.0,15.3,0.0,0.0,52.02455139160156,1161.1843872070312,0.0,0.0,0.0,0.0,291.31186294555664,70600.0,21.1,1.0,0.0,237.29,253.5,230.92,253.4
