Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,1,14,-10.0,-999.0,0.0,13000.0,-10.0,-10.0,-10.0,3.093556758016348,31.09306526184082,33.630172729492195,5510.4580078125,245.6456298828125,223.43728637695312,21.44434642791748,6.1822662353515625,3012.7568359375,260.4122314453125,252.81228637695312,15.391691207885742,-0.7556629180908203,1526.409423828125,259.82333374023443,258.18728637695307,1.5846624374389648,-6.544727325439452,259.70074462890625,258.0820770263672,1.24462890625,-7.683202743530272,264.4879608154297,259.7096099853516,0.3723278045654297,-0.7573308944702148,0.0,-0.035797119140625,0.005505919456481935,103535.0,284.6469459533692,0.0,0.0,0.0,0.0,1.848539352416992,-4.284418106079103,99240.0,346.7452545166016,261.2875823974609,0.0,78.2,0.0,2.40625,100.0,0.026000000000000002,263.24891662597656,263.7994842529297,0.00137,259.79507446289057,76.2,0.4322452545166016,-0.8991374969482422,1.0015955689596012,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,0.0,0.0,50.0,4.0,26.20000000000001,0.0,0.0,4.091608285903932,76.375,0.0,0.0,76.375,--,--,751.6580581665039,--,1844.5066146850586,213.5,0.0,234.6,0.0,264.2549591064453,0.0,0.0,-7.1000000000000005,-59.90000000000001,12.905242919921875,-8.562301635742188,0.2611656188964844,-6.61497688293457,20.93955993652344,14.272815704345705,0.0,80.0,99200.0,0.0,80.0,99200.0,550.0,4390.0,17.400000000000002,0.0,0.0,761.9437885284424,785.3947143554688,0.0,0.0,0.0,0.0,365.4126892089844,70600.0,42.3,1.0,0.0,242.95,258.1,236.45,257.5
1,0,2018,1,14,-10.0,-999.0,0.0,13900.0,-10.0,-10.0,-10.0,3.7947714291512966,30.57581329345703,33.09119415283203,5516.1455078125,245.5565948486328,223.05528259277344,21.503764152526845,6.0289306640625,3017.97802734375,260.26492309570307,253.12478637695312,15.603086471557615,-0.3929252624511719,1533.4466552734375,259.38522338867193,248.18728637695312,1.322307586669922,-7.475522994995117,259.94004821777344,256.73336791992193,0.6843509674072266,-9.071403503417967,264.17498779296875,259.0654144287109,0.561131477355957,-0.8101530075073242,0.0,-0.002087593078613281,0.0003809928894042969,103622.0,291.5940208435058,0.0,0.0,0.0,0.0,2.1821002960205083,-4.849153518676758,99320.0,346.7452545166016,260.87554931640625,0.0,78.2,0.0,2.40625,100.0,0.026000000000000002,262.83984375,263.372573852539,0.0013000000000000002,259.1780242919922,74.5,0.7015209197998047,-1.0489234924316406,1.2515839736443013,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.04,0.0,0.0,45.0,4.0,26.70000000000001,0.0,0.0,3.734204411506653,37.375,0.0,0.0,37.375,--,--,--,--,--,211.6,0.0,184.8,0.0,262.6012725830078,0.0,0.0,12.6,-73.10000000000002,12.995155334472654,-8.946548461914062,-0.3834238052368164,-7.992002487182617,21.34877014160156,15.428390502929688,0.0,78.0,99300.0,0.0,78.0,99300.0,580.0,4400.0,18.2,0.0,0.0,434.2199935913086,845.4219360351562,0.0,0.0,0.0,0.0,365.8491668701172,70700.0,38.0,1.0,0.0,243.0,256.90000000000003,236.46,256.90000000000003
2,0,2018,1,14,-10.0,-999.0,0.0,16100.0,-10.0,-10.0,-10.0,4.222826547920704,29.48653221130371,30.995323181152344,5515.2451171875,244.88861083984366,223.99978637695312,21.488924503326416,4.142265319824219,3019.474609375,260.26504516601557,252.99978637695312,14.291648864746096,-1.5690574645996094,1535.5096435546875,259.14932250976557,246.43728637695312,1.5453720092773438,-6.894439697265625,260.2296142578125,254.63380432128903,-0.2407665252685547,-8.126321792602539,264.2230987548828,257.42831420898443,0.1295795440673828,-0.8579988479614258,0.0,-0.004307270050048828,0.014473915100097656,103647.0,293.45449066162115,0.0,0.0,0.0,0.0,-0.18526840209960926,-5.293296813964844,99340.0,346.7452545166016,259.253173828125,0.0,78.2,0.0,2.40625,100.0,0.026000000000000002,260.6244354248047,261.1257781982422,0.0011500000000000002,257.61895751953125,67.4,0.3014869689941406,-1.5451889038085938,1.5041169160977006,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-6.0,0.0,52.0,4.0,26.6,0.0,0.0,3.216120183467865,9.75,0.0,0.0,9.75,--,--,--,--,--,209.0,0.0,182.6,0.0,256.2366180419922,0.0,0.0,26.70000000000001,-71.0,11.691507339477539,-9.603683471679688,0.2821083068847656,-6.986774444580077,23.625362396240234,14.401817321777346,0.0,84.0,99300.0,0.0,84.0,99300.0,610.0,4370.0,17.900000000000006,0.0,0.0,458.84058380126953,1080.3619384765623,0.0,0.0,0.0,0.0,365.38901138305664,70700.0,34.0,1.0,0.0,242.69,255.4,236.03,255.4
3,0,2018,1,14,-10.0,-999.0,0.0,16700.0,-10.0,-10.0,-10.0,2.892142640426755,28.22848224639893,29.62322998046875,5520.96875,244.69900512695312,227.49978637695312,21.892693042755127,4.781791687011719,3023.903564453125,260.80389404296875,248.2462921142578,12.766008377075195,-2.783649444580078,1537.2698974609375,259.801010131836,239.9355926513672,2.316178321838379,-6.498405456542969,260.1168212890625,253.3511047363281,-0.9041538238525392,-7.263019561767577,263.90826416015625,257.30123901367193,-0.14893054962158206,-0.6041898727416992,0.0,0.010927200317382812,0.0038809776306152335,103660.0,295.1341552734375,0.0,0.0,0.0,0.0,-2.218097686767578,-4.3533477783203125,99360.0,346.7452545166016,258.62461853027344,0.0,78.10000000000002,0.0,2.40625,100.0,0.026000000000000002,260.1671905517578,260.606201171875,0.00109,256.99072265625,65.0,-0.702972412109375,-1.4331817626953125,1.4407470603473485,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-7.0,0.0,50.0,4.0,26.6,0.0,0.0,2.500828325748444,3.0,0.0,0.0,3.0,--,--,--,--,--,207.8,0.0,177.8,0.0,253.59132385253903,0.0,0.0,-1.5,-70.2,10.86365032196045,-9.383785247802734,2.2983341217041016,-5.84882926940918,24.746262550354004,14.36257553100586,0.0,84.0,99300.0,0.0,84.0,99300.0,600.0,4390.0,17.400000000000002,0.0,0.0,421.52837562561035,1047.9884033203123,0.0,0.0,0.0,0.0,365.68769454956055,70700.0,25.70000000000001,1.0,0.0,242.61,254.7,235.86,254.7
4,0,2018,1,14,-10.0,-999.0,0.0,14500.0,-10.0,-10.0,-10.0,1.5989689230918884,28.74741554260254,27.44005584716797,5518.849609375,244.1577453613281,228.8760528564453,22.103857040405273,5.865875244140625,3025.8603515625,260.6904296875,241.49978637695312,10.449789047241213,-3.32293701171875,1539.7694091796875,260.0668792724609,240.0389862060547,2.28498649597168,-6.754058837890625,259.76016235351557,253.56228637695312,-1.5613365173339844,-6.544055938720702,263.85040283203125,258.362319946289,-0.06923580169677734,0.028278350830078125,0.0,-0.00969552993774414,0.02229547500610352,103695.0,297.9103698730469,0.0,0.0,0.0,0.0,-2.418233871459961,-3.3293819427490234,99400.0,346.7452545166016,258.27609252929693,0.0,78.10000000000002,0.0,2.40625,100.0,0.026000000000000002,262.1101226806641,262.5317230224609,0.0011,257.10357666015625,66.8,-0.7815341949462891,-0.3612995147705078,0.814880111720413,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,-4.0,0.0,53.0,4.0,26.20000000000001,0.0,0.0,2.1301751136779785,0.25,0.0,0.0,0.25,--,--,--,--,--,206.7,0.0,174.70000000000005,0.0,252.36614990234366,0.0,0.0,-32.7,-83.0,10.050850868225098,-9.012454986572266,2.3782920837402344,-6.697162628173827,25.052024841308594,13.382736206054688,0.0,71.0,99400.0,0.0,71.0,99400.0,580.0,4340.0,17.1,0.0,0.0,414.9201889038086,910.5816345214844,0.0,0.0,0.0,0.0,365.5188446044922,70800.0,22.0,1.0,0.0,242.04,254.4,235.33,254.4
5,0,2018,1,14,-10.0,-999.0,0.0,14000.0,-10.0,-10.0,-10.0,2.0848009102046494,27.65495109558105,24.57086181640625,5522.4111328125,244.0776824951172,230.07525634765625,22.17423439025879,7.339515686035156,3028.366943359375,260.8362579345703,237.1632843017578,8.576052188873291,-3.0404205322265625,1540.808349609375,260.73028564453125,240.06228637695312,1.1971092224121094,-6.796806335449219,259.68002319335943,254.17413330078125,-1.90264892578125,-6.009407997131348,263.29510498046875,257.9579315185547,-0.43087196350097656,-0.8662376403808594,0.0,-0.002080917358398437,-0.03685665130615234,103697.0,298.23858642578125,0.0,0.0,0.0,0.0,-2.4345417022705083,-3.655960083007813,99400.0,346.7452545166016,257.57736206054693,0.0,78.10000000000002,0.0,2.40625,100.0,0.026000000000000002,261.1405639648437,261.620361328125,0.00103,256.390365600586,67.8,-0.601348876953125,-1.0153656005859375,1.313025499577634,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.04,-5.0,0.0,54.0,4.0,27.0,0.0,0.0,1.967979371547699,5.25,0.0,0.0,5.25,--,--,--,--,--,205.0,0.0,172.10000000000005,0.0,249.61920166015625,0.0,0.0,-22.5,-75.3,9.521220207214355,-8.488056182861326,1.3073234558105469,-6.1516380310058585,25.136333465576172,13.758522033691404,0.0,72.0,99400.0,0.0,72.0,99400.0,530.0,4370.0,16.900000000000002,0.0,0.0,399.3028030395508,874.5037536621094,0.0,0.0,0.0,0.0,365.4781036376953,70800.0,19.8,1.0,0.0,241.68,253.7,234.98,253.7
6,0,2018,1,14,-10.0,-999.0,0.0,12500.0,-10.0,-10.0,-10.0,1.3113247342407703,27.78994369506836,20.041336059570312,5522.43359375,243.8471221923828,230.6642608642578,22.171588897705078,7.396812438964844,3029.26220703125,260.8122100830078,235.37478637695312,7.937226295471191,-2.376056671142578,1540.477294921875,261.2265167236328,239.24978637695312,0.6994285583496094,-6.3466033935546875,259.33517456054693,253.9277191162109,-2.032901763916016,-6.076091766357423,262.0931396484375,257.70494079589844,0.3580522537231445,-0.2763996124267578,0.0,-0.04250812530517578,-0.02715039253234864,103702.0,298.6878585815429,0.0,0.0,0.0,0.0,-2.019750595092773,-3.0627269744873047,99420.0,346.7452545166016,256.4011993408203,0.0,78.10000000000002,0.0,2.40625,100.0,0.026000000000000002,259.697265625,260.14833068847656,0.0009400000000000001,255.28587341308602,69.60000000000001,0.009172439575195312,-0.17313385009765625,0.12808236596174538,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.01,-1.0,0.0,55.0,4.0,28.1,0.0,0.0,1.8358858823776243,7.875,0.0,0.0,7.875,--,--,--,--,--,203.1,0.0,169.0,0.0,245.1293182373047,0.0,0.0,-23.70000000000001,-81.60000000000002,9.200362205505373,-8.24652099609375,0.18010330200195312,-6.562896728515625,25.72099494934082,12.791893005371096,0.0,76.0,99400.0,0.0,76.0,99400.0,0.0,4360.0,16.5,0.0,0.0,43.183937072753906,733.6654052734375,0.0,0.0,0.0,0.0,365.4111022949219,70800.0,18.7,1.0,0.0,241.71,252.6,234.99,252.7
7,0,2018,1,14,-10.0,-999.0,0.0,11900.0,-10.0,-10.0,-10.0,2.29802206158638,28.474263191223145,18.647476196289066,5516.3212890625,243.7632141113281,229.8568572998047,23.10942268371582,5.534103393554688,3025.20947265625,260.4864959716797,235.06228637695312,7.808244228363037,-1.7576637268066406,1538.514892578125,260.81204223632807,243.99978637695312,0.3019027709960937,-5.831853866577148,259.02688598632807,254.0652313232422,-3.0612268447875977,-5.986166000366211,262.0667724609375,258.10873413085943,0.13782119750976562,-0.6192569732666016,0.0,-0.004127979278564453,-0.010273933410644531,103700.0,297.91772079467773,0.0,0.0,0.0,0.0,-2.753726959228516,-3.916057586669922,99400.0,346.7452545166016,256.23416137695307,0.0,78.10000000000002,0.0,2.40625,100.0,0.026000000000000002,259.81776428222656,260.2838287353516,0.00095,255.3887481689453,69.60000000000001,-0.2442941665649414,-0.8621253967285156,0.8162462431937456,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,-4.0,-1.0,52.0,4.0,27.8,0.0,0.0,1.8683446645736688,12.75,0.0,0.0,12.75,--,--,--,--,--,203.4,0.0,169.9,0.0,244.50747680664062,0.0,0.0,-0.2,-68.0,8.462103843688965,-8.851953506469727,-0.17517471313476562,-5.4539642333984375,27.54147720336914,11.500572204589846,0.0,75.0,99400.0,0.0,75.0,99400.0,0.0,4340.0,16.8,0.0,0.0,321.8200168609618,678.4053039550781,0.0,0.0,0.0,0.0,365.3795738220215,70800.0,20.1,1.0,0.0,242.26,252.5,235.53,252.5
8,0,2018,1,14,-10.0,-999.0,0.0,11900.0,-10.0,-10.0,-10.0,3.048156201839447,26.41848945617676,15.54338836669922,5516.466796875,243.7035217285156,227.47238159179688,22.87460517883301,3.3256988525390625,3026.4404296875,260.69332885742193,235.39601135253903,7.756606578826902,-0.8551025390625,1539.03759765625,260.95545959472656,244.14791870117188,-0.05931282043457031,-5.089685440063477,259.1703643798828,253.3511505126953,-2.8547687530517583,-5.923561096191406,261.6272125244141,257.8967742919922,0.05877876281738281,-0.6813087463378906,0.0,-0.044585227966308594,-0.02806377410888672,103705.0,298.5586395263672,0.0,0.0,0.0,0.0,-2.8006839752197266,-4.497045516967773,99410.0,346.7452545166016,256.82125854492193,0.0,78.10000000000002,0.0,2.4375,100.0,0.026000000000000002,259.34674072265625,259.7846527099609,0.00097,255.60073852539062,73.5,-0.38210487365722656,-0.969013214111328,1.0631753782508897,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,-3.0,0.0,41.0,4.0,28.3,0.0,0.0,1.846908152103424,1.875,0.0,0.0,1.875,--,--,--,--,--,205.1,0.0,169.0,0.0,246.6571044921875,0.0,0.0,31.0,-50.3,7.536149978637695,-9.480993270874023,-0.5521430969238281,-4.783409118652344,27.52234649658203,7.721233367919923,0.0,80.0,99400.0,0.0,80.0,99400.0,0.0,4300.0,16.6,0.0,0.0,43.003902435302734,668.1441192626952,0.0,0.0,0.0,0.0,365.3500518798828,70800.0,19.4,1.0,0.0,243.32,253.0,236.62,253.1
9,0,2018,1,14,-10.0,-999.0,0.0,11800.0,-10.0,-10.0,-10.0,3.282308533787728,25.80489635467529,13.87895965576172,5516.7001953125,244.2006683349609,219.78384399414062,23.24240016937256,-0.004058837890625,3026.95849609375,260.76223754882807,234.6345672607422,8.405312061309813,0.35831451416015625,1538.611572265625,261.37979125976557,243.81228637695312,-0.3723793029785156,-4.355417251586913,259.1169586181641,253.47398376464844,-3.54323959350586,-6.390810012817383,261.31402587890625,257.8388671875,-0.2516021728515625,-0.9218635559082032,0.0,-0.010690689086914062,-0.020694494247436523,103695.0,297.9338970184326,0.0,0.0,0.0,0.0,-3.2354564666748047,-4.565090179443359,99400.0,346.7452545166016,256.3669891357422,0.0,78.10000000000002,0.0,2.4375,100.0,0.026000000000000002,257.51882934570307,257.94390869140625,0.0009400000000000001,255.27145385742188,73.10000000000002,-0.7762413024902344,-1.376408576965332,1.3774749061558396,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-5.0,-1.0,42.0,4.0,29.0,0.0,0.0,1.7937379479408264,0.0,0.0,0.0,0.0,--,--,--,--,--,204.9,0.0,168.60000000000005,0.0,245.03402709960938,0.0,0.0,64.0,-38.0,6.0230674743652335,-10.262439727783203,-0.7878570556640625,-3.883636474609375,29.32375526428223,2.0876617431640625,0.0,93.0,99400.0,0.0,93.0,99400.0,0.0,4270.0,16.900000000000002,0.0,0.0,47.62354278564453,629.0146484375,0.0,0.0,0.0,0.0,365.33095932006836,70800.0,19.1,1.0,0.0,244.15,252.6,237.36,252.7
