Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,1,30,-10.0,-999.0,0.0,44400.0,-10.0,-10.0,-10.0,6.087506020441651,51.30380058288574,23.37273406982422,5684.6669921875,254.652587890625,228.37478637695312,27.340569496154785,1.7533493041992188,3082.822265625,272.97918701171875,242.8066253662109,17.835567474365234,-6.5701637268066415,1528.577880859375,275.76483154296875,263.74978637695307,5.797721862792969,-12.31559944152832,282.40277099609375,264.8829803466797,5.6663875579833975,-12.156667709350586,288.4688415527344,265.6270294189453,3.9272327423095694,-8.189620971679688,0.0,-0.0304868221282959,-0.017418861389160156,102199.0,186.13214111328125,0.0,0.0,0.0,0.0,3.0731735229492188,-6.91779899597168,101000.0,100.96400451660156,284.69366455078125,0.0,39.6,0.0,0.0,0.0,0.0,285.8401641845703,285.0439147949219,0.0036000000000000008,272.52737426757807,35.9,0.9613399505615234,-1.6850624084472656,1.8785669754724952,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.05,-5.0,7.0,60.0,8.0,14.2,0.0,0.0,6.183726668357849,0.0,0.0,0.0,0.0,--,--,--,--,--,263.6,0.0,266.7,0.0,372.4096984863281,0.0,0.0,-49.0,-69.0,13.733405113220215,-14.917732238769533,4.779497146606445,-10.428792953491213,24.07672882080078,10.082603454589844,1908.48,36.0,81200.0,3040.0,8.0,70400.0,4540.0,5890.0,13.0,0.0,0.0,1507.936544418335,2918.6107788085938,0.0,0.0,0.0,0.0,121.5185661315918,71900.0,20.1,1.0,0.0,250.92,281.40000000000003,244.09,281.0
1,0,2018,1,30,-10.0,-999.0,0.0,36900.0,-10.0,-10.0,-10.0,5.1590772829949865,50.40548896789551,19.44247817993164,5688.8818359375,254.97679138183602,224.93728637695312,26.30463981628418,-1.665435791015625,3086.072998046875,272.8892364501953,241.35562133789062,16.917024612426758,-8.285470962524414,1532.62109375,275.26107788085943,263.3412628173828,3.767513275146485,-13.261730194091795,281.7233581542969,264.87704467773443,5.212314605712892,-12.42633056640625,287.18003845214844,266.6327362060547,5.409432411193848,-7.226631164550781,0.0,-0.017293453216552734,-0.004082679748535156,102293.0,194.09681367874146,0.0,0.0,0.0,0.0,4.6934471130371085,-5.463884353637695,101100.0,100.96400451660156,283.0514068603516,0.0,50.40000000000001,0.0,0.0,0.0,0.0,285.3429107666016,284.4547119140625,0.0038,273.26324462890625,43.6,1.3973712921142578,-0.5419273376464844,1.5015887258341536,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.04,-3.0,5.0,65.0,8.0,15.5,0.0,0.0,5.894105136394501,0.0,0.0,0.0,0.0,--,--,--,--,--,262.5,0.0,261.2,0.0,363.85260009765625,0.0,0.0,-21.0,-42.0,12.405033111572266,-15.848648071289062,2.9334068298339844,-12.166145324707033,21.682302474975586,5.210243225097656,1870.64,33.0,81600.0,3010.0,7.0,70700.0,4570.0,5940.0,13.7,0.0,0.0,430.04926490783686,2625.915222167969,0.0,0.0,0.0,0.0,121.49064254760742,71900.0,19.4,1.0,0.0,252.35,279.87,245.51,279.59000000000003
2,0,2018,1,30,-10.0,-999.0,0.0,32700.0,-10.0,-10.0,-10.0,6.2660531383007765,50.77985191345215,16.434131622314453,5691.6201171875,255.97457885742188,222.74978637695312,23.551613807678226,-5.194110870361328,3087.986572265625,272.26559448242193,245.56228637695312,17.352153778076172,-8.973335266113281,1537.590087890625,274.82821655273443,262.4377899169922,3.4360675811767583,-12.767841339111328,281.44705200195307,265.32882690429693,5.9383087158203125,-11.978780746459961,286.31451416015625,266.22007751464844,7.467889785766602,-7.098461151123048,0.0,0.008292436599731445,0.022237420082092285,102383.0,201.5540237426757,0.0,0.0,0.0,0.0,6.673894882202148,-5.372249603271484,101190.0,100.96400451660156,281.8384246826172,0.0,56.7,0.0,0.0,0.0,0.0,282.7318420410156,281.8022766113281,0.003820000000000001,273.339096069336,47.90000000000001,2.0058670043945312,-0.592193603515625,2.1259846336906776,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.06,-4.0,6.0,74.0,8.0,17.3,0.0,0.0,6.166385650634768,0.0,0.0,0.0,0.0,--,--,--,--,--,260.7,0.0,259.0,0.0,357.64967346191406,0.0,0.0,34.0,3.0,11.42238998413086,-16.160568237304688,3.0153770446777344,-11.752487182617188,17.077659606933597,1.1462364196777344,1766.8,36.0,82700.0,1770.0,36.0,82600.0,4600.0,6090.0,14.8,0.0,0.0,143.49170875549316,2515.6538696289067,0.0,0.0,0.0,0.0,121.47795104980469,72000.0,20.8,1.0,0.0,252.72,278.71,246.2,278.47
3,0,2018,1,30,-10.0,-999.0,0.0,28600.0,-10.0,-10.0,-10.0,6.11533497646451,49.87922096252442,13.243553161621096,5697.24951171875,256.45211791992193,222.56228637695312,20.47888946533203,-9.132801055908203,3089.44677734375,271.91162109375,246.06228637695312,16.98190689086914,-10.936315536499023,1541.8050537109375,274.70999145507807,261.6678009033203,5.354808807373047,-13.322526931762695,281.33200073242193,264.7184600830078,5.754138946533202,-12.780624389648438,286.1781921386719,266.1426544189453,6.602085113525393,-7.759059906005857,0.0,-0.02379608154296875,-0.011820673942565918,102444.0,206.1952972412109,0.0,0.0,0.0,0.0,6.100048065185548,-5.854127883911133,101240.0,100.96400451660156,280.9209442138672,0.0,59.40000000000001,0.0,0.0,0.0,0.0,281.6626892089844,280.71939086914057,0.00386,273.53567504882807,52.6,1.6800003051757812,-0.6593265533447266,1.9385407223599032,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.05,-3.0,0.0,69.0,8.0,18.5,0.0,0.0,5.867550790309906,0.0,0.0,0.0,0.0,--,--,--,--,--,259.2,0.0,256.0,0.0,353.00738525390625,0.0,0.0,44.0,15.0,8.991703033447266,-17.20775032043457,3.932445526123047,-12.38711929321289,15.045734405517578,-2.6772689819335938,1725.92,36.0,83200.0,1730.0,36.0,83100.0,4730.0,6110.0,15.7,0.0,0.0,398.3177547454834,2474.407684326172,0.0,0.0,0.0,0.0,121.34259796142578,72000.0,19.9,1.0,0.0,252.67,277.88,245.82,277.67
4,0,2018,1,30,-10.0,-999.0,0.0,25700.0,-10.0,-10.0,-10.0,5.538643166422844,49.52000617980957,13.350631713867188,5703.6005859375,256.935775756836,225.49978637695312,20.555100440979004,-11.91350555419922,3090.8720703125,271.8240203857422,247.56228637695312,17.082223892211914,-11.40228271484375,1542.827880859375,274.5123291015625,262.37478637695307,6.201061248779298,-12.154693603515625,281.1849975585937,264.55137634277344,6.761817932128906,-11.974113464355467,285.3665313720703,265.9645233154297,6.422701835632324,-7.8724327087402335,0.0,-0.022684574127197262,0.003737211227416992,102474.0,208.54912948608398,0.0,0.0,0.0,0.0,5.7102012634277335,-5.51127815246582,101270.0,100.96400451660156,279.9682464599609,0.0,61.3,0.0,0.0,0.0,0.0,280.69029235839844,279.65866088867193,0.003820000000000001,273.342529296875,56.2,1.6702804565429688,-0.3749332427978516,1.878749287454412,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.05,-3.0,0.0,65.0,8.0,19.8,0.0,0.0,5.986512243747711,0.0,0.0,0.0,0.0,--,--,--,--,--,257.0,0.0,253.8,0.0,348.35032653808594,0.0,0.0,73.0,31.0,7.946632385253906,-16.638856887817386,4.9213409423828125,-11.724933624267578,15.257564544677734,-6.011314392089844,1700.64,39.0,83400.0,1700.0,39.0,83300.0,4840.0,6170.0,16.3,0.0,0.0,82.45973014831544,2362.859771728516,0.0,0.0,0.0,0.0,121.16732406616212,72100.0,20.3,1.0,0.0,252.17,277.02,245.33,276.84000000000003
5,0,2018,1,30,-10.0,-999.0,0.0,25100.0,-10.0,-10.0,-10.0,6.785337422043085,49.46371841430664,8.791183471679688,5704.6201171875,257.177978515625,225.99978637695312,21.840106964111328,-14.522686004638672,3087.760498046875,271.69186401367193,248.24978637695312,17.424787521362305,-11.831375122070312,1539.801025390625,274.2406005859375,261.62478637695307,5.5184326171875,-10.209720611572266,280.51803588867193,265.38633728027344,6.1326866149902335,-11.236392974853516,283.2713623046875,267.3009033203125,7.527503967285156,-8.981964111328125,0.0,0.012108802795410156,0.026571154594421387,102496.0,210.44711303710938,0.0,0.0,0.0,0.0,6.538074493408202,-6.5113182067871085,101290.0,100.96400451660156,279.38104248046875,0.0,62.3,0.0,0.0,0.0,0.0,280.24256896972656,279.23696899414057,0.00368,272.8419189453125,56.0,1.8776302337646484,-1.054119110107422,2.3147480837069447,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.08,-6.0,7.0,67.0,8.0,20.6,0.0,0.0,6.054352641105652,0.0,0.0,0.0,0.0,--,--,--,--,--,256.5,0.0,251.8,0.0,345.4497528076172,0.0,0.0,119.0,41.0,7.839483261108397,-16.868110656738278,4.0048789978027335,-10.041099548339844,15.779190063476562,-7.352321624755857,1698.4,33.0,83400.0,1700.0,33.0,83300.0,4930.0,6160.0,16.8,0.0,0.0,156.0628604888916,2000.6541595458984,0.0,0.0,0.0,0.0,121.07777404785156,72100.0,21.200000000000006,1.0,0.0,252.54,276.46,245.71,276.31
6,0,2018,1,30,-10.0,-999.0,0.0,23800.0,-10.0,-10.0,-10.0,7.740083444863558,46.59540939331055,4.921470642089844,5705.62890625,257.0017852783203,228.18728637695312,22.352477073669434,-16.599189758300778,3087.569580078125,272.0165557861328,248.93728637695312,17.71889877319336,-12.617507934570312,1537.164306640625,274.37612915039057,257.81228637695307,6.946390151977539,-8.005344390869139,279.90557861328125,265.98046875,6.148603439331055,-9.307723999023438,282.09136962890625,269.97108459472656,7.083861351013184,-10.450563430786133,0.0,0.013228416442871094,-0.020366907119750977,102512.0,211.8476104736328,0.0,0.0,0.0,0.0,5.793357849121094,-7.2036590576171875,101310.0,100.96400451660156,279.1002197265625,0.0,62.6,0.0,0.0,0.0,0.0,280.35845947265625,279.3258209228516,0.0036299999999999995,272.670150756836,55.7,2.138437271118164,-2.2625293731689453,3.1283539393916726,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.2,-26.0,24.0,66.0,8.0,20.200000000000006,0.0,0.0,6.2291131019592285,0.0,0.0,0.0,0.0,--,--,--,--,--,255.1,0.0,250.9,0.0,343.9410400390625,0.0,0.0,132.0,36.2,7.933591842651367,-17.091602325439453,4.145719528198241,-6.589881896972656,16.717227935791016,-8.112823486328125,1823.76,20.0,82100.0,1820.0,20.0,82000.0,4950.0,6150.0,16.900000000000002,0.0,0.0,171.89476013183594,1581.0350799560547,0.0,0.0,0.0,0.0,121.05324172973631,72100.0,22.0,1.0,0.0,251.52,276.21,244.53,276.08
7,0,2018,1,30,-10.0,-999.0,0.0,20900.0,-10.0,-10.0,-10.0,7.308453470468521,45.90460014343262,6.343017578125,5710.013671875,256.7782440185547,230.93728637695312,22.996715545654297,-17.98279571533203,3088.390625,272.859619140625,248.81228637695312,18.485984802246094,-13.685905456542967,1533.326171875,274.31369018554693,257.68728637695307,8.160943984985353,-6.7653350830078125,279.3890838623047,267.13067626953125,6.331203460693359,-8.147796630859375,281.08944702148443,271.18145751953125,5.602953910827637,-10.359771728515623,0.0,-0.007101535797119141,0.020780086517333984,102518.0,212.67495727539062,0.0,0.0,0.0,0.0,4.9252357482910165,-7.200777053833008,101320.0,100.96400451660156,278.6825561523437,0.0,63.0,0.0,0.0,0.0,0.0,279.78038024902344,278.7331085205078,0.0038,273.2684936523437,60.8,1.9596023559570312,-2.0219497680664062,2.6921849525533617,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.18,-20.0,17.0,64.0,8.0,20.1,0.0,0.0,6.469690918922424,0.0,0.0,0.0,0.0,--,--,--,--,--,254.4,0.0,249.8,0.0,342.0702362060547,0.0,0.0,136.0,42.0,7.93943977355957,-17.303169250488278,5.6473236083984375,-4.893381118774414,18.358013153076172,-9.084674835205078,2966.32,15.0,71200.0,2970.0,15.0,71100.0,4960.0,6160.0,16.6,0.0,0.0,238.72555541992188,1332.4722900390625,0.0,0.0,0.0,0.0,120.9651985168457,72100.0,22.8,1.0,0.0,251.34,275.86,244.23,275.74
8,0,2018,1,30,-10.0,-999.0,0.0,18600.0,-10.0,-10.0,-10.0,7.692750506103039,45.45258712768555,4.269153594970703,5713.24609375,257.1985015869141,229.93728637695312,24.592571258544922,-19.244781494140625,3088.2197265625,273.31040954589844,247.56228637695312,18.66848564147949,-13.593557357788086,1531.355224609375,274.36868286132807,257.18728637695307,8.9249267578125,-5.921836853027344,278.15074157714844,268.24978637695307,6.515697479248048,-9.223918914794922,280.02572631835943,272.0289459228516,5.280774116516113,-10.322032928466797,0.0,-0.01188039779663086,0.016455650329589844,102553.0,216.09002685546875,0.0,0.0,0.0,0.0,4.634431838989258,-7.699342727661133,101350.0,100.96400451660156,278.3325042724609,0.0,63.5,0.0,0.0,0.0,0.0,279.43736267089844,278.3715667724609,0.0039,273.66734313964844,64.5,2.0407285690307617,-2.71719741821289,3.25266009522602,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.24,-30.0,21.0,67.0,8.0,20.6,0.0,0.0,6.533782541751863,0.0,0.0,0.0,0.0,--,--,--,--,--,254.5,0.0,248.4,0.0,340.2873077392578,0.0,0.0,123.0,39.0,8.17739200592041,-17.865001678466797,6.7659454345703125,-3.3571949005126966,20.29541778564453,-9.804134368896484,3129.92,12.0,69700.0,3130.0,12.0,69600.0,4980.0,6230.0,17.2,0.0,0.0,330.2030029296875,1119.7911834716797,0.0,0.0,0.0,0.0,120.91511535644531,72100.0,23.1,1.0,0.0,252.2,275.5,245.1,275.38
9,0,2018,1,30,-10.0,-999.0,0.0,16400.0,-10.0,-10.0,-10.0,7.971358750015497,45.42411994934082,4.179599761962892,5720.544921875,258.1026763916016,228.56228637695312,24.26261806488037,-18.94009017944336,3091.5478515625,273.74832153320307,245.87478637695312,17.85872745513916,-13.626888275146484,1530.009765625,275.24563598632807,251.62478637695312,7.6773529052734375,-7.109745025634768,276.879150390625,267.3412322998047,5.347085952758789,-10.428653717041016,278.59365844726557,272.2220916748047,4.586306571960449,-10.643962860107422,0.0,-0.0016942024230957033,-0.016738176345825195,102591.0,219.8775863647461,0.0,0.0,0.0,0.0,4.0483131408691415,-8.386974334716799,101390.0,100.96400451660156,277.7919311523437,0.0,64.0,0.0,0.0,0.0,0.0,278.7328338623047,277.65481567382807,0.003920000000000001,273.73863220214844,68.8,1.959085464477539,-3.4135055541992188,3.752197747118773,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.3,-30.0,23.0,71.0,8.0,22.0,0.0,0.0,5.991161227226257,0.0,0.0,0.0,0.0,--,--,--,--,--,254.6,0.0,243.8,0.0,337.53961181640625,0.0,0.0,101.0,34.0,7.622291564941406,-18.658493041992188,6.1065006256103525,-2.9455699920654297,20.834163665771484,-8.92020034790039,3278.48,10.0,68500.0,3280.0,10.0,68400.0,5060.0,6360.0,19.4,0.0,0.0,386.29622268676763,926.0757446289062,0.0,0.0,0.0,0.0,120.87894821166992,72100.0,20.9,1.0,0.0,253.33,274.95,246.2,274.83
