Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,2,10,-10.0,-999.0,0.0,32800.0,-10.0,-10.0,-10.0,2.832185186445713,40.91230583190918,15.292152404785154,5654.32763671875,253.93316650390625,251.43728637695312,26.28790283203125,10.421981811523438,3068.451171875,269.48269653320307,266.81228637695307,18.377124786376953,10.832284927368164,1512.843017578125,277.4928436279297,260.74978637695307,7.441963195800781,11.381654739379885,283.62635803222656,265.99978637695307,6.122982025146484,10.252449035644533,288.1435241699219,268.429916381836,0.8435745239257812,1.3274383544921875,0.0,0.010422229766845705,-0.004308938980102539,101960.0,163.9150619506836,0.0,0.0,0.0,0.0,3.169689178466797,4.264940261840819,99240.0,228.3702545166016,281.8264617919922,0.0,52.1,0.0,0.0,0.0,0.0,284.8025817871094,285.43238830566406,0.00427,274.6431121826172,49.90000000000001,0.8013172149658203,1.0405998229980469,1.3156144476961344,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.04,0.0,5.0,-10.0,12.0,13.1,0.0,0.0,12.365845501422882,0.0,34.5,9.25,34.5,--,--,--,--,--,235.9,0.0,272.0,0.0,357.6086120605469,0.0,0.0,283.0,121.3,13.57862949371338,0.953521728515625,6.0521888732910165,9.31950569152832,25.09760284423828,6.5088844299316415,2337.28,76.0,76800.0,2340.0,76.0,76700.0,4310.0,5780.0,11.3,0.0,0.0,393.4289321899414,2769.61865234375,0.0,0.0,0.0,0.0,248.93811798095703,70600.0,43.6,1.0,0.0,235.0,279.90000000000003,227.83,278.90000000000003
1,0,2018,2,10,-10.0,-999.0,0.0,28600.0,-10.0,-10.0,-10.0,2.2183326929807663,40.73656272888184,15.875782012939453,5655.05322265625,254.42515563964844,251.87478637695312,27.046770095825195,11.636466979980467,3070.06298828125,269.19175720214844,267.99978637695307,16.331653594970707,11.172117233276367,1515.9366455078125,277.41604614257807,262.81228637695307,7.2915496826171875,11.20297622680664,284.0150604248047,268.24978637695307,6.292783737182617,9.362071990966797,287.3072967529297,270.68319702148443,0.6291160583496094,0.6992111206054688,0.0,0.005594730377197266,0.028585791587829583,101987.0,165.94141769409183,0.0,0.0,0.0,0.0,3.3456382751464844,2.9145469665527344,99260.0,228.3702545166016,281.7702331542969,0.0,53.40000000000001,0.0,0.0,0.0,0.0,283.88221740722656,284.4792175292969,0.00446,275.25625610351557,55.2,1.0067119598388672,-0.0905313491821289,0.8132301107980311,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.03,-2.0,3.0,-12.0,12.0,13.7,0.0,0.0,13.772538900375366,99.5,0.5,0.0,99.5,74600.0,2569.9662132263184,2195.561408996582,70600.0,3499.941474914551,221.3,0.0,348.3,0.0,357.36724853515625,0.0,0.0,244.0,114.0,13.43085479736328,0.9469852447509766,5.891674041748048,10.273811340332033,25.82248878479004,8.361232757568361,2234.88,92.0,77800.0,2230.0,92.0,77700.0,4290.0,5880.0,10.4,0.0,0.0,391.9902801513672,2400.267822265625,0.0,0.0,20.0,0.0,3241.449584960937,70600.0,48.6,1.0,0.0,235.41,268.44,228.33,267.51
2,0,2018,2,10,-10.0,-999.0,0.0,22300.0,-10.0,-10.0,-10.0,4.534525606781244,40.180987358093255,16.953624725341793,5655.517578125,254.3583068847656,250.37478637695312,28.87090301513672,13.417922973632812,3069.470947265625,269.895263671875,268.74978637695307,16.781978607177734,9.065145492553713,1514.03955078125,277.5545654296875,263.4436798095703,9.393699645996094,11.729425430297852,283.6677551269531,271.31228637695307,6.459516525268555,11.557266235351562,286.8926239013672,271.2812957763672,0.04088783264160156,1.5587406158447266,0.0,0.007807254791259766,0.004731893539428711,101971.0,165.01796913146973,0.0,0.0,0.0,0.0,2.1877155303955083,6.948179244995117,99250.0,228.3702545166016,281.41433715820307,0.0,54.40000000000001,0.0,0.0,0.0,0.0,282.82684326171875,283.46954345703125,0.0048,276.2384490966797,63.7,-0.20319366455078125,1.2451324462890625,1.377196430694312,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.04,-2.0,3.0,-6.0,12.0,13.4,0.0,0.0,14.694855988025664,100.0,0.5,0.0,100.0,74500.0,2571.661787033081,2196.589252471924,70600.0,3502.1379623413086,222.6,0.0,346.5,0.0,355.6258087158203,0.0,0.0,259.0,161.4,13.033458709716795,2.32938003540039,8.428091049194336,10.294153213500977,28.398151397705078,6.283832550048827,2281.92,100.0,77400.0,2280.0,100.0,77300.0,4300.0,5870.0,9.2,0.0,0.0,391.2502899169922,2148.32421875,0.0,0.0,40.0,0.0,3242.961196899414,70600.0,52.3,1.0,0.0,235.18,269.22,227.71,268.3
3,0,2018,2,10,-10.0,-999.0,0.0,21800.0,-10.0,-10.0,-10.0,4.677360936999322,40.47571468353272,18.053791046142575,5655.515625,254.72833251953125,248.37478637695312,30.13799571990967,13.847915649414062,3067.2548828125,269.73719787597656,268.56228637695307,16.669522285461426,7.249568939208982,1512.306884765625,277.325912475586,266.43728637695307,9.806437492370604,11.403360366821287,283.3704376220703,272.87478637695307,7.268520355224607,11.927993774414062,286.5413818359375,271.9878692626953,0.23040008544921875,1.6285972595214844,0.0,0.025240421295166016,0.027467012405395508,101963.0,164.36778640747067,0.0,0.0,0.0,0.0,2.615440368652344,7.311847686767577,99240.0,228.3702545166016,281.22683715820307,0.0,55.40000000000001,0.0,0.0,0.0,0.0,282.6649932861328,283.31591796875,0.0048,276.2667999267578,64.3,-0.02517414093017578,1.476945877075195,1.5641557200578973,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.04,-2.0,4.0,-12.0,12.0,13.9,0.0,0.0,15.878122508525848,98.875,0.0,0.0,98.875,74500.0,2571.365077972412,2196.118476867676,70600.0,3501.16015625,222.9,0.0,346.5,0.0,354.73048400878906,0.0,0.0,250.0,163.20000000000005,13.383731842041016,2.4654769897460938,8.999736785888672,9.492950439453123,28.94461250305176,5.9768714904785165,2279.92,96.0,77400.0,2280.0,96.0,77300.0,4310.0,5910.0,7.8000000000000025,0.0,0.0,101.0706958770752,2010.5830078125,0.0,0.0,30.0,0.0,3241.884624481201,70600.0,56.90000000000001,1.0,0.0,235.69,268.93,228.03,268.02
4,0,2018,2,10,-10.0,-999.0,0.0,23300.0,-10.0,-10.0,-10.0,4.97030196338892,42.23751449584961,18.332420349121094,5657.44384765625,255.0595703125,244.99978637695312,30.92357444763184,14.412357330322266,3070.6279296875,270.38601684570307,260.81228637695307,16.149946212768555,5.780345916748048,1513.0821533203125,278.0790405273437,270.29150390625,11.73568630218506,13.172414779663086,283.8100280761719,274.87478637695307,7.997537612915039,12.515657424926758,286.8515319824219,272.2330474853516,0.39040374755859375,1.402202606201172,0.0,0.0007567405700683594,0.0016314983367919922,101938.0,162.6532211303711,0.0,0.0,0.0,0.0,2.974882125854492,7.446094512939452,99230.0,228.3702545166016,281.29763793945307,0.0,56.2,0.0,0.0,0.0,0.0,283.21754455566406,283.84474182128906,0.00478,276.211929321289,61.90000000000001,0.26827430725097656,1.4007072448730469,1.5656502498313785,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.04,-3.0,4.0,-15.0,12.0,13.9,0.0,0.0,15.638208210468292,100.0,0.0,0.0,100.0,74500.0,2577.000814437866,2201.160831451416,74500.0,3017.5367279052734,227.5,0.0,348.6,0.0,354.9117431640625,0.0,0.0,251.0,181.0,13.980087280273438,2.425117492675781,9.487836837768556,10.4686279296875,29.038272857666016,6.044395446777344,2326.0,97.0,77000.0,2330.0,97.0,76900.0,4240.0,5960.0,6.9,0.0,0.0,117.73233795166016,1954.3189392089844,0.0,0.0,10.0,-3.0,2787.772731781006,78200.0,54.90000000000001,1.0,0.0,237.24,269.91,229.3,269.01
5,0,2018,2,10,-10.0,-999.0,0.0,24700.0,-10.0,-10.0,-10.0,5.940226063132286,43.2003698348999,19.15913391113281,5665.03369140625,254.86761474609366,246.31228637695312,33.286760330200195,13.92449188232422,3074.610107421875,272.1722412109375,255.31228637695312,19.263876914978027,2.164875030517578,1512.731201171875,278.36593627929693,273.74978637695307,12.020687103271484,13.558441162109375,284.3475341796875,276.06228637695307,8.288434982299805,13.86811637878418,287.33160400390625,272.2783203125,0.5498580932617188,2.4607133865356445,0.0,-0.02451992034912109,0.030412793159484863,101890.0,159.58847045898438,0.0,0.0,0.0,0.0,3.4617099761962886,8.431951522827147,99200.0,228.3702545166016,279.61846923828125,0.0,57.0,0.0,0.0,0.0,0.0,281.20440673828125,281.9286804199219,0.00451,275.40316772460943,57.40000000000001,0.4929618835449219,2.60232162475586,2.7509197343024425,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.08,-10.0,6.0,19.0,12.0,13.7,0.0,0.0,16.487798810005188,100.0,19.75,26.25,100.0,74500.0,2580.280508041382,2204.7286491394043,74500.0,3024.2279357910156,229.6,0.0,351.0,0.0,346.67124938964844,0.0,0.0,268.1,184.4,14.656167984008787,2.1711864471435547,8.581904411315918,10.811603546142578,30.92006683349609,4.506080627441406,2399.12,95.0,76300.0,2400.0,95.0,76200.0,4290.0,5930.0,5.7,0.0,0.0,141.13304710388184,1965.1720657348635,0.0,0.0,10.0,0.0,2793.093795776367,74500.0,56.2,1.0,0.0,236.53,271.2,228.56,270.24
6,0,2018,2,10,-10.0,-999.0,0.0,22500.0,-10.0,-10.0,-10.0,5.179020307958126,45.83406448364258,20.120567321777344,5663.4453125,255.7068023681641,246.24978637695312,34.81251716613769,16.903274536132812,3068.491943359375,272.0802764892578,257.06228637695307,16.190664291381836,0.5097904205322266,1508.1480712890625,278.59884643554693,277.0171661376953,12.10991668701172,13.398923873901367,284.80987548828125,275.74978637695307,9.03366470336914,14.479358673095705,286.92901611328125,272.228759765625,0.2393760681152344,2.123788833618164,0.0,-0.0018982887268066406,0.02794694900512696,101817.0,153.36717605590817,0.0,0.0,0.0,0.0,2.10158920288086,7.5911827087402335,99120.0,228.3702545166016,279.59072875976557,0.0,57.7,0.0,0.0,0.0,0.0,280.83091735839844,281.5878143310547,0.00455,275.5030059814453,61.3,0.3507308959960937,2.199813842773437,2.2531823900062595,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.06,-6.0,5.0,11.0,12.0,15.1,0.0,0.0,17.814062356948853,100.0,86.0,92.125,100.0,81400.0,1857.5933570861816,1563.6908149719238,74400.0,9894.40584564209,194.0,0.0,356.1,0.0,346.62306213378906,0.0,0.0,260.0,237.7,15.16767120361328,2.731042861938477,10.364174842834473,11.300575256347654,32.23539161682129,7.452716827392577,2202.7200000000007,100.0,78100.0,2200.0,100.0,78000.0,4360.0,6070.0,5.6000000000000005,10.0,-19.0,36.854713439941406,1964.0274658203125,0.0,0.0,20.0,0.0,2793.5827407836914,74400.0,60.2,1.0,0.0,227.44,248.7,222.84,239.74
7,0,2018,2,10,-10.0,-999.0,0.0,22600.0,-10.0,-10.0,-10.0,4.675748489797115,46.71282005310058,16.727470397949222,5666.1357421875,255.7493896484375,252.93728637695312,33.681983947753906,21.18792724609375,3066.4140625,271.42080688476557,259.43728637695307,14.858997344970705,-0.6319942474365234,1506.1416015625,278.6845092773437,277.7704315185547,12.337000846862793,12.308841705322266,284.8121643066406,276.31228637695307,10.188652992248537,13.433578491210938,286.0195617675781,271.9118804931641,-0.14907073974609375,1.6301116943359375,0.0,-0.025569915771484368,0.017538070678710938,101806.0,151.8680191040039,0.0,0.0,0.0,0.0,0.9109268188476562,7.533924102783202,99100.0,228.3702545166016,280.7288055419922,0.0,58.3,0.0,0.0,0.0,0.0,282.3333282470703,283.0771942138672,0.00463,275.72341918945307,63.6,-0.2805595397949219,1.3787078857421875,1.6254601465770977,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.04,-2.0,4.0,-25.0,12.0,15.4,0.0,0.0,19.758326798677444,68.25,17.25,15.625,68.25,74400.0,2581.984869003296,2206.5117797851562,74400.0,3024.0572357177734,225.1,0.0,349.5,0.0,352.17091369628906,0.0,0.0,235.0,295.4000000000001,16.477270126342773,3.4164505004882812,12.616716384887695,11.221153259277344,30.48152160644531,12.708541870117188,2299.84,96.0,77200.0,2300.0,96.0,77100.0,4520.0,6010.0,5.2,10.0,-19.0,392.6216297149658,1936.4148254394531,0.0,0.0,30.0,-1.0,2793.5126457214355,84500.0,67.0,1.0,0.0,235.5,269.90000000000003,227.95,268.8
8,0,2018,2,10,-10.0,-999.0,0.0,19400.0,-10.0,-10.0,-10.0,5.9791294783353806,45.468417167663574,17.473289489746097,5660.3447265625,256.10897827148443,250.06228637695312,34.17593765258789,18.998504638671875,3062.602783203125,271.32791137695307,266.12478637695307,14.126434326171875,2.6424121856689453,1497.595947265625,279.2831420898437,276.68614196777344,12.031982421875,11.11367416381836,283.53746032714844,278.37478637695307,10.005066871643066,9.641983032226562,284.8943786621094,273.2745513916016,-0.4922065734863281,2.5257339477539062,0.0,-0.015246868133544922,0.022077083587646484,101752.0,147.53254318237302,0.0,0.0,0.0,0.0,0.6727542877197266,8.952020645141602,99050.0,228.3702545166016,280.5400238037109,0.0,58.7,0.0,0.0,0.0,0.0,281.32864379882807,282.13966369628906,0.004690000000000001,275.89132690429693,66.2,-0.6741142272949219,2.160228729248047,2.2508490720065306,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.12,-9.0,17.0,-14.0,12.0,15.5,0.0,0.0,22.413924008607864,0.5,97.25,99.75,99.75,61700.0,4058.834493637085,3516.0645294189453,61700.0,9959.741962432861,191.4,0.0,334.9000000000001,0.0,351.2595520019531,0.0,0.0,205.0,238.9,16.026622772216793,2.72552490234375,12.367959976196287,8.132692337036133,31.36271095275879,10.592185974121094,2459.36,99.0,75600.0,2460.0,99.0,75500.0,4400.0,6090.0,5.0,0.0,0.0,175.2607307434082,1516.6424102783205,0.0,0.0,0.0,-13.0,2793.4561042785645,87200.0,77.9,1.0,0.0,226.87,248.8,221.79,240.54
9,0,2018,2,10,36.375,5123.4000000000015,0.9872,12400.0,35.25,15.875,15.875,3.6879046633839607,48.14173603057861,18.04754638671875,5668.2509765625,255.1050109863281,253.35986328125,30.84746360778809,17.956886291503906,3070.7431640625,272.86495971679693,272.93728637695307,18.17683982849121,9.415708541870117,1490.6884765625,281.0376434326172,279.8445281982422,8.117080688476562,7.299259185791016,283.7071075439453,280.3018951416016,5.804107666015625,4.181354522705078,283.1119689941406,276.8333282470703,-0.8135395050048828,0.5544605255126953,0.0,0.010913848876953123,0.0012192726135253904,101637.0,137.96710586547852,23.25,0.0,0.0,0.0,-0.8773269653320312,5.064056396484375,98910.0,228.3702545166016,280.17898559570307,0.0,64.7,0.0,0.0,0.0,0.0,280.5266265869141,281.4375,0.00525,277.49044799804693,79.4,-1.5796356201171875,0.1244487762451172,1.5626686745963525,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.07,-2.0,5.0,-8.0,12.0,14.0,0.0,0.0,26.528085887432102,96.375,87.75,93.375,96.375,87100.0,1288.3669662475586,1059.5312194824219,30700.0,9975.722038269043,150.0,0.0,359.40000000000015,0.0,349.4915313720703,0.0,0.0,240.0,131.1,15.324207305908205,1.270000457763672,9.063553810119627,7.899580001831055,30.943374633789066,15.8768310546875,3065.52,100.0,70200.0,3070.0,100.0,70000.0,4330.0,6000.0,-0.2,80.0,-47.0,42.58657836914063,842.2916259765625,0.0,0.0,210.0,-3.0,7379.932312011719,70300.0,85.10000000000002,1.0,0.0,224.44,229.82,221.43,228.35
