Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,2,13,-10.0,-999.0,0.0,100.0,-10.0,-10.0,-10.0,2.6603532545268536,35.597412109375,26.24702453613281,5771.3369140625,256.3175201416016,241.68728637695312,22.54860496520996,7.322151184082031,3166.51611328125,272.74346923828125,255.93728637695312,16.593891143798828,10.057476043701172,1597.9266357421875,275.6410980224609,271.93728637695307,-0.3935413360595703,0.0497589111328125,272.87301635742193,272.62478637695307,-3.968461990356445,-5.176807403564453,276.28895568847656,276.68728637695307,-1.499429702758789,-2.2183876037597656,0.0,-0.028017520904541016,0.008926749229431152,103245.0,272.07666778564453,0.0,0.0,0.0,0.0,-1.6621837615966797,-3.3314971923828125,91630.0,996.5890045166016,273.111343383789,0.0,99.7,0.0,0.0,0.0,0.0,272.21543884277344,279.12213134765625,0.0038,271.9114227294922,99.1,-0.6131381988525391,-1.3491344451904297,1.5667756530456245,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.26,20.0,11.0,30.0,4.0,19.5,0.0,0.0,9.443144947290419,80.5,0.0,0.0,80.5,91500.0,1016.2125568389893,1032.8151893615723,89900.0,1267.406723022461,235.1,0.0,306.6,0.0,315.4167175292969,0.0,0.0,197.0,55.7,11.86996078491211,-3.3038845062255864,4.1704864501953125,4.2475433349609375,30.273651123046875,10.951057434082033,859.6,98.0,91600.0,3090.0,27.0,70600.0,4670.0,6230.0,8.4,0.0,0.0,100.32616233825684,147.58685302734375,0.0,0.0,0.0,0.0,1016.225440979004,65200.0,43.6,1.0,0.0,240.23,271.2,231.43,270.5
1,0,2018,2,13,-10.0,-999.0,0.0,200.0,-10.0,-10.0,-10.0,4.163118090480567,36.1924934387207,29.34049224853516,5777.9208984375,256.16416931152344,242.37478637695312,21.811010360717773,8.388935089111326,3173.21630859375,273.21273803710943,256.99978637695307,15.900972366333008,11.304929733276367,1602.251220703125,275.51963806152344,271.99978637695307,-2.3950328826904297,0.3008403778076172,273.27557373046875,273.18728637695307,-5.460155487060547,-5.790153503417969,276.355209350586,277.24978637695307,-1.6390933990478516,-2.435328483581543,0.0,-0.04439640045166016,-0.06077516078948975,103273.0,274.76850509643555,0.0,0.0,0.0,0.0,-3.827646255493164,-3.440135955810547,91660.0,996.5890045166016,272.5811767578125,0.0,99.5,0.0,0.0,0.0,0.0,272.4915771484375,279.3530731201172,0.00372,271.6307830810547,94.6,-1.581342697143555,-0.949467658996582,2.0003980665060226,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.24,4.0,8.0,91.0,4.0,19.3,0.0,0.0,10.028346270322801,69.625,0.0,0.0,69.625,91600.0,1016.1949005126953,1032.8757286071777,90000.0,1268.1413612365723,236.1,0.0,307.8,0.0,313.0019226074219,0.0,0.0,192.0,46.40000000000001,10.496036529541016,-2.835155487060547,3.73039436340332,5.186412811279297,31.785358428955078,11.59404754638672,892.8000000000003,94.0,91600.0,3200.0,28.0,69700.0,4650.0,6220.0,7.8000000000000025,0.0,0.0,68.71405220031738,198.21527099609366,0.0,0.0,0.0,0.0,1016.1338806152344,65300.0,45.1,1.0,0.0,240.15,271.95,231.66,271.22
2,0,2018,2,13,-10.0,-999.0,0.0,200.0,-10.0,-10.0,-10.0,5.851163916289806,37.3814582824707,28.46880340576172,5775.04931640625,255.98028564453125,243.87478637695312,21.898666381835934,9.300830841064453,3171.4306640625,273.21896362304693,260.43728637695307,15.780328750610352,11.74374771118164,1601.540283203125,275.4481811523437,271.24978637695307,-3.485406875610352,0.91357421875,273.32553100585943,273.31228637695307,-6.262275695800781,-5.298727035522461,276.15951538085943,277.35775756835943,-1.9307641983032229,-2.4125232696533203,0.0,-0.022962093353271484,-0.02874636650085449,103262.0,273.8290786743164,0.0,0.0,0.0,0.0,-6.543006896972656,-2.732574462890625,91650.0,996.5890045166016,272.403060913086,0.0,99.4,0.0,0.0,0.0,0.0,272.38995361328125,279.30284118652344,0.00371,271.57308959960943,94.5,-2.790433883666992,-0.7161216735839844,3.004423896316439,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.36,2.0,8.0,85.0,4.0,19.1,0.0,0.0,10.586063116788862,63.5,0.0,0.0,63.5,91300.0,1027.9596481323242,1032.8932762145996,89900.0,1268.5862579345703,236.4,0.0,307.9000000000001,0.0,312.3223571777344,0.0,0.0,173.0,39.3,9.416662216186523,-2.18231201171875,3.7542724609375,6.457456588745117,34.115123748779304,11.4017333984375,885.52,94.0,91600.0,3210.0,38.0,69700.0,4640.0,6200.0,7.6,0.0,0.0,64.09085845947266,233.26519775390625,0.0,0.0,0.0,0.0,1016.0915107727052,65200.0,48.2,1.0,0.0,240.33,272.31,232.02,271.58
3,0,2018,2,13,-10.0,-999.0,0.0,200.0,-10.0,-10.0,-10.0,7.1780214719474325,40.6646842956543,25.22780990600586,5775.6259765625,255.9629821777344,245.62478637695312,22.78333282470703,9.461029052734377,3173.59423828125,272.897201538086,262.49978637695307,15.01300811767578,11.081790924072266,1604.269775390625,276.1202392578125,275.74978637695307,-3.648120880126953,3.0332870483398438,273.98287963867193,273.62478637695307,-7.152162551879883,-4.9327545166015625,276.43209838867193,277.74978637695307,-2.1117010116577157,-2.473861694335937,0.0,-0.08244705200195312,-0.032299041748046875,103274.0,274.4910049438477,0.0,0.0,0.0,0.0,-8.398540496826174,-1.977033615112305,91650.0,996.5890045166016,272.4389038085937,0.0,99.3,0.0,0.0,0.0,0.0,272.6320037841797,279.53866577148443,0.00373,271.65557861328125,93.5,-3.718189239501953,-0.4333457946777344,3.629684876650572,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.46,-5.0,8.0,71.0,4.0,18.9,0.0,0.0,12.35786797106266,39.625,0.0,0.0,39.625,91300.0,1027.9458312988281,1033.0091018676758,83000.0,2029.9604530334473,239.5,0.0,314.9000000000001,0.0,312.3082427978516,0.0,0.0,218.0,62.2,8.637216567993164,-1.62042236328125,3.47549057006836,8.356178283691406,35.9755973815918,10.33742904663086,916.64,93.0,91600.0,3160.0,44.0,70100.0,4610.0,6220.0,6.9,0.0,0.0,58.69627380371094,373.2919921875,0.0,0.0,0.0,0.0,1015.9955902099608,65200.0,56.0,1.0,0.0,240.41,274.17,232.24,273.04
4,0,2018,2,13,-10.0,-999.0,0.0,200.0,-10.0,-10.0,-10.0,7.35945313051343,38.86064147949219,21.787036895751953,5781.16796875,256.45596313476557,246.43728637695312,22.77367401123047,9.052444458007812,3177.59619140625,272.77032470703125,263.31228637695307,14.841354370117188,10.05207633972168,1607.0533447265625,276.736068725586,275.43728637695307,-2.584190368652344,5.89495849609375,275.0621337890625,274.3735198974609,-7.41387939453125,-3.595897674560547,277.2843475341797,278.43252563476557,-1.923086166381836,-1.936279296875,0.0,-0.12769651412963867,-0.0721445083618164,103267.0,273.8828239440918,0.0,0.0,0.0,0.0,-8.919897079467773,-0.4564876556396485,91650.0,996.5890045166016,272.57949829101557,0.0,99.1,0.0,0.0,0.0,0.0,273.11122131347656,280.0457763671875,0.00387,272.19273376464844,93.0,-4.047832489013672,0.4606075286865234,3.754588206298649,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.56,-17.0,5.0,43.0,4.0,18.6,0.0,0.0,13.465983003377914,62.125,0.0,0.0,62.125,91300.0,1028.0667705535889,1033.0734462738037,89900.0,1270.9260711669922,240.3,0.0,312.9000000000001,0.0,313.1228332519531,0.0,0.0,264.0,97.5,8.055953979492188,-0.7024307250976562,3.3316383361816406,8.048877716064451,35.437408447265625,7.673641204833982,994.48,93.0,91600.0,3140.0,48.0,70300.0,4620.0,6320.0,7.2,0.0,0.0,55.42011260986328,247.182861328125,0.0,0.0,0.0,0.0,1016.447536468506,65200.0,60.2,1.0,0.0,241.17,274.40000000000003,233.02,273.8
5,0,2018,2,13,-10.0,-999.0,0.0,200.0,-10.0,-10.0,-10.0,7.677858039736747,35.099029541015625,15.35312271118164,5782.2783203125,256.51324462890625,247.12478637695312,22.28591537475586,8.581035614013674,3178.39794921875,272.813232421875,265.24978637695307,14.426471710205078,9.633106231689453,1605.18701171875,277.63690185546875,277.74978637695307,-1.2121849060058594,8.376285552978517,275.8087921142578,274.95126342773443,-6.9974727630615225,-2.37967300415039,277.77706909179693,279.0595092773437,-1.881010055541992,-1.6940078735351562,0.0,-0.1617574691772461,-0.09200072288513184,103203.0,268.5685920715332,0.0,0.0,0.0,0.0,-8.872091293334961,1.6527175903320312,91590.0,996.5890045166016,272.96908569335943,0.0,99.0,0.0,0.0,0.0,0.0,273.5681610107422,280.5682983398437,0.00415,273.09950256347656,96.3,-4.7353057861328125,1.4353904724121094,4.191877526696771,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.6900000000000001,-22.0,-7.0,18.0,4.0,17.6,0.0,0.0,15.20004902780056,58.25,0.0,0.0,58.25,91200.0,1028.1536903381348,1033.149447441101,89900.0,1272.1035614013672,242.3,0.0,315.5,0.0,314.9595642089844,0.0,0.0,275.0,144.0,7.9791831970214835,0.3791427612304688,6.4774112701416025,10.103996276855467,33.52776336669922,5.225128173828125,3120.56,56.0,70600.0,3120.0,56.0,70500.0,4630.0,6320.0,5.2,0.0,0.0,45.87244987487793,197.699462890625,0.0,0.0,0.0,0.0,1016.3624649047853,65200.0,66.10000000000001,1.0,0.0,241.72,275.47,233.54,274.90000000000003
6,0,2018,2,13,-10.0,-999.0,0.0,100.0,-10.0,-10.0,-10.0,8.220529116690159,35.53828430175781,7.966011047363281,5783.32080078125,256.53515625,247.93728637695312,22.62882995605469,7.6192474365234375,3178.06298828125,272.81845092773443,267.06228637695307,14.908794403076172,9.963979721069336,1603.9176025390625,277.656982421875,277.8538055419922,-0.3955440521240233,9.903923034667967,276.7999267578125,275.80886840820307,-6.279199600219728,-0.5904731750488281,278.8494110107422,279.93194580078125,-1.428632736206055,-1.333660125732422,0.0,-0.2419567108154297,-0.10731792449951172,103166.0,265.3265838623047,0.0,0.0,0.0,0.0,-8.850561141967773,3.3330669403076167,91550.0,996.5890045166016,274.35777282714844,0.0,99.0,0.1,0.0,0.0,0.0,274.47213745117193,281.5275115966797,0.0045000000000000005,274.2326202392578,98.4,-5.109100341796875,2.306935310363769,4.314479723572732,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,-4.0,3.0,-27.0,4.0,16.3,0.0,0.0,16.034687340259552,68.0,11.125,0.0,68.0,91200.0,1028.281623840332,1033.2544889450073,88600.0,1423.1595001220703,245.3,0.0,322.8,0.0,321.1223449707031,0.0,0.0,302.0,209.9,7.7922515869140625,1.1256828308105469,9.438955307006836,10.380960464477539,33.24744415283203,1.6224441528320312,3124.0,64.0,70600.0,3120.0,64.0,70500.0,4660.0,6310.0,4.6000000000000005,0.0,0.0,47.18992614746094,121.45718383789062,0.0,0.0,0.0,0.0,1016.318504333496,65100.0,68.5,1.0,0.0,242.27,277.45,233.96,276.34000000000003
7,0,2018,2,13,-10.0,-999.0,0.0,200.0,-10.0,-10.0,-10.0,8.346187811344862,38.34125518798828,1.4367523193359375,5787.4091796875,256.87673950195307,247.18728637695312,22.09384536743164,6.743064880371094,3180.77099609375,272.78091430664057,269.81228637695307,15.090330123901367,10.991476058959961,1606.2215576171875,278.17575073242193,278.18728637695307,0.005413055419921875,10.764439582824707,277.60763549804693,276.6268310546875,-6.214389801025393,1.3643722534179688,279.67782592773443,280.79141235351557,-1.4850835800170898,-0.8304824829101562,0.0,-0.2261524200439453,-0.10036849975585938,103164.0,265.155776977539,0.0,0.0,0.0,0.0,-8.572534561157228,4.696676254272461,91550.0,996.5890045166016,274.76434326171875,0.0,99.1,0.1,0.0,0.0,0.0,275.48231506347656,282.55572509765625,0.00459,274.4809112548828,92.5,-4.962249755859375,3.0880489349365234,4.5033575017005205,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.81,-32.0,11.0,-29.0,4.0,15.6,0.0,0.0,17.584663718938828,67.375,7.25,0.0,67.375,91200.0,1028.3862133026123,1033.315372467041,88600.0,1424.1309432983398,246.7,0.0,327.3,0.0,323.0581359863281,0.0,0.0,316.0,238.8,7.119762420654298,1.7391300201416016,10.721513748168944,9.927375793457033,32.260265350341804,-1.814178466796875,3102.16,81.0,70800.0,3100.0,81.0,70700.0,4690.0,6400.0,3.5,0.0,0.0,51.25806045532226,125.08367919921876,0.0,0.0,0.0,0.0,1016.273307800293,68800.0,74.0,1.0,0.0,243.79,277.7,235.22,276.5
8,0,2018,2,13,10.8125,-999.0,0.0024,200.0,-10.0,-10.0,-10.0,9.22612915188074,38.58694839477539,-1.8318367004394531,5785.8564453125,257.3441162109375,244.68728637695312,21.90807342529297,5.9158668518066415,3179.631591796875,272.29185485839844,272.06228637695307,16.18142318725586,13.200767517089846,1605.5648193359375,278.3299102783203,279.06228637695307,1.7624473571777344,11.349359512329102,278.140853881836,277.8386688232422,-5.216773986816406,3.454565048217773,280.2719116210937,282.01734924316406,-1.3699502944946291,-0.26303958892822266,0.0,-0.25076723098754883,-0.09124422073364258,103156.0,264.01892280578613,22.9375,0.0,0.0,0.0,-7.775060653686522,7.487302780151367,91530.0,996.5890045166016,276.14051818847656,0.0,99.6,0.0,0.0,0.0,0.0,276.847183227539,283.95838928222656,0.00491,275.42950439453125,90.2,-4.761869430541992,4.695669174194336,4.878403444541618,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.93,-30.0,33.0,-61.0,4.0,14.4,0.0,0.0,19.285333395004272,92.125,10.25,0.0,92.125,91200.0,1028.5445556640625,1033.5261535644531,72100.0,3697.7295989990234,237.5,0.0,333.9000000000001,0.0,329.7906494140625,0.0,0.0,306.0,240.9,7.121450424194336,2.745574951171875,13.212121963500975,7.9418487548828125,30.062435150146484,-5.817951202392577,3021.84,100.0,71500.0,3020.0,100.0,71400.0,4680.0,6520.0,1.7000000000000002,30.0,0.0,69.52646446228027,203.72036743164062,0.0,0.0,40.0,0.0,4506.727478027344,78000.0,81.10000000000002,1.0,0.0,244.84,272.40000000000003,236.03,271.2
9,0,2018,2,13,9.625,-999.0,0.0016,200.0,-10.0,-10.0,-10.0,10.474772002547981,37.73650360107422,-1.85110092163086,5789.5869140625,258.228515625,241.24978637695312,21.471782684326172,4.5572052001953125,3177.68359375,272.41891479492193,271.31228637695307,16.726163864135742,12.949874877929688,1604.1685791015625,278.42684936523443,279.49978637695307,3.1394100189208984,10.393756866455078,278.3455047607422,278.12478637695307,-4.3782958984375,5.075071334838867,280.57748413085943,282.2497863769531,-1.469339370727539,0.4112968444824219,0.0,-0.3800220489501953,-0.15561509132385254,103122.0,261.3473663330078,21.25,0.0,0.0,0.0,-7.156238555908202,9.571796417236328,91510.0,996.5890045166016,276.77426147460943,0.0,99.9,0.0,0.0,0.0,0.0,277.321792602539,284.4522247314453,0.00513,276.04946899414057,91.2,-4.80084228515625,6.0455684661865225,5.691393923247232,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,1.09,-27.0,34.0,-60.0,4.0,14.4,0.0,0.0,18.454572439193726,93.0,4.25,0.0,93.0,91200.0,1028.6292266845703,1033.6347541809082,75200.0,2950.849338531494,242.2,0.0,335.7000000000001,0.0,332.6297302246094,0.0,0.0,280.0,231.0,7.2617950439453125,2.516542434692384,15.506511688232422,4.819805145263672,28.095630645751953,-7.966026306152344,3056.16,96.0,71200.0,3060.0,96.0,71100.0,4820.0,6650.0,3.0,0.0,0.0,74.95568084716797,132.7713623046875,0.0,0.0,10.0,0.0,3993.684791564941,72100.0,76.10000000000002,1.0,0.0,245.36,274.13,236.02,272.95
