Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,2,16,-10.0,-999.0,0.0,12000.0,-10.0,-10.0,-10.0,7.275333151221275,11.293664932250975,-4.1314544677734375,5899.248046875,265.08334350585943,252.18728637695312,9.007268905639648,-2.102256774902344,3206.967529296875,282.34844970703125,264.93728637695307,8.948287963867188,6.0811824798583975,1577.42919921875,287.51397705078125,275.31228637695307,8.178091049194336,9.854621887207033,289.25933837890625,289.2042694091797,7.039427757263184,4.335971832275392,293.27142333984375,289.22801208496094,1.5760583877563477,8.99111557006836,0.0,-0.01183938980102539,0.010729074478149414,102228.0,193.88057708740243,0.0,0.0,0.0,0.0,1.1521854400634766,8.161142349243164,101570.0,57.52650451660156,292.56092834472656,0.0,88.4,0.0,0.0,0.0,0.0,293.58006286621094,292.31700134277344,0.012260000000000002,290.5768127441406,81.0,0.1961965560913086,3.809009552001953,3.68857597571332,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775,0.31,-31.0,50.0,70.0,12.0,4.0,0.0,0.0,30.3334621489048,3.375,0.0,0.0,3.375,--,--,--,--,--,266.90000000000003,0.0,355.6,0.0,415.2568817138672,0.0,0.0,68.0,76.0,-0.0929584503173828,2.2464618682861333,7.602237701416016,-0.0898590087890625,6.933094024658202,-10.415264129638672,4461.76,58.0,60000.0,4460.0,58.0,60000.0,6150.0,7430.0,1.3,10.0,0.0,274.3278865814209,658.5219116210938,0.0,-12.0,10.0,0.0,1291.2772178649902,94300.0,51.5,1.0,0.0,241.55,289.75,234.16,288.26
1,0,2018,2,16,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,6.409515228122473,12.455320358276367,-4.0861854553222665,5902.603515625,265.21188354492193,251.49978637695312,7.525066375732423,-1.0429229736328125,3208.4111328125,282.5842590332031,264.62478637695307,9.413799285888672,6.324855804443359,1576.812744140625,287.689697265625,273.56228637695307,8.185420989990233,10.607141494750977,288.8908386230469,288.8055114746094,8.066651344299316,5.1390380859375,292.1650695800781,290.10154724121094,1.921845436096192,8.451087951660156,0.0,-0.016581058502197266,-0.02637338638305664,102241.0,194.7636604309082,0.0,0.0,0.0,0.0,0.8625106811523438,7.3337764739990225,101580.0,57.52650451660156,291.76344299316406,0.0,89.9,0.0,0.0,0.0,0.0,292.4978790283203,291.20350646972656,0.01234,290.6486358642578,88.0,0.13077354431152344,3.2369375228881836,3.1252361560327704,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.26,-17.0,23.0,50.0,12.0,4.5,0.0,0.0,29.247204631567,0.0,0.0,0.0,0.0,--,--,--,--,--,266.8,0.0,350.40000000000015,0.0,411.07188415527344,0.0,0.0,73.0,64.8,-0.045864105224609375,3.0635547637939453,8.326684951782228,2.1668701171875,4.853288650512695,-8.698764801025389,4505.6,52.0,59700.0,4510.0,52.0,59700.0,6170.0,7470.0,2.0,10.0,0.0,180.42664527893064,419.1912536621094,0.0,0.0,20.0,0.0,1289.7402801513672,96400.0,49.2,1.0,0.0,241.59,289.4000000000001,234.09,288.14
2,0,2018,2,16,-10.0,-999.0,0.0,9900.0,-10.0,-10.0,-10.0,6.129169911146164,13.372791290283205,-3.25262451171875,5903.5927734375,265.59408569335943,252.31228637695312,6.238178253173827,1.0002517700195312,3205.985107421875,282.8536376953125,264.12478637695307,9.64995574951172,6.425128936767577,1574.408447265625,287.17845153808594,279.93728637695307,8.980385780334473,10.849794387817383,288.5718231201172,288.4549560546875,9.128284454345703,6.943244934082031,291.66180419921875,290.2873077392578,1.9830455780029297,8.150552749633789,0.0,-0.02530527114868164,-0.01026153564453125,102236.0,194.48726654052726,0.0,0.0,0.0,0.0,0.8298492431640625,7.180084228515625,101570.0,57.52650451660156,291.11167907714844,0.0,90.9,0.0,0.0,0.0,0.0,291.76373291015625,290.4874725341797,0.01213,290.4031677246094,90.8,0.07511520385742188,3.0428791046142583,3.0043276161886747,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.25,-15.0,11.0,48.0,12.0,5.6000000000000005,0.0,0.0,30.351517826318737,13.125,0.0,0.0,13.125,--,--,--,--,--,265.5,0.0,350.90000000000015,0.0,407.2343444824219,0.0,0.0,63.0,50.2,0.09897994995117188,3.800979614257813,9.288637161254883,3.989473342895508,3.3688201904296875,-6.4510040283203125,4520.0,51.0,59600.0,4520.0,51.0,59500.0,6200.0,7440.0,2.2,10.0,0.0,116.86730003356934,338.1474609375,0.0,-4.0,10.0,0.0,1581.7087669372559,86500.0,51.5,1.0,0.0,241.24,288.69,233.75,287.41
3,0,2018,2,16,-10.0,-999.0,0.0,9700.0,-10.0,-10.0,-10.0,5.497885029762983,14.620006561279295,-3.6521949768066406,5909.2880859375,265.8293609619141,251.31228637695312,6.357860565185548,1.5731678009033203,3209.59619140625,283.0585174560547,264.06228637695307,10.489320755004883,6.13629150390625,1575.081298828125,288.06842041015625,277.31228637695307,10.205723762512207,10.586246490478516,288.4341735839844,288.2402038574219,8.918573379516602,7.101417541503906,291.38465881347656,290.9051055908203,1.2672061920166016,7.815093994140625,0.0,0.012095928192138672,-0.013763427734375,102240.0,195.05843353271484,0.0,0.0,0.0,0.0,0.0070953369140625,6.695869445800781,101580.0,57.52650451660156,290.6417388916016,0.0,91.8,0.0,0.0,0.0,0.0,291.1109924316406,289.8227996826172,0.01213,290.3998718261719,94.5,-0.3677749633789063,2.605067253112793,2.6337934238836165,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.18,-8.0,-1.0,40.0,12.0,6.1000000000000005,0.0,0.0,29.09219318628311,16.125,0.0,0.0,16.125,--,--,--,--,--,266.40000000000003,0.0,347.8,0.0,404.62103271484375,0.0,0.0,86.0,68.0,1.0930557250976562,2.5112667083740234,9.80946159362793,4.4500160217285165,3.9810848236083984,-5.328300476074219,4555.6,47.0,59400.0,4560.0,47.0,59300.0,6230.0,7460.0,2.9000000000000004,20.0,0.0,82.50924491882323,217.47802734375,0.0,-4.0,20.0,0.0,1288.0982322692869,98300.0,48.40000000000001,1.0,0.0,241.87,288.6,234.39,287.51
4,0,2018,2,16,-8.0625,-999.0,0.0008,9700.0,-10.0,-10.0,-10.0,4.864507455378772,15.304483413696287,-2.586856842041016,5910.98828125,265.81356811523443,251.24978637695312,7.133527755737305,2.974185943603516,3212.6201171875,283.0940704345703,263.43728637695307,10.964052200317383,5.725881576538086,1575.495849609375,288.9863586425781,271.31228637695307,10.894250869750977,11.383371353149414,288.20225524902344,287.9838562011719,8.653160095214844,7.832254409790039,291.50901794433594,291.42779541015625,1.2908391952514648,7.540473937988281,0.0,-0.012985706329345705,-0.009723186492919922,102231.0,194.4828872680664,0.0,0.0,0.0,0.0,0.028186798095703125,6.0909881591796875,101570.0,57.52650451660156,291.1754608154297,0.0,92.6,0.0,0.0,0.0,0.0,291.4721984863281,290.2059631347656,0.01255,290.9129333496094,96.2,-0.20082950592041016,2.4556655883789062,2.3161285382229835,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.18,-5.0,0.0,10.0,12.0,5.300000000000002,0.0,-22.0,27.15328824520111,61.5,0.0,0.0,61.5,--,--,147.45974349975586,--,--,267.90000000000003,0.0,345.70000000000016,0.0,407.59796142578125,0.0,0.0,119.0,75.8,2.799263000488281,1.3162899017333984,9.510971069335938,5.732700347900393,4.5295066833496085,-3.61260986328125,4541.04,45.0,59500.0,4540.0,45.0,59400.0,6240.0,7480.0,2.7,20.0,-1.0,100.56598281860352,169.40823364257812,10.0,-4.0,30.0,0.0,1288.5105476379395,98300.0,44.40000000000001,1.0,0.0,242.58,289.1,235.33,288.0
5,0,2018,2,16,-10.0,-999.0,0.0,9600.0,-10.0,-10.0,-10.0,5.3054621294140825,15.657709121704102,-2.0574188232421875,5908.2294921875,265.39480590820307,251.37478637695312,7.527265548706055,3.519550323486328,3211.3271484375,283.2321319580078,263.43728637695307,10.864402770996094,4.922931671142578,1572.693115234375,289.7698669433594,267.56228637695307,11.04348850250244,11.880926132202148,288.69525146484375,288.4997863769531,8.791839599609375,8.747735977172853,291.5672149658203,291.50042724609375,0.957763671875,7.5378780364990225,0.0,-0.015542984008789062,0.004221677780151367,102187.0,190.3161392211914,0.0,0.0,0.0,0.0,-0.20371627807617188,6.5034828186035165,101530.0,57.52650451660156,291.12030029296875,0.0,93.5,0.0,0.0,0.0,0.0,291.54002380371094,290.31346130371094,0.01271,291.1118927001953,96.7,-0.2605705261230469,3.1782379150390625,3.1935465610586107,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.25,-9.0,-15.0,23.0,12.0,4.5,10.0,-20.0,26.981200098991394,100.0,0.0,0.0,100.0,99600.0,220.86911392211914,147.465087890625,91900.0,1161.153060913086,266.0,0.0,409.70000000000016,0.0,407.3779144287109,0.0,0.0,143.0,89.60000000000002,3.2196521759033203,1.374868392944336,9.634317398071287,5.623075485229492,5.098426818847656,-3.703277587890625,4536.16,43.0,59500.0,4540.0,43.0,59500.0,6190.0,7410.0,1.5,30.0,0.0,132.5044002532959,151.33407592773438,20.0,-7.0,60.0,-404.0,8044.9118728637695,96400.0,43.8,1.0,0.0,242.48,286.9000000000001,235.39,285.62
6,0,2018,2,16,-10.0,-999.0,0.0,9200.0,-10.0,-10.0,-10.0,5.297253150492908,16.122310638427734,-1.2474021911621094,5904.67431640625,265.28543090820307,250.68728637695312,8.134494781494139,3.66207504272461,3208.14306640625,283.3394012451172,263.18728637695307,11.249519348144533,4.759084701538086,1568.81396484375,290.20977783203125,264.74978637695307,11.781578063964846,11.648090362548828,288.5606994628906,288.3747863769531,9.39851188659668,8.32147216796875,291.7280578613281,291.5960693359375,1.199174880981445,7.360396385192871,0.0,0.028543472290039062,-0.02382314205169677,102134.0,185.80409622192383,0.0,0.0,0.0,0.0,0.20229148864746094,6.330665588378906,101470.0,57.52650451660156,291.98707580566406,0.0,93.9,0.0,0.0,0.0,0.0,292.22064208984375,291.00804138183594,0.013130000000000001,291.62303161621094,96.3,-0.15542888641357422,3.6077613830566406,3.630889517255128,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.29,-5.0,4.0,-5.0,12.0,3.5,10.0,-14.0,26.555786669254303,100.0,0.0,0.0,100.0,99600.0,221.11721801757812,231.04466247558594,91800.0,1161.38818359375,265.8,0.0,411.70000000000016,0.0,412.2847137451172,0.0,0.0,140.0,95.0,3.982929229736328,1.0379886627197266,10.174896240234377,5.056831359863281,5.24848747253418,-3.5410995483398438,4539.52,42.0,59500.0,4540.0,42.0,59400.0,6180.0,7370.0,1.2000000000000002,60.0,-458.0,184.23274993896484,152.02886199951172,20.0,-3.0,100.0,-368.0,8567.863933563232,96300.0,42.8,1.0,0.0,242.57,286.5900000000001,235.56,285.44
7,0,2018,2,16,-9.75,-999.0,0.0002,9600.0,-10.0,-10.0,-10.0,5.991632767021656,17.362573623657227,2.3925704956054688,5901.27685546875,265.19003295898443,250.31228637695312,8.313619613647461,4.606132507324219,3205.80029296875,283.2211608886719,262.87478637695307,11.55923843383789,4.42059326171875,1566.0159912109375,290.57591247558594,265.16629028320307,11.462923049926758,12.225234985351562,288.8035888671875,288.78651428222656,9.112316131591797,8.537374496459961,291.8470916748047,291.7558898925781,1.2381725311279297,7.709011077880857,0.0,-0.02303600311279297,-0.003951907157897949,102092.0,181.78271484375,0.0,0.0,0.0,0.0,0.24633026123046875,6.90510368347168,101430.0,57.52650451660156,292.1533203125,0.0,94.4,0.0,0.0,0.0,0.0,292.4014434814453,291.1977081298828,0.013200000000000002,291.69114685058594,95.9,-0.13306808471679688,3.945601463317871,3.941392729990184,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.32,-5.0,10.0,-14.0,12.0,3.3000000000000003,10.0,-10.0,26.63391333818436,100.0,0.0,0.0,100.0,99500.0,221.24972343444824,231.22363662719727,89200.0,1437.1682434082031,266.5,0.0,412.6,0.0,413.106674194336,0.0,0.0,166.0,101.1,4.4608116149902335,1.0258255004882812,9.64695930480957,4.740531921386719,5.094602584838867,-3.0594863891601562,4542.0,40.0,59400.0,4540.0,40.0,59400.0,6170.0,7350.0,1.3,50.0,-473.0,207.8106784820557,153.68082427978516,20.0,-2.0,60.0,-433.0,8041.790367126465,96300.0,42.90000000000001,1.0,0.0,242.86,285.6,235.86,284.43
8,0,2018,2,16,8.6875,-999.0,0.0056,9600.0,-10.0,-10.0,-10.0,6.165656834840775,17.255155563354492,3.286357879638672,5899.75146484375,265.3427124023437,249.81228637695312,8.64306640625,4.749462127685547,3203.1533203125,283.1683349609375,262.56228637695307,12.819368362426758,4.072214126586913,1562.79638671875,290.94134521484375,265.90126037597656,12.33377456665039,12.25070571899414,288.6754913330078,288.6148376464844,9.029972076416016,8.744361877441406,292.00270080566406,291.8860168457031,1.5080833435058594,7.637931823730469,0.0,0.018260478973388672,-0.013275504112243652,102048.0,178.02928161621094,16.25,0.0,0.0,0.0,0.5488948822021484,7.1262264251708975,101390.0,57.52650451660156,292.29833984375,0.0,95.0,0.0,0.0,0.0,0.0,292.62901306152344,291.49859619140625,0.01336,291.9067077636719,95.4,0.07455253601074219,4.128273010253906,4.12948432052508,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.34,-8.0,10.0,-5.0,12.0,3.0,0.0,-5.0,26.54924196004868,100.0,0.0,0.0,100.0,98100.0,344.17391777038574,231.55205154418945,89200.0,1437.8351211547852,267.8,0.0,413.3,0.0,414.0164642333984,0.0,0.0,193.4,98.0,5.139690399169922,0.8807811737060547,9.435468673706056,5.190311431884767,5.027151107788086,-2.9250144958496094,4575.440000000001,37.0,59200.0,4580.0,37.0,59100.0,6180.0,7360.0,1.8,20.0,-1.0,471.86754035949707,177.12229919433594,10.0,-2.0,60.0,-453.0,8044.226913452148,98100.0,42.5,1.0,0.0,242.88,286.27,235.79,285.11
9,0,2018,2,16,12.4375,-999.0,0.0096,9600.0,-10.0,-10.0,-10.0,5.0433510430157185,17.112607955932614,6.296855926513673,5896.69287109375,265.215087890625,249.68728637695312,9.772541046142578,6.1384925842285165,3200.013671875,283.2889404296875,261.62478637695307,13.84117317199707,5.341434478759767,1560.0360107421875,290.80645751953125,263.3203887939453,12.380289077758787,12.507575988769533,288.6585388183594,288.5084533691406,8.645792007446289,9.009765625,292.1005096435547,291.77886962890625,2.29568099975586,6.420271873474121,0.0,-0.02712535858154297,0.02926719188690185,102017.0,176.07262802124023,21.4375,0.0,0.0,0.0,1.4263992309570312,5.799945831298827,101360.0,57.52650451660156,292.36460876464844,0.0,96.0,0.0,0.0,0.0,0.0,292.6079864501953,291.452392578125,0.01336,291.8863525390625,95.6,0.5724821090698242,3.051342010498047,3.0643716222839434,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07780000000000001,0.25,-5.0,12.0,-3.0,12.0,2.9000000000000004,10.0,-3.0,25.80732977390289,100.0,0.0,0.0,100.0,98000.0,344.05896186828613,231.48548889160156,89200.0,1437.3138427734375,268.1,0.0,412.70000000000016,0.0,414.1281127929688,0.0,0.0,198.0,102.1,9.033527374267578,0.019758224487304688,8.550983428955076,6.440052032470702,5.502185821533203,-0.3927536010742188,4589.6,33.0,59000.0,4590.0,33.0,59000.0,6160.0,7360.0,1.2000000000000002,20.0,-483.0,488.2117748260498,187.75523376464844,10.0,-1.0,30.0,0.0,1290.2190246582034,98000.0,41.40000000000001,1.0,0.0,242.6,286.5300000000001,235.34,285.37
