Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,3,2,-10.0,-999.0,0.0,15100.0,-10.0,-10.0,-10.0,13.605620138347149,57.339455842971795,11.005760192871094,5525.6787109375,249.4698028564453,228.18728637695312,33.24878597259521,-3.40875244140625,2975.69580078125,267.6281890869141,244.56228637695312,21.77027034759521,-13.842546463012695,1431.634765625,273.6544189453125,272.587417602539,19.92977523803711,-11.909730911254885,278.1718139648437,274.84678649902344,18.89209175109864,-9.437826156616213,283.55615234375,277.5688323974609,6.966709136962893,-4.811206817626953,0.0,-0.02435445785522461,0.008314847946166992,101250.0,104.0528793334961,0.0,0.0,0.0,0.0,13.04075813293457,-7.866762161254883,98120.0,263.9952545166016,281.4162750244141,0.0,75.10000000000002,0.0,0.0,0.0,0.0,282.31858825683594,283.86175537109375,0.005379999999999999,277.73426818847656,72.3,7.61669921875,-5.243183135986328,9.127776795299724,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772,0.88,-50.0,116.0,80.0,12.0,5.9,0.0,-2.0,11.61005961894989,89.625,0.0,0.0,89.625,88900.0,1075.821943283081,876.1478881835938,86400.0,1569.1520538330078,250.0,0.0,344.1,0.0,355.67515563964844,0.0,0.0,62.0,72.3,22.39624786376953,-17.24321174621582,12.906343460083008,-4.242786407470703,19.198322296142575,4.501197814941406,1933.28,88.0,79900.0,1930.0,88.0,79900.0,3690.0,5070.0,3.6,0.0,0.0,810.7011489868164,889.6325836181641,0.0,0.0,0.0,0.0,284.5520286560058,77300.0,54.2,1.0,0.0,250.25,272.87,242.3,271.88
1,0,2018,3,2,-2.8125,-999.0,0.0004,15500.0,-10.0,-10.0,-10.0,12.847764026373625,58.40565323829651,6.930267333984375,5521.18017578125,248.9687347412109,217.56228637695312,32.97274398803711,-2.209228515625,2977.951171875,266.508544921875,239.81228637695312,24.2353515625,-10.880243301391602,1441.2891845703125,272.19012451171875,271.31228637695307,18.1356201171875,-14.896036148071287,276.05194091796875,273.5347900390625,16.000661849975586,-12.172691345214846,281.74267578125,275.935546875,6.796823501586914,-5.011955261230469,0.0,-0.022629261016845703,-0.035701751708984375,101479.0,122.59212493896484,0.0,0.0,0.0,0.0,11.81631851196289,-8.485420227050781,98330.0,263.9952545166016,280.52256774902344,0.0,74.60000000000002,0.0,0.0,0.0,0.0,280.99569702148443,282.36705017089844,0.00483,276.2279815673828,71.7,7.4420013427734375,-5.352537155151367,9.064049153355883,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.79,-25.0,117.0,75.0,12.0,7.7,10.0,0.0,9.619507968425749,98.125,0.0,0.0,98.125,89100.0,1070.3462600708008,871.9982299804688,86600.0,1560.6425590515137,247.6,0.0,336.7000000000001,0.0,351.1049346923828,0.0,0.0,29.0,-0.5,22.73751640319824,-17.138927459716793,10.62004852294922,-8.61027717590332,21.11880111694336,7.367946624755857,1129.92,100.0,88400.0,1130.0,100.0,88400.0,3600.0,4960.0,5.8000000000000025,0.0,0.0,965.1328830718994,864.8653259277344,0.0,-1.0,0.0,0.0,284.0636901855469,80800.0,48.7,1.0,0.0,250.83,271.06,242.66,270.15
2,0,2018,3,2,-10.0,-999.0,0.0,13300.0,-10.0,-10.0,-10.0,14.741348296403885,61.54491591453552,5.467010498046875,5512.861328125,248.5027313232422,205.56228637695312,35.682980537414544,-3.8014144897460938,2977.2978515625,264.2714233398437,247.56228637695312,24.91007804870605,-10.43805694580078,1450.7568359375,270.7078857421875,270.7776641845703,17.582183837890625,-13.228918075561525,275.10400390625,273.92758178710943,14.257198333740234,-9.336780548095703,280.4017944335937,275.8605499267578,4.909322738647461,-2.6568317413330083,0.0,-0.02597236633300781,0.0005013942718505858,101667.0,137.06201171875,0.0,0.0,0.0,0.0,8.986177444458008,-5.27427864074707,98500.0,263.9952545166016,279.4458465576172,0.0,74.3,0.0,0.0,0.0,0.0,279.67971801757807,280.92901611328125,0.004770000000000001,276.06277465820307,77.5,5.1798744201660165,-2.8449573516845703,5.81480082962662,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.5,-9.0,62.0,71.0,12.0,8.4,0.0,-3.0,9.910658657550814,98.875,0.0,0.0,98.875,89200.0,1067.4592266082764,869.6472969055176,80900.0,2183.529930114746,243.6,0.0,331.8,0.0,345.6446685791016,0.0,0.0,46.0,26.0,20.766077041625977,-16.28737449645996,12.01152229309082,-9.368389129638672,26.470462799072266,3.2741661071777344,1075.68,100.0,89200.0,1080.0,100.0,89100.0,3500.0,4850.0,5.7,20.0,0.0,574.8126697540282,687.2729797363281,0.0,0.0,20.0,0.0,2006.5609283447266,80900.0,54.5,1.0,0.0,251.56,269.67,244.06,268.69
3,0,2018,3,2,27.6875,1678.4,0.1024,11500.0,25.9375,-10.0,-10.0,8.892410479485989,62.065334796905525,1.8144454956054688,5506.296875,248.5869598388672,197.99978637695312,39.6609992980957,-6.587566375732423,2978.04150390625,263.03933715820307,245.24978637695312,24.481447219848643,-7.669452667236327,1458.76611328125,269.91632080078125,269.901870727539,16.462837219238278,-13.1544189453125,275.43017578125,275.28610229492193,15.370506286621096,-9.533565521240234,280.44903564453125,277.29476928710943,5.134031295776367,-2.54157829284668,0.0,0.005931377410888672,-0.03067731857299805,101783.0,145.79788208007812,0.0,0.0,0.0,0.0,9.25027847290039,-4.2565765380859375,98600.0,263.9952545166016,279.41639709472656,0.0,74.2,0.0,0.0,0.0,0.0,279.85055541992193,280.9884185791016,0.00515,277.17123413085943,82.80000000000003,5.440778732299805,-2.5630111694335938,5.877034307923168,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.51,-17.0,42.0,60.0,12.0,7.6,30.0,-2.0,10.22061163187027,100.0,0.0,0.0,100.0,91600.0,866.0671977996826,691.6814041137695,81000.0,2181.1273880004883,239.9,0.0,336.6,0.0,345.5357208251953,0.0,0.0,92.0,39.0,20.09931945800781,-15.650890350341795,11.147716522216797,-10.021656036376953,30.479576110839844,-1.396038055419922,1090.96,100.0,89100.0,1090.0,100.0,89000.0,2960.0,4830.0,7.3000000000000025,40.0,0.0,1049.9677772521973,525.0189819335939,30.0,0.0,0.0,0.0,284.0219459533692,77700.0,58.5,1.0,0.0,250.95,268.06,243.58,267.11
4,0,2018,3,2,-10.0,-999.0,0.0,10900.0,-10.0,-10.0,-10.0,13.147504039108751,63.61937618255615,0.1520233154296875,5500.494140625,250.34173583984366,209.24978637695312,41.2723445892334,-9.638694763183594,2974.797607421875,262.0089263916016,245.87478637695312,22.394634246826172,-8.971933364868164,1464.62353515625,269.393798828125,269.31405639648443,12.973648071289062,-11.957025527954102,274.6907958984375,274.1775665283203,11.995817184448242,-8.925491333007812,279.95269775390625,277.084976196289,4.819664001464844,-3.398345947265625,0.0,0.005622386932373047,0.0015482902526855467,101903.0,154.9582977294922,0.0,0.0,0.0,0.0,8.583391189575195,-5.597295761108398,98700.0,263.9952545166016,279.2810821533203,0.0,74.8,0.0,0.0,0.0,0.0,279.46072387695307,280.507339477539,0.005090000000000001,277.0445098876953,84.60000000000002,5.50543212890625,-3.696569442749024,6.5686103333719075,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.5700000000000001,-6.0,46.0,57.0,12.0,9.9,70.0,0.0,9.643218338489534,100.0,0.0,0.0,100.0,91700.0,864.7757911682129,690.7525177001953,81100.0,2172.590606689453,233.3,0.0,333.3,0.0,344.9073791503906,0.0,0.0,82.0,17.0,18.49111557006836,-16.991775512695312,7.391504287719727,-7.845619201660156,32.976682662963874,-0.8564109802246094,996.88,100.0,90200.0,1000.0,100.0,90200.0,2780.0,4950.0,10.2,60.0,0.0,853.5769939422607,482.8439636230469,50.0,0.0,70.0,0.0,1997.3137321472168,98600.0,58.0,1.0,0.0,249.67,265.04,242.69,264.18
5,0,2018,3,2,-4.5,-999.0,0.00032,10200.0,-10.0,-10.0,-10.0,12.187909826636314,64.03553676605225,0.3439674377441406,5497.533203125,249.7915802001953,207.49978637695312,42.220515251159675,-14.039165496826172,2976.00927734375,261.55117797851557,243.49978637695312,21.4635009765625,-9.088991165161133,1469.7021484375,269.03692626953125,268.93728637695307,11.80181884765625,-10.597415924072266,274.26974487304693,273.1055908203125,10.46528434753418,-8.983108520507812,279.2523956298828,277.08102416992193,4.129356384277344,-3.16507339477539,0.0,-0.041595458984375,0.008268117904663086,102005.0,162.7677001953125,0.0,0.0,0.0,0.0,6.926311492919923,-5.220161437988281,98790.0,263.9952545166016,278.861068725586,0.0,74.60000000000002,0.0,0.0,0.0,0.0,278.8631591796875,279.87124633789057,0.005030000000000001,276.8343048095703,87.2,4.679679870605469,-3.572582244873047,5.753206737106668,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.51,3.0,37.0,57.0,12.0,10.0,70.0,0.0,9.234508991241457,95.25,0.0,0.0,95.25,89500.0,1065.292121887207,868.038516998291,81200.0,2169.956329345703,233.8,0.0,327.8,0.0,342.9521789550781,0.0,0.0,91.0,14.0,16.539997100830078,-17.187994003295902,6.638095855712893,-7.047597885131836,35.6496524810791,-5.0950927734375,954.32,94.0,90800.0,950.0,94.0,90700.0,2580.0,4870.0,10.3,50.0,0.0,921.3973846435547,390.265380859375,30.0,-1.0,70.0,0.0,2344.326602935791,98700.0,57.1,1.0,0.0,250.84,265.56,244.11,264.64
6,0,2018,3,2,-10.0,-999.0,0.0,10600.0,-10.0,-10.0,-10.0,9.763029605150225,61.82353734970093,-3.821765899658203,5503.78369140625,249.566162109375,198.93728637695312,41.202788352966316,-21.615184783935547,2979.53369140625,261.30699157714844,237.31228637695312,22.12487030029297,-9.950395584106444,1475.612060546875,268.43621826171875,268.505874633789,9.276697158813477,-9.178327560424805,273.6134033203125,273.6635589599609,8.30299186706543,-7.614936828613281,278.9212646484375,276.38412475585943,3.779851913452149,-2.7775821685791016,0.0,-0.02861547470092773,0.02151012420654297,102114.0,171.4172134399414,0.0,0.0,0.0,0.0,6.245410919189452,-4.535236358642578,98890.0,263.9952545166016,278.58453369140625,0.0,74.7,0.0,0.0,0.0,0.0,278.5848388671875,279.496322631836,0.004860000000000001,276.36407470703125,86.0,4.293832778930663,-2.8952255249023438,5.002267551608384,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.45,2.0,36.0,54.0,12.0,10.4,70.0,0.0,8.729641795158386,99.375,0.0,0.0,99.375,91800.0,862.7960586547852,689.3135719299316,81300.0,2166.029983520508,233.0,0.0,329.1,0.0,341.4934387207031,0.0,0.0,125.0,12.0,14.107370376586914,-17.809690475463867,4.2788944244384775,-6.0484046936035165,35.41868019104004,-14.269157409667967,883.44,100.0,91700.0,880.0,100.0,91600.0,2500.0,4930.0,10.8,50.0,0.0,804.3376922607422,441.9977111816406,50.0,0.0,70.0,0.0,2340.337509155273,98800.0,55.5,1.0,0.0,250.66,264.8,243.74,263.95
7,0,2018,3,2,-10.0,-999.0,0.0,12900.0,-10.0,-10.0,-10.0,9.849319789558647,60.6069769859314,-4.104484558105469,5509.73583984375,249.75770568847656,204.06228637695312,41.85851287841797,-27.18151092529297,2982.14306640625,260.85626220703125,236.99978637695312,21.23551177978516,-11.39910888671875,1478.9091796875,268.2601928710937,268.1739654541016,10.212911605834961,-12.14700698852539,272.94955444335943,271.28756713867193,8.231063842773438,-8.06556510925293,278.4041748046875,274.60232543945307,3.8691349029541016,-2.540077209472656,0.0,0.0022459030151367188,-0.01500558853149414,102194.0,177.53817749023438,0.0,0.0,0.0,0.0,6.88917350769043,-4.134937286376953,98970.0,263.9952545166016,278.4774780273437,0.0,74.4,0.0,0.0,0.0,0.0,278.2242431640625,279.0706024169922,0.00429,274.648941040039,78.4,4.605226516723633,-2.655967712402344,5.189752742182463,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.47,16.0,63.0,26.0,12.0,12.2,20.0,0.0,7.933985412120818,84.125,0.0,0.0,84.125,84400.0,1538.3884258270264,1290.8115768432617,84400.0,1835.1224060058594,238.6,0.0,307.5,0.0,341.08876037597656,0.0,0.0,125.0,10.0,13.458614349365234,-19.30417823791504,3.523670196533203,-7.4725341796875,34.97757339477539,-20.60853576660156,790.88,88.0,92800.0,790.0,88.0,92700.0,2430.0,4970.0,12.5,10.0,-1.0,695.0512409210205,584.8207702636719,0.0,-1.0,0.0,0.0,284.29753494262695,81300.0,51.2,1.0,0.0,250.45,268.69,243.48,266.48
8,0,2018,3,2,-10.0,-999.0,0.0,11200.0,-10.0,-10.0,-10.0,10.525137225165963,58.57056951522827,-4.38671875,5516.81982421875,250.7091522216797,213.31228637695312,41.59133911132813,-30.01007461547852,2980.226806640625,261.06689453125,235.99978637695312,20.7210693359375,-14.25013542175293,1478.8621826171875,267.94500732421875,263.94268798828125,9.40298080444336,-14.836341857910154,272.00689697265625,270.2281494140625,8.423368453979492,-8.030099868774414,277.40029907226557,274.23159790039057,4.168758392333984,-2.06411361694336,0.0,-0.030953884124755863,-0.004777431488037109,102241.0,181.5569534301757,0.0,0.0,0.0,0.0,7.6123104095458975,-3.755861282348633,99020.0,263.9952545166016,276.9196319580078,0.0,74.0,0.0,0.0,0.0,0.0,276.87649536132807,277.7124786376953,0.004200000000000001,274.3857879638672,83.80000000000003,4.649620056152344,-2.0231475830078125,5.063351661490742,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.44,4.0,36.0,67.0,12.0,14.3,20.0,0.0,6.8824809193611145,37.625,0.0,0.0,37.625,89700.0,1058.551507949829,862.9889297485352,89700.0,1286.6929626464844,239.2,0.0,317.4000000000001,0.0,333.502685546875,0.0,0.0,135.0,10.0,12.51982879638672,-20.47899055480957,2.598400115966797,-10.000289916992188,34.566665649414055,-24.52880096435547,674.0,87.0,94200.0,670.0,87.0,94100.0,2370.0,5100.0,14.6,10.0,0.0,818.1857395172119,495.51153564453125,0.0,0.0,0.0,0.0,283.74797439575195,70400.0,45.0,1.0,0.0,249.68,268.96,242.44,267.96
9,0,2018,3,2,-10.0,-999.0,0.0,10800.0,-10.0,-10.0,-10.0,6.603427078574897,56.41760778427124,-6.099220275878906,5526.12890625,250.89419555664062,222.06228637695312,41.57119178771973,-29.70616149902344,2983.12841796875,262.3297119140625,230.87478637695312,22.28329086303711,-17.007909774780273,1481.149658203125,268.04501342773443,264.62478637695307,9.305679321289062,-14.46927261352539,271.11346435546875,270.1228179931641,7.327808380126952,-7.54633903503418,276.3139038085937,273.294189453125,3.1903915405273438,-1.72747802734375,0.0,0.008031845092773438,-0.02530801296234131,102286.0,186.15513610839844,0.0,0.0,0.0,0.0,6.625236511230469,-3.846744537353516,99080.0,263.9952545166016,275.25881958007807,0.0,73.9,0.0,0.0,0.0,0.0,275.67605590820307,276.4302978515625,0.00394,273.5044708251953,85.0,3.1772613525390625,-1.7024307250976562,3.565628834767267,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.29,-12.0,20.0,88.0,12.0,15.8,0.0,-1.0,6.501513481140138,59.0,0.0,0.0,59.0,--,--,--,--,--,242.2,0.0,232.6,0.0,325.34490966796875,0.0,0.0,187.0,20.0,12.293968200683596,-20.346900939941406,4.6113128662109375,-10.14800262451172,35.79277420043945,-25.10171890258789,576.96,83.0,95400.0,580.0,83.0,95300.0,2380.0,5130.0,16.0,0.0,0.0,547.0765914916992,503.9010620117188,0.0,0.0,0.0,0.0,283.72023773193365,70500.0,42.40000000000001,1.0,0.0,249.03,273.89,241.42,273.21
