Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,3,15,-10.0,-999.0,0.0,24900.0,-10.0,-10.0,-10.0,6.114261299371719,25.669618606567386,-20.49864959716797,5436.6748046875,244.28826904296875,232.74978637695312,26.08967590332031,-22.60261535644531,2948.33935546875,260.1376800537109,251.74978637695312,16.48941707611084,-11.196666717529297,1443.98046875,267.08633422851557,250.3774871826172,11.615089416503904,-0.4038200378417969,271.439453125,255.2964172363281,11.545116424560547,2.5403823852539062,277.05178833007807,262.00279235839844,2.348470687866211,2.070098876953125,0.0,-0.019388675689697262,0.022911787033081055,101874.0,151.28668212890625,0.0,0.0,0.0,0.0,7.492775917053223,3.133275985717773,98690.0,259.2452545166016,271.19032287597656,0.0,76.9,0.0,8.09375,100.0,0.029,272.80825805664057,273.87869262695307,0.0024,266.78228759765625,57.6,2.1888856887817383,1.6807785034179688,2.6269261869601905,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.13,-19.0,10.0,100.0,12.0,14.0,0.0,0.0,4.433955669403076,0.0,0.0,0.0,0.0,--,--,--,--,--,224.6,0.0,214.1,0.0,306.7813873291016,0.0,0.0,196.0,126.2,7.5698184967041025,-10.338617324829102,9.727956771850586,0.025899887084960938,21.821704864501953,-29.32331466674805,210.4,64.0,98700.0,620.0,25.0,94400.0,2500.0,4160.0,11.7,0.0,0.0,858.9922065734862,2126.884094238281,0.0,0.0,0.0,0.0,278.9361953735352,70200.0,33.2,1.0,0.0,238.67,270.11,232.27,269.63
1,0,2018,3,15,-10.0,-999.0,0.0,21800.0,-10.0,-10.0,-10.0,5.3040027990937215,25.983476638793945,-21.065330505371094,5445.17578125,244.89833068847656,229.74978637695312,26.104656219482425,-26.116798400878906,2955.119873046875,261.26596069335943,251.56228637695312,18.007080078125,-14.881231307983398,1444.234130859375,268.76544189453125,253.152587890625,12.556358337402346,-0.7553043365478516,272.34280395507807,259.0765380859375,11.967781066894533,3.5619792938232417,276.21075439453125,263.44639587402344,1.6266050338745115,1.9154300689697263,0.0,0.0159759521484375,0.02604913711547852,101814.0,147.09918212890625,0.0,0.0,0.0,0.0,6.766569137573242,3.5085525512695312,98650.0,259.2452545166016,269.826400756836,0.0,76.10000000000002,0.0,8.0625,100.0,0.029,272.48712158203125,273.55621337890625,0.00232,266.34619140625,63.3,1.0736398696899414,1.0910358428955078,1.376627553254366,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.04,-4.0,0.0,58.0,12.0,16.1,0.0,0.0,4.922475099563599,0.0,0.0,0.0,0.0,--,--,--,--,--,223.4,0.0,215.8,0.0,300.67799377441406,0.0,0.0,294.0,166.20000000000005,7.7240333557128915,-10.439249038696287,11.902681350708008,0.5475368499755859,22.347400665283203,-35.377906799316406,160.24,63.0,98600.0,700.0,34.0,93400.0,2660.0,4130.0,10.6,0.0,0.0,394.9393005371094,1838.1207275390625,0.0,0.0,0.0,0.0,278.872013092041,70200.0,35.30000000000001,1.0,0.0,238.9,268.86,232.2,268.46
2,0,2018,3,15,-10.0,-999.0,0.0,20100.0,-10.0,-10.0,-10.0,4.735104065388442,25.808765411376953,-20.812992095947266,5447.9873046875,245.56651306152344,232.68728637695312,24.93789291381836,-28.51270294189453,2955.21923828125,261.51953125,252.99978637695312,16.6028470993042,-16.04581069946289,1441.953369140625,270.02651977539057,250.81228637695312,13.82034969329834,-1.1000137329101562,272.5112152099609,260.36627197265625,12.74095630645752,4.733100891113281,275.77432250976557,263.7251739501953,1.3087453842163086,2.214301109313965,0.0,0.004044532775878906,0.008388996124267578,101755.0,142.5141143798828,0.0,0.0,0.0,0.0,6.327938079833984,3.677867889404297,98600.0,259.2452545166016,269.1233367919922,0.0,75.60000000000002,0.0,8.03125,100.0,0.029,271.8347625732422,272.94815063476557,0.0022700000000000003,266.0757598876953,65.10000000000001,0.8480472564697266,1.224721908569336,1.3140149965183807,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.04,-4.0,0.0,63.0,12.0,17.3,0.0,0.0,5.080845892429352,6.75,0.0,0.0,6.75,--,--,--,--,--,221.6,0.0,215.7,0.0,297.4016418457031,0.0,0.0,347.0,199.9,7.5706825256347665,-10.493968963623047,13.030200958251953,-0.3179893493652344,21.097633361816406,-37.62692260742188,55.04,65.0,98600.0,710.0,38.0,93200.0,2710.0,4140.0,10.7,0.0,0.0,41.73777770996094,1733.5952758789062,0.0,0.0,0.0,0.0,278.77953338623047,70200.0,35.4,1.0,0.0,237.51,268.18,230.65,267.83
3,0,2018,3,15,-10.0,-999.0,0.0,19300.0,-10.0,-10.0,-10.0,3.7199924662709236,26.74790382385254,-22.61726379394531,5471.984375,247.24655151367188,237.12478637695312,26.100945472717285,-28.180538177490234,2963.550537109375,262.04287719726557,255.24978637695312,17.588794708251953,-13.837120056152346,1446.021728515625,270.97056579589844,253.93719482421875,15.065516471862793,-1.2115478515625,273.69967651367193,261.45712280273443,13.459738731384276,5.282079696655273,275.65948486328125,263.66709899902344,0.2962322235107422,1.7617816925048828,0.0,-0.029489517211914062,-0.02630472183227539,101753.0,142.665771484375,0.0,0.0,0.0,0.0,5.275262832641602,3.524713516235352,98600.0,259.2452545166016,269.010269165039,0.0,75.2,0.0,8.03125,100.0,0.029,271.51551818847656,272.6868438720703,0.0022800000000000003,266.1277313232422,66.7,-0.5069103240966797,0.4704427719116211,1.1889108704635871,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.02,-2.0,0.0,63.0,12.0,19.200000000000006,0.0,0.0,5.582568883895874,0.0,0.0,0.0,0.0,--,--,--,--,--,222.9,0.0,219.0,0.0,297.04345703125,0.0,0.0,399.0,254.7,8.511587142944336,-10.551071166992188,15.839643478393555,0.1838245391845703,22.041656494140625,-34.350204467773445,14.24,67.0,98600.0,850.0,40.0,91600.0,2790.0,4570.0,11.1,0.0,0.0,34.8115177154541,1735.7434692382812,0.0,0.0,0.0,0.0,278.7284393310547,70200.0,36.7,1.0,0.0,238.29,268.16,231.25,267.84000000000003
4,0,2018,3,15,-10.0,-999.0,0.0,16200.0,-10.0,-10.0,-10.0,2.020489130169153,27.96858024597168,-23.07646560668945,5473.10107421875,247.4193572998047,240.24978637695312,25.29676628112793,-29.57517242431641,2961.402099609375,261.6078338623047,256.87478637695307,17.248559951782227,-13.148405075073242,1447.156982421875,271.0401153564453,255.49978637695312,16.779617309570312,-2.670440673828125,274.33139038085943,261.85552978515625,14.184253692626953,4.3802032470703125,275.2992553710937,265.2478485107422,0.16666698455810547,2.187463760375977,0.0,-0.029695034027099613,0.018379926681518555,101753.0,142.4246368408203,0.0,0.0,0.0,0.0,3.130207061767578,3.2054405212402344,98600.0,259.2452545166016,268.9615936279297,0.0,74.8,0.0,8.03125,100.0,0.029,271.1428985595703,272.2622833251953,0.00239,266.7397308349609,72.0,-0.9084854125976562,1.278425216674805,2.0043955035507683,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.04,-3.0,0.0,63.0,12.0,19.200000000000006,0.0,0.0,6.135473906993866,0.875,0.0,0.0,0.875,--,--,--,--,--,221.8,0.0,219.6,0.0,296.82945251464844,0.0,0.0,449.0,295.0,8.560855865478517,-11.12724494934082,17.619815826416016,-1.4395904541015625,22.185596466064453,-35.26749801635742,0.0,72.0,98600.0,940.0,38.0,90600.0,2660.0,4650.0,11.1,0.0,0.0,36.874610900878906,1476.5811767578125,0.0,0.0,0.0,0.0,278.6528701782226,70200.0,40.1,1.0,0.0,237.64,268.09000000000003,230.72,267.75
5,0,2018,3,15,-10.0,-999.0,0.0,16600.0,-10.0,-10.0,-10.0,2.7900704480707645,27.45475959777832,-23.22323989868164,5477.40234375,247.7350616455078,243.43728637695312,25.41245937347412,-29.79790496826172,2961.525634765625,261.83775329589844,254.43728637695312,16.953336715698242,-11.87301254272461,1445.666015625,272.1514892578125,260.12478637695307,18.58811092376709,-4.031332015991212,275.00357055664057,261.96243286132807,15.408676147460938,5.205768585205078,275.213134765625,264.5126190185547,0.4771499633789063,2.7377939224243164,0.0,-0.033246517181396484,-0.01819896697998047,101694.0,137.7547607421875,0.0,0.0,0.0,0.0,4.087577819824219,4.5037384033203125,98540.0,259.2452545166016,268.8783416748047,0.0,74.5,0.0,8.0,100.0,0.029,269.75282287597656,270.9295196533203,0.00233,266.3778686523437,71.3,-1.4565925598144531,1.341449737548828,2.379703794606029,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.06,-5.0,0.0,62.0,12.0,20.0,0.0,0.0,6.695696473121643,0.0,0.0,0.0,0.0,--,--,--,--,--,220.2,0.0,221.6,0.0,296.20220947265625,0.0,0.0,501.0,338.1,9.143149375915527,-10.850919723510742,18.39850234985352,-2.462730407714844,20.37712860107422,-35.75994110107422,0.0,78.0,98500.0,1150.0,34.0,88300.0,2670.0,4700.0,10.0,0.0,0.0,81.0985851287842,1582.1279907226562,0.0,0.0,0.0,0.0,278.61188888549805,70100.0,42.3,1.0,0.0,236.05,268.0,229.28,267.68
6,0,2018,3,15,-10.0,-999.0,0.0,16400.0,-10.0,-10.0,-10.0,3.282885417342186,27.65701675415039,-25.595733642578125,5486.708984375,248.1868896484375,243.93728637695312,27.139896392822266,-27.22810363769531,2964.03515625,262.26031494140625,250.99978637695312,16.019290924072266,-10.898984909057617,1443.262939453125,273.19715881347656,260.2209014892578,20.820094108581547,-4.843296051025392,275.23956298828125,262.803466796875,16.606765747070312,6.078042984008789,275.45626831054693,265.1763916015625,1.0542211532592771,3.0027170181274414,0.0,-0.019791126251220703,-0.019817352294921875,101617.0,131.6641845703125,0.0,0.0,0.0,0.0,4.783458709716797,5.819976806640625,98470.0,259.2452545166016,269.1931610107422,0.0,74.2,0.0,8.0,100.0,0.029,270.1988525390625,271.36636352539057,0.0024200000000000003,266.9171600341797,71.4,-1.513105392456055,1.3597517013549805,2.126307609840296,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.06,-5.0,0.0,59.0,12.0,19.6,0.0,0.0,6.598337829113008,0.0,0.0,0.0,0.0,--,--,--,--,--,221.4,0.0,223.0,0.0,297.7329864501953,0.0,0.0,581.0,435.4,10.064921379089355,-10.533863067626953,21.140239715576172,-3.9929256439208975,21.43546295166016,-33.528926849365234,0.0,78.0,98400.0,1440.0,37.0,85000.0,2800.0,4800.0,9.6,0.0,0.0,149.58203887939453,1541.6690673828125,0.0,0.0,0.0,0.0,278.56542587280273,77600.0,39.5,1.0,0.0,235.96,268.38,228.87,268.1
7,0,2018,3,15,-10.0,-999.0,0.0,18300.0,-10.0,-10.0,-10.0,6.020896581932902,30.01383876800537,-27.207744598388672,5496.22998046875,248.7221984863281,244.74978637695312,28.41669464111328,-25.03748321533203,2967.4697265625,262.68954467773443,253.06228637695312,16.634204864501953,-11.32194709777832,1441.197021484375,274.59628295898443,260.06228637695307,23.28125286102295,-5.981222152709961,276.49560546875,261.5321655273437,19.84991455078125,5.9046783447265625,275.5663452148437,265.08596801757807,1.4507951736450195,3.6593074798583984,0.0,0.025149822235107425,0.017236590385437008,101533.0,124.97735595703124,0.0,0.0,0.0,0.0,6.6021881103515625,7.798501968383789,98370.0,259.2452545166016,269.2946014404297,0.0,73.9,0.0,7.96875,100.0,0.029,270.4141082763672,271.70347595214844,0.00239,266.6965484619141,67.7,-1.5052967071533203,1.4893388748168943,2.3141531273722653,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.06,-5.0,0.0,57.0,12.0,19.9,0.0,0.0,6.9600924253463745,0.0,0.0,0.0,0.0,--,--,--,--,--,221.1,0.0,225.6,0.0,298.0550231933594,0.0,0.0,675.0,581.0,11.687807083129885,-9.955583572387695,25.23201847076416,-5.930932998657228,20.469038009643555,-32.60043716430664,0.0,76.0,98300.0,1640.0,39.0,83000.0,2900.0,4900.0,8.9,0.0,0.0,179.5998992919922,1550.7260437011719,0.0,0.0,0.0,0.0,279.0374565124512,77500.0,39.1,1.0,0.0,235.47,268.49,228.48,268.22
8,0,2018,3,15,-10.0,-999.0,0.0,20900.0,-10.0,-10.0,-10.0,9.730605933815239,28.95933818817139,-26.319679260253906,5504.5673828125,249.28350830078125,245.24978637695312,29.25738906860352,-23.589900970458984,2970.0458984375,262.70254516601557,257.49978637695307,17.670433044433594,-12.06625747680664,1437.38525390625,276.09713745117193,262.1012115478516,24.73306941986084,-7.8364620208740225,278.1470947265625,262.66827392578125,24.67850112915039,5.350727081298828,276.19989013671875,265.54995727539057,2.638111114501953,3.7443466186523438,0.0,0.003952980041503906,0.022984862327575684,101417.0,115.49354553222656,0.0,0.0,0.0,0.0,9.330785751342773,9.201536178588867,98250.0,259.2452545166016,269.6964111328125,0.0,73.7,0.0,7.96875,100.0,0.029,271.1512451171875,272.5428924560547,0.0024300000000000003,266.8890380859375,62.7,1.138957977294922,1.4004411697387695,0.8143297042697668,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.05,-6.0,2.0,52.0,12.0,19.200000000000006,0.0,0.0,7.886958122253418,10.0,0.0,0.0,10.0,--,--,--,--,--,221.8,0.0,231.9,0.0,299.8462219238281,0.0,0.0,737.0,693.0,13.403316497802734,-9.584131240844727,24.709716796875,-8.460554122924805,17.782907485961914,-32.182567596435554,0.0,73.0,98200.0,1840.0,45.0,80800.0,2920.0,4990.0,8.131536865234375,0.0,0.0,224.665563583374,1585.4015808105469,0.0,0.0,0.0,0.0,279.02482986450195,77400.0,40.90000000000001,1.0,0.0,235.2,268.93,228.27,268.69
9,0,2018,3,15,-10.0,-999.0,0.0,22100.0,-10.0,-10.0,-10.0,10.97409412637353,30.309608459472656,-27.46718597412109,5508.3466796875,249.27880859375,243.81228637695312,30.27890205383301,-22.89408874511719,2970.12646484375,262.888427734375,260.62478637695307,19.75684356689453,-11.318296432495115,1433.203857421875,277.0623016357422,262.81228637695307,25.967151641845703,-8.059799194335938,278.41134643554693,263.4612579345703,25.66390991210937,4.950239181518555,276.74325561523443,266.0647735595703,3.1128387451171875,3.815013885498047,0.0,-0.017508983612060547,0.008668899536132812,101338.0,109.16940307617188,0.0,0.0,0.0,0.0,9.189714431762695,9.160879135131836,98170.0,259.2452545166016,271.2432861328125,0.0,73.5,0.0,7.90625,100.0,0.029,273.42062377929693,274.8660430908203,0.0024400000000000003,266.9162139892578,58.5,3.1647396087646484,2.9380931854248047,2.2507981482194737,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006,0.35000000000000003,-71.0,32.0,37.0,12.0,18.2,0.0,0.0,8.661505699157715,59.0,0.0,0.0,59.0,--,--,--,--,--,224.1,0.0,236.0,0.0,306.8554229736328,0.0,0.0,705.0,663.0,14.644807815551758,-9.446813583374023,24.1894588470459,-10.16706085205078,18.461231231689453,-31.514183044433594,1934.48,47.0,80000.0,1930.0,47.0,79900.0,2940.0,5010.0,7.3000000000000025,0.0,0.232940673828125,201.11889839172363,1538.5232543945312,0.0,0.0,10.0,-6.0,3219.5104942321777,73800.0,43.2,1.0,0.0,235.34,270.37,228.3,270.05
