Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,3,29,2.625,-999.0,0.0016,9400.0,-10.0,-10.0,-10.0,1.0247038397938013,33.448684692382805,14.850284576416016,5718.1328125,259.07211303710943,257.49978637695307,28.874378204345703,11.152732849121094,3085.157470703125,274.4609222412109,273.99978637695307,25.098137855529785,9.54742431640625,1493.4959716796875,283.3384704589844,283.3122863769531,13.044747352600098,6.35060977935791,287.56646728515625,286.71258544921875,10.082763671875,9.789533615112305,290.2509765625,288.90350341796875,0.07194042205810547,-0.15585708618164062,0.0,0.026994705200195312,0.013169050216674805,101397.0,119.16149139404295,8.4375,0.0,0.0,0.0,1.2549991607666016,0.8180179595947266,98650.0,236.9327545166016,288.7221984863281,0.0,79.2,0.0,0.0,0.0,0.0,288.9185791015625,290.048095703125,0.01095,288.3394012451172,95.7,0.14200592041015625,-1.0329513549804688,1.2509542108164171,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-1.0,0.0,0.0,4.0,1.3,0.0,-70.0,36.048302888870246,91.875,17.5,65.5,91.875,86800.0,1316.9274349212646,1085.8201370239258,74000.0,10526.119987487793,219.3,0.0,387.6,0.0,393.9764862060547,0.0,0.0,337.0,216.0,17.5252046585083,0.9142913818359376,13.509761810302734,9.252649307250977,23.227500915527344,6.419147491455077,3378.32,95.0,67600.0,3380.0,95.0,67500.0,4960.0,6940.0,-1.0,180.0,0.0,213.66320610046387,297.5607452392578,70.0,-10.0,150.0,-1.0,5720.198673248291,91600.0,92.8,1.0,0.0,231.96,265.1,224.91,256.1
1,0,2018,3,29,3.125,-999.0,0.0016,10000.0,-10.0,-10.0,-10.0,1.148723853752017,29.58462810516357,15.351356506347654,5720.80615234375,259.33816528320307,257.49978637695307,22.456212043762207,9.108882904052734,3088.405517578125,275.36436462402344,273.56228637695307,24.96032905578613,11.933221817016602,1494.46826171875,283.28363037109375,282.8122863769531,10.704050064086914,5.2591142654418945,287.2176513671875,286.8460388183594,9.840841293334961,8.197153091430664,290.20440673828125,289.42161560058594,-0.3193635940551758,0.8364410400390625,0.0,-0.004306793212890625,0.019353151321411133,101410.0,120.66230964660645,14.4375,0.0,0.0,0.0,0.3590297698974609,1.8887290954589844,98670.0,236.9327545166016,288.50733947753906,0.0,81.0,0.0,0.0,0.0,0.0,288.85943603515625,290.0090026855469,0.01088,288.2261962890625,96.3,-0.4730510711669922,0.2531566619873047,0.9391207091975956,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.02,0.0,0.0,4.0,4.0,1.5,10.0,-66.0,35.90784865617753,73.875,5.625,42.0,73.875,86800.0,1315.937484741211,407.6990623474121,77700.0,10521.212127685547,238.5,0.0,385.6,0.0,392.6901550292969,0.0,0.0,229.0,147.20000000000005,15.742183685302734,0.7257575988769531,11.160009384155273,5.253118515014648,17.41490364074707,3.8836669921875,3450.16,91.0,67000.0,3450.0,91.0,66900.0,4960.0,6930.0,-0.6000000000000001,160.0,0.0,252.43098258972168,185.5274353027344,80.0,-10.0,150.0,0.0,5721.2096519470215,93700.0,92.6,1.0,0.0,236.23,276.7,228.05,273.90000000000003
2,0,2018,3,29,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,1.672320868819952,27.02760505676269,21.465167999267575,5729.07421875,260.95211791992193,257.06228637695307,21.56857967376709,10.430583953857422,3092.0439453125,274.7692413330078,273.81228637695307,27.154842376708984,13.344364166259766,1498.617431640625,283.4949035644531,283.3747863769531,12.21821117401123,5.375120162963867,287.08624267578125,286.4388122558594,8.426909446716309,1.966523170471192,290.47821044921875,288.25946044921875,-0.14968204498291016,0.3241119384765625,0.0,-0.014806747436523438,0.029805421829223636,101459.0,124.49271965026855,0.0,0.0,0.0,0.0,2.7799901962280287,2.4006271362304688,98710.0,236.9327545166016,287.0213928222656,0.0,78.4,0.0,0.0,0.0,0.0,288.7228088378906,289.82232666015625,0.01003,287.01319885253906,89.80000000000004,0.3337554931640625,-0.07418632507324219,0.3151864716783166,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.01,-1.0,0.0,21.0,4.0,4.3,0.0,0.0,34.75005769729614,68.875,14.0,0.0,68.875,89400.0,1080.5949268341064,872.306697845459,81000.0,2252.416778564453,241.9,0.0,389.1,0.0,384.90899658203125,0.0,0.0,186.0,66.60000000000001,17.844114303588867,0.2526664733886719,10.719228744506836,3.1230640411376966,16.35919189453125,6.895854949951173,3356.24,92.0,67800.0,3360.0,92.0,67700.0,5220.0,6950.0,1.2000000000000002,110.0,0.0,77.20732116699219,423.058349609375,20.0,-20.0,140.0,0.0,5082.896629333496,89400.0,88.4,1.0,0.0,236.16,279.1,227.78,277.0
3,0,2018,3,29,29.125,3259.0,0.256,9100.0,25.5625,-10.0,-10.0,2.7202067226171494,35.101511001586914,15.499126434326172,5727.44873046875,260.70486450195307,257.99978637695307,22.067283630371094,12.911651611328125,3091.46435546875,274.69659423828125,272.37478637695307,22.98026371002197,11.166690826416016,1498.72900390625,283.5800323486328,283.48155212402344,9.800912857055664,6.898679733276367,287.5996856689453,285.5271301269531,5.556690216064453,1.8607501983642576,290.3411560058594,288.1736602783203,0.0699462890625,1.106781005859375,0.0,-0.031780242919921875,0.0023937225341796875,101448.0,123.5699634552002,0.0,0.0,0.0,0.0,3.0914897918701167,3.0720157623291016,98700.0,236.9327545166016,287.5157775878906,0.0,77.10000000000002,0.0,0.0,0.0,0.0,288.51483154296875,289.6162109375,0.010190000000000001,287.2345428466797,92.5,0.7073440551757812,0.5219955444335938,0.5630421615205705,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,-1.0,0.0,-7.0,4.0,4.5,0.0,0.0,35.705916285514824,94.375,76.0,0.0,94.375,86900.0,1317.8214282989502,1086.1602096557617,56700.0,5404.2274169921875,217.1,0.0,387.5,0.0,387.4546508789063,0.0,0.0,182.0,47.8,16.627740859985348,0.5480690002441406,7.603425979614258,3.748149871826172,17.89019203186035,9.759376525878906,3335.44,89.0,68000.0,3340.0,89.0,67900.0,5210.0,6900.0,0.9,140.0,-1.0,61.45689010620117,392.7894592285156,20.0,-30.0,150.0,0.0,5083.312992095947,89400.0,90.9,1.0,0.0,237.1,264.0,229.01,263.0
4,0,2018,3,29,8.4375,-999.0,0.036000000000000004,8400.0,8.125,-2.6875,-10.0,2.532065238803625,36.13393211364746,17.580036163330078,5725.5966796875,260.41067504882807,258.0386505126953,20.796021461486816,12.681011199951172,3089.191162109375,274.87686157226557,273.56228637695307,19.48527717590332,10.21405792236328,1496.3404541015625,283.26438903808594,283.27671813964844,7.875131607055664,8.358242034912111,287.2977600097656,285.8485412597656,4.217233657836913,2.3387489318847656,289.9490661621094,288.7364196777344,0.12743473052978516,0.3867301940917969,0.0,-0.028972148895263675,-0.01631951332092285,101434.0,122.48249053955078,6.0,0.0,0.0,0.0,2.653118133544922,2.801898956298828,98680.0,236.9327545166016,287.3668975830078,0.0,76.9,0.0,0.0,0.0,0.0,288.2482604980469,289.35015869140625,0.01013,287.16444396972656,93.4,0.5055751800537109,-0.06577301025390625,0.0013726678444072606,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.02,-1.0,0.0,-8.0,4.0,4.2,0.0,0.0,35.98840224742889,81.875,74.375,0.0,81.875,86900.0,1316.4424076080322,1085.482593536377,56700.0,5403.86506652832,217.5,0.0,385.8,0.0,386.5900573730469,0.0,0.0,192.0,61.3,14.993551254272461,0.7552890777587891,6.112388610839844,5.8369789123535165,16.913545608520508,9.241905212402344,3373.28,96.0,67700.0,3370.0,96.0,67600.0,5140.0,6880.0,1.2000000000000002,60.0,-3.0,56.22821807861328,288.40977478027344,20.0,-12.0,90.0,0.0,5083.632801055908,84100.0,92.3,1.0,0.0,238.0,263.7,229.73,262.8
5,0,2018,3,29,-10.0,-999.0,0.0,4300.0,-10.0,-10.0,-10.0,2.1504665203392506,35.5444221496582,15.766555786132812,5728.32275390625,260.15542602539057,258.4667816162109,23.86353206634521,16.522008895874027,3089.47119140625,275.1625823974609,275.12478637695307,14.896591186523438,9.783483505249023,1495.1805419921875,283.80198669433594,283.67578125,5.85407829284668,10.337493896484377,287.28790283203125,285.7998809814453,2.3593425750732417,3.4504928588867188,289.97552490234375,288.80860900878906,0.018631935119628903,-0.09471321105957033,0.0,0.02630329132080078,0.015520811080932615,101411.0,120.57337188720705,0.0,0.0,0.0,0.0,2.133075714111328,1.9613113403320312,98660.0,236.9327545166016,287.2312774658203,0.0,76.2,0.0,0.0,0.0,0.0,288.2156066894531,289.3471984863281,0.01008,287.05902099609375,93.2,0.5578174591064453,-0.4483184814453125,0.6893814642680809,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.02,-1.0,0.0,-8.0,4.0,4.0,0.0,0.0,37.305389225482934,90.0,77.125,72.75,90.0,70100.0,3080.908140182495,275.8130111694336,25200.0,10983.374893188477,184.8,0.0,376.4,0.0,385.90069580078125,0.0,0.0,202.0,100.6,14.380712509155273,1.7631759643554688,3.2261562347412114,9.329730987548828,21.48345947265625,14.776203155517578,3409.12,100.0,67400.0,3410.0,100.0,67300.0,5170.0,6830.0,0.8,30.0,-4.0,49.92085838317871,315.91481018066406,0.0,-38.0,80.0,0.0,5088.580104827881,84100.0,94.7,1.0,0.0,224.8,242.8,220.01,232.1
6,0,2018,3,29,21.5625,3802.6,0.172,8200.0,21.3125,-0.75,-5.8125,1.7760635185986755,38.8976993560791,19.095985412597656,5723.47021484375,258.81558227539057,257.49978637695307,23.95001316070557,18.294960021972656,3089.3583984375,274.2628631591797,274.12478637695307,12.641960144042967,11.600265502929688,1496.660400390625,284.3028259277344,283.01747131347656,8.916767120361328,10.230791091918944,287.40745544433594,286.0037384033203,3.2209949493408203,4.2414188385009775,289.9278564453125,288.9551086425781,0.5930576324462891,0.27758026123046875,0.0,-0.0016717910766601562,-0.011849403381347656,101414.0,120.62464141845705,7.9375,0.0,0.0,0.0,2.4880428314208984,0.9085216522216796,98660.0,236.9327545166016,286.9661407470703,0.0,82.60000000000002,0.0,0.0,0.0,0.0,288.19287109375,289.32313537597656,0.01,286.9827880859375,92.6,0.9855270385742188,-0.451324462890625,0.7510581554379314,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,-1.0,-1.0,0.0,4.0,2.6,10.0,-60.0,36.242508709430695,90.5,98.0,13.625,98.0,74000.0,2638.7773208618164,2647.8953704833984,47900.0,7468.540222167969,201.0,0.0,376.5,0.0,384.5960388183594,0.0,0.0,130.0,111.4,14.012575149536133,2.537393569946289,6.836204528808594,10.124221801757812,23.79449844360352,19.831348419189453,3321.76,100.0,68100.0,3320.0,100.0,68000.0,5020.0,6800.0,-0.6000000000000001,80.0,-11.0,54.24722099304199,268.78518676757807,30.0,-30.0,120.0,-7.0,5724.47794342041,86800.0,92.6,1.0,0.0,236.18,253.6,228.96,251.2
7,0,2018,3,29,16.0625,-999.0,0.036000000000000004,8100.0,7.5625,-10.0,-10.0,2.111336037516594,34.836843490600586,22.115795135498047,5724.041015625,258.8744354248047,257.5292205810547,25.299498558044434,26.90974998474121,3087.29052734375,276.04818725585943,276.07504272460943,14.02188491821289,11.843849182128904,1488.465087890625,284.95263671875,283.2603912353516,8.504854202270508,9.56293487548828,287.35333251953125,286.46783447265625,2.5053081512451167,5.422660827636719,289.45355224609375,288.508056640625,-0.6888723373413086,0.4993343353271485,0.0,-0.004611015319824219,-0.020676851272583008,101300.0,111.3247299194336,0.0,0.0,0.0,0.0,-2.1591033935546875,1.2998600006103516,98560.0,236.9327545166016,286.7984771728516,0.0,88.4,0.0,0.0,0.0,0.0,287.30177307128906,288.5228729248047,0.00985,286.71168518066406,96.5,-0.4948902130126953,0.42938232421875,0.8767110566841438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.02,0.0,0.0,5.0,4.0,3.5,0.0,0.0,36.99033078551293,83.0,99.5,17.25,99.5,73900.0,2642.5008583068848,275.6168212890625,47900.0,8720.768310546875,198.1,0.0,376.20000000000016,0.0,383.5854034423828,0.0,0.0,164.0,114.0,14.371519088745115,5.187404632568359,8.257166862487793,9.15900421142578,26.729949951171875,23.92322540283203,3516.08,100.0,66500.0,3520.0,100.0,66400.0,5020.0,6680.0,-1.3,120.0,-26.0,58.04604911804199,148.9898681640625,10.0,-128.0,210.0,0.0,6931.858562469482,70000.0,92.4,1.0,0.0,234.71,251.2,227.97,247.8
8,0,2018,3,29,15.3125,-999.0,0.0048,9100.0,-10.0,-10.0,-10.0,3.5394304879009724,32.37889862060547,20.83133316040039,5711.5166015625,259.31072998046875,257.99978637695307,19.33786392211914,13.496854782104492,3078.42724609375,274.52749633789057,274.43728637695307,11.446757316589355,12.384298324584961,1485.5076904296875,284.60894775390625,284.0067596435547,9.52545166015625,12.36713409423828,287.6592712402344,286.51466369628906,5.248554229736328,8.136451721191406,289.4136047363281,289.02964782714844,0.7640666961669922,0.8723335266113281,0.0,-0.0010690689086914062,-0.01424086093902588,101263.0,108.07682800292969,18.25,0.0,0.0,0.0,0.35330963134765625,4.843870162963867,98530.0,236.9327545166016,287.22560119628906,0.0,83.0,0.1,0.0,0.0,0.0,287.6165466308594,288.8590087890625,0.01013,287.0997467041016,94.4,0.8810386657714844,1.132158279418945,1.1258184679900296,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.07,-2.0,-1.0,-10.0,4.0,3.1,0.0,-110.0,36.4616180062294,96.875,91.125,0.0,96.875,77600.0,2248.6108112335205,275.7118606567383,65800.0,6511.2150955200195,227.2,0.0,379.5,0.0,386.0485229492188,0.0,0.0,156.0,130.0,12.008686065673828,3.74673843383789,8.698958396911621,10.75518798828125,19.11319923400879,7.494197845458982,3309.04,100.0,68100.0,3310.0,100.0,68000.0,5000.0,6850.0,-1.6,320.0,-4.0,49.99309158325195,165.63101196289062,120.0,-49.0,330.0,-4.0,6336.301876068115,86700.0,93.2,1.0,0.0,238.84,269.1,231.1,266.8
9,0,2018,3,29,37.0625,5855.0,0.5552,7500.0,22.375,21.875,18.8125,8.645316112786531,33.94897556304932,21.521018981933594,5715.0888671875,259.46780395507807,257.87478637695307,23.09817695617676,20.060813903808594,3079.140380859375,274.5614471435547,274.31228637695307,13.554323196411133,16.097198486328125,1483.446533203125,284.96142578125,284.0622863769531,13.496552467346193,15.512855529785154,288.8467102050781,285.35662841796875,5.89106559753418,13.571823120117188,290.03271484375,289.1849670410156,-1.196772575378418,4.109144210815431,0.0,-0.01014995574951172,-0.005820155143737793,101214.0,103.72739028930664,28.4375,0.0,0.0,0.0,-3.864063262939453,9.947834014892578,98460.0,236.9327545166016,287.9834899902344,0.0,100.0,0.0,0.0,0.0,0.0,288.72120666503906,290.0118865966797,0.010520000000000002,287.72618103027344,93.2,-1.6010847091674805,4.674127578735352,4.627450612373651,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.66,-28.0,2.0,-37.0,4.0,1.9,0.0,-163.0,36.265637516975396,82.375,61.25,0.0,82.375,80900.0,1904.536371231079,325.56287384033203,40800.0,7215.104774475098,195.2,0.0,386.4,0.0,389.77195739746094,0.0,0.0,308.0,285.0,13.460055351257324,8.19068717956543,15.454459190368652,13.344690322875975,25.015233993530273,8.988018035888672,3335.04,100.0,67900.0,3340.0,100.0,67800.0,5040.0,6730.0,-2.1,310.0,-13.0,98.7955322265625,243.6757125854492,50.0,-90.0,410.0,0.0,6935.271785736084,83900.0,88.7,1.0,0.0,238.09,251.4,231.33,250.6
