Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,4,1,-10.0,-999.0,0.0,33200.0,-10.0,-10.0,-10.0,6.117321331053972,39.950085163116455,1.7755088806152344,5661.54736328125,254.5313720703125,252.43728637695312,30.719664573669434,1.4622879028320312,3069.4609375,269.8113555908203,267.06228637695307,20.391161441802982,11.118728637695312,1510.4134521484375,279.2574920654297,268.31228637695307,7.991156578063965,7.8017425537109375,286.3470153808594,270.81228637695307,6.852836608886719,6.757305145263673,291.2919921875,271.9935302734375,2.1212453842163086,1.8137798309326167,0.0,0.00992727279663086,0.003008127212524414,101789.0,149.8226089477539,0.0,0.0,0.0,0.0,5.802387237548827,5.528973579406738,98530.0,274.1827545166016,285.0783233642578,0.0,69.3,0.0,0.0,0.0,0.0,286.71075439453125,287.89495849609375,0.00525,277.4303131103516,48.40000000000001,1.953033447265625,2.062929153442384,2.691069890279324,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171,0.12,-20.0,29.0,50.0,12.0,8.9,0.0,0.0,15.77971601486206,31.75,61.5,0.0,61.5,56700.0,4720.386728286743,4110.715946197511,52100.0,5956.939422607422,231.1,0.0,303.0,0.0,374.3848114013672,0.0,0.0,163.0,62.40000000000001,12.977143287658693,-0.9000034332275391,4.623533248901367,5.475845336914063,23.241071701049805,-4.5698204040527335,2394.88,57.0,76300.0,2390.0,57.0,76200.0,4400.0,5850.0,7.4,0.0,0.0,436.485897064209,2649.1915435791016,0.0,0.0,0.0,0.0,294.77732849121094,70100.0,52.0,1.0,0.0,234.47,257.0,227.31,255.31
1,0,2018,4,1,-10.0,-999.0,0.0,28800.0,-10.0,-10.0,-10.0,6.999260935932398,37.38940048217773,-1.5230636596679688,5657.13720703125,254.209228515625,251.49978637695312,33.31669521331787,1.59454345703125,3067.455810546875,270.44070434570307,269.81228637695307,24.031893253326416,14.04336166381836,1509.22412109375,278.88076782226557,267.18728637695307,9.75763702392578,7.81132698059082,285.5122985839844,268.09231567382807,8.384888648986816,8.162352561950684,289.8221130371094,271.829116821289,1.5872802734375,2.061725616455078,0.0,-0.02799677848815918,-0.028737187385559082,101817.0,152.27944326400757,0.0,0.0,0.0,0.0,6.514945983886719,6.324790000915527,98560.0,274.1827545166016,284.5945129394531,0.0,69.7,0.0,0.0,0.0,0.0,285.98992919921875,287.1546630859375,0.00521,277.3128662109375,52.3,1.483407974243164,2.4042835235595703,2.6885051536373794,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.16,-21.0,40.0,30.0,12.0,9.1,0.0,0.0,16.06248319149017,100.0,67.125,63.25,100.0,65900.0,3543.780870437622,3064.3460388183594,56700.0,9372.268623352049,208.1,0.0,349.70000000000016,0.0,371.8218688964844,0.0,0.0,209.0,82.80000000000003,14.482606887817385,0.3221473693847656,6.806547164916992,6.5005950927734375,24.32033443450928,-5.834869384765625,2320.7200000000007,66.0,77000.0,2320.0,66.0,76900.0,4330.0,5820.0,9.1,0.0,0.0,97.28504753112793,2573.112670898437,0.0,0.0,0.0,0.0,294.79790115356445,70100.0,54.90000000000001,1.0,0.0,232.57,255.88,225.8,252.16
2,0,2018,4,1,14.875,-999.0,0.0088,28000.0,-10.0,-10.0,-10.0,5.107411328703165,36.45753884315491,-2.4801101684570312,5660.490234375,254.543701171875,251.62478637695312,29.824995040893555,3.4598464965820312,3068.9794921875,270.29122924804693,270.31228637695307,25.78697395324707,14.094615936279295,1513.072509765625,278.62014770507807,269.43728637695307,11.783321380615234,6.647228240966798,285.5998840332031,269.46212768554693,10.21468448638916,5.931007385253906,290.4305419921875,271.4506072998047,1.0093441009521484,1.2740840911865234,0.0,-0.03420877456665039,-0.01905512809753418,101849.0,155.1509313583374,0.0,0.0,0.0,0.0,6.097593307495117,4.624780654907227,98600.0,274.1827545166016,284.0814971923828,0.0,70.0,0.0,0.0,0.0,0.0,285.3113098144531,286.48614501953125,0.00555,278.24595642089844,55.40000000000001,0.8252964019775391,1.531881332397461,1.5642706224462015,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.05,-5.0,7.0,40.0,12.0,9.1,0.0,0.0,17.685490369796753,74.125,33.375,0.875,74.125,77700.0,2238.9831504821773,3063.8919830322266,65900.0,4105.770217895508,217.4,0.0,354.70000000000016,0.0,369.4041290283203,0.0,0.0,268.0,99.5,15.973954200744627,-0.8198738098144531,10.352142333984377,4.810480117797852,22.038387298583984,-1.2490692138671875,2155.68,81.0,78600.0,2160.0,81.0,78500.0,4340.0,5860.0,8.700000000000001,0.0,0.0,409.9554100036621,2557.6752319335933,0.0,0.0,30.0,0.0,3293.8399047851562,70100.0,60.5,1.0,0.0,234.66,265.75,227.14,264.31
3,0,2018,4,1,21.75,3231.720000000001,0.1328,24100.0,21.75,-10.0,-10.0,5.353104006499052,38.66558170318604,-8.086135864257812,5658.50927734375,254.8450927734375,252.99978637695312,30.051655769348145,3.620073318481445,3069.177734375,270.17117309570307,270.24978637695307,23.979263305664066,15.15182113647461,1514.9619140625,278.44549560546875,270.68728637695307,11.793487548828125,5.819631576538086,285.3028259277344,271.62478637695307,11.642162322998047,3.99920654296875,289.3931884765625,272.998764038086,2.0325794219970703,0.8605213165283203,0.0,0.01516842842102051,-0.032360315322875984,101894.0,158.72110843658447,0.0,0.0,0.0,0.0,7.441511154174805,1.9701919555664065,98640.0,274.1827545166016,284.5621032714844,0.0,70.3,0.0,0.0,0.0,0.0,285.32383728027344,286.5015411376953,0.00583,278.9437255859375,61.1,1.6290607452392578,1.0346012115478516,1.7548312097787857,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.06,-4.0,10.0,14.0,12.0,9.3,0.0,0.0,18.730945706367493,100.0,73.875,0.0,100.0,84100.0,1601.281406402588,2245.9926109313965,61500.0,5297.597671508789,212.2,0.0,357.40000000000015,0.0,371.8616638183594,0.0,0.0,246.0,59.1,17.06312370300293,-1.278167724609375,10.145118713378906,4.227518081665038,21.79145622253418,1.7526702880859375,2058.32,86.0,79600.0,2060.0,86.0,79500.0,4220.0,5910.0,8.200000000000001,0.0,0.0,398.97949409484863,2251.085205078125,0.0,0.0,30.0,0.0,3291.93904876709,70200.0,65.3,1.0,0.0,234.76,261.19,227.44,259.84000000000003
4,0,2018,4,1,21.8125,1779.4,0.08752,20700.0,17.25,-7.0625,-7.0625,7.73691987991333,41.04571199417114,-8.331951141357424,5651.603515625,254.2887420654297,252.37478637695312,32.00403881072998,2.4742431640625,3064.40234375,269.73114013671875,269.62478637695307,21.59421730041504,8.692012786865233,1510.239501953125,277.84963989257807,271.37478637695307,13.118078231811525,9.910886764526367,283.8937072753906,272.49978637695307,11.539668083190918,4.853412628173828,286.6335144042969,277.1196136474609,3.165979385375977,-2.232356071472168,0.0,0.020516395568847656,0.012543201446533205,101925.0,161.01626586914062,0.0,0.0,0.0,0.0,7.49267578125,-4.70050048828125,98660.0,274.1827545166016,284.09844970703125,0.0,71.0,0.0,0.0,0.0,0.0,285.1788482666016,286.2877960205078,0.005580000000000001,278.32891845703125,61.5,3.12060546875,-2.630548477172852,3.940064767375589,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.34,-34.0,79.0,32.0,12.0,8.700000000000001,0.0,0.0,19.554179549217228,71.625,28.75,0.0,71.625,77700.0,2231.379539489746,2240.3893814086914,56700.0,4698.0069732666025,204.6,0.0,350.8,0.0,369.2025451660156,0.0,0.0,223.0,91.7,18.18592643737793,-3.0833053588867188,9.494146347045898,12.282205581665039,23.52579116821289,4.4963645935058585,2155.92,94.0,78500.0,2160.0,94.0,78500.0,4230.0,5800.0,7.9,0.0,0.0,206.35482597351074,1278.8080139160154,0.0,0.0,0.0,0.0,3286.2763748168945,70200.0,72.10000000000002,1.0,0.0,234.19,258.14,226.99,256.61
5,0,2018,4,1,13.4375,-999.0,0.07904000000000001,13000.0,12.1875,9.8125,9.8125,4.962785117328167,40.60162734985352,-6.15740966796875,5652.1337890625,253.04769897460938,251.12478637695312,29.223203659057607,5.9223365783691415,3066.480712890625,269.9869842529297,269.81228637695307,19.56933689117432,6.075815200805664,1510.9725341796875,277.4027709960937,273.56228637695307,14.150728225708008,11.73552131652832,282.15875244140625,274.58203125,14.32682991027832,4.239971160888672,284.4180908203125,279.9560546875,2.8865737915039062,-1.1651277542114258,0.0,0.01946234703063965,0.004545092582702637,101989.0,166.6114635467529,1.6875,0.0,0.0,0.0,5.359842300415039,-2.105661392211914,98750.0,274.1827545166016,283.25279235839844,0.0,70.9,0.0,0.0,0.0,0.0,283.658203125,284.7384185791016,0.006410000000000001,280.3375396728516,79.0,2.2762460708618164,-0.8362503051757812,2.5010787599021564,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.17,-7.0,20.0,36.0,12.0,7.0,0.0,0.0,20.844963431358334,100.0,27.5,5.0,100.0,81100.0,1888.499412536621,1596.8166694641113,44300.0,4676.314392089844,182.3,0.0,349.6,0.0,364.8814849853516,0.0,0.0,132.0,46.0,18.79694175720215,-2.5748157501220703,11.609572410583494,11.01042938232422,21.39822769165039,8.075481414794924,2235.28,100.0,77800.0,2240.0,100.0,77700.0,4280.0,5630.0,5.6000000000000005,0.0,0.0,343.97004127502436,677.732666015625,0.0,0.0,20.0,0.0,3281.739574432373,70200.0,80.0,1.0,0.0,232.33,246.04,226.48,244.7
6,0,2018,4,1,12.125,-999.0,0.008480000000000001,11600.0,-10.0,-10.0,-10.0,6.100158140063286,39.10988998413086,-3.9555702209472656,5650.3662109375,253.142578125,251.12478637695312,30.74234390258789,6.258460998535156,3065.223388671875,270.12664794921875,270.12478637695307,19.205018997192386,5.536672592163086,1507.86279296875,277.31832885742193,274.93728637695307,18.081321716308594,9.76272201538086,281.4050750732422,275.76431274414057,18.022048950195312,3.5170564651489262,284.11767578125,280.515853881836,2.916069984436035,0.842991828918457,0.0,0.014004945755004885,0.02209329605102539,101980.0,165.84405899047854,3.0,0.0,0.0,0.0,7.18743896484375,1.3437252044677734,98730.0,274.1827545166016,282.33335876464844,0.0,70.9,0.0,0.0,0.0,0.0,282.9940643310547,284.07867431640625,0.00644,280.4171295166016,82.4,2.8151464462280287,0.7678842544555664,2.878845321945846,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.23,-15.0,17.0,50.0,12.0,7.2,0.0,0.0,21.649625539779663,100.0,29.75,0.0,100.0,81100.0,1887.2771892547607,1595.3220748901367,61500.0,4698.158126831056,221.6,0.0,349.5,0.0,360.4066925048828,0.0,0.0,107.0,72.5,19.68711280822754,-2.3394012451171875,14.586031913757324,8.314212799072267,21.31907844543457,3.94677734375,2289.76,100.0,77200.0,2290.0,100.0,77100.0,4270.0,5630.0,4.3,0.0,0.0,302.1514720916748,577.9785614013673,0.0,0.0,20.0,0.0,3283.675544738769,70200.0,83.5,1.0,0.0,234.99,265.15,227.69,263.08
7,0,2018,4,1,0.0,-999.0,0.0016,10500.0,-10.0,-10.0,-10.0,5.999309968203306,37.22768974304199,-1.5470619201660156,5639.68701171875,253.1433258056641,251.06228637695312,30.573190689086914,6.540534973144531,3059.513671875,269.369384765625,268.68728637695307,20.849491596221927,5.145027160644531,1506.8131103515625,276.89453125,276.06228637695307,18.590341567993164,8.386289596557617,281.4202117919922,279.9694366455078,16.32561206817627,0.4004802703857422,284.0847930908203,281.4065093994141,3.062389373779297,0.8753871917724609,0.0,-0.013789176940917969,0.024940967559814453,101969.0,164.58766174316406,0.0,0.0,0.0,0.0,6.820608139038086,1.633218765258789,98720.0,274.1827545166016,282.9190979003906,0.0,70.9,0.0,0.0,0.0,0.0,283.2678527832031,284.3673553466797,0.006790000000000001,281.1573638916016,86.10000000000002,2.678495407104492,0.6581592559814453,2.7519690699409693,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.21,-7.0,15.0,20.0,12.0,6.4,0.0,0.0,22.853567481040955,100.0,65.25,0.0,100.0,81100.0,1888.54634475708,1596.9023056030273,61500.0,4691.603935241699,219.1,0.0,349.90000000000015,0.0,363.1510772705078,0.0,0.0,130.0,85.4,19.61335563659668,-2.8759136199951167,15.164735794067385,6.3380489349365225,21.22135066986084,4.463188171386719,2129.84,100.0,78800.0,2130.0,100.0,78700.0,4210.0,5610.0,3.7,20.0,-4.0,278.52294921875,461.22003173828125,0.0,0.0,0.0,0.0,294.60505294799805,70200.0,90.7,1.0,0.0,234.69,263.33,227.48,262.28000000000003
8,0,2018,4,1,7.9375,-999.0,0.0048,10000.0,-9.0625,-10.0,-10.0,4.981051933020353,34.383610725402825,-0.10351943969726562,5637.94921875,253.9530334472656,251.99978637695312,31.152539253234863,4.296485900878906,3054.32666015625,269.29196166992193,268.12478637695307,20.820420742034926,6.351001739501952,1502.64453125,276.8754730224609,276.74978637695307,16.215232849121097,7.5196990966796875,280.64816284179693,280.6626434326172,12.4327392578125,-1.0945796966552734,283.8121490478516,282.48838806152344,2.384603500366211,0.5222883224487305,0.0,-0.013947486877441406,4.470348358154297e-05,101936.0,161.80809402465817,0.0,0.0,0.0,0.0,5.813846588134768,0.2859382629394531,98680.0,274.1827545166016,282.87762451171875,0.0,71.10000000000002,0.0,0.0,0.0,0.0,283.1319122314453,284.2069396972656,0.007130000000000002,281.8770751953125,92.0,2.2244243621826167,0.3209171295166016,2.1899715506006032,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.17,-3.0,7.0,15.0,12.0,6.7,0.0,0.0,23.174760460853573,100.0,17.625,0.0,100.0,93700.0,701.4346599578857,557.1285171508789,74100.0,3047.644111633301,223.5,0.0,359.70000000000016,0.0,363.1086120605469,0.0,0.0,145.0,63.5,18.137967109680176,-3.6799831390380864,12.635090827941895,5.6337032318115225,24.14138984680176,5.101840972900392,2112.56,100.0,78900.0,2110.0,100.0,78800.0,4230.0,5770.0,4.5,30.0,0.0,198.7715187072754,301.4443054199219,0.0,-10.0,0.0,0.0,294.56528472900385,70200.0,92.5,1.0,0.0,235.31,269.17,228.07,268.24
9,0,2018,4,1,-4.4375,-999.0,0.0008,10000.0,-10.0,-10.0,-10.0,3.786323331296444,35.30251502990723,-1.1558189392089844,5636.17578125,253.87396240234366,251.49978637695312,34.807918548583984,4.5293006896972665,3053.242919921875,269.60189819335943,268.43728637695307,19.143657684326172,5.823732376098633,1500.3876953125,276.6970367431641,276.37478637695307,14.293966293334961,5.927511215209961,280.49423217773443,280.44374084472656,10.288183212280273,-1.4969673156738281,283.8123779296875,282.8709716796875,1.8140335083007808,0.265472412109375,0.0,0.025043487548828125,0.017189621925354004,101915.0,160.15393447875974,0.0,0.0,0.0,0.0,4.5834999084472665,-0.3040809631347656,98660.0,274.1827545166016,282.8964538574219,0.0,71.3,0.0,0.0,0.0,0.0,282.97003173828125,284.1195526123047,0.00725,282.14744567871094,94.4,1.3051166534423828,0.01806831359863281,1.5038255576509982,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.09,0.0,2.0,9.0,12.0,6.5,0.0,0.0,22.751918435096737,100.0,0.5,0.0,100.0,93700.0,701.3192348480225,440.54479217529297,74100.0,3047.666236877441,224.6,0.0,358.70000000000016,0.0,363.1808624267578,0.0,0.0,140.0,56.40000000000001,17.55219841003418,-4.294111251831056,11.965560913085938,4.3060035705566415,29.441295623779297,6.3454017639160165,2066.7200000000007,100.0,79300.0,2070.0,100.0,79200.0,4190.0,5740.0,4.6000000000000005,20.0,0.0,186.3493595123291,236.9077453613281,10.0,-6.0,0.0,0.0,294.5487518310547,70100.0,91.3,1.0,0.0,234.91,269.88,227.61,268.74
