Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,4,20,-10.0,-999.0,0.0,31300.0,-10.0,-10.0,-10.0,5.859557874500752,26.10102844238281,-2.163715362548828,5834.4560546875,261.40370178222656,242.62478637695312,20.86241054534912,-1.69635009765625,3159.8935546875,281.3803253173828,241.24978637695312,11.27011775970459,-3.7078590393066406,1544.1591796875,283.5838623046875,267.81228637695307,2.574518203735352,-4.853111267089844,288.15057373046875,277.18728637695307,3.2493724822998047,-8.063766479492188,294.10626220703125,277.56228637695307,3.6868724822998047,-7.733320236206055,0.0,0.010426998138427734,0.020519852638244632,101985.0,170.11033630371094,0.0,0.0,0.0,0.0,3.581151962280273,-6.108701705932617,101820.0,13.901504516601562,293.5626525878906,0.0,1.5,0.0,0.0,0.0,0.0,294.39794921875,292.90179443359375,0.0066500000000000005,281.31228637695307,41.8,1.6952590942382812,-2.454254150390625,2.8792183664627373,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.19,-20.0,40.0,0.0,8.0,8.700000000000001,0.0,0.0,12.064815998077393,0.0,0.0,0.0,0.0,--,--,--,--,--,276.40000000000003,29.3,315.7000000000001,3.75,421.1307067871094,77.4,24.1,89.0,-20.0,9.848563194274902,-12.295249938964846,1.2229366302490234,-5.145862579345703,17.430572509765625,4.92535400390625,4347.12,11.0,60500.0,4350.0,11.0,60400.0,5610.0,7050.0,8.200000000000001,0.0,0.0,1199.4876155853274,2140.4284057617188,0.0,0.0,0.0,0.0,35.43204116821289,100000.0,22.4,1.0,0.0,244.52,289.9000000000001,236.23,289.4000000000001
1,0,2018,4,20,-10.0,-999.0,0.0,29200.0,-10.0,-10.0,-10.0,8.030016496777534,26.28941535949707,0.21088409423828125,5840.6640625,261.6182098388672,243.37478637695312,20.39741325378418,-3.638687133789064,3164.978759765625,281.52996826171875,242.99978637695312,10.234283447265623,-3.1304149627685547,1545.08544921875,283.96826171875,265.24978637695307,4.005298614501953,-3.7574138641357417,287.1412353515625,276.74978637695307,2.684103012084961,-9.534873962402344,293.0418701171875,278.43728637695307,1.3844032287597656,-10.938610076904297,0.0,-0.005440950393676758,-0.026353716850280758,102060.0,176.05245018005368,0.0,0.0,0.0,0.0,1.211343765258789,-9.048028945922852,101900.0,13.901504516601562,291.95005798339844,0.0,1.9,0.0,0.0,0.0,0.0,292.8259582519531,291.2601623535156,0.006410000000000001,280.8033447265625,44.8,0.7366981506347656,-3.402751922607422,3.4444448929280043,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.24,-19.0,43.42552661895752,10.0,8.0,10.6,0.0,0.0,12.370815634727476,0.0,51.0,0.0,51.0,--,--,7095.984359741211,--,8171.438537597656,251.0,0.0,321.0,0.0,412.0382385253906,0.0,0.0,78.0,-28.6,9.065179824829102,-13.338174819946287,2.4703197479248047,-4.768224716186523,19.603853225708008,5.77386474609375,4372.88,10.0,60400.0,4370.0,10.0,60300.0,5630.0,7080.0,10.0,0.0,0.0,968.8685550689696,1957.249755859375,0.0,0.0,0.0,0.0,34.91359329223633,72500.0,23.20000000000001,1.0,0.0,237.92,278.5,231.85,272.7
2,0,2018,4,20,-10.0,-999.0,0.0,28500.0,-10.0,-10.0,-10.0,8.321454636752605,25.00649642944336,1.6207923889160156,5842.6669921875,261.6846923828125,245.43728637695312,20.884127616882324,-4.585517883300781,3166.02587890625,281.55474853515625,243.06228637695312,9.578819274902344,-1.7986431121826172,1545.1114501953125,283.7779235839844,266.68728637695307,4.781871795654297,-3.405731201171875,286.19293212890625,277.00010681152344,2.8399715423583984,-10.245979309082033,290.51531982421875,277.18728637695307,-0.6733131408691406,-12.19635772705078,0.0,-0.01910996437072754,0.03013575077056885,102135.0,181.22553253173828,0.0,0.0,0.0,0.0,-0.4879264831542969,-9.520059585571287,101980.0,13.901504516601562,290.12245178222656,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,291.0863342285156,289.46826171875,0.00589,279.5509796142578,45.90000000000001,-0.028165817260742188,-4.202573776245116,4.1294204336591065,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.31,-28.0,53.0,33.0,8.0,12.9,0.0,0.0,12.551158666610718,0.0,43.75,0.0,43.75,--,--,7093.121513366699,--,8167.267631530762,248.0,0.0,313.5,0.0,401.8202362060547,0.0,0.0,50.0,-48.90000000000001,8.583950042724611,-13.61251449584961,3.3984775543212886,-4.409734725952148,21.43292617797852,5.9478721618652335,4387.2,9.0,60300.0,4390.0,9.0,60200.0,5640.0,7050.0,10.6,0.0,0.0,328.603178024292,1811.64111328125,0.0,0.0,0.0,0.0,34.862133026123054,72500.0,24.0,1.0,0.0,237.28,277.32,231.38,271.86
3,0,2018,4,20,-10.0,-999.0,0.0,26400.0,-10.0,-10.0,-10.0,8.484359387308361,25.32023811340332,1.5608253479003906,5844.2890625,261.7069091796875,249.74978637695312,19.04059886932373,-5.895416259765625,3167.1142578125,281.34190368652344,243.37478637695312,7.91214656829834,-2.4044551849365234,1546.2623291015625,283.877685546875,267.93728637695307,4.0146751403808585,-2.1013336181640625,284.6722717285156,277.21807861328125,-0.025043487548828125,-12.312767028808596,288.5223388671875,276.56228637695307,-1.875890731811524,-12.819948196411133,0.0,-0.02098369598388672,0.001829385757446289,102231.0,188.56067085266116,0.0,0.0,0.0,0.0,-1.0608158111572266,-9.739601135253906,102080.0,13.901504516601562,288.4511413574219,0.0,2.8000000000000003,0.0,0.0,0.0,0.0,289.3157958984375,287.6268310546875,0.00561,278.87091064453125,49.2,-0.10945510864257812,-3.918510437011719,4.0040619522333145,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.29,-23.0,40.0,46.0,8.0,14.8,0.0,0.0,13.290555477142336,0.0,51.0,0.0,51.0,--,--,7087.871006011963,--,8161.274444580078,244.1,0.0,307.3,0.0,392.5374450683594,0.0,0.0,57.0,-55.0,6.998889923095702,-14.482288360595705,1.5088787078857422,-5.767881393432617,20.641559600830078,5.32110595703125,4408.88,9.0,60100.0,4410.0,9.0,60000.0,5650.0,7030.0,10.4,0.0,0.0,362.8169441223145,1655.3515625,0.0,0.0,0.0,0.0,34.761688232421875,72600.0,26.20000000000001,1.0,0.0,236.57,276.1,231.02,270.90000000000003
4,0,2018,4,20,-10.0,-999.0,0.0,23900.0,-10.0,-10.0,-10.0,7.30161964148283,26.11429023742676,0.3515281677246094,5844.78564453125,261.77850341796875,252.87478637695312,19.532028198242188,-3.751922607421875,3166.76025390625,281.1829071044922,242.87478637695312,8.529055595397951,-0.7752342224121094,1544.444580078125,285.0439758300781,265.12478637695307,5.2217140197753915,-2.22882080078125,283.4320068359375,275.2813720703125,-1.4285335540771484,-11.943382263183596,287.02801513671875,276.54104614257807,-1.5025978088378906,-11.686527252197266,0.0,-0.018362045288085938,-0.029379248619079583,102255.0,189.5939998626709,0.0,0.0,0.0,0.0,-0.8415584564208984,-8.394527435302733,102100.0,13.901504516601562,286.9446105957031,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,287.8023376464844,286.07293701171875,0.00555,278.75634765625,53.2,0.07440567016601562,-2.9513931274414062,3.0024362155236304,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.19,-16.0,21.0,70.0,8.0,16.0,0.0,0.0,12.479499280452723,0.0,19.25,0.0,19.25,--,--,--,--,--,257.0,0.0,290.3,0.0,384.33375549316406,0.0,0.0,63.0,-51.40000000000001,7.586648941040039,-13.45210075378418,0.8079204559326172,-6.22709846496582,21.047115325927734,6.277824401855469,4429.68,8.0,59900.0,4430.0,8.0,59900.0,5660.0,7070.0,11.5,0.0,0.0,322.44381523132324,1472.3070068359375,0.0,0.0,0.0,0.0,34.679370880126946,72600.0,24.6,1.0,0.0,238.41,283.68,231.77,283.38
5,0,2018,4,20,-10.0,-999.0,0.0,22300.0,-10.0,-10.0,-10.0,6.9781369753181925,26.40044593811035,-0.5794906616210938,5838.365234375,261.67919921875,252.37478637695312,18.4023494720459,-0.7835235595703125,3161.295654296875,280.96421813964844,242.43728637695312,8.536544799804688,0.2306060791015625,1540.15673828125,285.2391662597656,262.37478637695307,5.398239135742188,-2.2234115600585938,282.56695556640625,273.31228637695307,-3.866260528564453,-10.358160018920898,286.11187744140625,276.0029754638672,-0.9940547943115234,-11.232656478881836,0.0,-0.010251522064208984,-0.02315688133239746,102241.0,187.92071533203125,0.0,0.0,0.0,0.0,-0.4182586669921875,-7.988664627075195,102090.0,13.901504516601562,285.9127960205078,0.0,4.0,0.0,0.0,0.0,0.0,286.6593322753906,285.0250244140625,0.00542,278.368667602539,56.1,0.16020584106445312,-2.9572925567626966,3.001304923091084,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.2,-14.0,19.0,59.0,8.0,17.0,0.0,0.0,11.511459589004517,0.0,0.0,0.0,0.0,--,--,--,--,--,255.5,0.0,283.9000000000001,0.0,378.9466247558594,0.0,0.0,101.0,-22.0,8.212488174438478,-12.181201934814453,-0.8864288330078125,-5.348234176635742,19.50170135498047,9.142047882080078,4415.04,11.0,60000.0,4420.0,11.0,59900.0,5630.0,7020.0,12.7,0.0,0.0,298.31121826171875,1393.9292449951172,0.0,0.0,0.0,0.0,34.68305206298828,72600.0,23.4,1.0,0.0,238.83,282.74,232.12,282.49
6,0,2018,4,20,-10.0,-999.0,0.0,21700.0,-10.0,-10.0,-10.0,7.552216500043869,30.29700088500977,-1.100189208984375,5834.5009765625,261.6726531982422,250.87478637695312,18.856128692626953,0.2853279113769531,3157.04052734375,281.0751342773437,241.31228637695312,9.184005737304688,0.2901344299316406,1536.802001953125,285.0845947265625,263.36849975585943,5.8349342346191415,-2.829608917236328,282.17974853515625,274.37478637695307,-5.504647254943848,-10.206621170043944,284.9443359375,275.32321166992193,-1.3171472549438477,-11.777637481689453,0.0,-0.030828952789306637,0.010346651077270508,102236.0,186.94776904582974,0.0,0.0,0.0,0.0,-0.4910030364990234,-8.700807571411133,102090.0,13.901504516601562,284.87791442871094,0.0,4.6000000000000005,0.0,0.0,0.0,0.0,285.73081970214844,284.0658874511719,0.00519,277.74794006347656,57.3,0.08043289184570312,-3.457630157470703,3.503142134519294,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.25,-20.0,22.0,65.0,8.0,18.2,0.0,0.0,11.538492441177368,0.25,0.0,0.0,0.25,--,--,--,--,--,254.2,0.0,280.6,0.0,373.5021057128906,0.0,0.0,144.0,0.0,8.011043548583983,-12.11669921875,-2.7997303009033203,-4.366010665893556,20.588966369628906,10.65984344482422,4408.96,14.0,60000.0,4410.0,14.0,60000.0,5620.0,6980.0,12.6,0.0,0.0,257.74422645568853,1331.2040100097654,0.0,0.0,0.0,0.0,34.6649169921875,72600.0,23.8,1.0,0.0,239.14,281.8,232.48,281.5900000000001
7,0,2018,4,20,-10.0,-999.0,0.0,19500.0,-10.0,-10.0,-10.0,6.689561404287815,32.83550262451172,-2.353096008300781,5830.2646484375,261.45535278320307,249.99009704589844,19.169919967651367,0.3784370422363281,3154.6640625,281.0341796875,240.6149444580078,9.649654388427734,-0.3261089324951172,1535.31689453125,285.03668212890625,263.47433471679693,6.396774291992188,-4.0666751861572275,281.8394775390625,274.308837890625,-5.758763313293457,-9.78619384765625,284.2491455078125,275.37478637695307,-2.3058948516845703,-10.669943809509276,0.0,0.02501773834228516,0.03002500534057617,102241.0,186.972900390625,0.0,0.0,0.0,0.0,-1.1149768829345703,-7.7941017150878915,102090.0,13.901504516601562,283.7272644042969,0.0,5.300000000000002,0.0,0.0,0.0,0.0,284.5733947753906,282.9005126953125,0.005180000000000001,277.7537384033203,61.5,-0.2968082427978516,-2.779212951660156,2.8157314832787965,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.19,-15.0,12.0,78.0,8.0,18.7,0.0,0.0,11.4226393699646,0.0,0.0,0.0,0.0,--,--,--,--,--,251.6,0.0,276.90000000000003,0.0,367.53358459472656,0.0,0.0,119.0,-16.0,7.1915531158447275,-12.13641357421875,-3.0102405548095703,-4.050773620605469,22.164207458496094,9.51101303100586,4382.16,13.0,60200.0,4380.0,13.0,60100.0,5580.0,6880.0,12.7,0.0,0.0,206.99372673034668,1208.280517578125,0.0,0.0,0.0,0.0,34.64689254760742,72600.0,23.8,1.0,0.0,238.2,280.76,231.54,280.59000000000003
8,0,2018,4,20,-10.0,-999.0,0.0,18000.0,-10.0,-10.0,-10.0,6.496392473578452,33.4776668548584,-4.194664001464844,5824.21533203125,261.29129028320307,251.49337768554688,19.1743278503418,0.12186431884765625,3149.5625,280.809326171875,240.18728637695312,9.7451171875,-0.4353675842285156,1531.8951416015625,284.7793273925781,263.37478637695307,6.344829559326173,-3.847301483154297,281.61566162109375,273.62478637695307,-5.6493587493896475,-8.526008605957031,283.4947814941406,274.68728637695307,-3.3915090560913086,-9.372568130493164,0.0,-0.002200603485107422,0.002986907958984375,102228.0,185.3701763153076,0.0,0.0,0.0,0.0,-1.7669715881347656,-7.3200111389160165,102080.0,13.901504516601562,282.8584899902344,0.0,6.2,0.0,0.0,0.0,0.0,283.7042541503906,282.0166931152344,0.00513,277.60389709472656,64.4,-0.4475154876708984,-2.51922607421875,2.627096436684951,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.16,-13.0,8.0,76.0,8.0,19.3,0.0,0.0,11.110072493553162,0.0,0.0,0.0,0.0,--,--,--,--,--,250.6,0.0,273.3,0.0,363.13209533691406,0.0,0.0,109.0,-20.0,6.432319641113281,-11.804973602294922,-2.84173583984375,-2.7801074981689453,23.01526641845703,8.206378936767576,4367.52,12.0,60300.0,4370.0,12.0,60200.0,5570.0,6880.0,12.8,0.0,0.0,248.38039588928225,1168.2186584472654,0.0,0.0,0.0,0.0,34.600135803222656,72600.0,23.70000000000001,1.0,0.0,238.71,279.97,232.2,279.82
9,0,2018,4,20,-10.0,-999.0,0.0,17300.0,-10.0,-10.0,-10.0,6.712549231946468,33.53413677215576,-5.161846160888672,5819.46826171875,261.14273071289057,253.16087341308602,18.803184509277344,-1.2372817993164062,3146.588134765625,280.5023956298828,240.19378662109366,10.504753112792967,-0.899749755859375,1532.0897216796875,283.984130859375,263.37478637695307,5.425949096679688,-4.313262939453125,281.5769958496094,272.12478637695307,-5.840517044067383,-8.65153694152832,283.0475769042969,274.43728637695307,-4.011030197143556,-9.358060836791992,0.0,0.01063251495361328,-0.009095072746276855,102253.0,187.16843795776367,0.0,0.0,0.0,0.0,-2.212100982666016,-7.526632308959961,102110.0,13.901504516601562,282.1796875,0.0,7.1000000000000005,0.0,0.0,0.0,0.0,283.0713195800781,281.3787841796875,0.00504,277.3388519287109,65.9,-0.6169815063476562,-2.7401275634765625,2.8148333069402725,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978,0.18,-16.0,8.0,76.0,8.0,19.8,0.0,0.0,10.755567669868471,0.25,0.0,0.0,0.25,--,--,--,--,--,250.8,0.0,270.6,0.0,359.5187683105469,0.0,0.0,108.0,-26.0,5.928321838378906,-12.178787231445312,-3.108234405517578,-2.840343475341797,23.03286552429199,6.792125701904298,4345.440000000001,10.0,60400.0,4350.0,10.0,60300.0,5540.0,6930.0,13.5,0.0,0.0,235.61785888671875,1132.5103149414062,0.0,0.0,0.0,0.0,34.56803131103516,72600.0,23.5,1.0,0.0,240.06,279.3,233.55,279.2
