Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,5,1,-10.0,-999.0,0.0,60000.0,-10.0,-10.0,-10.0,2.1801570169627658,16.497547149658207,-4.7861289978027335,5782.900390625,257.624038696289,234.68728637695312,7.534902572631836,-7.217971801757812,3155.919921875,275.37649536132807,245.62478637695312,6.460887908935548,-3.795578002929688,1565.5111083984375,285.09326171875,262.14431762695307,3.0740108489990234,0.4821224212646485,292.3973693847656,261.49978637695307,2.5167455673217773,-1.227827072143555,297.49212646484375,264.43728637695307,0.7133731842041016,-1.221052169799805,0.0,-0.004835844039916992,-0.0012607574462890625,102108.0,179.38343811035156,0.0,0.0,0.0,0.0,1.6596202850341797,-1.8969573974609373,97160.0,426.2140045166016,292.66021728515625,0.0,1.0,0.0,0.0,0.0,0.0,293.81866455078125,296.2636413574219,0.0024700000000000004,266.99978637695307,14.1,0.6191005706787109,-1.5095233917236328,1.689187144394964,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-10.0,0.0,50.0,4.0,9.5,0.0,0.0,4.942829728126527,0.0,0.0,0.0,0.0,--,--,--,--,--,280.0,17.900000000000006,285.2,2.25,416.0252380371094,20.9,16.900000000000002,62.0,7.6,-0.983966827392578,-7.621040344238281,2.691949844360352,1.851919174194336,6.340045928955077,-6.282352447509768,3519.470107421875,8.0,67000.0,3520.0,8.0,66900.0,5050.0,6330.0,9.7,0.0,0.0,1605.558177947998,4201.063507080078,0.0,0.0,0.0,0.0,447.6633834838867,69200.0,12.1,1.0,0.0,247.53,286.9000000000001,236.27,286.4000000000001
1,0,2018,5,1,-10.0,-999.0,0.0,58200.0,-10.0,-10.0,-10.0,0.1814470067620277,17.170597076416016,-6.896350860595702,5781.443359375,257.44839477539057,235.81228637695312,7.109245300292969,-5.890583038330077,3155.4365234375,275.4760131835937,245.81228637695312,7.312339782714844,-4.012929916381837,1565.45166015625,284.74853515625,263.07717895507807,3.6966686248779297,0.3758811950683594,291.3818054199219,264.85923767089844,2.453908920288086,-1.903642654418945,295.485595703125,267.89450073242193,0.4527482986450195,-0.18210220336914065,0.0,-0.06658315658569336,-0.04082584381103516,102140.0,182.1708068847656,0.0,0.0,0.0,0.0,0.04114913940429688,-0.1555347442626953,97210.0,426.2140045166016,287.41943359375,0.0,1.3,0.0,0.0,0.0,0.0,292.8766174316406,295.29736328125,0.00249,267.06845092773443,17.0,-0.08942413330078125,-0.1816987991333008,1.130448119714856,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.01,-2.0,0.0,70.0,4.0,11.2,0.0,0.0,5.672216296195984,0.0,0.0,0.0,0.0,--,--,--,--,--,270.7,0.0,282.2,0.0,386.99932861328125,0.0,0.0,74.0,17.1,-0.25189971923828125,-7.951639175415039,3.7698955535888654,-0.15549468994140625,6.759189605712893,-5.3206825256347665,3532.48,9.0,66900.0,3530.0,9.0,66800.0,5020.0,6290.0,9.3,0.0,0.0,138.12273406982422,3525.624038696289,0.0,0.0,0.0,0.0,447.5379524230957,69200.0,14.1,1.0,0.0,247.53,282.2,236.62,282.0
2,0,2018,5,1,-10.0,-999.0,0.0,50000.0,-10.0,-10.0,-10.0,2.3620199114084244,16.679515838623047,-7.80975341796875,5790.81884765625,257.51583862304693,236.93728637695312,4.8672637939453125,-4.718456268310547,3161.91845703125,275.929931640625,245.99978637695312,6.280902862548827,-3.071483612060547,1569.529052734375,285.0217590332031,264.68728637695307,3.7436561584472656,1.5817317962646484,291.839599609375,265.5174560546875,2.708484649658203,-0.8363780975341797,294.71295166015625,270.23275756835943,0.3080883026123047,0.5215263366699219,0.0,-0.05008268356323242,-0.05351829528808594,102163.0,184.47274017333984,0.0,0.0,0.0,0.0,1.4262237548828125,2.3924217224121094,97250.0,426.2140045166016,284.9487762451172,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,287.17889404296875,289.5216369628906,0.0029800000000000004,269.4285430908203,23.1,1.5141992568969729,0.8364486694335938,1.1268508341163397,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-10.0,0.0,77.0,4.0,11.9,0.0,0.0,6.097979545593263,0.0,0.0,0.0,0.0,--,--,--,--,--,267.2,0.0,281.0,0.0,373.6210021972656,0.0,0.0,49.0,2.5,-2.535850524902344,-4.1957550048828125,2.0547332763671875,0.16872215270996094,3.0995635986328125,-6.130077362060548,3616.48,9.0,66200.0,3620.0,9.0,66100.0,5050.0,6310.0,8.1,0.0,0.0,419.59131622314453,3112.541831970215,0.0,0.0,0.0,0.0,447.0138053894043,69200.0,15.2,1.0,0.0,247.28,280.0,236.5,280.1
3,0,2018,5,1,-10.0,-999.0,0.0,41800.0,-10.0,-10.0,-10.0,3.5198076348751783,15.94988250732422,-9.257522583007812,5794.19921875,257.5821075439453,237.31228637695312,5.010025024414063,-3.699474334716797,3163.6591796875,276.3211669921875,245.7222595214844,6.9213504791259775,-2.5240707397460938,1568.740478515625,285.14892578125,263.56689453125,4.078310012817384,1.4724159240722656,291.0985107421875,265.28463745117193,2.736888885498047,0.197021484375,293.2844543457031,271.4015045166016,0.17485332489013672,1.4007606506347656,0.0,-0.12784624099731445,-0.045160770416259766,102166.0,185.10498809814453,0.0,0.0,0.0,0.0,1.3538074493408203,3.7510929107666016,97260.0,426.2140045166016,283.046875,0.0,2.1,0.0,0.0,0.0,0.0,285.3775939941406,287.64422607421875,0.0034800000000000005,271.541244506836,30.3,1.8640871047973635,0.3007164001464844,1.5655099514406174,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.06,-11.0,0.0,85.0,4.0,12.2,0.0,0.0,5.878018021583557,0.0,0.0,0.0,0.0,--,--,--,--,--,264.7,0.0,275.3,0.0,364.0267028808594,0.0,0.0,44.0,0.9,-2.2802467346191406,-3.2888584136962886,2.126932144165039,0.68359375,3.1401958465576167,-6.624702453613281,3653.76,9.0,66000.0,3650.0,9.0,65800.0,5060.0,6320.0,9.0,0.0,0.0,43.15936088562012,2849.9355545043945,0.0,0.0,0.0,0.0,446.87198638916016,69200.0,14.5,1.0,0.0,247.54,278.3,236.76,278.5
4,0,2018,5,1,-10.0,-999.0,0.0,37400.0,-10.0,-10.0,-10.0,2.9169790446758266,15.06194305419922,-10.417644500732422,5794.0029296875,257.5448455810547,236.62478637695312,4.727588653564453,-2.571617126464844,3163.96337890625,276.28866577148443,245.31228637695312,7.045116424560548,-1.4417266845703125,1567.809326171875,285.2841796875,261.81228637695307,4.6563568115234375,2.1484146118164062,290.650146484375,266.02069091796875,3.10601806640625,0.7035923004150391,292.46063232421875,272.54010009765625,0.17104339599609375,1.0064697265625,0.0,-0.1414029598236084,-0.05112183094024658,102171.0,185.48843383789062,0.0,0.0,0.0,0.0,1.3159294128417969,3.321613311767578,97270.0,426.2140045166016,281.6565399169922,0.0,2.5,0.0,0.0,0.0,0.0,284.1104736328125,286.4065856933594,0.00372,272.4560546875,34.7,2.0877399444580083,-0.8019857406616211,1.7532652367372066,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.07,-14.0,0.0,74.0,4.0,12.5,0.0,0.0,5.713559985160828,0.0,0.0,0.0,0.0,--,--,--,--,--,262.7,0.0,272.40000000000003,0.0,356.7211151123047,0.0,0.0,36.0,-5.6000000000000005,-2.092731475830078,-2.8041133880615234,2.251317977905273,2.6919078826904297,2.575048446655273,-5.398643493652344,3658.96,9.0,65900.0,3660.0,9.0,65800.0,5050.0,6330.0,9.1,0.0,0.0,39.79083824157715,2652.9805221557613,0.0,0.0,0.0,0.0,446.81258392333984,69200.0,14.0,1.0,0.0,248.01,277.0,237.14,277.3
5,0,2018,5,1,-10.0,-999.0,0.0,33700.0,-10.0,-10.0,-10.0,3.1188754476606846,13.263427734375,-9.735122680664062,5789.8974609375,257.5272216796875,235.56228637695312,5.109130859375,-0.600921630859375,3161.209716796875,276.1742553710937,244.43728637695312,6.633071899414063,-0.8103294372558594,1564.542236328125,285.43255615234375,261.18728637695307,4.507335662841797,2.252403259277344,290.1751708984375,265.94039916992193,2.7814483642578125,1.0394020080566406,291.6282043457031,273.26844787597656,0.3117637634277344,1.019329071044922,0.0,-0.13802623748779294,-0.027033090591430664,102151.0,183.6809844970703,0.0,0.0,0.0,0.0,1.6024913787841797,3.1888370513916016,97240.0,426.2140045166016,280.0401611328125,0.0,2.9000000000000004,0.0,0.0,0.0,0.0,282.85821533203125,285.14337158203125,0.0039299999999999995,273.21261596679693,38.8,2.431260108947754,-0.981694221496582,2.128394706407562,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.08,-18.0,0.0,78.0,4.0,12.7,0.0,0.0,5.434944152832031,0.0,0.0,0.0,0.0,--,--,--,--,--,260.7,0.0,269.40000000000003,0.0,348.8088836669922,0.0,0.0,33.0,-4.0,-0.9722328186035156,-4.223379135131837,1.7129154205322266,2.9726810455322266,2.9263629913330083,-3.1952857971191406,3613.52,8.0,66300.0,3610.0,8.0,66100.0,5040.0,6320.0,9.5,0.0,0.0,38.45882797241211,2496.806701660156,0.0,0.0,0.0,0.0,446.7701377868652,69200.0,13.5,1.0,0.0,248.44,275.6,237.31,275.90000000000003
6,0,2018,5,1,-10.0,-999.0,0.0,32100.0,-10.0,-10.0,-10.0,3.1575100757181644,11.946693420410154,-10.827789306640623,5786.01513671875,257.61024475097656,234.62478637695312,5.529830932617188,0.78131103515625,3158.268310546875,276.0557861328125,243.68728637695312,6.584007263183594,-0.6117782592773438,1561.1656494140625,285.55096435546875,261.56069946289057,5.0188941955566415,2.983314514160156,290.04559326171875,266.50405883789057,3.061427116394043,2.237970352172852,291.490478515625,273.75527954101557,0.3258895874023437,1.0536212921142578,0.0,-0.1305842399597168,-0.07607007026672362,102116.0,180.6347064971924,0.0,0.0,0.0,0.0,1.8724279403686523,3.256294250488281,97210.0,426.2140045166016,279.0012969970703,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,282.1212463378906,284.4409484863281,0.00404,273.5878143310547,40.6,2.3845806121826167,-1.394453048706055,2.253645953955129,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.09,-21.0,1.0,78.0,4.0,12.7,0.0,0.0,5.354623317718506,0.0,0.0,0.0,0.0,--,--,--,--,--,259.90000000000003,0.0,269.1,0.0,343.6139831542969,0.0,0.0,46.0,10.1,1.115591049194336,-5.294164657592773,2.2636089324951167,4.374366760253906,3.414615631103516,-1.9276847839355469,3580.16,8.0,66500.0,3580.0,8.0,66400.0,5040.0,6320.0,9.4,0.0,0.0,29.49631118774414,2418.884490966797,0.0,0.0,0.0,0.0,446.74395751953125,69200.0,13.5,1.0,0.0,248.93,274.7,237.59,275.1
7,0,2018,5,1,-10.0,-999.0,0.0,32300.0,-10.0,-10.0,-10.0,3.905226325616241,11.71782684326172,-11.65155029296875,5784.9453125,257.86041259765625,233.7848358154297,6.028091430664063,1.954120635986328,3156.48779296875,276.00250244140625,243.12478637695312,6.880058288574219,-0.5116939544677734,1559.00390625,285.6319580078125,261.93728637695307,5.6749839782714835,3.329681396484375,289.87213134765625,267.68728637695307,3.8571453094482417,3.196575164794922,291.3258361816406,274.18728637695307,0.8738307952880859,1.66326904296875,0.0,-0.12667465209960938,-0.07922983169555664,102093.0,178.69825744628906,0.0,0.0,0.0,0.0,2.7632408142089844,3.7564983367919917,97180.0,426.2140045166016,278.47488403320307,0.0,3.8,0.0,0.0,0.0,0.0,281.8140563964844,284.1398010253906,0.004030000000000001,273.529312133789,40.40000000000001,2.4998092651367188,-1.137028694152832,2.4386147415498267,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.09,-23.0,1.0,68.0,4.0,13.0,0.0,0.0,5.527949810028076,0.0,0.0,0.0,0.0,--,--,--,--,--,259.90000000000003,0.0,270.0,0.0,340.9593963623047,0.0,0.0,52.0,24.0,3.3897619247436523,-5.669221878051758,2.811603546142578,4.758111953735352,3.169715881347656,-0.7796287536621094,3569.36,7.0,66600.0,3570.0,7.0,66500.0,5070.0,6360.0,9.4,0.0,0.0,37.21770668029785,2339.8399658203125,0.0,0.0,0.0,0.0,446.7108459472656,69200.0,13.7,1.0,0.0,249.48,274.3,237.89,274.8
8,0,2018,5,1,-10.0,-999.0,0.0,30400.0,-10.0,-10.0,-10.0,3.4204875342547894,10.428966522216797,-11.690689086914062,5785.1083984375,257.83778381347656,231.87478637695312,6.310295104980469,2.592010498046875,3157.32958984375,276.0502319335937,242.74978637695312,6.833091735839844,0.15482521057128906,1559.601806640625,285.59930419921875,262.31228637695307,6.2435455322265625,4.0637054443359375,289.6290588378906,269.01840209960943,4.703498840332031,4.2289981842041025,290.8515625,274.797607421875,0.4625101089477539,1.5715866088867188,0.0,-0.13318538665771484,-0.07455801963806152,102107.0,179.85401725769043,0.0,0.0,0.0,0.0,2.6791210174560547,3.993389129638672,97190.0,426.2140045166016,277.6135406494141,0.0,4.3,0.0,0.0,0.0,0.0,281.0640869140625,283.38055419921875,0.00415,273.96690368652344,42.8,1.9843721389770508,-1.452219009399414,2.0029359399341047,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.08,-22.0,1.0,66.0,4.0,13.1,0.0,0.0,5.6658207178115845,0.0,0.0,0.0,0.0,--,--,--,--,--,259.3,0.0,270.1,0.0,336.65724182128906,0.0,0.0,65.0,50.1,5.233253479003906,-5.341896057128906,4.056358337402344,6.004158020019531,3.5266647338867188,-0.10501480102539062,3573.12,7.0,66600.0,3570.0,7.0,66400.0,5040.0,6370.0,9.2,0.0,0.0,40.40309143066406,2220.056182861328,0.0,0.0,0.0,0.0,446.7199668884277,69200.0,14.1,1.0,0.0,249.99,273.6,238.01,274.2
9,0,2018,5,1,-10.0,-999.0,0.0,30300.0,-10.0,-10.0,-10.0,4.016361581161618,10.163883209228516,-11.98053741455078,5786.419921875,257.87535095214844,229.34295654296875,6.979667663574219,2.031360626220703,3160.80126953125,275.89334106445307,242.81228637695312,6.944551467895508,-0.2470932006835937,1563.0433349609375,285.5894470214844,264.336181640625,7.138914108276367,3.940862655639648,289.597412109375,269.92156982421875,6.352821350097656,4.875190734863281,290.44171142578125,274.4188842773437,0.7481822967529297,1.7095470428466797,0.0,-0.1059856414794922,-0.05506300926208496,102151.0,183.56192779541016,0.0,0.0,0.0,0.0,3.2816638946533203,4.5456886291503915,97240.0,426.2140045166016,277.25924682617193,0.0,4.800000000000002,0.0,0.0,0.0,0.0,280.7611694335937,283.06744384765625,0.00406,273.65203857421875,42.90000000000001,2.463728904724121,-1.0817375183105469,2.31417896959465,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.09,-24.0,1.0,47.0,4.0,13.5,0.0,0.0,5.994861483573914,0.0,0.0,0.0,0.0,--,--,--,--,--,258.7,0.0,271.40000000000003,0.0,334.95555114746094,0.0,0.0,65.0,44.1,2.9229640960693364,-4.669271469116211,4.573297500610352,5.483369827270508,3.2218837738037114,-1.4389610290527344,3552.64,7.0,66800.0,3550.0,7.0,66600.0,5010.0,6400.0,8.5,0.0,0.0,46.03722763061523,2202.7814331054688,0.0,0.0,0.0,0.0,446.72637939453125,88100.0,15.2,1.0,0.0,250.31,273.40000000000003,238.05,274.1
