Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,5,5,-10.0,-999.0,0.0,10800.0,-10.0,-10.0,-10.0,4.706206100061536,33.834178924560554,20.94664001464844,5793.08056640625,262.0272216796875,257.31228637695307,20.518856048583984,10.113296508789062,3134.366943359375,276.57305908203125,268.31228637695307,15.39091682434082,1.987369537353516,1530.3326416015625,286.5758972167969,283.6247863769531,10.164892196655273,1.2475547790527344,291.5452575683594,287.3747863769531,9.228921890258787,2.423133850097656,295.4078063964844,291.9372863769531,2.755233764648437,0.6041622161865234,0.0,0.000682830810546875,-0.006368637084960938,101588.0,136.51736450195312,0.0,0.0,0.0,0.0,5.34039306640625,1.2870330810546875,99230.0,203.0890045166016,294.0119934082031,0.0,49.90000000000001,0.0,0.0,0.0,0.0,294.6086730957031,295.23187255859375,0.013869999999999999,292.12681579589844,84.7,2.324530601501465,0.2485332489013672,2.1899737750645727,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545,0.16,-8.0,10.0,10.0,12.0,-3.3000000000000003,810.0,-30.0,34.491286635398865,11.375,58.5,100.0,100.0,--,--,6229.45206451416,--,12658.006912231443,229.9,35.4,364.6,5.625,423.8084716796875,0.0,35.4,85.0,56.0,15.074542999267578,-3.60074234008789,7.529085159301758,1.7808475494384766,15.844253540039062,7.459175109863281,3715.84,47.0,65200.0,3720.0,47.0,65100.0,5570.0,7110.0,-3.0,730.0,-23.0,89.94346809387207,658.9555130004883,480.0,-9.0,810.0,-30.0,10006.620143890379,99100.0,70.7,1.0,0.0,228.06,269.6,221.47,254.5
1,0,2018,5,5,7.0,-999.0,0.0256,9900.0,-10.0,1.125,7.0,3.01604712754488,33.54016876220703,19.929489135742188,5785.5888671875,261.4361572265625,259.68728637695307,19.588520050048828,13.816743850708008,3132.64599609375,276.16973876953125,265.99978637695307,12.047977447509766,2.573413848876953,1531.9615478515625,285.3312683105469,285.1247863769531,10.995994567871094,-1.7393436431884766,291.07818603515625,285.1305084228516,9.779525756835938,-1.7689666748046875,294.1558837890625,291.4726257324219,0.76434326171875,1.583639144897461,0.0,-0.005182743072509766,0.02606964111328125,101660.0,142.447265625,0.0,0.0,0.0,0.0,2.354652404785156,3.1731548309326167,99300.0,203.0890045166016,292.5911102294922,0.0,51.40000000000001,0.0,0.0,0.0,0.0,293.1083984375,293.689697265625,0.013240000000000002,291.4467315673828,88.7,-0.3129100799560547,2.1297893524169917,1.1277077128179371,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.13,-6.0,10.0,20.0,12.0,-2.1,410.0,-24.0,37.86631393432617,28.375,90.75,100.0,100.0,84600.0,1571.8014850616455,1305.8139724731445,25400.0,13039.497650146484,149.1,0.0,406.5,0.0,415.3813781738281,0.0,0.0,53.0,19.0,15.2852783203125,-2.8081588745117188,11.013845443725586,-4.885520935058594,15.527212142944336,11.965049743652346,3759.84,71.0,64900.0,3760.0,71.0,64700.0,5420.0,7120.0,-2.0,380.0,-19.0,156.46039199829104,551.2856597900392,150.0,-16.0,410.0,-24.0,8069.132369995117,98900.0,81.5,1.0,0.0,221.56,226.1,217.9,222.5
2,0,2018,5,5,23.5625,4942.200000000002,0.1936,9100.0,20.8125,15.4375,-0.0625,1.5866076331585646,31.52577781677246,17.98349380493164,5789.95556640625,261.345947265625,260.06228637695307,17.204853057861328,11.805234909057615,3139.178466796875,276.5555419921875,263.12478637695307,13.707855224609375,4.663885116577148,1538.643798828125,285.59765625,281.5480194091797,8.259134292602539,-1.466876983642578,291.82720947265625,283.7405548095703,6.1504478454589835,-2.1157684326171875,294.1710205078125,291.5922546386719,-0.2491321563720703,0.867340087890625,0.0,-0.019616365432739258,0.02991318702697754,101720.0,147.44309997558594,0.0,0.0,0.0,0.0,1.4829597473144531,2.340230941772461,99360.0,203.0890045166016,291.44744873046875,0.0,52.7,0.0,0.0,0.0,0.0,292.50225830078125,293.06256103515625,0.013009999999999999,291.17091369628906,92.2,-0.8538799285888672,0.21280670166015625,0.8138367115752771,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.02,-1.0,0.0,30.0,12.0,-1.5,370.0,-50.0,33.67546170949936,22.5,98.625,100.0,100.0,70600.0,3070.704563140869,3080.929759979248,23900.0,12644.42790222168,148.70000000000005,0.0,392.3,0.0,409.1262664794922,0.0,0.0,78.0,20.0,13.066349029541016,-3.340221405029297,7.69318962097168,-2.865833282470703,15.561433792114258,9.425167083740234,3573.92,100.0,66400.0,3570.0,100.0,66300.0,5460.0,7140.0,-2.0,380.0,-35.0,51.20303535461426,521.5835571289061,120.0,-10.0,370.0,-50.0,7520.128368377686,98400.0,71.3,1.0,0.0,218.22,224.0,214.91,219.8
3,0,2018,5,5,-10.0,-999.0,0.0,8900.0,-10.0,-10.0,-10.0,2.3396532647311687,29.14258575439453,20.19915580749512,5787.873046875,261.22933959960943,259.56228637695307,16.306169509887695,11.12421417236328,3139.584716796875,275.2886962890625,273.81228637695307,16.244657516479492,4.861503601074219,1541.714599609375,285.24530029296875,280.81228637695307,6.081829071044923,-0.6296329498291016,290.63275146484375,286.38194274902344,2.6635093688964844,-2.640979766845703,293.61334228515625,290.8732452392578,0.4137687683105469,0.7134990692138672,0.0,-0.02588033676147461,0.03203761577606201,101804.0,154.02989959716797,0.0,0.0,0.0,0.0,0.7357769012451172,1.920450210571289,99430.0,203.0890045166016,291.514404296875,0.0,53.7,0.0,0.0,0.0,0.0,291.96588134765625,292.4741516113281,0.01241,290.4299621582031,90.9,-0.18630218505859367,0.3663063049316406,0.19142762478441,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.01,0.0,0.0,-4.0,12.0,0.1,230.0,-50.0,37.99443244934082,47.0,97.0,100.0,100.0,66400.0,3567.8961658477783,3077.99116897583,66400.0,12207.732276916504,174.70000000000005,0.0,389.0,0.0,409.5476989746094,0.0,0.0,89.0,-3.0,12.348577499389648,-3.3426589965820312,3.9480800628662114,-2.651264190673828,14.35604476928711,9.371868133544922,3433.44,98.0,67600.0,3430.0,97.0,67500.0,5480.0,7100.0,-1.6,360.0,-12.0,50.97151756286621,465.3442077636719,240.0,-20.0,410.0,-10.0,7514.592140197754,96200.0,83.80000000000003,1.0,0.0,223.14,235.2,219.2,228.1
4,0,2018,5,5,16.75,-999.0,0.0728,9000.0,13.5,-10.0,-10.0,1.2870886251330376,29.05864143371582,20.36587905883789,5778.306640625,260.8759307861328,259.18728637695307,17.420032501220707,9.739574432373047,3135.296142578125,274.75030517578125,274.81228637695307,15.28076171875,3.2569541931152344,1538.51708984375,284.58062744140625,282.2618560791016,3.017196655273437,-1.987262725830078,289.3221435546875,288.0979309082031,-1.8674545288085933,-4.231091499328613,292.79791259765625,290.6189880371094,-0.06212520599365234,-0.0628814697265625,0.0,-0.01348280906677246,0.032610416412353516,101807.0,154.50820922851562,0.0,0.0,0.0,0.0,-0.6965408325195312,1.0050926208496094,99440.0,203.0890045166016,290.9897766113281,0.0,63.90000000000001,0.0,0.0,0.0,0.0,291.609375,292.1075439453125,0.012459999999999999,290.472412109375,93.3,-0.4514274597167969,1.0050792694091797,0.6898057304788381,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.03,-1.0,0.0,12.0,12.0,0.0,250.0,-21.0,39.93326604366303,76.25,58.75,88.375,88.375,66400.0,3562.8504734039307,3073.236915588379,57100.0,11725.560134887695,210.1,0.0,387.9,0.0,406.6106719970703,0.0,0.0,57.0,-57.0,9.86251449584961,-4.8105735778808585,-0.8462924957275391,-5.87086296081543,18.02848243713379,8.607261657714844,3389.44,100.0,67900.0,3390.0,100.0,67800.0,5280.0,7200.0,-1.5,360.0,-5.0,91.51132202148438,404.6894226074219,330.0,-7.0,340.0,-2.0,6341.042514801025,94400.0,92.0,1.0,0.0,232.8,255.5,225.47,249.0
5,0,2018,5,5,3.4375,-999.0,0.0032,8600.0,-10.0,-10.0,-10.0,2.173307362943888,31.335186004638672,21.899415969848643,5776.65380859375,260.70993041992193,259.56228637695307,16.89930534362793,10.203435897827148,3135.23681640625,275.1776123046875,274.24978637695307,13.170207977294922,5.065299987792969,1537.5479736328125,284.667236328125,281.8607177734375,3.294788360595703,-0.5243186950683594,289.00823974609375,288.47552490234375,-3.7400798797607417,-3.6752853393554688,292.1950988769531,290.4673767089844,-0.5571975708007812,-0.7924671173095703,0.0,-0.004438400268554688,0.02905261516571045,101810.0,154.64886474609375,0.0,0.0,0.0,0.0,-1.6477375030517578,-1.7875747680664062,99440.0,203.0890045166016,290.7371368408203,0.0,59.0,0.0,0.0,0.0,0.0,290.9747009277344,291.5003356933594,0.0123,290.26490783691406,94.2,-0.6583366394042969,-0.9919605255126952,0.9405458539258688,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.05,-1.0,0.0,23.0,12.0,0.0,190.0,-27.0,37.04361939430237,89.125,82.375,25.625,89.125,66400.0,3562.043071746826,3072.424819946289,66400.0,7735.565170288086,218.1,0.0,386.0,0.0,405.03981018066406,0.0,0.0,40.0,-10.0,9.911956787109377,-4.8060035705566415,-0.002033233642578125,-1.3013439178466797,18.05486011505127,12.218635559082033,3431.680000000001,99.0,67600.0,3430.0,99.0,67400.0,5260.0,7130.0,-1.8,390.0,0.0,79.80920219421388,388.5310363769531,330.0,-5.0,380.0,-2.0,6337.337844848633,94400.0,85.10000000000002,1.0,0.0,235.01,263.0,227.83,258.40000000000003
6,0,2018,5,5,28.625,941.8,0.1056,9500.0,-10.0,-10.0,-10.0,2.9790789335966115,31.590778350830078,25.872596740722656,5768.955078125,260.60653686523443,259.43728637695307,18.477100372314453,8.231155395507812,3128.854248046875,275.1142578125,275.06228637695307,13.814390182495115,4.331401824951172,1532.156982421875,284.5638427734375,284.0451965332031,1.167715072631836,-1.248210906982422,288.71881103515625,288.2040710449219,-5.156463623046875,-4.676048278808594,291.53369140625,289.93115234375,-0.4272193908691406,-1.057281494140625,0.0,0.0014829635620117188,-0.010895490646362305,101763.0,150.74691009521484,16.6875,0.0,0.0,0.0,-2.819808959960937,-3.056865692138672,99400.0,203.0890045166016,290.59600830078125,0.0,60.0,0.0,0.0,0.0,0.0,290.7892150878906,291.3333435058594,0.012090000000000002,289.9924774169922,94.2,-0.4183120727539063,-1.0947484970092771,0.8144414038397372,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.05,-1.0,0.0,14.0,12.0,0.6000000000000001,100.0,-45.0,39.135920882225044,58.0,100.0,39.875,100.0,81600.0,1873.8413829803467,1572.2756080627441,61800.0,9118.60412979126,214.2,0.0,393.9,0.0,404.3184051513672,0.0,0.0,62.0,-27.0,8.727272033691406,-6.1604862213134775,-2.252666473388672,-1.984479904174805,21.67798614501953,11.678627014160154,3426.08,100.0,67600.0,3430.0,100.0,67400.0,5280.0,7070.0,-1.6,370.0,0.0,47.63107872009277,380.9640808105469,250.0,-8.0,340.0,0.0,6333.71183013916,92300.0,91.7,1.0,0.0,234.38,260.40000000000003,227.58,255.49
7,0,2018,5,5,25.75,931.6,0.07440000000000001,300.0,-10.0,-10.0,-10.0,2.7446615919470787,32.099475860595696,28.23444747924805,5764.427734375,260.45046997070307,259.31228637695307,17.653200149536133,7.14271354675293,3124.0576171875,274.9359741210937,274.4991455078125,13.143318176269533,4.3289756774902335,1527.96142578125,284.20477294921875,283.8837127685547,0.174591064453125,-0.9439239501953124,288.528076171875,287.0330505371094,-4.8189239501953125,-3.9671669006347656,291.60626220703125,289.6738586425781,-0.4852066040039063,-0.6957340240478516,0.0,0.00618743896484375,0.018656015396118164,101735.0,148.20947265625,13.0625,0.0,0.0,0.0,-3.266529083251953,-2.110635757446289,99360.0,203.0890045166016,290.27647399902344,0.0,62.8,0.0,0.0,0.0,0.0,290.85089111328125,291.3624267578125,0.0119,289.7808074951172,93.6,-0.24462890625,-0.6556005477905273,0.6892630669753999,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.02,0.0,0.0,17.0,12.0,0.7000000000000001,70.0,-36.0,38.090062141418464,54.875,100.0,3.0,100.0,99300.0,224.24212455749512,242.3149948120117,81600.0,7683.009517669678,236.5,0.0,393.70000000000016,0.0,402.5888366699219,0.0,0.0,65.0,-33.0,7.509244918823242,-6.1952667236328125,-2.644123077392578,-1.759050369262695,21.103190422058105,8.873489379882812,3413.28,98.0,67600.0,3410.0,98.0,67500.0,5270.0,7070.0,-0.5,180.0,-3.0,75.79088020324706,475.5128479003906,110.0,-9.0,220.0,-2.0,5712.632801055908,89900.0,90.2,1.0,0.0,235.6,274.33,228.33,268.85
8,0,2018,5,5,26.8125,933.8,0.08,2500.0,-10.0,-10.0,-10.0,2.9082629494369034,24.168176651000977,29.17613220214844,5757.84765625,260.89321899414057,259.81228637695307,19.738332748413086,9.836917877197266,3118.15234375,274.46688842773443,274.43728637695307,10.515047073364258,3.610093116760254,1525.695068359375,283.857666015625,283.7120361328125,-1.5876235961914062,-1.3483409881591797,288.34674072265625,285.1990966796875,-5.383127212524414,-3.6861400604248047,291.30059814453125,289.3192443847656,-0.3733253479003906,-0.7507953643798828,0.0,-0.039824247360229485,-0.009111166000366213,101736.0,147.88624572753906,16.75,0.0,0.0,0.0,-3.2852439880371094,-2.331051826477051,99350.0,203.0890045166016,289.9343719482422,0.0,63.8,0.0,0.0,0.0,0.0,290.4081115722656,290.9706115722656,0.01164,289.4168243408203,94.1,-0.2135639190673828,-0.7459955215454102,0.6883395623881371,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.02,0.0,1.0,11.0,12.0,1.9,70.0,-38.0,36.953120589256294,56.5,100.0,99.5,100.0,84700.0,1559.8092670440674,242.20153427124023,70600.0,11351.091876983644,190.9,0.0,393.0,0.0,400.6622314453125,0.0,0.0,70.0,-42.0,7.480386734008789,-5.919589996337893,-3.6556549072265625,-2.3672924041748047,24.34849548339844,13.42913055419922,3450.48,93.0,67300.0,3450.0,93.0,67100.0,5300.0,6990.0,1.3,90.0,-6.0,71.94357109069823,512.035888671875,30.0,-35.0,160.0,-1.0,5061.09496307373,87400.0,89.10000000000002,1.0,0.0,225.88,244.85,221.24,234.4
9,0,2018,5,5,28.5625,6107.400000000002,0.3848,2400.0,22.875,16.5,11.375,1.4082591831684113,23.65879821777344,19.932008743286133,5762.4423828125,261.5762176513672,260.37478637695307,18.157140731811523,13.02047634124756,3120.015380859375,274.33807373046875,274.31228637695307,10.302640914916992,4.71912956237793,1527.274169921875,283.72222900390625,283.5866394042969,-1.415851593017578,-0.650670051574707,287.2359619140625,283.70741271972656,-6.2762298583984375,-2.1144037246704097,290.8835754394531,289.28314208984375,-0.5382308959960938,-0.003432273864746093,0.0,0.029067039489746094,-0.026248931884765625,101787.0,152.56747436523438,20.375,0.0,0.0,0.0,-2.4407730102539062,-0.6057777404785156,99420.0,203.0890045166016,290.04481506347656,0.0,75.10000000000002,0.0,0.0,0.0,0.0,290.3783874511719,290.8564758300781,0.01178,289.6165008544922,95.5,-0.18335723876953125,0.4537763595581055,0.3768263462698087,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.01,0.0,1.0,16.0,12.0,2.6,40.0,-21.0,36.99766790866853,76.25,100.0,86.375,100.0,84700.0,1554.8196487426758,242.24424743652344,23900.0,11125.028522491455,143.8,0.0,390.70000000000016,0.0,401.24363708496094,0.0,0.0,39.0,-51.0,7.825969696044923,-4.193073272705078,-3.8889198303222656,-2.937583923339844,22.18364715576172,16.915283203125,3422.720000000001,100.0,67500.0,3420.0,100.0,67400.0,5470.0,7020.0,2.6,40.0,-10.0,134.6149082183838,446.899658203125,0.0,0.0,110.0,0.0,5058.556423187256,84700.0,90.6,1.0,0.0,220.47,222.41,217.8,220.01
