Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,5,12,-10.0,-999.0,0.0,24700.0,-10.0,-10.0,-10.0,2.052936047315597,10.868642807006836,6.355514526367188,5857.75390625,262.97390747070307,251.18728637695312,6.401527404785156,0.00186920166015625,3184.22119140625,278.34820556640625,268.18728637695307,-1.8945846557617188,3.2990684509277344,1567.05126953125,289.6822509765625,280.74978637695307,1.2997493743896484,5.5842247009277335,296.02105712890625,284.29872131347656,1.1420822143554688,2.8780651092529297,301.50421142578125,288.9146270751953,0.59088134765625,1.0853538513183594,0.0,0.01299285888671875,-0.0005223751068115233,101764.0,152.82069396972656,0.0,0.0,0.0,0.0,1.130300521850586,2.1775360107421875,99530.0,194.7452545166016,299.8100280761719,0.0,24.9,0.0,0.0,0.0,0.0,300.99322509765625,301.3812255859375,0.01268,290.7935485839844,54.0,0.5011539459228516,1.041421890258789,1.3147059765178708,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.04,0.0,0.0,60.0,5.0,-2.8000000000000003,830.0,-14.0,27.107100367546078,0.0,0.0,0.0,0.0,--,--,--,--,--,287.1,45.6,371.20000000000016,4.875,458.0291442871094,145.5,32.0,-37.0,-2.1,-1.089801788330078,-4.245136260986328,0.8047943115234375,3.2033843994140625,5.553184509277344,-1.8824462890625,4256.96,31.0,61400.0,4260.0,31.0,61300.0,5820.0,7140.0,-1.5,390.0,-14.0,1336.9965953826904,1781.1148681640625,70.0,-51.0,830.0,-14.0,10879.436573028564,99400.0,45.0,1.0,0.0,246.59,291.2,239.53,290.9000000000001
1,0,2018,5,12,-10.0,-999.0,0.0,22200.0,-10.0,-10.0,-10.0,1.3442513458430767,11.720357894897461,5.0348052978515625,5860.4833984375,262.9032440185547,252.87478637695312,5.837812423706055,0.9682235717773438,3186.570556640625,278.3363037109375,268.12478637695307,-2.0990123748779297,3.522968292236328,1569.004150390625,289.7967529296875,282.8731231689453,1.315195083618164,6.174842834472656,295.9892272949219,285.541748046875,0.5155467987060547,3.6249732971191406,300.2215576171875,288.5904083251953,0.024148941040039062,0.4043560028076172,0.0,-0.020648956298828125,0.022357702255249023,101788.0,154.7335968017578,0.0,0.0,0.0,0.0,0.6682548522949219,1.2845783233642578,99550.0,194.7452545166016,296.0756530761719,0.0,28.3,0.0,0.0,0.0,0.0,299.15802001953125,299.5611267089844,0.01208,290.03314208984375,57.2,-0.11124610900878906,0.80963134765625,0.9388845413923264,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.02156438261270523,0.0,0.0,50.0,5.0,-1.5,400.0,-75.0,29.317780017852783,0.0,0.0,0.0,0.0,--,--,--,--,--,281.40000000000003,0.0,371.9,0.0,435.5805358886719,0.0,0.0,-26.0,4.1000000000000005,0.5841503143310547,-4.526039123535156,0.8689041137695312,4.508169174194336,5.625347137451172,-0.23987579345703125,4273.04,30.0,61300.0,4270.0,30.0,61200.0,5810.0,7120.0,-1.5,380.0,-40.0,391.8609313964844,1660.6721801757812,280.0,-30.0,400.0,-75.0,10041.80827331543,99500.0,49.0,1.0,0.0,246.27,289.2,239.34,289.3
2,0,2018,5,12,-10.0,-999.0,0.0,20700.0,-10.0,-10.0,-10.0,1.048574011772871,11.993675231933596,4.428234100341797,5862.76171875,262.74383544921875,252.06228637695312,4.569467544555664,1.379302978515625,3190.035888671875,278.15267944335943,268.31228637695307,-3.1874942779541016,4.049175262451172,1573.447265625,289.9408264160156,281.9009246826172,2.352378845214844,5.482622146606445,296.3559875488281,285.2615966796875,-0.3405170440673828,5.352821350097656,298.9839172363281,288.29042053222656,-0.7922859191894531,-0.17127227783203125,0.0,-0.03366899490356445,-0.008627533912658691,101845.0,159.34986114501953,0.0,0.0,0.0,0.0,-0.13866043090820312,0.6506690979003906,99600.0,194.7452545166016,294.290283203125,0.0,31.9,0.0,0.0,0.0,0.0,297.90234375,298.294189453125,0.011670000000000002,289.51698303222656,59.6,-0.9945449829101562,0.2572841644287109,0.9413629476912321,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.03,-4.0,0.0,21.0,5.0,-0.6000000000000001,170.0,-60.0,28.48753958940506,0.0,0.0,0.0,0.0,--,--,--,--,--,280.1,0.0,366.70000000000016,0.0,425.4258575439453,0.0,0.0,-14.0,17.0,0.496255874633789,-4.415925979614258,1.561481475830078,5.654886245727539,5.233745574951172,0.061756134033203125,4282.24,26.0,61200.0,4280.0,26.0,61100.0,5790.0,7100.0,-0.9,180.0,-61.0,189.1331653594971,1678.2095336914062,170.0,-29.0,170.0,-60.0,9596.67106628418,99200.0,47.6,1.0,0.0,246.84,288.1,239.99,288.5
3,0,2018,5,12,-10.0,-999.0,0.0,17300.0,-10.0,-10.0,-10.0,1.7997673936188219,13.114551544189453,4.204093933105469,5867.27734375,262.79754638671875,251.68728637695312,4.944572448730469,2.023597717285156,3192.46435546875,278.23504638671875,267.56228637695307,-3.734630584716797,4.7208251953125,1576.529296875,290.00177001953125,279.12478637695307,4.556352615356445,7.662220001220702,296.2706604003906,283.16925048828125,0.8440284729003906,7.2790775299072275,298.09954833984375,288.5240936279297,-1.3400983810424805,-0.0611724853515625,0.0,-0.026534557342529297,-0.005490422248840332,101888.0,163.16898345947266,0.0,0.0,0.0,0.0,-0.13335609436035156,1.2645721435546875,99640.0,194.7452545166016,292.99371337890625,0.0,35.30000000000001,0.0,0.0,0.0,0.0,294.4111022949219,294.6934509277344,0.011909999999999999,289.8039855957031,65.9,-1.7106990814208984,0.4331855773925781,1.752368219429627,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.06,-6.0,2.0,36.0,5.0,-0.30000000000000004,220.0,-60.0,25.729318141937256,0.0,0.0,0.0,0.0,--,--,--,--,--,279.90000000000003,0.0,356.6,0.0,417.9720306396485,0.0,0.0,-11.0,35.0,0.7084922790527344,-3.3057804107666016,3.785659790039064,7.7617034912109375,5.479042053222656,-0.10565567016601562,4336.480000000001,28.0,60800.0,4340.0,28.0,60700.0,5810.0,7120.0,-0.8,200.0,-60.0,85.30090141296388,1663.9407348632812,30.0,-108.0,220.0,-60.0,10038.515705108644,98700.0,42.6,1.0,0.0,247.05,286.9000000000001,240.13,287.7
4,0,2018,5,12,-10.0,-999.0,0.0,13500.0,-10.0,-10.0,-10.0,2.1581628471612935,11.626232147216795,4.647327423095703,5870.03369140625,262.97723388671875,250.12478637695312,5.6648902893066415,2.418903350830078,3190.28759765625,278.72030639648443,265.49978637695307,-4.492691040039063,4.334032058715819,1574.9791259765625,290.0841979980469,277.5511016845703,3.060840606689453,7.103569030761719,296.44482421875,281.5059814453125,0.6577262878417969,7.056398391723633,296.50885009765625,288.7829132080078,-1.7985334396362305,-0.14044952392578125,0.0,0.017388343811035156,-0.02607250213623047,101879.0,162.4444122314453,0.0,0.0,0.0,0.0,-1.7399864196777344,1.7777462005615234,99630.0,194.7452545166016,292.0640411376953,0.0,38.0,0.0,0.0,0.0,0.0,293.05718994140625,293.37896728515625,0.01195,289.8467102050781,75.5,-2.0839672088623047,0.4337005615234375,2.190789632266388,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.08,-6.0,0.0,25.0,5.0,0.9,160.0,-90.0,23.66324228048325,0.0,0.0,0.0,0.0,--,--,--,--,--,279.7,0.0,347.1,0.0,412.5499267578125,0.0,0.0,-14.0,49.1,0.11113548278808594,-3.363100051879884,4.0671939849853525,7.30073356628418,7.45098876953125,-0.10254287719726562,4434.56,24.0,60100.0,4430.0,23.0,60000.0,5840.0,7170.0,-0.5,120.0,-109.0,48.23981285095215,1575.7701110839844,0.0,0.0,160.0,-90.0,10042.400253295898,98700.0,38.90000000000001,1.0,0.0,247.15,286.1,239.9,287.1
5,0,2018,5,12,-10.0,-999.0,0.0,13900.0,-10.0,-10.0,-10.0,2.0161436330527067,10.898052215576172,4.838634490966797,5869.10595703125,262.62655639648443,250.06228637695312,6.2696781158447275,1.3012161254882812,3190.27392578125,279.2059326171875,264.43728637695307,-2.903295516967773,4.250467300415038,1574.5906982421875,289.78582763671875,278.2749481201172,3.7270240783691406,6.1036643981933585,296.08245849609375,282.5338439941406,2.693225860595703,6.782573699951173,295.7831115722656,289.1002197265625,-1.157536506652832,-0.1219482421875,0.0,0.001674652099609375,0.009569883346557615,101891.0,163.8523750305176,0.0,0.0,0.0,0.0,-1.1314468383789062,2.5194263458251958,99640.0,194.7452545166016,291.23687744140625,0.0,39.90000000000001,0.0,0.0,0.0,0.0,292.5074462890625,292.8359375,0.011840000000000002,289.69834899902344,74.10000000000002,-1.3512687683105469,0.9582252502441406,1.6891529575223103,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-6.0,0.0,42.0,5.0,0.6000000000000001,140.0,-90.0,24.23338603973389,0.0,0.0,0.0,0.0,--,--,--,--,--,278.6,0.0,348.40000000000015,0.0,407.7584686279297,0.0,0.0,-20.0,54.5,-1.1110477447509766,-3.0455551147460938,5.517332077026367,4.937788009643555,7.0860328674316415,-2.149669647216797,4415.52,23.0,60200.0,4420.0,23.0,60100.0,5780.0,7140.0,-0.7000000000000001,90.0,-113.0,45.63103866577149,1499.6007385253906,0.0,0.0,140.0,-91.0,10039.40423965454,98700.0,40.3,1.0,0.0,246.87,285.6,239.66,286.7
6,0,2018,5,12,-10.0,-999.0,0.0,11700.0,-10.0,-10.0,-10.0,2.1122876852750783,10.461956024169922,5.660118103027344,5862.41552734375,262.4564819335937,250.81228637695312,6.065464019775393,-0.03304290771484375,3186.085205078125,279.005126953125,263.43728637695307,-1.8559703826904297,4.647590637207031,1570.688720703125,289.6230163574219,278.1666717529297,3.472328186035156,5.965576171875,295.86810302734375,282.322998046875,5.301813125610352,4.516561508178711,294.697265625,289.8318786621094,-0.2109813690185547,0.09211349487304688,0.0,-0.021726608276367188,-0.02066826820373535,101873.0,162.41031265258792,0.0,0.0,0.0,0.0,1.0025653839111328,2.7571048736572266,99630.0,194.7452545166016,290.21849060058594,0.0,41.1,0.0,0.0,0.0,0.0,291.3774108886719,291.7193298339844,0.01196,289.8969268798828,80.4,0.15358352661132812,1.2451705932617188,0.8785086118150502,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.04,-4.0,0.0,55.0,5.0,0.8,120.0,-160.0,24.297746658325195,0.25,0.0,0.0,0.25,--,--,--,--,--,276.40000000000003,0.0,344.3,0.0,402.19407653808594,0.0,0.0,-54.0,26.0,-2.5517539978027344,-2.041217803955078,5.0862998962402335,3.0546417236328125,4.500152587890625,-3.610729217529297,4359.04,22.0,60600.0,4360.0,22.0,60500.0,5760.0,7080.0,-0.7000000000000001,90.0,-143.0,42.61037063598633,1172.6446838378904,0.0,-211.0,120.0,-165.0,10029.496932983398,98700.0,41.5,1.0,0.0,245.99,285.0,238.85,286.2
7,0,2018,5,12,-10.0,-999.0,0.0,10500.0,-10.0,-10.0,-10.0,1.5104546248912811,11.214187622070312,8.106563568115233,5858.47998046875,262.60330200195307,251.24978637695312,5.354513168334961,-0.18854331970214844,3182.657470703125,278.69223022460943,263.37478637695307,-1.6581764221191406,4.588325500488281,1568.366455078125,289.6090393066406,278.3470458984375,2.4107770919799805,6.286823272705077,295.77252197265625,282.68426513671875,6.026523590087893,2.42531967163086,294.19818115234375,290.1394958496094,0.4277153015136719,-0.5144023895263672,0.0,0.01949596405029297,-0.007420539855957031,101856.0,160.8535213470459,0.0,0.0,0.0,0.0,2.1876754760742188,1.4360275268554688,99610.0,194.7452545166016,289.50831604003906,0.0,41.90000000000001,0.0,0.0,0.0,0.0,292.417236328125,292.7595520019531,0.0116,289.42335510253906,82.9,0.34088706970214844,-0.2278861999511719,0.6259314853814429,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.01,-1.0,0.0,46.0,5.0,1.7000000000000002,150.0,-150.0,25.428650259971622,0.0,0.0,0.0,0.0,--,--,--,--,--,273.5,0.0,343.6,0.0,398.2530364990234,0.0,0.0,-88.0,-1.2000000000000002,-3.3415355682373047,-1.641134262084961,4.871570587158203,3.41555404663086,1.9552421569824217,-2.2299118041992188,4338.96,21.0,60700.0,4340.0,21.0,60600.0,5780.0,7030.0,-0.6000000000000001,130.0,-162.0,43.4121208190918,1013.3020095825196,20.0,-170.0,190.0,-95.0,10026.431182861328,97700.0,43.90000000000001,1.0,0.0,244.9,284.6,237.86,285.9000000000001
8,0,2018,5,12,-10.0,-999.0,0.0,10300.0,-10.0,-10.0,-10.0,1.3520457185804844,11.734195709228516,7.9721832275390625,5856.77734375,262.39013671875,252.70526123046875,3.937538146972656,-0.8636970520019531,3183.30810546875,278.63760375976557,262.97808837890625,-0.9578018188476562,3.640050888061523,1568.6300048828125,289.8714599609375,278.37826538085943,2.0820350646972656,7.0640602111816415,295.60382080078125,283.46849060058594,6.3041324615478525,1.2275352478027344,294.0796813964844,289.9008483886719,-0.03352928161621094,-1.3880996704101562,0.0,-0.03657341003417969,0.01047658920288086,101854.0,160.5053653717041,0.0,0.0,0.0,0.0,2.684253692626953,-0.08773612976074219,99600.0,194.7452545166016,289.03819274902344,0.0,42.5,0.0,0.0,0.0,0.0,290.1145324707031,290.4421691894531,0.011309999999999999,288.99656677246094,83.5,-0.8054542541503906,-1.097187042236328,1.1892715875292197,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.04,-4.0,-2.0,48.0,5.0,2.2,150.0,-140.0,25.53582739830017,0.0,0.0,0.0,0.0,--,--,--,--,--,271.90000000000003,0.0,342.5,0.0,395.6657104492188,0.0,0.0,-108.0,-65.0,-4.676671981811523,4.942098617553711,5.6311798095703125,4.2290611267089835,-0.4147739410400391,-1.2147903442382812,4292.64,20.0,61100.0,4290.0,20.0,61000.0,5750.0,7000.0,-0.5,100.0,-179.0,40.94929504394531,1118.4606628417966,30.0,-160.0,150.0,-140.0,9580.466720581057,98700.0,44.1,1.0,0.0,244.23,284.3,237.36,285.6
9,0,2018,5,12,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,2.0140965655446053,13.179256439208984,6.544055938720702,5854.947265625,262.0625,253.3662872314453,3.19415283203125,-0.2465648651123047,3185.689453125,278.53329467773443,262.68728637695307,-0.797119140625,3.0895595550537114,1571.580810546875,289.8326110839844,278.75088500976557,2.302962303161621,6.9811973571777335,295.582763671875,283.0353240966797,6.576994895935059,0.13511085510253906,293.60467529296875,289.7037353515625,-0.1467761993408203,-1.778167724609375,0.0,-0.03151512145996094,0.012700557708740234,101891.0,163.4678955078125,0.0,0.0,0.0,0.0,2.7889404296875,-1.4421157836914062,99640.0,194.7452545166016,288.6512908935547,0.0,42.90000000000001,0.0,0.0,0.0,0.0,289.6768798828125,289.9885559082031,0.01113,288.76141357421875,85.5,-1.171356201171875,-1.211833953857422,1.6263631674228236,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.05,-5.0,-3.0,49.0,5.0,2.3000000000000003,70.0,-160.0,25.35208606719971,0.0,0.0,0.0,0.0,--,--,--,--,--,270.5,0.0,340.0,0.0,393.4920349121094,0.0,0.0,-84.0,-50.1,7.491172790527344,7.314004898071289,6.050163269042969,4.0770263671875,-1.2559661865234375,1.1628074645996094,4214.56,21.0,61700.0,4210.0,21.0,61600.0,5700.0,7010.0,-0.1,30.0,-180.0,35.56318664550781,1215.924301147461,0.0,0.0,70.0,-160.0,8098.416313171387,98700.0,44.1,1.0,0.0,244.0,283.9000000000001,237.17,285.1
