Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,5,21,-10.0,-999.0,0.0,22200.0,-10.0,-10.0,-10.0,1.658476084470749,19.326282501220703,16.965099334716793,5852.6748046875,262.1726837158203,252.81228637695312,7.285531997680664,-1.049631118774414,3191.93017578125,277.98065185546875,272.24978637695307,7.5370521545410165,-4.323467254638672,1568.57177734375,291.0774841308594,280.68728637695307,2.962635040283203,-2.08648681640625,296.4203186035156,285.6432647705078,2.029806137084961,-1.0224990844726562,301.48291015625,289.6529083251953,0.7490997314453125,-0.03410148620605469,0.0,0.025399208068847656,0.009378671646118164,101781.0,153.7129421234131,0.0,0.0,0.0,0.0,1.7845611572265625,-0.5477943420410156,98660.0,270.9952545166016,299.5623474121094,0.0,53.2,0.0,0.0,0.0,0.0,300.3662109375,301.529541015625,0.013909999999999999,292.1143493652344,60.90000000000001,0.8938446044921875,-0.012960433959960938,0.8803931861184537,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4599,0.02,0.0,0.0,-20.0,12.0,-4.5,920.0,-51.0,30.408715009689328,0.0,0.0,0.0,0.0,--,--,--,--,--,278.8,63.0,372.70000000000016,10.0,456.4001770019531,208.6,38.8,47.0,8.8,3.9698543548583984,-9.63129425048828,1.3182373046875,-0.6409492492675781,6.5371360778808585,-0.3604507446289063,3925.76,60.0,64000.0,3930.0,60.0,63900.0,5640.0,7360.0,-2.9000000000000004,470.0,-68.0,805.4544124603271,1666.1526794433594,290.0,-51.0,920.0,-51.0,11357.192714691162,98600.0,51.3,1.0,0.0,241.84,294.6,232.45,291.2
1,0,2018,5,21,-10.0,-999.0,0.0,19800.0,-10.0,-10.0,-10.0,2.106125302612781,19.06741142272949,16.774280548095707,5856.24609375,262.57118225097656,254.74978637695312,7.708374977111816,-0.5739898681640625,3192.69189453125,278.1278076171875,272.18728637695307,7.116558074951173,-4.0741729736328125,1571.0303955078125,290.7601318359375,280.24978637695307,2.8578643798828125,-2.26895523071289,296.3713073730469,285.54254150390625,2.7666053771972656,-0.9616241455078124,301.4010009765625,289.4126739501953,1.3205671310424805,-0.26480674743652344,0.0,0.016308307647705078,0.027985095977783203,101809.0,156.33586883544922,0.0,0.0,0.0,0.0,2.3321819305419917,-0.6564292907714844,98700.0,270.9952545166016,296.3557434082031,0.0,54.3,0.0,0.0,0.0,0.0,297.4305114746094,298.5892028808594,0.01338,291.4899139404297,63.1,1.5003986358642578,-0.6335258483886719,1.502204246586189,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.05,-4.0,0.0,30.0,12.0,-3.6,640.0,-80.0,30.674408078193665,0.0,0.0,0.0,0.0,--,--,--,--,--,275.5,0.0,369.1,0.0,437.3286743164063,0.0,0.0,36.0,9.1,5.402484893798828,-9.59354019165039,1.1930694580078125,-0.2219791412353516,5.814613342285156,0.5031089782714844,3960.32,64.0,63800.0,3960.0,64.0,63600.0,5720.0,7440.0,-2.2,300.0,-61.0,605.5902214050292,1698.9982376098633,210.0,-40.0,640.0,-78.0,9210.753997802734,98600.0,52.0,1.0,0.0,242.63,292.4000000000001,233.91,289.6
2,0,2018,5,21,-10.0,-999.0,0.0,15200.0,-10.0,-10.0,-10.0,1.102750413119793,16.894798278808597,12.747859954833984,5860.23828125,262.59457397460943,251.93728637695312,7.5195465087890625,-2.4488258361816406,3190.966796875,278.36395263671875,272.06228637695307,8.396135330200195,-4.0876121520996085,1571.7259521484375,289.96734619140625,281.9997863769531,2.0098934173583984,-0.7821311950683594,296.13323974609375,285.2497863769531,2.1669578552246094,-0.4557876586914063,299.7615051269531,289.9997863769531,0.7249107360839844,-0.2906341552734375,0.0,-0.03880119323730469,0.0037522315979003906,101857.0,160.13337898254397,0.0,0.0,0.0,0.0,1.573293685913086,-0.3549823760986328,98730.0,270.9952545166016,294.3838348388672,0.0,55.0,0.0,0.0,0.0,0.0,296.9206848144531,298.01568603515625,0.013450000000000002,291.5622863769531,72.2,0.2121143341064453,-0.451211929321289,0.3763804131885991,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.01,-1.0,0.0,50.0,12.0,-3.0,480.0,-101.0,31.4604229927063,0.0,0.875,0.0,0.875,--,--,--,--,--,271.7,0.0,364.20000000000016,0.0,425.7368469238281,0.0,0.0,90.0,16.8,2.217613220214844,-9.3079833984375,2.062339782714844,0.4576759338378906,6.335765838623048,-1.9096755981445312,4152.480000000001,65.0,62300.0,4150.0,65.0,62100.0,5740.0,7400.0,-1.5,140.0,-54.0,57.86551856994629,1511.2125701904295,80.0,-38.0,480.0,-101.0,9208.684494018557,98600.0,54.40000000000001,1.0,0.0,240.43,290.9000000000001,231.0,288.4000000000001
3,0,2018,5,21,-10.0,-999.0,0.0,12600.0,-10.0,-10.0,-10.0,2.5197604410350323,14.356056213378904,8.287349700927733,5860.28564453125,262.443588256836,252.24978637695312,7.8720855712890625,0.10658073425292967,3194.765625,278.577880859375,273.31228637695307,5.8053741455078125,-9.150054931640623,1573.628662109375,289.8614501953125,281.8747863769531,0.9275226593017578,1.2728805541992188,295.3793029785156,285.9372863769531,0.6307487487792969,0.11220550537109376,297.46630859375,290.7497863769531,-0.28127479553222656,-0.3194198608398437,0.0,0.004623889923095703,-0.02458357810974121,101911.0,165.08369684219358,0.0,0.0,0.0,0.0,-1.192424774169922,-3.584510803222656,98790.0,270.9952545166016,293.2862854003906,0.0,55.3,0.0,0.0,0.0,0.0,295.1988830566406,296.2180480957031,0.01325,291.3747863769531,79.0,-0.6049575805664062,-0.8115863800048828,0.6277833778876811,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.03,-2.0,0.0,60.0,12.0,-2.1,280.0,-169.0,32.39697527885437,0.0,0.0,0.0,0.0,--,--,--,--,--,267.5,0.0,359.6,0.0,419.4125671386719,0.0,0.0,56.0,19.8,5.016807556152344,-9.585334777832033,1.513225555419922,2.4378433227539062,8.984809875488281,2.615367889404297,4019.68,67.0,63300.0,4020.0,67.0,63200.0,5720.0,7390.0,-1.6,170.0,-131.0,87.97048950195312,1107.9259262084959,140.0,-79.0,280.0,-169.0,8705.553359985352,98700.0,57.2,1.0,0.0,238.22,290.1,229.08,287.8
4,0,2018,5,21,-10.0,-999.0,0.0,10800.0,-10.0,-10.0,-10.0,0.8069994710385799,13.86395263671875,6.541717529296875,5860.3369140625,262.46844482421875,254.18728637695312,6.752120971679688,-0.8846569061279297,3193.6826171875,279.06393432617193,269.99978637695307,4.769754409790039,-7.93634033203125,1570.8812255859375,290.2535095214844,279.70523071289057,2.225086212158203,3.578044891357422,295.518310546875,285.1492004394531,2.4068832397460938,3.022647857666016,297.11993408203125,291.10069274902344,-0.2602825164794922,0.20047569274902344,0.0,0.02178239822387696,-0.02679610252380371,101874.0,162.1758804321289,0.0,0.0,0.0,0.0,-1.390886306762695,-1.018815994262695,98760.0,270.9952545166016,292.21240234375,0.0,55.8,0.0,0.0,0.0,0.0,294.45635986328125,295.5107116699219,0.01342,291.5479888916016,83.80000000000003,-0.5168113708496094,0.2358665466308593,0.6905054985545576,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.02,-1.0,0.0,62.0,12.0,-2.2,290.0,-200.0,30.60014975070953,0.0,0.0,0.0,0.0,--,--,--,--,--,266.3,0.0,353.20000000000016,0.0,413.464096069336,0.0,0.0,54.0,29.8,1.81182861328125,-8.244621276855469,3.169281005859375,3.7459754943847656,7.055488586425781,-1.149188995361328,4056.8,63.0,63000.0,4060.0,63.0,62900.0,5720.0,7370.0,-1.5,140.0,-150.0,61.25086784362793,1055.8197402954104,70.0,-120.0,290.0,-200.0,8706.400650024414,98700.0,53.40000000000001,1.0,0.0,237.59,289.7,228.45,287.8
5,0,2018,5,21,-10.0,-999.0,0.0,9400.0,-10.0,-10.0,-10.0,0.9253619834780692,13.26803207397461,4.979103088378906,5854.6865234375,262.20877075195307,256.12478637695307,5.679825782775879,-0.6973419189453125,3190.584228515625,278.730224609375,269.37478637695307,2.46735954284668,-5.839365005493164,1570.104736328125,290.0768127441406,279.4657592773437,4.2093753814697275,4.684364318847656,295.6235656738281,284.4183807373047,4.49272346496582,2.8271846771240234,297.020751953125,291.9148254394531,0.6068286895751953,0.5080413818359375,0.0,0.02482891082763672,0.004682183265686035,101867.0,161.51837730407715,0.0,0.0,0.0,0.0,-0.20380401611328125,0.4635467529296875,98760.0,270.9952545166016,291.5428161621094,0.0,56.1,0.0,0.0,0.0,0.0,293.7979431152344,294.88720703125,0.01338,291.5219421386719,86.9,0.42887306213378906,0.6448402404785156,0.8780864861328155,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.02,-2.0,0.0,60.0,12.0,-2.6,470.0,-150.0,30.487812638282772,0.0,0.0,0.0,0.0,--,--,--,--,--,264.7,0.0,350.6,0.0,409.65362548828125,0.0,0.0,19.0,31.0,0.9192867279052734,-7.089363098144531,4.8772544860839835,3.6353588104248047,4.443340301513672,-1.4625320434570312,4008.64,62.0,63400.0,4010.0,62.0,63200.0,5670.0,7340.0,-2.1,250.0,-112.0,41.04531669616699,995.582893371582,80.0,-100.0,470.0,-149.0,8700.839794158936,98400.0,53.8,1.0,0.0,237.57,289.2,228.85,287.3
6,0,2018,5,21,-10.0,-999.0,0.0,8500.0,-10.0,-10.0,-10.0,0.6055747717618942,13.345355987548828,5.381263732910156,5853.6181640625,261.8274688720703,256.99978637695307,5.747262954711914,-0.5148773193359375,3188.7861328125,278.7177734375,269.99978637695307,1.4510154724121094,-4.351667404174806,1567.988525390625,290.10394287109375,280.1348876953125,6.453968048095702,4.3845481872558585,295.7086181640625,285.2509765625,6.697742462158202,1.7878055572509766,296.6510314941406,291.7937469482422,-0.31610584259033203,0.4644317626953125,0.0,-0.032140254974365234,0.0071140527725219735,101841.0,159.1855049133301,0.0,0.0,0.0,0.0,-0.12896728515625,0.681915283203125,98730.0,270.9952545166016,290.8511199951172,0.0,56.40000000000001,0.0,0.0,0.0,0.0,293.1186218261719,294.2308044433594,0.01305,291.1321258544922,88.2,-0.529937744140625,0.25986671447753906,0.7506920642917976,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.02,-1.0,0.0,53.0,12.0,-2.7,400.0,-172.0,31.036435842514038,0.0,0.0,0.0,0.0,--,--,--,--,--,264.90000000000003,0.0,350.6,0.0,405.8380279541016,0.0,0.0,-4.0,62.2,2.074810028076172,-7.06889533996582,8.640415191650389,2.7567272186279297,4.3364009857177725,-1.0109329223632812,4073.76,57.0,62800.0,4070.0,57.0,62700.0,5600.0,7310.0,-2.3000000000000003,240.0,-122.0,36.752288818359375,969.7060317993164,120.0,-86.0,400.0,-172.0,8700.252826690674,98300.0,54.8,1.0,0.0,238.76,288.8,230.42,287.1
7,0,2018,5,21,-10.0,-999.0,0.0,9100.0,-10.0,-10.0,-10.0,1.3508333340287209,14.149364471435547,6.2833824157714835,5853.1640625,261.4694366455078,257.74978637695307,4.3958168029785165,-0.012233734130859377,3188.4970703125,279.08554077148443,269.93728637695307,1.6041307449340818,-3.14776611328125,1566.418701171875,290.2315979003906,280.29820251464844,8.570064544677733,6.256610870361327,295.7725524902344,285.53553771972656,7.297220230102539,2.2832317352294917,296.604248046875,291.659423828125,-0.910536766052246,0.16551589965820312,0.0,-0.03530120849609375,-0.0120011568069458,101816.0,157.19266128540042,0.0,0.0,0.0,0.0,-0.24018096923828125,0.5149726867675781,98710.0,270.9952545166016,290.5094451904297,0.0,56.6,0.0,0.0,0.0,0.0,293.2544860839844,294.4020690917969,0.01278,290.75856018066406,85.7,-1.2631874084472656,-0.5511245727539062,1.4406500353943557,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.04,-3.0,0.0,46.0,12.0,-2.7,400.0,-160.0,31.060337901115407,0.0,0.0,0.0,0.0,--,--,--,--,--,264.90000000000003,0.0,351.40000000000015,0.0,403.9469604492188,0.0,0.0,-17.0,88.5,3.3607711791992188,-6.509799957275393,10.90140151977539,4.62523078918457,3.252769470214844,-0.2148284912109375,4117.76,53.0,62500.0,4120.0,53.0,62400.0,5520.0,7310.0,-3.0,300.0,-119.0,47.93428993225098,940.2539672851562,180.0,-83.0,400.0,-158.0,8701.733612060547,98300.0,54.5,1.0,0.0,239.1,288.7,231.05,287.1
8,0,2018,5,21,-10.0,-999.0,0.0,8200.0,-10.0,-10.0,-10.0,1.0289904829114676,12.07024383544922,6.752685546875,5855.6630859375,261.84713745117193,257.43728637695307,3.5187530517578125,0.4577293395996094,3189.922607421875,279.58200073242193,269.31228637695307,2.097555160522461,-2.8455162048339844,1565.327392578125,290.8287353515625,277.478042602539,7.0648860931396475,5.816123962402344,295.6029052734375,284.2814636230469,5.701465606689452,1.281789779663086,295.9568176269531,291.82562255859375,-0.5925502777099609,0.1964149475097656,0.0,-0.032762765884399414,0.009063124656677246,101803.0,156.4951457977295,0.0,0.0,0.0,0.0,-0.380126953125,0.6496810913085938,98700.0,270.9952545166016,290.0035095214844,0.0,56.8,0.0,0.0,0.0,0.0,292.1268005371094,293.2472229003906,0.01241,290.3229064941406,89.5,-0.7731456756591797,-0.6002798080444336,1.002310233656317,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.03,-2.0,-3.0,46.0,12.0,-1.3,250.0,-221.0,28.78987789154053,0.0,0.0,0.0,0.0,--,--,--,--,--,265.40000000000003,0.0,343.3,0.0,401.11106872558594,0.0,0.0,-24.0,79.60000000000002,5.642377853393555,-6.269237518310548,8.944129943847656,4.5817298889160165,2.9161376953125,0.99560546875,4125.92,52.0,62500.0,4130.0,52.0,62300.0,5550.0,7370.0,-2.5,210.0,-184.0,44.71081924438477,818.6421508789062,80.0,-153.0,250.0,-221.0,7636.704788208008,98300.0,49.8,1.0,0.0,239.68,288.4000000000001,231.67,287.1
9,0,2018,5,21,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.151374101638794,11.34524917602539,6.861015319824219,5857.6298828125,262.50344848632807,256.33786010742193,3.0438766479492188,1.772418975830078,3190.866943359375,279.52249145507807,268.8325042724609,3.319421768188477,-0.04749488830566406,1565.45458984375,291.310546875,275.02474975585943,7.961101531982423,4.844217300415039,296.0673828125,282.0388488769531,5.3667869567871085,0.708038330078125,295.2771301269531,292.24737548828125,-0.6865768432617188,0.29270172119140625,0.0,-0.019775390625,-0.010052800178527832,101801.0,156.21883773803708,0.0,0.0,0.0,0.0,-0.4423789978027344,0.7300357818603516,98700.0,270.9952545166016,289.3394927978516,0.0,56.90000000000001,0.0,0.0,0.0,0.0,291.4989013671875,292.6316223144531,0.012050000000000002,289.8292236328125,90.3,-0.8776922225952148,-0.6882476806640625,1.25183125177864,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4601,0.03,-2.0,-4.0,49.0,12.0,0.0,270.0,-205.0,26.514501214027405,4.125,0.0,0.0,4.125,--,--,--,--,--,264.5,0.0,336.9000000000001,0.0,397.474838256836,0.0,0.0,-6.1000000000000005,72.0,8.367889404296875,-4.205577850341797,10.010705947875977,3.685522079467773,2.965557098388672,2.605297088623047,4130.4,50.0,62400.0,4130.0,50.0,62300.0,5680.0,7380.0,-2.0,200.0,-223.0,43.06023216247559,665.1807861328125,20.0,-213.0,270.0,-205.0,8711.171600341797,97800.0,45.3,1.0,0.0,238.74,288.0,230.3,287.0
