Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,6,8,-10.0,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,2.835210863500833,-9.056304931640623,-7.713716506958008,5871.8408203125,264.5287322998047,236.24978637695312,-0.03831291198730469,-1.7174530029296875,3185.605224609375,280.146240234375,256.24978637695307,-4.48908805847168,-2.7925338745117188,1560.3726806640625,291.35247802734375,286.0436706542969,-2.8267745971679688,-3.141669273376465,298.11480712890625,287.97508239746094,-3.9957981109619136,-1.4928932189941406,304.17962646484375,292.40728759765625,-2.652342796325684,1.160257339477539,0.0,0.015134334564208984,0.01993417739868164,101513.0,133.20997619628906,0.0,0.0,0.0,0.0,-2.92585563659668,2.03469467163086,100900.0,53.46400451660156,302.06048583984375,0.0,74.60000000000002,0.0,0.0,0.0,0.0,302.7015380859375,301.9886474609375,0.019090000000000003,297.6101531982422,70.10000000000001,-1.0336246490478516,1.1351566314697266,1.442008504178375,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.05,0.0,20.0,0.0,13.0,-7.800000000000002,3330.0,-20.0,31.79456913471222,0.0,0.0,0.0,0.0,--,--,--,--,--,296.3,105.1,403.6,14.25,472.2369842529297,316.7000000000001,52.0,-24.0,-29.0,-6.398244857788086,-8.46070671081543,-3.065345764160156,-3.146717071533203,3.208602905273437,-1.6760787963867188,4543.118515625,15.0,59200.0,4540.0,15.0,59200.0,6070.0,7490.0,-4.7,1760.0,-20.0,2131.1654148101807,1675.3107604980469,1040.0,-14.0,3330.0,-20.0,13458.469631195068,100000.0,44.6,1.0,0.0,252.0,296.7,244.77,294.9000000000001
1,0,2018,6,8,-10.0,-999.0,0.0,16400.0,-10.0,-10.0,-10.0,2.974506098777056,-8.858600616455078,-6.38618278503418,5877.54296875,264.6153106689453,235.99978637695312,0.2257709503173828,-2.8776073455810547,3188.137451171875,280.735595703125,252.87478637695312,-4.4950151443481445,-2.6317806243896484,1562.7166748046875,291.8572998046875,283.1247863769531,-3.631546020507813,-4.0734310150146475,298.28509521484375,286.6872863769531,-4.766349792480469,-2.1284122467041016,303.0745849609375,290.6247863769531,-1.6572513580322266,2.354961395263672,0.0,0.01867055892944336,0.006852865219116211,101548.0,136.46330451965332,0.0,0.0,0.0,0.0,-1.7958755493164062,3.047271728515625,100940.0,53.46400451660156,299.42893981933594,0.0,79.9,0.0,0.0,0.0,0.0,300.19427490234375,299.4146728515625,0.017640000000000003,296.3122863769531,73.9,-0.8537445068359375,1.2682170867919922,1.625782015034929,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.05,0.0,10.0,40.0,13.0,-6.0,2420.0,-80.0,28.773034542799,0.0,0.0,0.0,0.0,--,--,--,--,--,295.3,0.0,389.9,0.0,455.67877197265625,0.0,0.0,-14.0,-16.0,-9.183820724487305,-6.595481872558594,-3.7758827209472656,-4.694408416748047,2.7100067138671875,-3.738822937011719,4568.16,15.0,59100.0,4570.0,15.0,59000.0,6080.0,7490.0,-3.1,1100.0,-42.0,173.28288650512695,1622.5647888183594,850.0,-18.0,2420.0,-80.0,12489.992881774902,100000.0,40.1,1.0,0.0,252.03,295.7,244.67,294.6
2,0,2018,6,8,-10.0,-999.0,0.0,15700.0,-10.0,-10.0,-10.0,2.23085954412818,-7.3648738861083975,-5.145112991333008,5878.71044921875,264.8314208984375,235.12478637695312,-0.8159465789794922,-2.401296615600586,3188.696044921875,281.36480712890625,249.37478637695312,-3.961669921875,-1.2493228912353516,1562.85498046875,291.2184143066406,286.1872863769531,-6.463665008544923,-4.5165443420410165,297.72454833984375,288.3122863769531,-5.596183776855469,-2.360546112060547,302.4118957519531,288.7497863769531,-0.13632774353027344,2.2053451538085938,0.0,-0.0021066665649414067,-0.0248873233795166,101580.0,138.69491004943848,0.0,0.0,0.0,0.0,-0.33991050720214844,2.5374126434326167,100970.0,53.46400451660156,298.3360290527344,0.0,83.5,0.0,0.0,0.0,0.0,299.0266418457031,298.2220764160156,0.016700000000000003,295.4372863769531,75.7,-0.6806278228759766,0.9830436706542968,1.3146894040983172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.04,0.0,10.0,50.0,13.0,-4.1000000000000005,1590.0,-110.0,31.141169756650925,0.0,0.0,0.0,0.0,--,--,--,--,--,292.6,0.0,391.20000000000016,0.0,449.1477508544922,0.0,0.0,-7.0,6.0,-10.907876968383787,-3.6575031280517583,-5.287208557128906,-5.11126708984375,0.718414306640625,-3.28628921508789,4555.04,17.0,59200.0,4560.0,17.0,59100.0,6120.0,7490.0,-2.7,970.0,-11.0,61.44645881652832,1746.3890075683594,650.0,-20.0,1590.0,-110.0,12052.50562286377,100000.0,44.1,1.0,0.0,251.61,294.5,244.09,293.3
3,0,2018,6,8,-10.0,-999.0,0.0,14100.0,-10.0,-10.0,-10.0,2.0495883971452717,-5.933677673339844,-6.465251922607423,5880.49072265625,264.9343719482422,234.62478637695312,-0.5569953918457031,-3.2720317840576167,3191.5849609375,281.42694091796875,246.06228637695312,-3.093608856201172,-0.9551353454589844,1565.11474609375,291.1573181152344,285.8747863769531,-5.599784851074219,-4.309354782104491,297.3757019042969,289.2497863769531,-2.9443492889404297,-1.723346710205078,301.642822265625,288.0622863769531,2.0886716842651367,1.5748882293701172,0.0,-0.014293193817138672,-0.0076421499252319345,101627.0,142.45709705352786,0.0,0.0,0.0,0.0,2.089019775390625,1.8744487762451167,101010.0,53.46400451660156,297.53358459472656,0.0,85.9,0.0,0.0,0.0,0.0,298.95054626464844,298.1104431152344,0.01634,295.0622863769531,79.5,0.6008815765380859,0.618011474609375,1.0661686556413772,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.03,-1.0,0.0,40.0,13.0,-3.2,1240.0,-118.564453125,30.376603424549106,0.0,0.0,0.0,0.0,--,--,--,--,--,291.7,0.0,387.4,0.0,444.4496307373047,0.0,0.0,18.0,21.3,-9.45065689086914,0.3401432037353516,-4.604686737060547,-3.5781402587890625,-1.3045578002929688,-4.176300048828125,4515.04,18.0,59500.0,4510.0,18.0,59400.0,6140.0,7500.0,-3.4000000000000004,1340.0,-20.0,44.00825691223145,1694.2286376953125,730.0,-45.0,1280.0,-20.0,12052.95574569702,93800.0,43.5,1.0,0.0,250.78,294.3,243.03,293.3
4,0,2018,6,8,-10.0,-999.0,0.0,13800.0,-10.0,-10.0,-10.0,1.8072317987680435,-7.1497154235839835,-8.994314193725586,5883.17822265625,265.3463897705078,233.37478637695312,-1.1456575393676758,-1.6386871337890625,3194.23291015625,280.99362182617193,251.43728637695312,-2.57171630859375,0.4798679351806641,1569.2581787109375,290.90325927734375,286.0767974853516,-5.383270263671875,-2.7075271606445312,296.8247375488281,289.8353729248047,-2.812419891357422,-1.4299812316894531,300.8026428222656,289.09385681152344,2.2247743606567383,0.11697769165039062,0.0,-0.01591968536376953,0.006711840629577637,101697.0,148.3749269396067,0.0,0.0,0.0,0.0,2.468120574951172,-0.07152175903320312,101080.0,53.46400451660156,296.795654296875,0.0,87.7,0.0,0.0,0.0,0.0,298.28453063964844,297.38970947265625,0.01576,294.513671875,79.60000000000002,0.9120502471923828,-0.25287628173828125,0.8139825132675469,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.03,-2.0,0.0,30.0,13.0,-1.9,830.0,-170.0,32.000722169876106,0.0,0.0,0.0,0.0,--,--,--,--,--,290.2,0.0,387.9,0.0,439.8741149902344,0.0,0.0,30.0,28.3,-5.9363975524902335,5.180644989013672,-4.778816223144531,-1.702068328857422,-2.233331680297852,-1.3790321350097656,4524.0,17.0,59400.0,4520.0,17.0,59400.0,6200.0,7510.0,-3.1,1350.0,-20.0,45.39505958557129,1515.5981140136719,740.0,-40.0,1300.0,-20.0,12056.276657104492,93800.0,46.7,1.0,0.0,250.82,293.5,243.03,292.5
5,0,2018,6,8,-10.0,-999.0,0.0,12900.0,-10.0,-10.0,-10.0,1.8563283532857893,-11.055706024169922,-11.589231491088867,5881.08251953125,265.52723693847656,232.31228637695312,-1.0168008804321291,-1.286458969116211,3192.54052734375,280.84744262695307,251.87478637695312,-2.501031875610352,0.3778800964355469,1568.54638671875,290.60150146484375,285.1872863769531,-5.203058242797852,-2.302499771118164,296.4757385253906,289.4372863769531,-2.910961151123047,-1.871988296508789,300.31671142578125,289.8747863769531,0.9856929779052734,-1.2529182434082031,0.0,-0.008199214935302734,-0.004529476165771484,101714.0,149.46065902709958,0.0,0.0,0.0,0.0,1.0342750549316406,-1.6521015167236328,101100.0,53.46400451660156,296.0851745605469,0.0,89.10000000000002,0.0,0.0,0.0,0.0,296.682373046875,295.743408203125,0.01544,294.1872863769531,81.30000000000003,0.1988391876220703,-1.577714920043945,1.4393859623232856,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.05,-3.0,10.0,30.0,13.0,-1.4,690.0,-170.0,30.57884418964386,0.0,0.0,0.0,0.0,--,--,--,--,--,290.5,0.0,383.20000000000016,0.0,435.6814270019531,0.0,0.0,40.0,24.70000000000001,-0.9451637268066406,5.942550659179688,-3.9537429809570312,-0.16742706298828125,-1.0156192779541016,0.2067108154296875,4507.36,15.0,59500.0,4510.0,15.0,59500.0,6220.0,7490.0,-2.8000000000000003,1320.0,-14.0,43.02273559570313,1384.1463317871094,810.0,-30.0,1270.0,-10.0,12051.122783660889,93800.0,45.1,1.0,0.0,250.79,293.3,242.9,292.5
6,0,2018,6,8,-10.0,-999.0,0.0,11900.0,-10.0,-10.0,-10.0,1.4038720559328794,-14.014778137207033,-12.219856262207033,5875.9169921875,265.41319274902344,231.81228637695312,-0.5383167266845703,-1.7923011779785156,3188.39453125,280.55343627929693,252.395751953125,-1.8578834533691408,0.2149181365966797,1565.5716552734375,290.39166259765625,284.8747863769531,-5.011308670043945,-1.8840904235839844,296.2795104980469,289.1872863769531,-2.8869342803955083,-1.7486820220947266,299.68328857421875,290.6872863769531,-0.1704845428466797,-1.278289794921875,0.0,0.0027256011962890625,-0.01967358589172364,101699.0,147.7180633544922,0.0,0.0,0.0,0.0,-0.21094894409179688,-1.541177749633789,101080.0,53.46400451660156,295.3860778808594,0.0,90.2,0.0,0.0,0.0,0.0,295.97361755371094,295.05859375,0.01518,293.8747863769531,83.5,-0.5523414611816406,-1.030904769897461,1.1276799293700606,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.04,-2.0,0.0,20.0,13.0,-1.0,560.0,-170.0,30.752302169799805,0.0,0.0,0.0,0.0,--,--,--,--,--,289.4000000000001,0.0,381.20000000000016,0.0,431.8063659667969,0.0,0.0,10.0,-15.6,-6.443408966064452,-7.703413009643555,-2.921630859375,-0.4403190612792969,0.6129989624023438,-0.383331298828125,4498.4000000000015,14.0,59600.0,4500.0,14.0,59500.0,6200.0,7480.0,-2.8000000000000003,1330.0,-10.0,40.14337921142578,1228.5083618164062,1010.0,-43.0,1360.0,-30.0,12043.556911468506,96000.0,46.1,1.0,0.0,250.79,292.9000000000001,242.83,292.2
7,0,2018,6,8,-10.0,-999.0,0.0,10500.0,-10.0,-10.0,-10.0,0.9297117255628108,-15.685705184936525,-13.262399673461914,5875.21923828125,265.3267364501953,231.49978637695312,-0.1956768035888672,-1.9625377655029297,3186.69873046875,280.51495361328125,253.37478637695312,-1.486166000366211,0.100616455078125,1564.8602294921875,290.2640380859375,284.0691833496094,-4.3534812927246085,-1.501752853393555,296.07940673828125,288.9947662353516,-2.4227657318115234,-1.8225250244140625,298.956298828125,291.54661560058594,-0.5316743850708008,-0.8491096496582031,0.0,0.004446983337402344,-0.026884198188781745,101707.0,148.35336112976074,0.0,0.0,0.0,0.0,-0.7689342498779297,-0.8287792205810547,101090.0,53.46400451660156,294.94346618652344,0.0,91.2,0.0,0.0,0.0,0.0,296.26194763183594,295.3667907714844,0.01521,293.94944763183594,86.9,-0.7894401550292969,-0.005786895751953125,0.6891704482259229,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.03,-1.0,0.0,34.0,13.0,-1.2000000000000002,580.0,-180.0,31.16684091091156,0.0,0.0,0.0,0.0,--,--,--,--,--,288.4000000000001,0.0,379.0,0.0,429.0074005126953,0.0,0.0,19.0,0.9,-7.3293609619140625,-6.6179237365722665,-2.026552200317384,-1.676910400390625,1.2130241394042969,-1.1049575805664062,4553.76,12.0,59100.0,4550.0,12.0,59100.0,6170.0,7450.0,-2.8000000000000003,1260.0,-28.0,39.97168731689453,1042.8185729980466,1020.0,-40.0,1370.0,-30.0,12043.462951660156,96000.0,47.2,1.0,0.0,250.87,292.5,242.83,291.8
8,0,2018,6,8,-10.0,-999.0,0.0,9800.0,-10.0,-10.0,-10.0,0.7874275818467141,-16.39842414855957,-15.512310028076172,5871.7705078125,265.1166381835937,231.76544189453125,0.20902633666992188,-1.910968780517578,3184.453369140625,280.34689331054693,253.7720031738281,-0.9290199279785156,-0.5896511077880859,1563.6571044921875,290.08734130859375,283.8081359863281,-3.4703464508056636,-1.4396934509277344,295.8253173828125,288.9288024902344,-2.038005828857422,-2.175159454345703,298.42083740234375,292.2884063720703,-0.6920289993286133,-0.7081680297851562,0.0,-0.005430698394775391,0.02373754978179932,101707.0,148.24187850952146,0.0,0.0,0.0,0.0,-0.8945350646972656,-0.5906734466552734,101090.0,53.46400451660156,294.58799743652344,0.0,91.9,0.0,0.0,0.0,0.0,295.812255859375,294.93218994140625,0.01513,293.8331298828125,88.80000000000004,-0.5031213760375977,0.006862640380859375,0.43929872987791896,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.02,-1.0,1.0,44.0,13.0,-1.3,690.0,-110.0,31.71227836608887,0.0,0.0,0.0,0.0,--,--,--,--,--,287.7,0.0,378.6,0.0,426.9398040771485,0.0,0.0,16.0,1.1,-6.285433769226074,-7.208274841308594,-1.7463150024414062,-1.990081787109375,1.5728683471679688,-1.1610488891601562,4542.72,11.0,59200.0,4540.0,11.0,59200.0,6130.0,7430.0,-3.6,1520.0,-16.0,41.22630310058594,902.2598571777344,1140.0,-30.0,1550.0,-10.0,12481.892684936523,96000.0,48.7,1.0,0.0,250.71,292.2,242.66,291.5
9,0,2018,6,8,-10.0,-999.0,0.0,8900.0,-10.0,-10.0,-10.0,1.0233841836452484,-17.428630828857422,-15.061897277832033,5871.16943359375,265.12527465820307,231.56228637695312,0.08707237243652344,-1.4263076782226562,3183.73095703125,280.34841918945307,252.43728637695312,-0.37839317321777344,-1.0130634307861328,1562.5106201171875,290.11322021484375,282.99603271484375,-2.581808090209961,-0.9779090881347656,296.0893249511719,287.6434020996094,-1.8940315246582031,-1.8888397216796875,298.31024169921875,292.58734130859375,-0.5269718170166016,0.10782146453857422,0.0,-0.023215293884277344,0.015917181968688958,101695.0,147.0885810852051,0.0,0.0,0.0,0.0,-0.6142730712890625,0.5285263061523438,101080.0,53.46400451660156,294.2052459716797,0.0,92.5,0.0,0.0,0.0,0.0,295.17364501953125,294.29833984375,0.015019999999999999,293.7169647216797,91.7,-0.07708549499511719,0.6724357604980469,0.7524700204376131,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.02,-1.0,0.0,38.0,13.0,-1.0,750.0,-100.0,30.02590131759644,0.0,0.0,0.0,0.0,--,--,--,--,--,288.3,0.0,373.3,0.0,424.7192840576172,0.0,0.0,16.0,7.0,-7.250942230224607,-5.360422134399414,-2.038629531860352,-2.5134239196777344,1.2125358581542969,-1.460205078125,4545.6,12.0,59200.0,4550.0,12.0,59100.0,6140.0,7460.0,-2.9000000000000004,1130.0,-25.0,40.535621643066406,852.9699096679688,810.0,-40.0,1170.0,-20.0,12047.350082397461,97800.0,45.8,1.0,0.0,250.91,292.1,242.91,291.5
