Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,6,18,-10.0,-999.0,0.0,23300.0,-10.0,-10.0,-10.0,2.9536943994462486,-13.355962753295898,-2.249309539794922,5922.7314453125,266.25582885742193,246.37478637695312,-2.296001434326172,-1.3310394287109375,3219.921142578125,282.89117431640625,268.93728637695307,-0.524810791015625,2.137838363647461,1577.8319091796875,293.1377868652344,286.7497863769531,-0.2650146484375,1.6350364685058594,299.1400451660156,291.94078063964844,0.9433679580688475,2.130016326904297,305.2922668457031,293.9129180908203,1.030120849609375,1.907291412353516,0.0,0.01886582374572754,-0.023199796676635742,101646.0,144.5311012268066,0.0,0.0,0.0,0.0,1.266397476196289,2.8163509368896484,99480.0,190.2452545166016,304.21795654296875,0.0,47.2,0.0,0.0,0.0,0.0,304.8304138183594,305.3109130859375,0.01693,295.3701934814453,56.7,1.055583953857422,2.388050079345703,2.689481576438993,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1885,0.17,-10.0,90.0,0.0,12.0,-6.4,2130.0,-10.0,38.1101650595665,0.0,0.0,0.0,0.0,--,--,--,--,--,298.8,132.0,419.5,22.25,485.7945861816406,372.6,58.1,12.0,7.300000000000002,-5.5388755798339835,6.6403446197509775,-0.5256462097167969,-0.7509956359863281,-4.164161682128906,-4.818305969238281,4722.24,19.0,58200.0,4720.0,19.0,58200.0,6370.0,8070.0,-5.5,1650.0,-10.0,1341.521987915039,1584.8368072509766,1580.0,-20.0,2130.0,-14.0,13203.655353546144,99400.0,50.40000000000001,1.0,0.0,249.3,297.7,241.78,294.5
1,0,2018,6,18,-10.0,-999.0,0.0,23500.0,-10.0,-10.0,-10.0,2.3393950536847115,-13.474441528320312,-2.3607711791992188,5927.92578125,266.64169311523443,245.06228637695312,-3.5132789611816406,-2.058868408203125,3220.93505859375,283.299072265625,267.74978637695307,-0.3803367614746094,2.4104671478271484,1579.122314453125,292.7032470703125,288.6669158935547,0.06429481506347656,2.3601856231689453,299.4225158691406,290.5129852294922,0.5386018753051758,0.9992942810058594,305.08905029296875,293.0392761230469,-0.000438690185546875,1.229745864868164,0.0,0.004904747009277344,-0.03421759605407715,101661.0,146.01905822753906,0.0,0.0,0.0,0.0,0.04897880554199219,2.2612342834472656,99500.0,190.2452545166016,302.37229919433594,0.0,50.40000000000001,0.0,0.0,0.0,0.0,303.23133850097656,303.6845397949219,0.01668,295.1431121826172,58.0,-0.1563262939453125,2.2543926239013667,1.9417066159658127,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.07,0.0,20.0,-10.0,12.0,-4.9,1410.0,-27.0,37.553934395313256,0.0,0.0,0.0,0.0,--,--,--,--,--,298.7,0.0,416.9,0.0,473.9682312011719,0.0,0.0,2.0,3.4000000000000004,-6.108196258544923,6.496116638183594,0.7657909393310547,-1.1629409790039062,-4.131549835205078,-4.811225891113281,4818.08,14.0,57500.0,4820.0,14.0,57500.0,6430.0,8100.0,-4.2,1080.0,-17.0,1475.8823261260986,1664.088882446289,940.0,-20.0,1410.0,-27.0,12749.01209640503,99400.0,49.2,1.0,0.0,250.62,296.7,242.39,293.8
2,0,2018,6,18,-10.0,-999.0,0.0,17700.0,-10.0,-10.0,-10.0,2.727496571838856,-11.925338745117188,-2.6624298095703125,5929.119140625,266.64657592773443,249.49978637695312,-3.478160858154297,-1.66876220703125,3223.720947265625,283.0571594238281,269.12478637695307,-0.035327911376953125,3.0559968948364262,1582.0394287109375,293.10382080078125,286.86940002441406,0.5522089004516602,3.239709854125977,299.44207763671875,291.0513153076172,0.8715715408325195,2.211267471313477,304.4754638671875,293.22889709472656,0.11470890045166016,1.2803878784179688,0.0,0.02467203140258789,0.02190530300140381,101695.0,149.0200424194336,0.0,0.0,0.0,0.0,0.29913330078125,2.9874038696289062,99540.0,190.2452545166016,300.38905334472656,0.0,51.40000000000001,0.0,0.0,0.0,0.0,301.1441345214844,301.6067199707031,0.017040000000000003,295.5283203125,67.60000000000001,0.07794380187988281,1.951496124267578,1.876961004920304,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.07,-5.0,10.0,46.0,12.0,-5.0,1470.0,-50.0,38.09443992376328,0.0,0.0,0.0,0.0,--,--,--,--,--,294.9000000000001,0.0,409.20000000000016,0.0,461.4918975830078,0.0,0.0,-5.0,-2.0,-5.697742462158202,7.305629730224607,0.9666690826416016,-0.12446403503417967,-4.4487876892089835,-5.0169219970703125,4792.0,21.0,57700.0,4790.0,21.0,57700.0,6440.0,8070.0,-4.3,1120.0,-6.0,344.64389610290533,1597.4433898925781,1030.0,-25.0,1470.0,-55.0,12748.402919769287,99400.0,50.3,1.0,0.0,249.51,295.8,241.66,293.3
3,0,2018,6,18,-10.0,-999.0,0.0,15300.0,-10.0,-10.0,-10.0,2.596576515585184,-12.915668487548828,-3.62417221069336,5932.39404296875,267.08853149414057,245.62478637695312,-4.214836120605469,-2.3718738555908203,3226.38671875,282.9281005859375,268.12478637695307,0.08261489868164062,4.124347686767578,1585.164306640625,293.05743408203125,287.0935363769531,1.6588659286499023,4.9168548583984375,299.31317138671875,291.29486083984375,0.8321723937988281,3.0979995727539062,303.57464599609375,293.4762268066406,-0.09680461883544922,1.5051231384277344,0.0,-0.01845645904541016,-0.012128591537475586,101740.0,152.84589195251462,0.0,0.0,0.0,0.0,0.4381999969482422,2.8705406188964844,99580.0,190.2452545166016,299.3174285888672,0.0,52.1,0.0,0.0,0.0,0.0,300.0205383300781,300.3994445800781,0.01701,295.51075744628906,72.7,0.15630340576171875,1.9203205108642576,1.7518165709916502,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.07,-4.0,10.0,43.0,12.0,-4.2,1240.0,-90.0,36.828444242477424,0.0,0.0,0.0,0.0,--,--,--,--,--,297.3,0.0,404.70000000000016,0.0,455.1758270263672,0.0,0.0,-16.0,-14.0,-5.534820556640625,7.8864078521728525,0.9871330261230468,1.5561637878417969,-5.166742324829102,-5.637596130371094,4831.04,16.0,57500.0,4830.0,16.0,57400.0,6510.0,8090.0,-4.0,1130.0,-15.0,59.311561584472656,1510.1408386230469,1000.0,-19.0,1240.0,-93.0,12754.33383178711,99500.0,48.6,1.0,0.0,250.88,295.6,242.67,293.4000000000001
4,0,2018,6,18,-10.0,-999.0,0.0,14000.0,-10.0,-10.0,-10.0,3.5453828014433384,-12.983610153198242,-4.795158386230469,5932.4326171875,267.1143798828125,246.93728637695312,-5.123795509338379,-1.8008346557617188,3228.2373046875,282.6484375,268.93728637695307,0.6798954010009766,4.0979957580566415,1587.96484375,292.81988525390625,287.36541748046875,3.4369983673095703,4.918718338012695,299.27264404296875,290.3017120361328,1.458444595336914,4.8541107177734375,303.06903076171875,293.2961730957031,0.2180328369140625,1.752084732055664,0.0,0.008656024932861328,0.014862656593322754,101778.0,156.2153511047363,0.0,0.0,0.0,0.0,0.5212364196777344,4.43358039855957,99620.0,190.2452545166016,298.6602935791016,0.0,52.5,0.0,0.0,0.0,0.0,299.4852294921875,299.78302001953125,0.016880000000000003,295.3577575683594,75.4,0.464883804321289,1.9810714721679688,1.9381385181914084,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.1,-7.0,10.0,54.0,12.0,-3.9,1030.0,-100.0,36.02741038799286,0.0,0.0,0.0,0.0,--,--,--,--,--,294.6,0.0,399.20000000000016,0.0,451.2405548095703,0.0,0.0,-10.0,-16.0,-5.139501571655273,8.581279754638674,1.3620147705078125,2.246112823486328,-6.175975799560548,-6.820636749267577,4794.88,19.0,57700.0,4790.0,19.0,57700.0,6540.0,8150.0,-2.9000000000000004,640.0,-7.0,44.99846267700195,1526.2773132324219,550.0,-31.0,1030.0,-96.0,12317.29857635498,99500.0,47.6,1.0,0.0,249.19,295.3,241.26,293.3
5,0,2018,6,18,-10.0,-999.0,0.0,13700.0,-10.0,-10.0,-10.0,3.0456177853047848,-14.901079177856445,-4.134735107421875,5928.2890625,267.02383422851557,244.5863037109375,-5.237717628479004,-0.5595359802246094,3225.138671875,282.30462646484375,269.74978637695307,0.4600906372070313,4.111621856689453,1586.2572021484375,292.31353759765625,288.48834228515625,4.703634262084961,4.447310447692871,298.8678283691406,291.65472412109375,3.72392463684082,3.6404514312744136,302.5795593261719,293.3388366699219,-0.1157550811767578,0.8359107971191406,0.0,0.002635478973388672,-0.022802114486694336,101781.0,156.07352638244632,0.0,0.0,0.0,0.0,0.5721187591552734,3.917648315429688,99610.0,190.2452545166016,298.1577453613281,0.0,52.8,0.0,0.0,0.0,0.0,299.678466796875,300.05816650390625,0.01677,295.26954650878906,76.80000000000003,0.11370086669921875,1.1163578033447266,1.0643427277682351,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.03,-2.0,0.0,59.0,12.0,-3.6,960.0,-131.0,37.56791210174561,0.0,0.0,0.0,0.0,--,--,--,--,--,294.8,0.0,401.70000000000016,0.0,448.04632568359375,0.0,0.0,-16.0,-30.0,-2.968067169189453,9.557357788085938,4.212570190429688,2.465862274169922,-6.998979568481445,-4.319435119628906,4792.0,19.0,57700.0,4790.0,19.0,57700.0,6520.0,8090.0,-4.2,1250.0,-7.0,45.38567543029785,1452.2449645996094,890.0,-14.0,1290.0,-6.0,12750.785659790039,90100.0,50.8,1.0,0.0,250.2,294.7,241.91,292.6
6,0,2018,6,18,-10.0,-999.0,0.0,13200.0,-10.0,-10.0,-10.0,2.5473096892237663,-15.540746688842773,-2.840904235839844,5927.98974609375,266.97055053710943,243.49978637695312,-4.9040870666503915,0.95166015625,3226.58642578125,282.19512939453125,270.12478637695307,1.8744382858276367,4.063762664794922,1586.37939453125,292.7027893066406,287.18463134765625,4.9876747131347665,4.824919700622559,298.94940185546875,291.9408264160156,4.839933395385742,2.732961654663086,302.10052490234375,293.75115966796875,-0.08249282836914062,1.093902587890625,0.0,0.023861408233642568,-0.030760645866394043,101782.0,156.19254016876218,0.0,0.0,0.0,0.0,1.1456985473632812,3.3744220733642583,99620.0,190.2452545166016,297.6093444824219,0.0,53.2,0.0,0.0,0.0,0.0,298.3037109375,298.6323547363281,0.016640000000000002,295.1481628417969,77.60000000000002,0.20742225646972656,1.522054672241211,1.3142062711995095,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.04,-2.0,0.0,42.0,12.0,-3.5,900.0,-140.0,36.45101404190064,0.0,0.0,0.0,0.0,--,--,--,--,--,293.8,0.0,398.6,0.0,444.6964569091797,0.0,0.0,-29.0,-46.0,-0.2407817840576172,10.38591766357422,5.366443634033203,2.1235713958740234,-7.236988067626952,-2.0155601501464844,4731.2,20.0,58200.0,4730.0,20.0,58100.0,6540.0,8080.0,-4.7,1440.0,-6.0,49.81291770935058,1344.0117950439453,1020.0,-20.0,1370.0,-7.0,12749.235530853271,92500.0,49.1,1.0,0.0,249.2,294.8,240.75,293.0
7,0,2018,6,18,-10.0,-999.0,0.0,11900.0,-10.0,-10.0,-10.0,3.345212060958147,-16.579187393188473,-1.3251304626464844,5923.71826171875,266.8990631103516,241.84976196289062,-5.1195945739746085,1.8541393280029297,3224.27978515625,281.9132080078125,270.43728637695307,2.2086162567138667,3.748985290527344,1583.5494384765625,293.1494445800781,285.28355407714844,5.497978210449219,4.264444351196288,299.06689453125,291.5363006591797,5.495321273803711,2.5742263793945312,301.84423828125,294.0104064941406,0.24842071533203125,1.4656867980957031,0.0,0.021131515502929688,0.018125534057617188,101749.0,153.13197708129886,0.0,0.0,0.0,0.0,1.9734992980957031,3.338569641113281,99580.0,190.2452545166016,297.1895446777344,0.0,53.40000000000001,0.0,0.0,0.0,0.0,298.03662109375,298.4067077636719,0.01677,295.2821960449219,81.10000000000002,0.6620254516601562,1.834821701049805,1.753033057320863,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.09,-7.0,10.0,59.0,12.0,-3.6,970.0,-114.0,34.723032593727105,0.0,0.0,0.0,0.0,--,--,--,--,--,294.7,0.0,393.3,0.0,442.28672790527344,0.0,0.0,-20.0,-46.7,1.7013778686523438,10.43580436706543,5.18699836730957,2.138202667236328,-7.94805908203125,-0.4295806884765625,4686.56,21.0,58500.0,4690.0,21.0,58400.0,6510.0,8060.0,-4.3,1260.0,-14.0,43.58477592468262,1293.123992919922,1060.0,-21.0,1210.0,-16.0,12302.23044204712,94500.0,46.40000000000001,1.0,0.0,249.41,294.9000000000001,241.11,293.4000000000001
8,0,2018,6,18,-10.0,-999.0,0.0,11000.0,-10.0,-10.0,-10.0,3.4895826019346714,-15.873714447021484,-0.15918350219726562,5921.673828125,266.74105834960943,241.9403381347656,-5.045318603515625,2.436756134033203,3223.18212890625,282.08819580078125,269.56228637695307,1.1665802001953125,3.0508937835693364,1582.337646484375,293.4509582519531,283.59698486328125,5.160539627075195,2.7742977142333984,298.99798583984375,290.6477508544922,5.250568389892578,2.5371074676513667,301.2127380371094,294.5556335449219,0.7303657531738281,1.2573604583740234,0.0,-0.009563922882080078,0.004628181457519531,101747.0,152.97521662712097,0.0,0.0,0.0,0.0,2.7816181182861333,3.423603057861328,99580.0,190.2452545166016,296.8736877441406,0.0,53.6,0.0,0.0,0.0,0.0,297.6180419921875,298.0165100097656,0.016819999999999998,295.291259765625,83.7,0.901031494140625,1.613935470581055,1.7523874992039057,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.08,-6.0,0.0,62.0,12.0,-3.7,920.0,-112.0,32.89696002006531,0.0,0.0,0.0,0.0,--,--,--,--,--,295.5,0.0,387.6,0.0,440.5092468261719,0.0,0.0,7.0,-34.9,2.27288818359375,9.928695678710938,4.542835235595703,1.8209075927734373,-8.334808349609375,0.2862968444824219,4661.6,21.0,58700.0,4660.0,21.0,58600.0,6490.0,8140.0,-4.0,970.0,-23.0,41.30556678771973,1144.174285888672,860.0,-28.0,1030.0,-21.0,11883.647281646729,94500.0,44.1,1.0,0.0,250.01,294.9000000000001,241.94,293.6
9,0,2018,6,18,-10.0,-999.0,0.0,10100.0,-10.0,-10.0,-10.0,4.525073731318116,-14.854127883911133,-0.7923431396484375,5921.5673828125,267.21893310546875,239.20579528808602,-2.883886337280273,3.5158920288085938,3220.72607421875,281.9982604980469,268.87478637695307,1.2333917617797852,3.3481407165527344,1581.7569580078125,292.967529296875,284.2840576171875,3.9705486297607417,2.753351211547852,298.0901794433594,291.87969970703125,4.4912147521972665,1.09869384765625,299.72039794921875,294.8216552734375,1.1455421447753906,0.9724483489990234,0.0,-0.02605724334716797,0.017323732376098633,101778.0,155.84494161605838,0.0,0.0,0.0,0.0,5.053474426269531,3.5549526214599614,99610.0,190.2452545166016,296.2803192138672,0.0,53.7,0.0,0.0,0.0,0.0,296.8530578613281,297.2354736328125,0.01675,295.26361083984375,86.80000000000004,1.0925750732421875,1.223419189453125,1.7550600725226104,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.05,-2.0,1.0,50.0,12.0,-2.9000000000000004,680.0,-133.0,33.34098184108734,0.0,0.0,0.0,0.0,--,--,--,--,--,295.5,0.0,386.5,0.0,436.998291015625,0.0,0.0,27.0,-3.6,3.955421447753906,9.776630401611328,2.80487060546875,1.1850509643554688,-8.138931274414062,1.4213180541992188,4742.88,16.0,58100.0,4740.0,16.0,58000.0,6580.0,8230.0,-4.0,1040.0,-9.0,36.7623176574707,925.7998657226562,730.0,-42.0,970.0,-11.0,12315.676391601562,92500.0,45.7,1.0,0.0,250.62,294.4000000000001,242.41,293.1
