Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,6,19,-10.0,-999.0,0.0,20500.0,-10.0,-10.0,-10.0,4.113641735166311,-4.221181869506837,7.921049118041992,5926.73828125,268.552978515625,254.12478637695312,1.9227418899536133,-0.24670982360839844,3207.5986328125,282.66632080078125,271.81228637695307,2.6281604766845703,2.5929489135742188,1566.938720703125,292.3505859375,288.9997863769531,3.702205657958984,-0.5969085693359375,298.98443603515625,291.5703887939453,5.339427947998047,0.23129844665527344,304.3388671875,294.360595703125,2.517475128173828,0.21662521362304688,0.0,-0.01601099967956543,0.02396416664123535,101569.0,137.62238693237305,0.0,0.0,0.0,0.0,4.692886352539063,0.598052978515625,97140.0,394.5265045166016,301.5009765625,0.0,37.9,0.0,0.0,0.0,0.0,302.1207275390625,304.65716552734375,0.01584,293.9422912597656,60.2,2.6270294189453125,0.3547515869140625,2.6293235840275884,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998,0.18,-10.0,50.0,0.0,12.0,-3.2,1120.0,-10.0,39.116189241409295,0.0,0.0,0.0,0.0,--,--,--,--,--,291.2,104.2,404.70000000000016,16.625,468.3065185546875,315.9000000000001,51.3,11.0,-8.4,1.9581146240234373,7.836387634277344,1.9481067657470703,-0.9578075408935548,-3.1895294189453125,-0.6143722534179688,5104.017578125,41.0,55500.0,5100.0,41.0,55400.0,6760.0,8250.0,-3.0,1030.0,-7.0,1262.3261184692385,1380.2495727539062,880.0,-9.0,1120.0,-10.0,12918.15843963623,97000.0,55.90000000000001,1.0,0.0,248.66,295.4000000000001,240.0,291.7
1,0,2018,6,19,-10.0,-999.0,0.0,16900.0,-10.0,-10.0,-10.0,4.159345988184214,-3.6854267120361333,8.271352767944336,5925.5224609375,268.15335083007807,254.31228637695312,1.2535877227783203,-0.5906982421875,3209.86962890625,282.49267578125,272.87478637695307,3.2552213668823238,2.8714771270751966,1569.1630859375,292.4598388671875,288.0040588378906,4.2618751525878915,0.2848625183105469,298.2366638183594,291.7519989013672,6.913217544555664,0.8607902526855469,303.66693115234375,294.6184387207031,1.4333925247192385,0.3034353256225586,0.0,-0.003948450088500977,-0.01816248893737793,101616.0,141.70384216308594,0.0,0.0,0.0,0.0,5.331504821777344,1.08740234375,97190.0,394.5265045166016,298.82684326171875,0.0,41.0,0.0,0.0,0.0,0.0,299.6607971191406,302.14288330078125,0.01642,294.5313262939453,68.2,1.8514862060546875,0.7244987487792969,2.06905514979735,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.06,-4.0,-2.152652740478516,30.0,12.0,-3.6,1140.0,-20.0,39.410923719406135,0.0,0.0,0.0,0.0,--,--,--,--,--,288.4000000000001,0.0,399.3,0.0,451.97792053222656,0.0,0.0,-3.0,-17.400000000000002,1.672607421875,8.102764129638674,3.5405197143554688,-0.6050796508789062,-4.707263946533203,-1.4888629913330078,5003.36,45.0,56200.0,5000.0,45.0,56100.0,6680.0,8210.0,-3.0,850.0,-14.0,912.8246479034424,1271.3731079101562,820.0,-15.0,1140.0,-20.0,12915.320831298828,97100.0,57.3,1.0,0.0,248.93,293.9000000000001,240.67,290.8
2,0,2018,6,19,-10.0,-999.0,0.0,14900.0,-10.0,-10.0,-10.0,3.790884707123041,-2.770248413085937,7.0190372467041025,5927.30859375,268.4730834960937,254.06228637695312,1.6835508346557615,-1.909040451049805,3210.208984375,282.81414794921875,269.37478637695307,3.417953491210937,1.3164749145507812,1569.54345703125,292.821044921875,285.5622863769531,4.554241180419922,0.6774749755859375,298.0804748535156,290.6734313964844,7.513378143310548,0.7653818130493164,302.284912109375,294.47047424316406,1.1439933776855469,0.1951141357421875,0.0,-0.00593113899230957,0.02086186408996582,101634.0,143.4636993408203,0.0,0.0,0.0,0.0,5.189107894897461,0.5789051055908203,97210.0,394.5265045166016,297.3585968017578,0.0,43.1,0.0,0.0,0.0,0.0,298.3563537597656,300.8276672363281,0.016069999999999997,294.16290283203125,72.5,2.0603809356689453,0.6846790313720703,2.188862496986985,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.08,-7.0,10.0,40.0,12.0,-2.4000000000000004,620.0,-50.0,34.83081102371216,0.0,0.0,0.0,0.0,--,--,--,--,--,289.4000000000001,0.0,386.4,0.0,443.36114501953125,0.0,0.0,-9.0,-23.1,0.3997879028320313,6.8817100524902335,3.858978271484375,0.1338062286376953,-3.808425903320313,-2.17927360534668,5054.56,43.0,55800.0,5050.0,43.0,55800.0,6750.0,8320.0,-1.7000000000000002,380.0,-31.0,294.92603874206543,1197.742431640625,290.0,-39.0,620.0,-50.0,12063.31303024292,97100.0,50.1,1.0,0.0,249.08,293.9000000000001,240.7,291.6
3,0,2018,6,19,-10.0,-999.0,0.0,12800.0,-10.0,-10.0,-10.0,4.417823318392038,-2.9875411987304688,3.942459106445313,5932.7236328125,268.35848999023443,252.18728637695312,1.4299545288085938,-0.16709136962890625,3215.333984375,283.0445251464844,268.87478637695307,3.9222373962402335,1.5402145385742188,1573.788818359375,293.12310791015625,283.0559539794922,5.101221084594727,1.4214744567871094,298.15240478515625,289.6954803466797,7.4731597900390625,1.528219223022461,301.26812744140625,294.8225402832031,1.1832828521728516,0.6722898483276367,0.0,-0.017792701721191406,-0.024250149726867683,101689.0,148.35055541992188,0.0,0.0,0.0,0.0,5.654947280883789,1.2265148162841797,97260.0,394.5265045166016,296.1587829589844,0.0,44.2,0.0,0.0,0.0,0.0,297.4492645263672,299.8692932128906,0.01616,294.2843780517578,77.4,2.2818756103515625,1.0117874145507812,2.4400074258446693,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.13,-16.0,10.0,60.0,12.0,-2.4000000000000004,490.0,-80.0,31.309585094451904,0.0,0.0,0.0,0.0,--,--,--,--,--,292.0,0.0,377.0,0.0,436.2249603271485,0.0,0.0,-10.0,-26.8,2.4728927612304688,8.28095817565918,4.002393722534181,0.4302825927734375,-4.012489318847656,-0.9989509582519532,5083.2,33.0,55700.0,5080.0,33.0,55600.0,6740.0,8430.0,-1.8,350.0,-50.0,104.00159072875977,1083.4176635742188,110.0,-40.0,490.0,-80.0,11269.31325531006,96900.0,44.6,1.0,0.0,250.29,293.7,242.06,292.0
4,0,2018,6,19,-10.0,-999.0,0.0,11400.0,-10.0,-10.0,-10.0,3.7939768396317963,-3.306549072265625,3.417346954345703,5927.34423828125,268.0269775390625,253.74978637695312,1.7286672592163086,0.2270660400390625,3213.642578125,282.7493896484375,270.49978637695307,3.7971458435058594,0.5012779235839844,1573.47509765625,293.07427978515625,282.6989440917969,5.652782440185548,-0.770599365234375,298.1541442871094,290.0048065185547,7.006755828857423,-0.3561820983886719,300.660888671875,295.1253967285156,0.7856044769287109,0.04698371887207031,0.0,0.01188802719116211,-0.02626824378967285,101695.0,148.72736358642578,0.0,0.0,0.0,0.0,5.043924331665039,0.037891387939453125,97260.0,394.5265045166016,295.1076202392578,0.0,45.1,0.0,0.0,0.0,0.0,296.1912078857422,298.5717468261719,0.016280000000000003,294.4005432128906,81.60000000000002,2.038461685180664,0.06145286560058594,1.878844153136015,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.06,-5.0,0.0,70.0,12.0,-2.6,600.0,-50.0,32.62018513679505,0.0,0.0,0.0,0.0,--,--,--,--,--,290.1,0.0,376.3,0.0,429.9206237792969,0.0,0.0,-5.0,-26.6,7.088054656982423,6.678600311279298,4.3764991760253915,-0.8808937072753906,-2.635528564453125,1.0998497009277344,4953.6,40.0,56500.0,4950.0,40.0,56500.0,6720.0,8370.0,-2.4000000000000004,470.0,-40.0,142.75177574157715,992.5761871337892,190.0,-53.0,600.0,-50.0,11261.66695022583,96900.0,47.2,1.0,0.0,250.91,292.8,242.95,291.1
5,0,2018,6,19,-10.0,-999.0,0.0,11000.0,-10.0,-10.0,-10.0,4.151223773136735,-4.527149200439453,3.1761436462402344,5915.4541015625,267.35653686523443,253.68728637695312,1.3651361465454102,1.073202133178711,3210.1064453125,282.08477783203125,270.93728637695307,4.847484588623047,1.483510971069336,1572.8809814453125,292.7487487792969,282.47874450683594,6.191596984863281,-0.9227828979492188,297.83514404296875,289.9608459472656,7.223258972167969,-0.4507064819335938,300.3870849609375,295.450439453125,0.947275161743164,0.5741024017333984,0.0,-0.040697574615478516,0.008229851722717285,101713.0,149.95025634765625,0.0,0.0,0.0,0.0,5.148351669311523,0.3742465972900391,97270.0,394.5265045166016,294.7092742919922,0.0,45.8,0.0,0.0,0.0,0.0,296.02488708496094,298.39178466796875,0.01627,294.3758239746094,82.5,2.3270339965820312,0.3837471008300781,2.1278815981931984,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.09,-10.0,-2.0,60.0,12.0,-3.4000000000000004,880.0,-30.0,32.524506330490105,0.0,0.0,0.0,0.0,--,--,--,--,--,289.2,0.0,375.5,0.0,427.65504455566406,0.0,0.0,-6.0,-28.0,8.321712493896483,6.74744987487793,4.5575218200683585,-1.2083168029785156,-3.011703491210937,1.6700782775878906,4742.56,45.0,58000.0,4740.0,45.0,58000.0,6670.0,8340.0,-3.4000000000000004,680.0,-30.0,184.8062400817871,929.056671142578,290.0,-38.0,880.0,-30.0,12047.58616256714,96900.0,48.40000000000001,1.0,0.0,251.35,292.5,243.48,290.7
6,0,2018,6,19,-10.0,-999.0,0.0,10200.0,-10.0,-10.0,-10.0,4.35492480173707,-6.502265930175781,4.349504470825194,5906.3232421875,267.1181030273437,253.74978637695312,1.5287580490112305,1.6859245300292969,3206.455322265625,281.45672607421875,271.31228637695307,6.2920284271240225,1.349761962890625,1570.6356201171875,292.6685791015625,283.82330322265625,7.2126808166503915,-2.0846519470214844,297.6478576660156,291.06944274902344,8.104084014892576,-0.7791633605957031,299.98284912109375,296.0411376953125,0.9263839721679688,0.3628969192504883,0.0,-0.002859115600585937,4.172325134277344e-05,101700.0,148.44557189941406,0.0,0.0,0.0,0.0,5.561439514160156,0.4777412414550781,97240.0,394.5265045166016,294.7552490234375,0.0,46.3,0.0,0.0,0.0,0.0,296.0608367919922,298.5139465332031,0.01648,294.5965576171875,84.9,2.356586456298828,0.3740234375,2.0656819487921894,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.11,-14.0,-6.0,60.0,12.0,-3.9,1170.0,-40.0,34.003428220748894,0.0,0.0,0.0,0.0,--,--,--,--,--,288.0,0.0,378.5,0.0,428.05738830566406,0.0,0.0,-8.0,-35.0,9.470726013183594,6.316139221191406,5.66535758972168,-2.5414867401123047,-3.5321826934814453,2.263290405273437,4605.28,51.0,59000.0,4610.0,51.0,58900.0,6680.0,8280.0,-4.2,1010.0,-30.0,148.26739120483396,817.8070678710938,590.0,-21.0,1170.0,-40.0,12457.991497039795,96900.0,51.90000000000001,1.0,0.0,250.82,292.3,242.66,290.5
7,0,2018,6,19,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,4.653294432908297,-5.949419021606445,6.7313385009765625,5902.435546875,267.1944580078125,254.03175354003903,1.9022140502929688,1.978132247924805,3202.15087890625,281.3243408203125,273.56228637695307,6.488340377807617,0.435638427734375,1565.8072509765625,292.39886474609375,285.8580322265625,7.513609886169434,-2.843292236328125,297.7518310546875,290.7812957763672,8.603160858154299,-1.4550323486328125,299.57342529296875,296.15380859375,0.9090595245361328,0.6750698089599609,0.0,-0.033935546875,0.008980512619018555,101651.0,144.08655548095703,0.0,0.0,0.0,0.0,5.7862548828125,0.8438453674316406,97190.0,394.5265045166016,294.60357666015625,0.0,46.7,0.0,0.0,0.0,0.0,296.0003204345703,298.4397888183594,0.01642,294.4964904785156,86.10000000000002,2.562411308288574,0.7308464050292969,2.1909814446698874,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.15,-19.0,-10.0,44.0,12.0,-3.7,1110.0,-40.0,36.43173730373383,0.0,0.0,0.0,0.0,--,--,--,--,--,285.4000000000001,0.0,380.6,0.0,427.3182830810547,0.0,0.0,-1.0,-33.800000000000004,9.673458099365234,6.030965805053711,5.782554626464844,-3.656280517578125,-3.669525146484375,2.313072204589844,4615.36,56.0,58900.0,4620.0,56.0,58800.0,6680.0,8260.0,-4.1000000000000005,980.0,-30.0,111.23579788208008,775.3949584960938,560.0,-20.0,1110.0,-40.0,12458.910552978516,96800.0,55.8,1.0,0.0,249.78,291.8,241.45,289.7
8,0,2018,6,19,-10.0,-999.0,0.0,9700.0,-10.0,-10.0,-10.0,4.475183818489314,-4.604881286621094,7.1146488189697275,5902.01123046875,266.96163940429693,253.5958251953125,2.8262805938720703,1.9371185302734373,3201.64111328125,281.357421875,274.62478637695307,5.914756774902344,-0.3201789855957031,1565.359619140625,292.38861083984375,285.3122863769531,7.915853500366211,-1.809776306152344,297.98565673828125,289.9444274902344,8.987874984741211,-1.7555007934570312,298.7467041015625,296.1218566894531,0.937702178955078,0.6119289398193359,0.0,0.0013566017150878904,-0.010518074035644531,101647.0,143.80580139160156,0.0,0.0,0.0,0.0,5.465444564819336,1.554180145263672,97190.0,394.5265045166016,294.38623046875,0.0,47.2,0.0,0.0,0.0,0.0,295.30615234375,297.76422119140625,0.01623,294.31549072265625,90.9,2.244537353515625,1.0942401885986328,1.8781596145126969,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.15,-14.0,-13.0,35.0,12.0,-3.1,910.0,-70.0,35.97031927108765,0.0,0.0,0.0,0.0,--,--,--,--,--,284.6,0.0,375.6,0.0,425.7902374267578,0.0,0.0,-7.0,-36.0,9.13669204711914,6.61128044128418,6.392017364501952,-3.228946685791016,-3.0877647399902344,1.5272331237792969,4621.92,54.0,58800.0,4620.0,54.0,58800.0,6640.0,8210.0,-3.9,840.0,-40.0,69.97305679321289,722.1405944824219,430.0,-33.0,910.0,-70.0,11633.346240997314,96800.0,55.1,1.0,0.0,249.45,291.6,241.06,289.5
9,0,2018,6,19,-10.0,-999.0,0.0,9900.0,-10.0,-10.0,-10.0,4.023550406098367,-3.937095642089844,7.4906654357910165,5904.09765625,267.38833618164057,253.49978637695312,2.7296152114868164,1.9522933959960933,3201.68798828125,281.5388488769531,278.49978637695307,6.600038528442383,-1.1580753326416016,1564.6295166015625,292.2042541503906,285.8747863769531,8.665300369262695,-3.184432983398437,297.6881103515625,290.93280029296875,9.60114288330078,-3.9301662445068373,298.257080078125,296.0521240234375,0.5900077819824219,0.4638271331787109,0.0,0.02348041534423828,-0.028272390365600582,101648.0,143.9408416748047,0.0,0.0,0.0,0.0,5.1024322509765625,1.1135597229003906,97190.0,394.5265045166016,294.04298400878906,0.0,47.5,0.0,0.0,0.0,0.0,294.75146484375,297.23358154296875,0.015870000000000002,293.97508239746094,91.3,1.7779788970947266,0.8619918823242188,1.376215961412527,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997,0.09,-6.0,-6.0,30.0,12.0,-2.1,740.0,-60.0,39.84623456001281,0.0,0.0,0.0,0.0,--,--,--,--,--,281.7,0.0,379.70000000000016,0.0,423.7810516357422,0.0,0.0,-17.0,-49.0,10.46113395690918,5.2662010192871085,7.6113033294677725,-4.667762756347656,-3.485054016113281,2.325746536254884,4626.24,57.0,58800.0,4630.0,57.0,58700.0,6670.0,8180.0,-3.3000000000000003,760.0,-60.0,69.24391365051271,654.320068359375,540.0,-21.0,770.0,-40.0,10376.388053894045,95400.0,61.5,1.0,0.0,248.78,290.7,240.33,288.2
