Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,6,19,-10.0,-999.0,0.0,16100.0,-10.0,-10.0,-10.0,3.6136417351663113,7.716318130493164,1.7335491180419922,5925.95703125,267.052978515625,262.99978637695307,-0.6397581100463867,8.128290176391603,3213.6298828125,281.35382080078125,275.49978637695307,-2.9968395233154297,7.780448913574219,1580.032470703125,291.7880859375,280.37478637695307,-4.6727943420410165,3.5905914306640625,297.23443603515625,285.0078887939453,-5.160572052001953,1.8562984466552728,300.8388671875,294.110595703125,-2.170024871826172,2.341625213623047,0.0,-0.01601099967956543,0.02396416664123535,101812.0,158.05988693237302,0.0,0.0,0.0,0.0,-1.8071136474609373,1.598052978515625,101780.0,2.9952545166015625,302.4384765625,0.0,10.9,0.0,0.0,0.0,0.0,302.0582275390625,300.53216552734375,0.01665,295.5047912597656,68.3,-1.4979705810546875,1.1672515869140625,1.8793235840275884,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.28,10.0,50.0,0.0,13.0,-4.0,1190.0,-40.0,42.366189241409295,0.0,5.25,86.0,86.0,--,--,8550.858631134033,--,11140.008743286133,232.0,88.0,400.70000000000016,11.625,474.3065185546875,1.2000000000000002,87.80000000000004,59.0,0.6000000000000001,3.9581146240234375,2.023887634277344,-3.5518932342529297,0.8546924591064453,1.8729705810546875,6.260627746582031,4919.377578125,75.0,56700.0,4920.0,75.0,56700.0,6570.0,8180.0,-3.5,890.0,-30.0,177.07611846923828,987.3745727539062,0.0,0.0,1190.0,-40.0,13591.15843963623,100000.0,55.6,1.0,0.0,232.34,270.8,228.15,259.0
1,0,2018,6,19,-10.0,-999.0,0.0,10700.0,-10.0,-10.0,-10.0,1.9093459881842136,3.5645732879638667,-0.2286472320556641,5929.3349609375,267.65335083007807,261.93728637695307,-0.9964122772216796,8.4718017578125,3215.49462890625,281.55517578125,275.87478637695307,-3.4947786331176762,7.496477127075195,1580.5693359375,291.8348388671875,280.44155883789057,-4.6756248474121085,3.784862518310547,296.9866638183594,285.6269989013672,-4.774282455444336,1.9232902526855469,300.60443115234375,292.1184387207031,-2.0041074752807617,1.9909353256225584,0.0,-0.003948450088500977,-0.01816248893737793,101829.0,159.29759216308594,0.0,0.0,0.0,0.0,-1.7934951782226562,1.08740234375,101800.0,2.9952545166015625,299.13934326171875,0.0,17.0,0.0,0.0,0.0,0.0,299.5982971191406,298.14288330078125,0.018500000000000003,297.2188262939453,84.4,-1.5860137939453125,0.6619987487792969,1.6940551497973502,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.09,-4.0,-2.152652740478516,30.0,13.0,-4.7,1870.0,-40.0,42.035923719406135,0.0,15.875,97.25,97.25,--,--,8463.691619873047,--,11543.614437103271,239.4,0.0,393.3,0.0,454.10292053222656,0.0,0.0,57.0,8.6,3.860107421875,2.227764129638672,-3.1469802856445312,1.5199203491210938,1.7927360534667969,7.198637008666992,4938.56,73.0,56600.0,4940.0,73.0,56600.0,6700.0,8250.0,-2.3000000000000003,510.0,-40.0,196.4496479034424,951.9981079101562,0.0,0.0,1870.0,-40.0,14129.820831298828,100000.0,54.90000000000001,1.0,0.0,233.07,273.5,228.45,263.0
2,0,2018,6,19,-10.0,-999.0,0.0,8900.0,-10.0,-10.0,-10.0,1.5408847071230412,3.2922515869140625,1.1440372467041016,5924.71484375,266.7230834960937,263.56228637695307,-0.7539491653442383,6.840959548950195,3217.427734375,281.31414794921875,274.99978637695307,-2.2070465087890625,6.691474914550781,1581.57470703125,292.258544921875,279.62478637695307,-3.820758819580078,3.239974975585937,297.0179748535156,285.5484313964844,-3.924121856689453,1.3903818130493164,300.659912109375,292.03297424316406,-1.6685066223144531,1.5701141357421875,0.0,-0.00593113899230957,0.02086186408996582,101835.0,159.8699493408203,0.0,0.0,0.0,0.0,-1.685892105102539,0.6414051055908203,101810.0,2.9952545166015625,297.2960968017578,0.0,26.70000000000001,0.0,0.0,0.0,0.0,298.5438537597656,297.0776672363281,0.01813,296.91290283203125,90.7,-1.002119064331055,0.3721790313720703,1.0638624969869852,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.03,-1.0,0.0,50.0,13.0,-4.9,1850.0,-40.0,42.08081102371216,0.0,41.5,77.75,77.75,--,--,8610.619033813477,--,10987.762649536133,259.0,0.0,384.8,0.0,442.86114501953125,0.0,0.0,56.0,8.6,4.524787902832031,1.5692100524902344,-2.828521728515625,1.321306228637695,1.4415740966796875,5.82072639465332,4801.76,84.0,57600.0,4800.0,84.0,57600.0,6530.0,8190.0,-3.1,580.0,-52.0,111.73853874206543,926.867431640625,0.0,0.0,1850.0,-40.0,14116.31303024292,100000.0,55.3,1.0,0.0,236.49,288.4000000000001,230.87,284.4000000000001
3,0,2018,6,19,-10.0,-999.0,0.0,8300.0,-10.0,-10.0,-10.0,1.6053233183920383,2.1374588012695312,1.5049591064453125,5927.0673828125,267.10848999023443,263.49978637695307,-1.1325454711914062,7.020408630371094,3217.302734375,281.04452514648443,274.74978637695307,-3.5777626037597656,7.477714538574219,1581.882568359375,292.31060791015625,278.5559539794922,-5.273778915405273,3.4839744567871094,296.90240478515625,284.9454803466797,-4.1518402099609375,1.840719223022461,300.39312744140625,291.9475402832031,-1.6292171478271484,1.6722898483276367,0.0,-0.017792701721191406,-0.024250149726867683,101851.0,161.13180541992188,0.0,0.0,0.0,0.0,-1.782552719116211,0.6015148162841797,101820.0,2.9952545166015625,296.9087829589844,0.0,39.8,0.0,0.0,0.0,0.0,297.7617645263672,296.2442932128906,0.01778,296.5968780517578,93.3,-0.9056243896484376,0.19928741455078125,1.0025074258446691,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.03,-1.0,0.0,40.0,13.0,-3.7,1550.0,-50.0,41.434585094451904,0.0,16.75,81.625,81.625,--,--,8415.205787658691,--,11678.711143493652,246.7,0.0,384.4,0.0,440.7249603271485,0.0,0.0,71.0,15.9,3.9728927612304688,2.40595817565918,-3.4351062774658203,2.117782592773437,1.0500106811523438,6.063549041748048,4913.6,76.0,56800.0,4910.0,76.0,56800.0,6570.0,8280.0,-2.4000000000000004,360.0,-80.0,81.06409072875977,872.5426635742188,0.0,0.0,1550.0,-50.0,14127.81325531006,100000.0,54.3,1.0,0.0,233.94,278.5,228.91,270.0
4,0,2018,6,19,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.418976839631796,1.943450927734375,3.542346954345703,5925.03173828125,266.7144775390625,263.93728637695307,-0.8338327407836914,7.039566040039063,3217.580078125,281.0618896484375,274.06228637695307,-3.3278541564941406,6.8762779235839835,1582.22509765625,292.38677978515625,277.76144409179693,-5.409717559814453,3.416900634765625,296.7791442871094,284.8798065185547,-3.680744171142578,1.893817901611328,300.098388671875,292.4378967285156,-1.276895523071289,0.9219837188720704,0.0,0.01188802719116211,-0.02626824378967285,101860.0,161.78986358642578,0.0,0.0,0.0,0.0,-1.456075668334961,-0.21210861206054688,101830.0,2.9952545166015625,296.7326202392578,0.0,46.8,0.0,0.0,0.0,0.0,297.5662078857422,296.0092468261719,0.017640000000000003,296.4630432128906,93.9,-0.8365383148193359,-0.12604713439941406,0.8788441531360149,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.03,-1.0,0.0,40.0,13.0,-4.0,1570.0,-50.0,41.24518513679504,0.0,20.375,82.5,82.5,--,--,8404.625324249268,--,11941.854698181152,214.6,0.0,388.5,0.0,439.5456237792969,0.0,0.0,73.0,20.8,4.400554656982422,2.616100311279297,-2.9985008239746094,2.3066062927246094,0.864471435546875,6.5373497009277335,4848.8,79.0,57300.0,4850.0,79.0,57300.0,6500.0,8240.0,-3.1,570.0,-70.0,75.81427574157716,784.2011871337891,0.0,0.0,1570.0,-50.0,14118.66695022583,100000.0,54.6,1.0,0.0,229.04,260.3,225.24,248.1
5,0,2018,6,19,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.026223773136735,2.222850799560547,1.9261436462402344,5919.0791015625,266.41903686523443,263.93728637695307,-1.3848638534545898,6.323202133178711,3214.7001953125,280.95977783203125,274.99978637695307,-3.027515411376953,7.733510971069336,1580.2247314453125,292.0612487792969,278.166244506836,-5.308403015136719,3.702217102050781,296.39764404296875,286.2108459472656,-3.0267410278320312,1.8617935180664065,299.6995849609375,292.887939453125,-0.7402248382568359,0.8866024017333984,0.0,0.021802425384521484,0.008229851722717285,101853.0,160.95025634765625,0.0,0.0,0.0,0.0,-1.0391483306884766,0.06174659729003906,101820.0,2.9952545166015625,296.2092742919922,0.0,48.40000000000001,0.0,0.0,0.0,0.0,297.21238708496094,295.70428466796875,0.01735,296.1883239746094,94.3,-0.7354660034179688,-0.2412528991699219,0.6903815981931984,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.02,-1.0,-3.0,40.0,13.0,-4.4,1650.0,-40.0,42.899506330490105,0.0,16.75,77.5,77.5,--,--,8961.892852783203,--,11868.007064819336,232.4,0.0,386.20000000000016,0.0,436.40504455566406,0.0,0.0,85.0,22.0,4.6342124938964835,3.7474498748779297,-2.6924781799316406,2.4166831970214844,0.0507965087890625,5.732578277587893,4762.08,85.0,57900.0,4760.0,85.0,57800.0,6500.0,8230.0,-3.5,660.0,-50.0,68.61874008178711,701.5566711425781,20.0,-90.0,1650.0,-40.0,14112.08616256714,100000.0,58.0,1.0,0.0,231.63,271.3,227.16,260.7
6,0,2018,6,19,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.47992480173707,0.8102340698242188,1.8495044708251955,5913.5419921875,266.8056030273437,263.18728637695307,-0.8462419509887695,6.685924530029298,3209.236572265625,280.76922607421875,274.68728637695307,-2.457971572875977,7.412261962890625,1575.5418701171875,292.1060791015625,277.51080322265625,-5.5373191833496085,4.1028480529785165,296.3353576660156,286.13194274902344,-3.395915985107422,1.9708366394042969,299.60784912109375,292.7911376953125,-1.3861160278320312,0.8628969192504883,0.0,-0.002859115600585937,4.172325134277344e-05,101803.0,156.63307189941406,0.0,0.0,0.0,0.0,-1.4385604858398438,0.16524124145507812,101770.0,2.9952545166015625,296.1927490234375,0.0,49.40000000000001,0.0,0.0,0.0,0.0,297.0608367919922,295.6389465332031,0.01718,296.0340576171875,93.9,-1.018413543701172,-0.1259765625,1.0656819487921894,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.03,-1.0,-2.0,40.0,13.0,-3.3000000000000003,1440.0,-50.0,41.878428220748894,0.0,16.75,86.125,86.125,--,--,8958.90926361084,--,11483.73233795166,246.4,0.0,383.1,0.0,436.30738830566406,0.0,0.0,83.0,20.0,4.470726013183594,2.5036392211914062,-2.7721424102783203,2.3960132598876958,1.092817306518555,6.2007904052734375,4763.04,84.0,57800.0,4760.0,84.0,57800.0,6580.0,8230.0,-2.7,470.0,-60.0,78.95489120483398,746.3070678710938,20.0,-91.0,1440.0,-50.0,14109.991497039795,100000.0,56.8,1.0,0.0,234.43,279.3,229.4,271.40000000000003
7,0,2018,6,19,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.1532944329082966,0.7380809783935547,0.1063385009765625,5908.623046875,266.7569580078125,262.844253540039,0.02721405029296875,7.603132247924805,3206.43212890625,280.5118408203125,274.24978637695307,-1.8866596221923828,5.998138427734375,1573.4010009765625,292.14886474609375,278.1705322265625,-5.111390113830566,3.969207763671875,296.3143310546875,286.5312957763672,-3.084339141845703,1.8574676513671875,299.63592529296875,292.90380859375,-1.4034404754638672,0.8000698089599609,0.0,0.028564453125,0.008980512619018555,101775.0,154.14905548095703,0.0,0.0,0.0,0.0,-1.2137451171875,0.21884536743164065,101750.0,2.9952545166015625,295.97857666015625,0.0,50.1,0.0,0.0,0.0,0.0,296.8128204345703,295.3147888183594,0.016900000000000002,295.7464904785156,94.0,-0.5625886917114258,-0.08165359497070312,0.5659814446698874,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.02,-1.0,0.0,47.0,13.0,-2.8000000000000003,1220.0,-60.0,41.93173730373383,0.0,16.75,66.0,66.0,--,--,9427.376552581787,--,11455.009574890137,251.7,0.0,382.4,0.0,434.9432830810547,0.0,0.0,66.0,17.8,4.7984580993652335,1.843465805053711,-2.842445373535156,2.218719482421875,1.830474853515625,7.375572204589844,4714.56,87.0,58100.0,4710.0,87.0,58100.0,6610.0,8250.0,-2.6,430.0,-70.0,57.42329788208008,762.6449584960938,50.0,-110.0,1220.0,-60.0,13575.410552978516,100000.0,57.2,1.0,0.0,235.28,281.9000000000001,229.74,275.2
8,0,2018,6,19,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.6001838184893131,0.8951187133789062,-1.6353511810302734,5902.35498046875,265.89913940429693,263.3458251953125,1.3887805938720703,6.8746185302734375,3204.07861328125,280.419921875,273.99978637695307,-1.7727432250976562,4.242321014404297,1571.484619140625,292.01361083984375,279.62478637695307,-5.459146499633789,3.565223693847656,296.29815673828125,286.3194274902344,-3.8246250152587886,1.6194992065429688,299.7467041015625,292.7468566894531,-2.124797821044922,0.8619289398193359,0.0,0.0013566017150878904,-0.010518074035644531,101753.0,152.33705139160156,0.0,0.0,0.0,0.0,-1.784555435180664,0.3041801452636719,101720.0,2.9952545166015625,295.69873046875,0.0,50.6,0.0,0.0,0.0,0.0,296.74365234375,295.32672119140625,0.016659999999999998,295.50299072265625,93.0,-0.880462646484375,0.03174018859863281,0.9406596145126968,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.03,-1.0,-1.0,49.0,13.0,-3.4000000000000004,1030.0,-60.0,42.22031927108765,0.0,18.125,46.5,46.5,--,--,--,--,--,265.6,0.0,380.8,0.0,433.5402374267578,0.0,0.0,44.0,7.0,3.8241920471191406,-0.7012195587158203,-3.420482635498047,1.8960533142089844,3.9122352600097656,6.527233123779298,4641.92,90.0,58700.0,4640.0,90.0,58600.0,6480.0,8240.0,-3.2,390.0,-80.0,59.78555679321289,812.3905944824219,90.0,-109.0,1030.0,-60.0,13073.846240997314,100000.0,58.1,1.0,0.0,239.47,290.9000000000001,233.28,289.0
9,0,2018,6,19,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,1.7735504060983658,1.875404357910156,-0.07183456420898438,5904.87890625,265.51333618164057,263.81228637695307,1.6671152114868164,4.702293395996094,3205.59423828125,280.66384887695307,274.24978637695307,-0.5249614715576172,3.4044246673583984,1572.3170166015625,292.0167541503906,280.68728637695307,-4.772199630737305,4.0030670166015625,296.5006103515625,285.80780029296875,-4.148857116699219,1.882333755493164,299.882080078125,292.9271240234375,-2.597492218017578,0.8388271331787109,0.0,0.02348041534423828,-0.028272390365600582,101756.0,152.6908416748047,0.0,0.0,0.0,0.0,-2.147567749023437,0.23855972290039065,101730.0,2.9952545166015625,295.48048400878906,0.0,51.0,0.0,0.0,0.0,0.0,296.37646484375,294.98358154296875,0.016470000000000002,295.28758239746094,93.8,-0.9720211029052734,-0.20050811767578125,1.001215961412527,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,0.03,-1.0,-2.0,50.0,13.0,-3.5,950.0,-70.0,42.59623456001281,0.0,16.75,22.25,22.25,--,--,--,--,--,266.2,0.0,380.5,0.0,432.0310516357422,0.0,0.0,40.0,3.0,2.89863395690918,-2.73379898071289,-3.5761966705322266,2.582237243652344,4.514945983886719,4.200746536254884,4664.16,90.0,58500.0,4660.0,90.0,58500.0,6350.0,8250.0,-3.7,440.0,-80.0,47.6189136505127,799.570068359375,60.0,-92.0,950.0,-70.0,13074.888053894043,100000.0,58.40000000000001,1.0,0.0,240.53,290.8,234.5,289.0
