Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,6,22,25.75,4295.0,0.368,10000.0,23.4375,-5.4375,7.5625,7.655665075406432,6.269105911254883,1.972198486328125,5883.607421875,266.8072509765625,266.06228637695307,11.170515060424805,3.29909896850586,3171.4853515625,282.60394287109375,281.12478637695307,15.27032470703125,-3.9710597991943364,1530.5179443359375,291.13037109375,290.0525360107422,12.961870193481445,-4.4582481384277335,295.4391174316406,292.7151641845703,10.63626480102539,-0.4496517181396485,297.3050231933594,295.7437744140625,4.486395835876465,-1.5446624755859375,0.0,0.010207653045654295,-0.00928187370300293,101308.0,112.84592819213869,7.25,0.0,0.0,0.0,3.850425720214844,-1.0653934478759766,101290.0,2.9952545166015625,298.76129150390625,0.0,65.8,0.0,0.0,0.0,0.0,298.3013916015625,297.24310302734375,0.017419999999999998,296.15919494628906,88.7,1.4351081848144531,0.07893753051757812,2.1271917808335274,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.26,10.0,50.0,100.0,13.0,-3.8,560.0,-70.0,64.09178173542023,16.75,33.125,60.75,60.75,62900.0,4056.12518119812,3484.2196884155273,18700.0,13301.81396484375,130.9,3.0,429.70000000000016,0.375,451.8663024902344,0.0,3.0,26.5,38.2,16.508123397827152,-6.764030456542969,10.903615951538086,-1.3013420104980469,4.4998130798339835,5.02471923828125,4687.59859375,96.0,58200.0,4690.0,96.0,58100.0,6570.0,8220.0,-4.800000000000002,1030.0,-20.0,197.2502613067627,342.3282470703125,870.0,-30.0,1080.0,-20.0,13113.64140701294,96200.0,90.2,1.0,0.0,216.35,217.1,214.57,215.1
1,0,2018,6,22,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,3.9824845343828197,5.387317657470703,2.142822265625,5883.8388671875,266.5704345703125,264.93728637695307,11.4161376953125,4.3166255950927725,3175.74169921875,282.22222900390625,279.93728637695307,14.934959411621096,0.9944610595703124,1532.55908203125,292.3206481933594,288.6247863769531,7.645503997802732,-3.865245819091797,296.0445556640625,292.3747863769531,6.3473472595214835,-0.16139793395996094,297.96673583984375,295.1274871826172,2.285708427429199,0.5547599792480469,0.0,0.025112152099609368,-0.030210852622985836,101289.0,111.83895111083984,0.0,0.0,0.0,0.0,1.515787124633789,0.872222900390625,101250.0,2.9952545166015625,298.4611053466797,0.0,65.3,0.0,0.0,0.0,0.0,298.4610290527344,297.4410705566406,0.017550000000000003,296.2441864013672,87.80000000000004,0.3773517608642578,0.7673015594482422,1.1878678335633597,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.09,0.0,20.0,40.0,13.0,-4.0,610.0,-110.0,60.81277573108673,0.0,3.125,27.5,27.5,--,--,--,--,--,262.6,0.0,409.0,0.0,449.79290771484375,0.0,0.0,40.0,34.300000000000004,10.77794075012207,-6.487709045410156,6.0506534576416025,-2.370336532592773,7.951751708984375,2.797157287597656,4648.793359375,95.0,58500.0,4650.0,95.0,58400.0,6530.0,8190.0,-4.6000000000000005,900.0,-40.0,54.57625198364258,540.1759490966797,650.0,-70.0,850.0,-40.0,12649.461730957031,94000.0,83.2,1.0,0.0,238.64,290.0,233.2,286.6
2,0,2018,6,22,-10.0,-999.0,0.0,9600.0,-10.0,-10.0,-10.0,1.9708379395306108,4.237173080444337,0.9064788818359376,5885.9345703125,266.8209991455078,263.12478637695307,11.376607894897461,3.69576644897461,3174.12744140625,282.7769775390625,279.24978637695307,14.61652374267578,-0.5953826904296875,1531.6861572265625,291.8643798828125,288.8747863769531,8.598352432250978,-1.0195999145507812,296.11822509765625,293.3023986816406,7.028768539428711,1.3560161590576172,298.3567199707031,295.14190673828125,2.695530891418457,1.2991657257080078,0.0,-0.0213313102722168,-0.003202319145202637,101270.0,110.34749984741212,0.0,0.0,0.0,0.0,2.1702423095703125,1.58740234375,101230.0,2.9952545166015625,297.94606018066406,0.0,66.2,0.0,0.0,0.0,0.0,298.2187194824219,297.1889953613281,0.01788,296.5622863769531,90.2,0.5727863311767578,0.9655742645263672,1.3778171334415674,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.08,-2.0,10.0,50.0,13.0,-4.2,700.0,-90.0,58.55298340320587,0.0,0.0,0.5,0.5,--,--,--,--,--,266.90000000000003,0.0,409.6,0.0,446.8265380859375,0.0,0.0,81.0,53.40000000000001,10.05490493774414,-6.096912384033202,6.59095573425293,-0.7233657836914062,7.605796813964844,1.4280014038085938,4737.77111328125,87.0,57800.0,4740.0,87.0,57800.0,6600.0,8290.0,-5.5,1380.0,-10.0,92.03311729431152,564.3083038330077,950.0,-40.0,1340.0,-20.0,13129.431499481201,96100.0,79.5,1.0,0.0,239.78,290.8,233.83,287.9000000000001
3,0,2018,6,22,-10.0,-999.0,0.0,9400.0,-10.0,-10.0,-10.0,1.9255600720644,4.661937713623047,4.244415283203125,5891.056640625,266.70849609375,262.87478637695307,12.285316467285154,1.7473068237304688,3179.455078125,282.8243408203125,277.37478637695307,13.098739624023438,-0.3979549407958984,1537.5570068359375,291.8067932128906,288.1872863769531,8.274745941162111,1.043299674987793,296.33453369140625,292.47410583496094,7.299173355102539,2.8098630905151367,298.62841796875,295.1905670166016,2.3062458038330083,2.021474838256836,0.0,0.008663177490234375,0.029935002326965325,101331.0,115.61824035644531,0.0,0.0,0.0,0.0,1.5563640594482422,2.0427074432373047,101300.0,2.9952545166015625,297.90997314453125,0.0,67.0,0.0,0.0,0.0,0.0,298.0889892578125,297.0657043457031,0.01794,296.6302947998047,90.8,0.2963695526123047,1.0164909362792969,1.2542048175819218,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.06,-1.0,0.0,30.0,13.0,-4.3,780.0,-90.0,56.034839153289795,0.0,0.0,6.625,6.625,--,--,--,--,--,269.7,0.0,408.1,0.0,446.59405517578125,0.0,0.0,104.0,71.60000000000002,7.272850036621094,-5.672281265258789,7.3785667419433585,0.8445110321044922,8.902050018310547,-1.2408599853515625,4728.524453125,90.0,57900.0,4730.0,90.0,57900.0,6560.0,8230.0,-5.5,1380.0,-20.0,86.22238159179688,581.8041381835938,1050.0,-40.0,1560.0,-20.0,13625.686485290527,96200.0,75.8,1.0,0.0,240.84,291.2,234.34,288.4000000000001
4,0,2018,6,22,-10.0,-999.0,0.0,9200.0,-10.0,-10.0,-10.0,2.650295889005065,5.846006393432617,6.248554229736327,5889.6162109375,266.89083862304693,263.62478637695307,13.660198211669922,0.6995277404785156,3177.85302734375,282.3134765625,278.180679321289,11.977838516235352,-0.12714195251464844,1536.931640625,291.9066162109375,287.8122863769531,7.772317886352539,1.5197763442993164,296.425048828125,291.2977600097656,6.980106353759768,3.647937774658203,298.8293762207031,295.09326171875,2.622112274169922,2.9022293090820312,0.0,0.02168607711791992,0.01571345329284668,101325.0,115.26802253723145,0.0,0.0,0.0,0.0,2.1520919799804688,2.8000545501708984,101300.0,2.9952545166015625,297.5872039794922,0.0,67.5,0.0,0.0,0.0,0.0,297.8576354980469,296.7913818359375,0.017910000000000002,296.61968994140625,91.6,0.7774133682250977,0.8972358703613281,1.4395450900774451,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.07,-1.0,0.0,30.0,13.0,-4.1000000000000005,750.0,-90.0,54.97931933403015,0.0,7.25,12.0,12.0,--,--,--,--,--,270.7,0.0,406.4,0.0,444.8507537841797,0.0,0.0,103.0,70.5,5.944000244140625,-5.056341171264648,6.584239959716798,1.4221305847167969,10.211952209472656,-2.970977783203125,4769.0425781250015,88.0,57600.0,4770.0,88.0,57600.0,6630.0,8240.0,-5.0,1210.0,-20.0,76.39851570129396,611.0266571044923,830.0,-50.0,1330.0,-20.0,13126.522174835205,96200.0,74.5,1.0,0.0,241.65,291.0,234.74,288.2
5,0,2018,6,22,-10.0,-999.0,0.0,9800.0,-10.0,-10.0,-10.0,3.2124617435038085,8.019062042236326,6.013622283935548,5883.84130859375,267.0349884033203,263.56228637695307,12.896442413330078,0.5886859893798828,3173.48388671875,281.72998046875,278.99978637695307,9.728143692016602,-0.5595378875732422,1533.6309814453125,291.88568115234375,288.2142028808594,7.371444702148437,1.159881591796875,296.3509521484375,290.7497863769531,6.430034637451173,4.569169998168945,299.31561279296875,294.9997863769531,3.1355133056640625,3.775829315185547,0.0,-0.014257431030273438,0.02251219749450684,101288.0,112.20928192138672,0.0,0.0,0.0,0.0,2.844457626342773,3.358606338500977,101250.0,2.9952545166015625,297.43341064453125,0.0,67.9,0.0,0.0,0.0,0.0,297.6919860839844,296.6610412597656,0.017730000000000003,296.4403076171875,90.8,0.6625938415527344,0.8612518310546875,1.4393902628216892,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.04,-1.0,0.0,30.0,13.0,-3.7,700.0,-100.0,55.135314226150506,29.75,0.0,0.0,29.75,--,--,--,--,--,270.5,0.0,406.6,0.0,443.83349609375,0.0,0.0,88.0,64.10000000000001,4.53803825378418,-4.483877182006836,6.267326354980469,2.0784740447998047,8.968036651611328,-3.8619232177734375,4770.794501953125,85.0,57500.0,4770.0,85.0,57500.0,6640.0,8260.0,-4.3,990.0,-30.0,58.7522087097168,675.7745056152344,690.0,-40.0,1070.0,-40.0,12642.967262268066,97900.0,75.2,1.0,0.0,242.22,290.7,235.18,287.9000000000001
6,0,2018,6,22,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,4.408541090786457,9.303913116455078,5.585990905761719,5877.3125,267.023452758789,259.87478637695307,12.680318832397461,-0.6113033294677734,3170.453369140625,281.4506225585937,279.18728637695307,8.196685791015625,-1.2112979888916016,1530.4658203125,292.32012939453125,288.8122863769531,7.865867614746094,1.0632400512695312,296.71240234375,289.5622863769531,7.00501823425293,4.842521667480469,299.75457763671875,295.4372863769531,4.090415954589844,5.01359748840332,0.0,-0.004190444946289063,0.00964665412902832,101236.0,107.86508560180664,0.0,0.0,0.0,0.0,3.641498565673828,4.6808509826660165,101200.0,2.9952545166015625,297.3652038574219,0.0,68.2,0.0,0.0,0.0,0.0,297.962158203125,296.9930114746094,0.01785,296.5622863769531,90.5,1.0719490051269531,1.3685150146484375,2.06634737434797,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.17,-9.0,5.0,42.0,13.0,-4.1000000000000005,1030.0,-80.0,53.91374188661575,25.375,0.0,0.0,25.375,--,--,--,--,--,271.3,0.0,406.0,0.0,443.1468963623047,0.0,0.0,83.0,61.0,3.0383472442626966,-3.3355579376220703,6.264698028564452,1.5108146667480469,7.380458831787107,-6.153373718261719,4669.898125,90.0,58200.0,4670.0,90.0,58200.0,6630.0,8260.0,-4.3,1040.0,-70.0,50.77126121520996,673.3019104003906,420.0,-70.0,1030.0,-80.0,12637.349750518799,100000.0,73.10000000000002,1.0,0.0,242.89,290.7,235.76,288.0
7,0,2018,6,22,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,4.960371358320117,9.898759841918944,4.6609764099121085,5874.4833984375,267.252197265625,257.18728637695307,11.786540985107422,-1.2772960662841797,3167.139404296875,281.5060119628906,277.76890563964844,6.1429805755615225,-1.5464210510253906,1527.7894287109375,292.05181884765625,289.2497863769531,8.256122589111326,0.890040397644043,296.6936340332031,288.77784729003906,7.743509292602539,4.28070068359375,299.65899658203125,296.7008056640625,5.196296691894531,5.268072128295898,0.0,0.017983436584472656,-0.015620231628417969,101213.0,105.84523582458496,0.0,0.0,0.0,0.0,4.577024459838867,4.907135009765625,101180.0,2.9952545166015625,297.3908996582031,0.0,68.5,0.0,0.0,0.0,0.0,297.90838623046875,296.921630859375,0.018330000000000003,296.95875549316406,92.1,1.2646198272705078,1.0191421508789062,2.0673598456196487,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.09,-4.0,-1.0,37.0,13.0,-4.6000000000000005,1820.0,-30.0,52.6640744805336,25.625,0.0,0.0,25.625,--,--,--,--,--,273.1,0.0,405.9,0.0,443.4059448242188,0.0,0.0,81.0,60.5,2.059803009033203,-2.8049545288085938,6.220504760742188,1.2922630310058594,5.927749633789063,-6.809120178222656,4690.80052734375,91.0,58100.0,4690.0,91.0,58000.0,6670.0,8260.0,-5.300000000000002,1720.0,-30.0,70.35737800598146,510.9220275878906,470.0,-80.0,1820.0,-30.0,13606.20991897583,100000.0,71.7,1.0,0.0,243.8,291.1,236.55,288.5
8,0,2018,6,22,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,5.087300369516014,10.839700698852539,4.726982116699219,5874.57421875,267.80703735351557,248.99978637695312,11.648296356201172,-2.372735977172852,3165.41455078125,281.6152648925781,275.7885589599609,5.506542205810547,-0.3033180236816406,1527.33447265625,291.762939453125,288.7497863769531,7.7001686096191415,0.5612926483154297,296.77264404296875,287.7277526855469,8.308975219726562,3.233219146728516,299.6033630371094,296.689453125,6.380038261413574,4.2422637939453125,0.0,0.02684783935546875,-0.026791810989379883,101214.0,105.91974639892578,0.0,0.0,0.0,0.0,5.7623443603515625,4.033485412597656,101180.0,2.9952545166015625,297.4950256347656,0.0,68.8,0.0,0.0,0.0,0.0,298.068603515625,297.096923828125,0.018490000000000003,297.1459045410156,91.6,1.185443878173828,1.040903091430664,2.2523692015092807,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.08,-4.0,-2.0,42.0,13.0,-4.5,1740.0,-30.0,49.13209074735642,40.875,0.0,0.0,40.875,--,--,--,--,--,277.5,0.0,404.70000000000016,0.0,444.1083679199219,0.0,0.0,56.0,52.6,1.623186111450195,-2.5292644500732417,6.3802490234375,0.1206817626953125,5.384780883789063,-7.196235656738281,4755.495234375,77.0,57600.0,4760.0,77.0,57600.0,6750.0,8280.0,-4.9,1770.0,-20.0,89.74349784851074,503.3883666992188,550.0,-60.0,1750.0,-20.0,13607.154182434082,99300.0,66.7,1.0,0.0,245.47,291.9000000000001,237.77,289.6
9,0,2018,6,22,-10.0,-999.0,0.0,10000.0,-10.0,-10.0,-10.0,4.6606873013079175,9.492389678955078,7.7660980224609375,5873.33544921875,267.94174194335943,240.06228637695312,10.056854248046877,-3.463970184326172,3164.314453125,281.6455078125,275.05381774902344,6.233530044555664,0.7087287902832031,1527.783203125,291.45086669921875,287.8122863769531,6.967519760131836,1.010698318481445,296.2572021484375,289.51109313964844,8.054443359375,3.869682312011719,299.51702880859375,296.9796447753906,6.558365821838379,2.8801212310791016,0.0,0.0037093162536621094,0.025533676147460938,101233.0,107.5687131881714,0.0,0.0,0.0,0.0,5.971757888793945,2.664520263671875,101200.0,2.9952545166015625,297.5517272949219,0.0,69.0,0.0,0.0,0.0,0.0,298.1013488769531,297.0526428222656,0.018580000000000003,297.1785888671875,91.7,1.2514495849609375,0.694427490234375,2.250494725187309,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,0.06,-3.0,-2.0,42.0,13.0,-4.4,1880.0,-20.0,47.69802367687225,43.75,0.0,0.0,43.75,--,--,--,--,--,279.6,0.0,405.70000000000016,0.0,444.6415557861328,0.0,0.0,17.0,15.0,0.5122165679931641,-1.0458869934082031,5.850044250488281,1.2099456787109375,3.32131576538086,-7.609367370605469,4740.57068359375,63.0,57700.0,4740.0,63.0,57700.0,6680.0,8280.0,-5.1000000000000005,1990.0,-10.0,88.55166625976562,447.2388916015625,1140.0,-30.0,2120.0,0.0,13607.061424255371,97900.0,65.60000000000001,1.0,0.0,245.62,292.3,237.56,290.2
