Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,7,8,18.4375,447.0,0.016,8400.0,-10.0,-10.0,-10.0,0.7910768389701843,-4.7941017150878915,-3.4121322631835938,5889.5478515625,263.813720703125,263.24978637695307,-4.505598068237305,-0.4304885864257813,3203.058349609375,281.31576538085943,278.37478637695307,-4.790140151977539,2.735294342041016,1566.8607177734375,291.0653381347656,286.6247863769531,-3.8297643661499023,2.0230865478515625,294.510009765625,290.9372863769531,-0.15621376037597656,0.5055503845214844,295.8916015625,294.37896728515625,0.85614013671875,0.5553798675537109,0.0,-0.0019474029541015625,0.004888296127319336,101793.0,157.52952766418457,10.1875,0.0,0.0,0.0,1.2702407836914062,0.8592720031738281,100590.0,105.52650451660156,295.71131896972656,0.0,98.4,0.0,0.0,0.0,0.0,295.7911682128906,295.3205871582031,0.016319999999999998,295.0007019042969,95.3,-0.12320518493652345,-0.7656631469726562,0.7528068732935935,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1783,0.03,0.0,0.0,0.0,12.0,-4.4,450.0,-120.0,52.27632284164429,0.5,34.75,2.25,34.75,62500.0,4131.69965171814,3564.2801971435547,48800.0,6683.866744995117,218.4,1.5,415.8,0.25,433.6651611328125,0.0,1.5,37.0,20.0,-2.6577110290527344,8.690780639648438,-2.439105987548828,0.7478733062744141,-6.465744018554688,-0.4520797729492188,4343.9905078125,100.0,60900.0,4340.0,100.0,60800.0,6000.0,7950.0,-5.300000000000002,700.0,-50.0,108.3300323486328,342.6763916015625,580.0,-70.0,700.0,-50.0,10969.431652069092,95500.0,80.9,1.0,0.0,241.57,262.2,235.58,261.5
1,0,2018,7,8,5.0625,-999.0,0.0032,8300.0,-10.0,-10.0,-10.0,0.9799095913767816,-7.4989967346191415,0.9616165161132812,5892.24072265625,265.14801025390625,263.68728637695307,-3.837602615356445,-2.155193328857422,3198.44091796875,281.37774658203125,277.43728637695307,-2.728271484375,4.320114135742188,1564.38427734375,290.3420715332031,287.1872863769531,-2.673680305480957,1.859638214111328,293.1557312011719,292.0622863769531,2.793656349182129,-0.7813873291015625,295.9114074707031,294.3060302734375,1.1589946746826172,-0.12545013427734375,0.0,0.015594005584716797,0.020136237144470208,101804.0,159.16686153411862,0.0,0.0,0.0,0.0,1.6696624755859375,0.01983070373535156,100600.0,105.52650451660156,295.00677490234375,0.0,96.4,0.0,0.0,0.0,0.0,295.69947814941406,295.2532653808594,0.01598,294.6385498046875,93.8,0.3152885437011719,-0.5503578186035156,0.6918421052396297,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.02,0.0,0.0,10.0,12.0,-2.7,300.0,-70.0,52.42610216140747,0.0,7.875,0.0,7.875,--,--,--,--,--,264.0,0.0,389.0,0.0,429.5774993896485,0.0,0.0,36.0,18.8,-3.23974609375,7.936288833618164,-0.4486770629882813,-0.4666385650634766,-6.62786865234375,-2.408599853515625,4441.6,98.0,60100.0,4440.0,97.0,60100.0,6290.0,7970.0,-3.9,670.0,-10.0,165.666166305542,335.3380126953125,470.0,-29.0,620.0,-10.0,11372.468536376953,93400.0,83.0,1.0,0.0,241.14,289.1,234.97,286.0
2,0,2018,7,8,-10.0,-999.0,0.0,8200.0,-10.0,-10.0,-10.0,1.7766630612313747,-6.129037857055664,1.859588623046875,5892.49560546875,265.3623046875,263.62478637695307,-6.824508666992188,-2.2619915008544917,3198.0166015625,281.221923828125,276.87478637695307,-0.5431098937988281,2.976299285888672,1565.06201171875,290.17962646484375,286.3060760498047,-3.7341213226318373,3.1695919036865234,292.5478515625,292.35601806640625,1.1912460327148438,-0.4534759521484375,295.9440612792969,294.4134216308594,-1.0705490112304688,0.5438060760498047,0.0,0.006708383560180664,0.01622915267944336,101835.0,160.63469314575198,0.0,0.0,0.0,0.0,-1.0244274139404297,0.6312103271484375,100620.0,105.52650451660156,295.318359375,0.0,95.3,0.0,0.0,0.0,0.0,295.61851501464844,295.1180114746094,0.01618,294.8180084228516,94.9,-1.562417984008789,0.5392227172851562,1.5030332719907165,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.12,0.0,0.0,30.0,12.0,-2.8000000000000003,360.0,-30.0,51.42896151542664,0.5,0.0,0.0,0.5,--,--,--,--,--,265.2,0.0,388.6,0.0,431.20008850097656,0.0,0.0,6.0,5.7,-3.873682022094727,8.037490844726562,-0.06444168090820312,0.14766502380371094,-7.927947998046875,-2.4964599609375,4466.72,90.0,59900.0,4470.0,90.0,59900.0,6280.0,7990.0,-3.9,690.0,0.0,151.97586822509766,367.3557434082031,490.0,-11.0,840.0,0.0,12192.544418334961,95500.0,81.80000000000003,1.0,0.0,241.37,289.4000000000001,235.28,286.4000000000001
3,0,2018,7,8,-10.0,-999.0,0.0,8600.0,-10.0,-10.0,-10.0,2.605224527418613,-6.9231319427490225,-0.5741043090820312,5902.11376953125,265.7616424560547,262.62478637695307,-8.183149337768555,-1.676860809326172,3207.071044921875,281.0225830078125,277.37478637695307,-0.12660980224609375,2.0071268081665044,1574.093994140625,290.36151123046875,285.63417053222656,-4.014484405517578,4.100654602050781,292.82525634765625,292.4372863769531,-0.5478401184082031,1.2233905792236328,296.0668640136719,294.1034851074219,-1.98408317565918,0.9338817596435548,0.0,-0.017148971557617188,-0.006674885749816895,101927.0,168.6267852783203,0.0,0.0,0.0,0.0,-2.1917076110839844,1.091888427734375,100710.0,105.52650451660156,295.0146789550781,0.0,94.6,0.0,0.0,0.0,0.0,295.47412109375,294.89752197265625,0.01583,294.5101318359375,92.9,-1.6815929412841797,0.4550247192382813,1.6287201445084063,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.11,0.0,0.0,60.0,12.0,-1.9,290.0,-60.0,50.58641219139099,20.625,0.0,0.0,20.625,--,--,--,--,--,266.1,0.0,388.3,0.0,429.5890197753906,0.0,0.0,-12.0,-4.3,-4.741600036621094,8.392875671386719,-0.8004512786865234,2.5263748168945312,-8.081470489501951,-2.89715576171875,4493.92,84.0,59800.0,4490.0,84.0,59700.0,6340.0,7970.0,-3.5,740.0,-10.0,100.29687881469728,425.65325927734375,550.0,-14.0,820.0,0.0,11772.220407485962,95600.0,79.60000000000002,1.0,0.0,241.29,289.6,235.16,286.7
4,0,2018,7,8,-10.0,-999.0,0.0,8200.0,-10.0,-10.0,-10.0,2.018791070207953,-8.444259643554688,1.3112144470214844,5902.3251953125,265.53750610351557,261.74978637695307,-9.097822189331056,-0.645599365234375,3209.572998046875,280.79965209960943,277.49978637695307,0.17044544219970706,0.6153078079223633,1577.4556884765625,290.333984375,284.9773864746094,-2.015997886657716,4.70101261138916,293.0943908691406,291.7497863769531,0.02319622039794922,2.709692001342773,295.8885803222656,294.2547607421875,-1.123762130737305,0.7467060089111328,0.0,0.01827478408813477,-0.003511667251586914,101964.0,171.87387084960938,0.0,0.0,0.0,0.0,-1.397003173828125,0.9257736206054688,100750.0,105.52650451660156,294.80584716796875,0.0,93.9,0.0,0.0,0.0,0.0,295.1929626464844,294.5786437988281,0.0158,294.5072784423828,94.3,-1.4909515380859375,0.4534225463867188,1.4399969931691885,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.09,0.0,0.0,50.0,12.0,-2.1,380.0,-50.0,49.20069336891174,20.625,0.0,0.0,20.625,--,--,--,--,--,266.40000000000003,0.0,386.1,0.0,428.3400268554688,0.0,0.0,-22.0,-22.9,-3.01077651977539,8.872383117675781,0.8363170623779297,4.144020080566406,-9.203886032104492,-1.5646896362304688,4456.64,84.0,60100.0,4460.0,84.0,60000.0,6300.0,7930.0,-3.5,700.0,-10.0,89.97345542907715,386.31591796875,600.0,-19.0,680.0,-10.0,11363.616762161255,95700.0,77.7,1.0,0.0,241.11,289.7,234.94,286.9000000000001
5,0,2018,7,8,-10.0,-999.0,0.0,8100.0,-10.0,-10.0,-10.0,2.043601263314485,-8.935148239135742,0.58721923828125,5900.46240234375,265.99484252929693,261.18728637695307,-9.518656730651855,1.970041275024414,3207.6044921875,280.52862548828125,276.7253570556641,-0.11222648620605467,-0.2069988250732422,1576.540283203125,290.4356689453125,283.8122863769531,-0.1738433837890625,5.088470458984375,293.6165771484375,290.4250793457031,0.6609039306640625,4.393104553222656,295.7537536621094,294.5335388183594,-0.8866147994995117,1.385883331298828,0.0,-0.0257568359375,0.014799714088439941,101952.0,170.18437576293942,0.0,0.0,0.0,0.0,-1.179950714111328,1.6116485595703125,100730.0,105.52650451660156,294.6905517578125,0.0,93.3,0.0,0.0,0.0,0.0,294.9539031982422,294.3751525878906,0.01567,294.3624725341797,95.0,-0.906869888305664,0.8628368377685547,1.0631944384076633,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.06,-2.0,0.0,50.0,12.0,-1.3,420.0,-50.0,46.51583909988403,20.0,0.0,0.0,20.0,--,--,--,--,--,268.40000000000003,0.0,382.0,0.0,427.5424041748047,0.0,0.0,-10.0,-21.0,-0.8597850799560547,9.462186813354492,1.7314300537109375,4.9256324768066415,-9.634445190429688,0.8523845672607422,4455.84,81.0,60100.0,4460.0,81.0,60000.0,6390.0,7970.0,-2.7,540.0,-20.0,72.8313808441162,340.544677734375,450.0,-30.0,590.0,-20.0,11367.999412536621,98800.0,73.0,1.0,0.0,242.24,290.0,236.23,287.5
6,0,2018,7,8,-10.0,-999.0,0.0,8200.0,-10.0,-10.0,-10.0,1.7292503900825975,-8.778450012207031,0.05584716796875,5897.8994140625,266.68133544921875,260.43728637695307,-8.802366256713867,4.412290573120117,3202.600341796875,280.5679931640625,276.62478637695307,0.17385196685791016,0.8967227935791016,1571.4664306640625,290.28497314453125,285.9601593017578,-0.10712623596191406,3.21728515625,293.23773193359375,291.5717315673828,0.9378395080566406,3.8945751190185534,295.595947265625,294.4156188964844,-0.7003335952758789,1.2087898254394531,0.0,-0.025997161865234368,0.014693975448608397,101901.0,166.00093746185303,0.0,0.0,0.0,0.0,-0.8477573394775391,1.523517608642578,100690.0,105.52650451660156,294.57359313964844,0.0,92.8,0.0,0.0,0.0,0.0,294.86334228515625,294.31414794921875,0.015569999999999999,294.2275695800781,94.6,-0.6990222930908203,0.8781776428222656,1.0017326031811535,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.04,-1.0,0.0,50.0,12.0,-0.5,330.0,-50.0,48.09267020225525,9.25,0.0,0.0,9.25,--,--,--,--,--,268.8,0.0,384.8,0.0,427.0121765136719,0.0,0.0,-11.0,-11.0,1.4365596771240234,9.239809036254883,1.7733078002929688,3.494068145751953,-8.876441955566406,3.396957397460937,4462.88,79.0,60000.0,4460.0,79.0,59900.0,6470.0,7950.0,-1.9,450.0,-10.0,85.12975692749023,343.9656066894531,370.0,-33.0,420.0,-20.0,10112.703659057615,88600.0,75.9,1.0,0.0,242.39,289.8,236.41,287.3
7,0,2018,7,8,-10.0,-999.0,0.0,8400.0,-10.0,-10.0,-10.0,1.6540734395384789,-9.147735595703123,0.44741058349609375,5895.3505859375,266.82369995117193,260.12478637695307,-7.649788856506348,4.494013786315918,3199.005859375,280.656005859375,276.49978637695307,0.779815673828125,1.7676839828491209,1567.634033203125,290.5199890136719,284.50331115722656,0.3589439392089844,2.785463333129884,293.277587890625,291.5249786376953,0.8458147048950195,3.598339080810547,295.49859619140625,294.2106628417969,-0.9272537231445312,0.953632354736328,0.0,-0.030429840087890625,-0.022272348403930664,101856.0,162.322594165802,0.0,0.0,0.0,0.0,-1.0929203033447266,1.3727035522460938,100640.0,105.52650451660156,294.4174346923828,0.0,92.3,0.0,0.0,0.0,0.0,295.03302001953125,294.5175476074219,0.01535,293.9786682128906,93.9,-0.6858024597167969,0.6405143737792969,0.8756896253325976,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.03,-1.0,0.0,40.0,12.0,0.0,260.0,-60.0,47.011618852615356,17.625,0.0,0.0,17.625,--,--,--,--,--,268.8,0.0,382.6,0.0,426.0064239501953,0.0,0.0,-9.0,-7.0,2.156360626220703,9.14811897277832,1.8147964477539065,3.1280727386474614,-7.445547103881836,3.318370819091797,4473.12,78.0,59900.0,4470.0,78.0,59800.0,6490.0,7920.0,-1.8,450.0,-10.0,88.07687377929688,361.560791015625,320.0,-41.0,350.0,-30.0,9655.275730133055,93400.0,73.8,1.0,0.0,242.07,289.9000000000001,236.06,287.5
8,0,2018,7,8,-10.0,-999.0,0.0,8200.0,-10.0,-10.0,-10.0,2.461083386093378,-9.053890228271484,3.50640869140625,5896.53515625,266.734603881836,260.086669921875,-6.618309020996094,4.409924507141113,3197.746337890625,280.88021850585943,276.26873779296875,0.6692323684692383,1.456953048706055,1566.310302734375,290.519775390625,283.7497863769531,-0.6078910827636719,2.3955955505371094,293.39361572265625,291.1872863769531,-0.682403564453125,2.7784652709960938,295.3675842285156,294.2039489746094,-2.2338428497314453,0.3110580444335937,0.0,-0.0252981185913086,-0.020015835762023933,101846.0,161.05711197853088,0.0,0.0,0.0,0.0,-2.5801010131835938,0.635498046875,100630.0,105.52650451660156,294.2777557373047,0.0,91.8,0.0,0.0,0.0,0.0,294.6520080566406,294.1504211425781,0.015309999999999999,293.94102478027344,94.4,-1.5026893615722656,0.3060131072998047,1.4403329510241747,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.08,-3.0,0.0,40.0,12.0,0.0,240.0,-60.0,46.174896001815796,1.875,0.0,0.0,1.875,--,--,--,--,--,268.5,0.0,380.8,0.0,425.27976989746094,0.0,0.0,-7.0,4.800000000000002,3.0365352630615234,7.8159122467041025,1.145172119140625,2.7833786010742188,-4.867202758789063,3.789751052856445,4557.92,72.0,59200.0,4560.0,72.0,59200.0,6480.0,7960.0,-1.5,310.0,-30.0,86.62229537963867,336.3761901855469,270.0,-50.0,310.0,-40.0,10548.454425811768,97300.0,72.2,1.0,0.0,241.5,290.0,235.38,287.7
9,0,2018,7,8,-10.0,-999.0,0.0,8300.0,-10.0,-10.0,-10.0,2.1555843576788902,-10.50808334350586,3.7341156005859375,5899.1943359375,266.5653839111328,259.87985229492193,-5.876955032348633,4.85894775390625,3198.68603515625,280.98223876953125,276.01324462890625,-1.1412067413330078,0.8511600494384766,1568.463623046875,289.9066162109375,284.2497863769531,-1.5844097137451172,3.1695156097412114,293.1474609375,290.9997863769531,-1.2209701538085938,3.6046276092529297,295.30535888671875,294.1534423828125,-2.2000465393066406,0.4951362609863281,0.0,0.02620792388916016,-0.024850130081176758,101889.0,165.2404823303223,0.0,0.0,0.0,0.0,-2.5080642700195312,0.8885364532470703,100680.0,105.52650451660156,294.1951904296875,0.0,91.3,0.0,0.0,0.0,0.0,294.541015625,293.9705810546875,0.01521,293.87342834472656,94.2,-1.031280517578125,0.5809173583984375,1.066102942684665,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.04,-1.0,0.0,50.0,12.0,0.0,240.0,-30.0,46.00292825698853,0.0,0.0,0.0,0.0,--,--,--,--,--,269.3,0.0,380.5,0.0,424.7753753662109,0.0,0.0,6.0,20.200000000000006,3.1828765869140625,7.467599868774414,-0.03181171417236328,3.636981964111328,-3.8704986572265625,3.797290802001953,4626.72,67.0,58700.0,4630.0,67.0,58700.0,6440.0,7990.0,-1.5,250.0,-10.0,86.20903968811035,324.05279541015625,190.0,-34.0,270.0,-30.0,10545.466529846191,98800.0,72.60000000000002,1.0,0.0,242.0,289.9000000000001,235.8,287.6
