Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,7,27,-10.0,-999.0,0.0,30300.0,-10.0,-10.0,-10.0,4.956910103559494,30.738567352294922,10.367677688598633,26.75197982788086,8.427207946777344,5856.68017578125,264.3637542724609,247.62478637695312,11.612088203430176,1.7888336181640625,3169.827392578125,280.52645874023443,274.93728637695307,5.035974502563477,-0.976919174194336,1540.752197265625,290.1102600097656,284.2497863769531,6.596724510192871,0.9317550659179688,296.3429260253906,288.23143005371094,4.976143836975098,2.8894805908203125,301.787841796875,291.8215789794922,1.1379756927490234,1.8351936340332031,0.0,-0.0010499954223632812,-0.027078747749328613,101431.0,124.7023811340332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2953243255615234,3.524887084960937,98380.0,268.4640045166016,299.1717834472656,0.0,67.9,0.0,0.0,0.0,0.0,299.7654113769531,301.1871337890625,0.013920000000000002,292.09315490722656,60.90000000000001,0.9890956878662108,2.1900224685668945,2.3794047250412405,0.9890956878662108,2.1900224685668945,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.11,-10.0,29.0,10.0,12.0,-3.6,740.0,-10.0,33.313871383666985,0.0,37.875,98.625,98.625,--,--,8381.478168487549,--,11131.827499389648,279.2,90.5,381.70000000000016,14.75,424.7087097167969,247.0,52.6,48.0,55.90000000000001,56.2,4.439186096191406,-6.1869144439697275,5.470823287963867,-0.7003097534179688,9.958992004394533,-1.9716110229492188,4434.706875,35.0,60000.0,4430.0,35.0,59900.0,6040.0,7670.0,-3.1,550.0
1,0,2018,7,27,-10.0,-999.0,0.0,25400.0,-10.0,-10.0,-10.0,3.0065485313534737,27.157360076904297,11.001976013183594,26.234241485595703,10.267553329467773,5854.90673828125,264.29306030273443,251.31228637695312,10.790172576904297,5.835624694824219,3171.038330078125,280.10943603515625,276.62478637695307,4.727334976196289,0.04291915893554688,1543.4180908203125,289.91876220703125,284.3159484863281,7.831600189208982,1.9156150817871087,296.18963623046875,287.72662353515625,6.273515701293945,2.2359390258789062,301.11798095703125,291.73016357421875,0.7399587631225586,1.0377197265625,0.0,-0.014168739318847656,0.02211809158325196,101476.0,128.54176330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82961654663086,2.7898082733154297,98420.0,268.4640045166016,297.3592529296875,0.0,67.9,0.0,0.0,0.0,0.0,297.81964111328125,299.23907470703125,0.01404,292.20338439941406,67.10000000000001,0.7176551818847656,1.233869552612305,1.442080855369568,0.7176551818847656,1.233869552612305,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.04,0.0,0.0,20.0,12.0,-3.3000000000000003,650.0,-30.0,35.24619030952453,0.0,39.875,99.125,99.125,--,--,8915.245971679688,--,10931.704948425293,272.3,0.0,378.3,0.0,414.3756408691406,0.0,0.0,0.0,42.40000000000001,56.90000000000001,9.398971557617188,-5.110984802246094,6.518877029418945,0.5562896728515625,8.092451095581055,3.827472686767578,4357.8125,43.0,60600.0,4360.0,43.0,60500.0,6050.0,7700.0,-2.6,410.0
2,0,2018,7,27,-10.0,-999.0,0.0,20700.0,-10.0,-10.0,-10.0,3.6089326553046703,25.08484268188477,10.871261596679688,28.05522537231445,5.976316452026367,5854.27392578125,263.85470581054693,253.81228637695312,11.419963836669922,5.7356605529785165,3172.27197265625,280.5741577148437,274.56228637695307,4.697399139404297,0.3518829345703125,1545.0665283203125,290.6020812988281,281.18728637695307,8.591937065124513,0.9761695861816406,296.2205505371094,287.6007843017578,7.212600708007812,2.223888397216797,300.0015869140625,292.2488250732422,0.4584274291992188,1.0293025970458984,0.0,0.01401519775390625,-0.03021180629730225,101494.0,130.22628021240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3370227813720703,3.5130844116210938,98440.0,268.4640045166016,295.9842529296875,0.0,67.9,0.0,0.0,0.0,0.0,296.4201965332031,297.76715087890625,0.014260000000000004,292.45762634277344,74.8,0.5599594116210938,1.1449651718139648,1.3141651833429933,0.5599594116210938,1.1449651718139648,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.03,0.0,1.0,60.0,12.0,-3.4000000000000004,550.0,-90.0,32.92759943008423,0.0,0.0,25.0,25.0,--,--,--,--,--,274.6,0.0,369.1,0.0,406.8756408691406,0.0,0.0,0.0,62.0,70.5,9.908205032348633,-5.311073303222656,7.4273643493652335,0.9624462127685548,8.519269943237305,3.9056434631347656,4308.1796875,45.0,60900.0,4310.0,45.0,60800.0,5970.0,7620.0,-3.1,480.0
3,0,2018,7,27,-10.0,-999.0,0.0,20400.0,-10.0,-10.0,-10.0,6.180171012878418,26.98215103149414,6.80035400390625,25.42974853515625,7.5054969787597665,5858.2509765625,263.78485107421875,258.49978637695307,12.652373313903807,5.965532302856445,3176.47607421875,281.2455444335937,274.87478637695307,4.97730827331543,2.666858673095703,1545.09619140625,291.4375305175781,279.49978637695307,7.984468460083008,-0.25566864013671875,296.68060302734375,286.3747863769531,7.961860656738281,2.319713592529297,299.9461364746094,292.2497863769531,1.2123546600341797,3.1888103485107417,0.0,-0.008269309997558594,-0.0023376941680908203,101469.0,128.3962631225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693487167358398,5.555435180664063,98420.0,268.4640045166016,295.518798828125,0.0,67.9,0.0,0.0,0.0,0.0,296.48974609375,297.837158203125,0.01406,292.2497863769531,74.7,1.4859256744384766,3.5036773681640625,3.813340141146909,1.4859256744384766,3.5036773681640625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.22,-26.0,18.0,90.0,12.0,-3.2,470.0,-80.0,34.04093194007873,0.0,0.0,0.0,0.0,--,--,--,--,--,273.7,0.0,367.1,0.0,404.3719482421875,0.0,0.0,0.0,60.0,71.2,8.362081527709961,-4.925043106079102,6.7453975677490225,-2.076972961425781,8.580703735351562,1.4106178283691406,4262.104062500001,66.0,61300.0,4260.0,65.0,61200.0,5970.0,7620.0,-3.1,390.0
4,0,2018,7,27,-10.0,-999.0,0.0,20000.0,-10.0,-10.0,-10.0,4.473197381943463,29.34793281555176,8.911336898803711,25.143667221069336,8.42072868347168,5849.91845703125,263.23106384277344,259.37478637695307,13.174616813659668,4.6420936584472665,3171.8994140625,280.8525390625,275.12478637695307,5.134772300720215,2.663637161254884,1545.98828125,290.1826171875,283.6872863769531,7.201896667480469,-2.0714893341064453,296.8362731933594,285.3122863769531,8.906295776367188,0.6388034820556641,299.7379150390625,291.6872863769531,0.0958538055419922,1.6162757873535156,0.0,0.02880382537841797,0.029465913772583008,101494.0,130.31805419921878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.239732742309569,4.294301986694337,98440.0,268.4640045166016,295.2193298339844,0.0,67.8,0.0,0.0,0.0,0.0,295.87640380859375,297.2596740722656,0.013790000000000002,291.9372863769531,75.7,0.3676137924194336,1.9470930099487305,2.0027943996246904,0.3676137924194336,1.9470930099487305,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.09,-8.0,6.0,90.0,12.0,-3.1,400.0,-60.0,35.50812983512878,0.0,0.0,0.0,0.0,--,--,--,--,--,273.6,0.0,368.0,0.0,402.7062072753906,0.0,0.0,0.0,88.0,91.7,7.76573371887207,-5.7837677001953125,8.117237091064451,-3.474525451660156,8.036155700683594,0.8399276733398438,4248.52578125,61.0,61400.0,4250.0,61.0,61300.0,5870.0,7530.0,-2.8000000000000003,290.0
5,0,2018,7,27,-10.0,-999.0,0.0,20100.0,-10.0,-10.0,-10.0,3.992835029959679,31.71345520019531,8.496034622192383,27.01359558105469,8.899625778198242,5846.4189453125,263.6024932861328,260.87478637695307,12.68435287475586,3.024932861328125,3168.43603515625,280.4337158203125,276.43728637695307,5.216463088989258,3.4075489044189453,1543.5286865234375,289.779296875,286.3122863769531,5.9881134033203125,-0.3996524810791016,295.9488830566406,288.3122863769531,7.852446556091309,-0.5967864990234375,299.11846923828125,291.3122863769531,0.5052127838134766,0.5939178466796875,0.0,0.02641534805297852,-0.009257078170776369,101499.0,130.42727661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.252351760864259,3.729827880859375,98430.0,268.4640045166016,295.10711669921875,0.0,67.8,0.0,0.0,0.0,0.0,295.5242004394531,296.83856201171875,0.0136,291.6872863769531,75.9,0.8337411880493164,0.9855737686157228,1.3156841916497797,0.8337411880493164,0.9855737686157228,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.04,-2.0,1.0,70.0,12.0,-2.2,250.0,-70.0,41.11852931976319,0.0,0.0,0.0,0.0,--,--,--,--,--,271.0,0.0,377.5,0.0,401.9119873046875,0.0,0.0,0.0,75.7,79.5,6.526243209838867,-5.564603805541992,6.526123046875,-2.447132110595703,7.402973175048827,-0.05196380615234375,4236.02546875,62.0,61500.0,4240.0,62.0,61400.0,5970.0,7590.0,-2.9000000000000004,380.0
6,0,2018,7,27,-10.0,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,2.7345484346151347,33.92378616333008,7.000776290893555,28.05363273620605,7.349079132080077,5842.671875,263.5899658203125,261.944839477539,13.37759780883789,3.5040740966796875,3164.495849609375,280.20492553710943,277.37478637695307,6.442262649536133,5.764619827270508,1538.06494140625,290.02618408203125,286.2497863769531,7.4205589294433585,2.1174049377441406,294.64654541015625,290.1247863769531,6.0966739654541025,-2.5112457275390625,298.39361572265625,291.5487976074219,0.5624284744262695,0.2076740264892578,0.0,0.02342367172241211,-0.010572671890258787,101462.0,127.20905303955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.754791259765625,1.362714767456055,98400.0,268.4640045166016,294.73919677734375,0.0,67.8,0.0,0.0,0.0,0.0,295.0848083496094,296.49993896484375,0.01347,291.5622863769531,77.7,1.088125228881836,0.5259685516357422,1.1886439046356827,1.088125228881836,0.5259685516357422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.04,-1.0,1.0,60.0,12.0,-1.9,220.0,-120.0,42.59237170219421,0.0,0.0,0.0,0.0,--,--,--,--,--,270.5,0.0,378.1,0.0,400.1739501953125,0.0,0.0,0.0,35.4,31.8,9.489982604980467,-4.86311149597168,6.163562774658202,-0.4501686096191406,10.130157470703123,3.8379173278808594,4237.88796875,60.0,61400.0,4240.0,60.0,61300.0,5920.0,7530.0,-4.1000000000000005,840.0
7,0,2018,7,27,-10.0,-999.0,0.0,19100.0,-10.0,-10.0,-10.0,2.0291674211621284,34.319000244140625,7.318527221679687,28.680355072021484,7.1796512603759775,5835.9267578125,263.90853881835943,262.31228637695307,13.444007873535154,5.7598514556884775,3159.62939453125,279.74346923828125,276.99978637695307,8.289362907409668,5.552091598510742,1536.0010986328125,289.60205078125,285.1247863769531,7.007112503051758,1.573648452758789,293.82244873046875,289.8122863769531,3.7839794158935534,-2.964584350585937,297.8379211425781,291.8855285644531,0.6750898361206055,-0.20949935913085926,0.0,0.01597118377685547,0.021167516708374023,101478.0,128.50200271606442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9336090087890625,-0.7310943603515625,98410.0,268.4640045166016,294.4633483886719,0.0,67.8,0.0,0.0,0.0,0.0,294.8094177246094,296.1869201660156,0.013410000000000002,291.4997863769531,78.10000000000002,1.1418790817260742,-0.2777433395385742,1.1883323817746714,1.1418790817260742,-0.2777433395385742,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.03,-1.0,1.0,50.0,12.0,-1.3,210.0,-60.0,41.20111441612244,0.0,2.75,0.0,2.75,--,--,--,--,--,271.40000000000003,0.0,373.9,0.0,398.5620727539063,0.0,0.0,0.0,39.0,10.1,9.95180892944336,-4.575164794921875,4.860357284545898,0.030902862548828125,12.288490295410154,7.096836090087893,4147.1940625,73.0,62100.0,4150.0,73.0,62000.0,5990.0,7570.0,-2.9000000000000004,510.0
8,0,2018,7,27,-10.0,-999.0,0.0,17900.0,-10.0,-10.0,-10.0,2.111321054399013,32.29086303710937,6.11815071105957,26.33698463439941,7.108074188232423,5835.0478515625,264.2948608398437,262.18728637695307,14.49531078338623,4.963346481323242,3157.0556640625,279.69000244140625,275.22959899902344,9.018083572387695,5.567649841308594,1535.6602783203125,289.1054992675781,285.9164123535156,7.727315902709961,1.967096328735352,293.4283142089844,289.5346984863281,4.163482666015625,-2.046192169189453,297.5797424316406,292.09185791015625,0.8113231658935547,-0.8094139099121094,0.0,-0.020002365112304688,0.03017592430114746,101498.0,130.1474685668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5766735076904297,-2.38630485534668,98430.0,268.4640045166016,294.4275207519531,0.0,67.8,0.0,0.0,0.0,0.0,294.8396911621094,296.2203674316406,0.013620000000000002,291.7497863769531,80.30000000000003,0.9709634780883788,-1.1062374114990234,1.5017644324107096,0.9709634780883788,-1.1062374114990234,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.06,-3.0,3.0,60.0,12.0,-1.2000000000000002,220.0,-70.0,40.69964003562927,0.0,28.375,0.0,28.375,--,--,--,--,--,271.7,0.0,372.6,0.0,398.33587646484375,0.0,0.0,0.0,40.6,18.1,9.850912094116213,-4.651895523071289,5.9063663482666025,1.288068771362305,13.485136032104492,6.209175109863281,4124.12953125,74.0,62200.0,4120.0,73.0,62100.0,6060.0,7710.0,-2.0,320.0
9,0,2018,7,27,-10.0,-999.0,0.0,17300.0,-10.0,-10.0,-10.0,1.4752533510327341,30.84648895263672,4.002637863159181,28.005817413330078,4.683906555175781,5831.80908203125,264.05751037597656,261.37478637695307,13.979694366455078,5.7022438049316415,3155.4423828125,279.4453125,274.5598297119141,9.656588554382324,6.134078979492188,1535.146240234375,289.1209411621094,285.84754943847656,8.209743499755861,1.222492218017578,293.0010070800781,289.8122863769531,2.671255111694336,-2.052257537841797,297.16485595703125,292.0622863769531,0.2547740936279297,-0.7254257202148438,0.0,0.02473354339599609,-0.02506566047668457,101509.0,130.98582458496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999477386474609,-1.924661636352539,98440.0,268.4640045166016,293.82012939453125,0.0,67.8,0.0,0.0,0.0,0.0,294.2087097167969,295.55169677734375,0.01359,291.6872863769531,81.60000000000002,0.14765167236328125,-1.0053224563598633,1.0637937233550474,0.14765167236328125,-1.0053224563598633,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.03,-1.0,0.0,53.0,12.0,-1.2000000000000002,230.0,-70.0,40.82258152961732,0.0,31.125,0.0,31.125,--,--,--,--,--,272.2,0.0,371.9,0.0,395.0171661376953,0.0,0.0,0.0,26.3,11.4,9.883708953857422,-4.152946472167969,6.790748596191406,0.2433357238769531,13.538675308227539,6.910102844238281,4082.02671875,81.0,62500.0,4080.0,81.0,62400.0,5990.0,7660.0,-2.2,370.0
