Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,7,29,-10.0,-999.0,0.0,31300.0,-10.0,-10.0,-10.0,3.1119767017662525,28.73593521118164,12.184614181518555,26.08542442321777,12.125200271606445,5855.326171875,264.940185546875,250.81228637695312,12.56935977935791,4.337259292602538,3166.238525390625,279.812255859375,263.49978637695307,4.793359756469727,-1.844318389892578,1559.305419921875,286.51812744140625,281.6247863769531,0.6169614791870117,-1.0378093719482422,293.17022705078125,284.8817901611328,0.6511669158935547,-3.3448429107666016,298.61700439453125,289.16162109375,0.3419055938720703,-0.9112434387207032,0.0,-0.005273342132568359,0.031774044036865234,101830.0,158.89842224121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8608589172363281,-2.50394058227539,98360.0,303.6202545166016,296.7967224121094,0.0,48.40000000000001,0.0,0.0,0.0,0.0,297.0084228515625,298.4794921875,0.01177,289.4236602783203,60.3,0.4628171920776367,-1.001607894897461,1.0691114771179857,0.4628171920776367,-1.001607894897461,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,0.0,0.0,50.0,4.0,1.3,70.0,0.0,27.441331624984738,0.0,98.0,100.0,100.0,33300.0,8895.190813064575,7934.402992248535,25600.0,11884.483009338379,268.7,66.60000000000001,356.6,9.5,409.0608825683594,216.0,39.1,46.3,36.0,-4.9,7.648906707763673,-7.49266242980957,-0.08311080932617188,-0.8482513427734375,12.567205429077148,7.69293212890625,4530.4940625,32.0,59200.0,4530.0,32.0,59100.0,6150.0,7500.0,1.8,40.0
1,0,2018,7,29,-10.0,-999.0,0.0,22700.0,-10.0,-10.0,-10.0,2.236444752663374,27.59555435180664,11.322376251220705,24.089826583862305,14.121397018432615,5856.61083984375,264.55996704101557,252.31228637695312,12.91847038269043,5.182077407836914,3168.4736328125,280.1673583984375,263.49978637695307,4.918883323669434,-1.4108314514160156,1558.959228515625,286.69427490234375,280.12478637695307,0.366180419921875,-1.387812614440918,292.84649658203125,284.6953125,-0.2054758071899414,-3.789427757263184,297.5693359375,290.2263946533203,-0.0033588409423828125,-0.9640426635742188,0.0,-0.022914886474609368,-0.02162408828735352,101837.0,159.7126922607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3855419158935547,-3.395099639892578,98380.0,303.6202545166016,294.4842529296875,0.0,48.6,0.0,0.0,0.0,0.0,294.942626953125,296.32196044921875,0.01247,290.3152160644531,71.0,-0.145477294921875,-0.9672451019287108,1.0024764169938862,-0.145477294921875,-0.9672451019287108,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,0.0,1.0,50.0,4.0,0.30000000000000004,50.0,-20.0,26.48694682121277,0.0,85.0,99.375,99.375,33300.0,8896.847002029419,7862.999252319336,27300.0,11863.458435058594,234.2,0.0,360.20000000000016,0.0,396.5006408691406,0.0,0.0,0.0,32.800000000000004,-3.3000000000000003,7.451578140258789,-7.4464073181152335,0.313446044921875,-0.5313301086425781,14.243875503540039,9.285789489746094,4500.575,32.0,59400.0,4500.0,32.0,59400.0,6090.0,7560.0,1.28365478515625,30.0
2,0,2018,7,29,-10.0,-999.0,0.0,18500.0,-10.0,-10.0,-10.0,2.0401060581207275,26.946083068847656,7.927299499511719,22.28522491455078,15.754598617553713,5860.357421875,264.33238220214844,253.43728637695312,13.734482765197756,5.020458221435547,3171.6728515625,279.9605712890625,262.87478637695307,4.6992692947387695,-0.8980960845947266,1562.583251953125,286.7559814453125,280.06228637695307,-0.0673980712890625,-1.1834793090820312,292.8124084472656,283.9167785644531,-1.819400787353516,-3.599922180175781,296.576416015625,290.6404724121094,-0.24509048461914065,-0.6201171875,0.0,-0.0014104843139648438,-0.02192556858062744,101891.0,164.2493095397949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4597244262695312,-3.1128330230712886,98430.0,303.6202545166016,293.2342834472656,0.0,48.8,0.0,0.0,0.0,0.0,293.6676330566406,294.9856262207031,0.0127,290.6492919921875,78.80000000000003,-0.6851768493652344,-0.6457748413085938,0.9408854173962028,-0.6851768493652344,-0.6457748413085938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,0.0,0.0,50.0,4.0,0.5,40.0,-40.0,26.191092610359192,0.0,85.25,100.0,100.0,33300.0,8901.848859786987,7848.174556732178,24100.0,12266.133029937744,252.7,0.0,346.90000000000015,0.0,389.9772033691406,0.0,0.0,0.0,35.0,-3.4000000000000004,6.38870906829834,-7.619783401489258,0.04598045349121094,-0.5690402984619141,16.359901428222653,9.232200622558594,4546.10765625,29.0,59100.0,4550.0,29.0,59100.0,6030.0,7620.0,1.2000000000000002,30.0
3,0,2018,7,29,-10.0,-999.0,0.0,16300.0,-10.0,-10.0,-10.0,2.7254290804266934,29.066577911376953,9.187461853027344,20.854732513427734,14.596723556518555,5862.275390625,264.56561279296875,251.93728637695312,13.962974548339846,4.894805908203125,3174.4697265625,279.9136962890625,261.93728637695307,4.792163848876953,-0.04781913757324219,1565.573974609375,286.53131103515625,280.37478637695307,-0.040401458740234375,-1.1018342971801758,292.3494873046875,283.9372863769531,-3.221786499023437,-3.7975997924804688,295.4964599609375,290.8122863769531,-0.7966060638427734,-0.6186256408691406,0.0,-0.04266166687011719,0.020212411880493164,101951.0,169.3598899841309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.688343048095703,-2.882049560546875,98480.0,303.6202545166016,292.0038757324219,0.0,48.90000000000001,0.0,0.0,0.0,0.0,292.4515075683594,293.76007080078125,0.01258,290.4997863769531,83.60000000000002,-1.3341102600097656,-0.7311840057373047,1.5015339837409556,-1.3341102600097656,-0.7311840057373047,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.04,0.0,0.0,40.0,4.0,1.5,30.0,-40.0,25.969302892684933,0.0,96.125,100.0,100.0,35700.0,8391.496353149414,7563.232067108154,31100.0,10690.062606811523,254.8,0.0,346.90000000000015,0.0,383.4151306152344,0.0,0.0,0.0,38.0,-6.0,5.679381370544434,-7.642194747924805,0.409149169921875,-0.5792274475097656,17.957963943481445,9.30315399169922,4528.4140625,28.0,59300.0,4530.0,27.0,59200.0,6070.0,7560.0,1.8,20.0
4,0,2018,7,29,-10.0,-999.0,0.0,15700.0,-10.0,-10.0,-10.0,2.6038572527468204,30.973840713500977,11.636486053466795,19.79615020751953,13.696096420288086,5855.685546875,264.24346923828125,252.43728637695312,13.519567489624025,3.049057006835937,3173.937744140625,279.34521484375,262.56228637695307,4.935712814331055,0.05732059478759765,1566.48828125,286.3846130371094,280.99978637695307,0.17032623291015625,-0.8305244445800781,292.1676025390625,283.9372863769531,-3.703100204467773,-2.7930984497070312,294.9678955078125,290.6247863769531,-0.6857776641845703,-0.17138290405273438,0.0,0.01734638214111328,0.009359121322631836,101979.0,171.46380615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.369861602783203,-2.1780567169189453,98500.0,303.6202545166016,291.36883544921875,0.0,48.90000000000001,0.0,0.0,0.0,0.0,291.8892517089844,293.1541442871094,0.012390000000000002,290.2497863769531,85.10000000000002,-1.2159767150878906,-0.3238086700439453,1.250883425178472,-1.2159767150878906,-0.3238086700439453,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,-2.0,0.0,40.0,4.0,1.7000000000000002,20.0,-50.0,27.29582500457764,0.0,93.625,85.25,93.625,--,--,7735.726280212402,--,10630.69831085205,264.90000000000003,0.0,340.9000000000001,0.0,380.1761474609375,0.0,0.0,0.0,36.0,-3.6,4.336214065551759,-8.028972625732424,0.5331039428710938,-0.3409423828125,18.513221740722656,6.30926513671875,4395.357968750001,35.0,60300.0,4400.0,35.0,60200.0,6030.0,7580.0,2.0,10.0
5,0,2018,7,29,-10.0,-999.0,0.0,15200.0,-10.0,-10.0,-10.0,2.6016692221164703,31.741840362548828,14.735015869140625,19.553203582763672,13.568122863769533,5850.5087890625,263.6307373046875,253.93728637695312,12.701776504516602,1.7153549194335938,3173.184814453125,279.38442993164057,262.99978637695307,5.9234113693237305,0.7328863143920898,1565.19140625,286.34149169921875,281.18728637695307,0.3812141418457031,-1.3792543411254885,292.06689453125,283.8747863769531,-2.9873180389404297,-2.1084680557250977,294.74578857421875,290.1247863769531,-0.7142620086669922,-0.8059501647949219,0.0,-0.007633686065673828,-0.01447176933288574,101971.0,170.7073516845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.418487548828125,-1.930097579956055,98490.0,303.6202545166016,290.63397216796875,0.0,49.0,0.0,0.0,0.0,0.0,291.1875915527344,292.485107421875,0.01214,289.9372863769531,86.30000000000004,-1.1172418594360352,-1.0998554229736328,1.5645544400904328,-1.1172418594360352,-1.0998554229736328,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.04,-2.0,0.0,50.0,4.0,1.7000000000000002,10.0,-60.0,27.495008826255802,0.0,9.75,23.375,23.375,--,--,--,--,--,266.0,0.0,339.0,0.0,376.3253479003906,0.0,0.0,0.0,45.0,3.0,3.8769493103027344,-8.140018463134767,0.6878795623779297,0.14925003051757812,17.178777694702152,4.0787506103515625,4312.0125,39.0,60900.0,4310.0,39.0,60800.0,5920.0,7540.0,2.3000000000000003,0.0
6,0,2018,7,29,-10.0,-999.0,0.0,15400.0,-10.0,-10.0,-10.0,2.5368015691637997,32.320539474487305,13.321403503417967,20.50158405303955,12.210489273071287,5848.5029296875,262.87139892578125,254.74978637695312,11.092799186706543,1.0309829711914062,3173.684814453125,279.6959228515625,264.18728637695307,6.2869415283203125,1.0446615219116209,1563.6912841796875,286.2667541503906,281.5622863769531,-0.8249073028564453,-2.2567672729492188,292.1771240234375,283.9372863769531,-3.3093996047973637,-2.143373489379884,294.6352233886719,289.7497863769531,-0.5775394439697266,-0.7018356323242188,0.0,-0.014968395233154297,0.022199392318725586,101949.0,169.05048370361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4234714508056636,-1.6469135284423828,98480.0,303.6202545166016,290.1803894042969,0.0,49.0,0.0,0.0,0.0,0.0,290.79571533203125,292.0904541015625,0.01189,289.6247863769531,85.80000000000003,-1.0402183532714844,-0.9970827102661132,1.4388568294234574,-1.0402183532714844,-0.9970827102661132,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.039,-2.0,0.0,70.0,4.0,1.5,0.0,0.0,27.537838339805607,0.0,0.0,0.0,0.0,--,--,--,--,--,265.5,0.0,338.4000000000001,0.0,373.92376708984375,0.0,0.0,0.0,38.0,-8.8,3.1997318267822266,-8.230123519897461,-0.3529853820800781,-0.6487827301025391,14.970012664794922,2.659893035888672,4285.67296875,44.0,61100.0,4290.0,44.0,61000.0,5780.0,7440.0,2.1,0.0
7,0,2018,7,29,-10.0,-999.0,0.0,14600.0,-10.0,-10.0,-10.0,1.8966126292943961,31.21190071105957,9.983161926269533,21.666202545166016,10.690853118896484,5846.8515625,262.6832275390625,254.74978637695312,11.108266830444336,-0.03678131103515625,3172.228759765625,279.99908447265625,265.12478637695307,6.4442338943481445,1.7468128204345703,1560.92626953125,286.1112060546875,281.43728637695307,-1.7865190505981443,-2.2282390594482417,292.05609130859375,283.8122863769531,-3.5605373382568364,-1.7507801055908203,294.335693359375,289.8747863769531,-0.6910238265991211,-0.02600860595703125,0.0,-0.046190738677978516,0.0009354352951049805,101922.0,166.87733459472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.999927520751953,-0.6122589111328125,98450.0,303.6202545166016,289.8135070800781,0.0,49.1,0.0,0.0,0.0,0.0,290.411376953125,291.6886901855469,0.01179,289.4997863769531,87.9,-1.2363004684448242,-0.20624446868896484,1.2529829773120582,-1.2363004684448242,-0.20624446868896484,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,-2.0,0.0,50.0,4.0,1.8,0.0,0.0,27.24946391582489,0.0,0.0,0.0,0.0,--,--,--,--,--,265.1,0.0,336.3,0.0,372.0851440429688,0.0,0.0,0.0,32.0,-19.9,1.8946647644042969,-7.92143440246582,-1.0797843933105469,-1.6365203857421875,14.534870147705078,0.15728759765625,4282.2259375,46.0,61100.0,4280.0,46.0,61000.0,5750.0,7350.0,1.9,0.0
8,0,2018,7,29,-10.0,-999.0,0.0,13900.0,-10.0,-10.0,-10.0,1.1453288383781908,27.588062286376953,8.975990295410156,21.51681327819824,9.738290786743164,5850.166015625,263.31314086914057,254.74978637695312,11.161056518554688,-1.445697784423828,3172.28076171875,280.2020874023437,266.37478637695307,6.965537071228027,2.506702423095703,1560.4697265625,285.86871337890625,281.4997863769531,-2.04557704925537,-2.2542896270751958,291.8701171875,283.6247863769531,-3.2455873489379883,-1.8534889221191408,294.04931640625,290.1247863769531,-0.40133094787597656,-0.169342041015625,0.0,-0.0465540885925293,-0.016516447067260742,101923.0,167.10187149047854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.00483512878418,-0.2009449005126953,98460.0,303.6202545166016,289.4338684082031,0.0,49.1,0.0,0.0,0.0,0.0,290.0373840332031,291.30438232421875,0.01169,289.3122863769531,88.7,-0.9137649536132812,-0.16526412963867188,0.9387818076647818,-0.9137649536132812,-0.16526412963867188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.02,-2.0,-1.0,60.0,4.0,2.5,0.0,0.0,27.597527980804443,0.0,0.0,0.0,0.0,--,--,--,--,--,265.0,0.0,335.7000000000001,0.0,369.9445190429688,0.0,0.0,0.0,29.0,-23.8,0.9926967620849608,-7.840980529785156,-1.5661277770996094,-2.071029663085937,14.18691635131836,-2.2287559509277344,4293.31703125,52.0,61100.0,4290.0,52.0,60900.0,5870.0,7370.0,2.3000000000000003,0.0
9,0,2018,7,29,-10.0,-999.0,0.0,13100.0,-10.0,-10.0,-10.0,0.9776176400482656,26.640869140625,9.854671478271484,21.54791641235352,8.323478698730469,5848.6689453125,263.65367126464844,253.8972320556641,10.306602478027344,-0.9566192626953124,3170.694091796875,279.97793579101557,266.8271026611328,7.343538284301758,2.9367389678955083,1559.99951171875,285.78076171875,280.93728637695307,-2.4803829193115234,-2.4006919860839844,291.6878662109375,283.2497863769531,-3.2756319046020512,-2.2881526947021484,293.63067626953125,290.1247863769531,-0.3242368698120117,-0.4744329452514648,0.0,0.002791404724121093,-0.027179479598999023,101932.0,167.7923126220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4412012100219729,-0.4980392456054688,98470.0,303.6202545166016,288.9227600097656,0.0,49.1,0.0,0.0,0.0,0.0,289.4715881347656,290.7844543457031,0.01145,288.9997863769531,90.2,-0.8452777862548828,-0.4575777053833008,0.9395103494171052,-0.8452777862548828,-0.4575777053833008,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,-1.0,-1.0,55.0,4.0,3.4000000000000004,0.0,0.0,26.980560541152954,0.0,0.0,0.0,0.0,--,--,--,--,--,265.8,0.0,333.0,0.0,367.440673828125,0.0,0.0,0.0,40.0,-26.8,1.6024417877197266,-7.9205684661865225,-1.993906021118164,-2.140644073486328,13.185806274414062,-0.8381233215332031,4251.2034375,55.0,61400.0,4250.0,55.0,61200.0,5920.0,7420.0,2.7,0.0
