Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,9,4,-10.0,-999.0,0.0,28100.0,-10.0,-10.0,-10.0,1.7661992367357016,-6.7569236755371085,-6.7874107360839835,-5.962149620056152,-6.0516109466552725,5950.8642578125,265.9131317138672,257.62478637695307,-4.925697326660156,1.9008569717407229,3251.8212890625,281.2055053710937,275.68728637695307,-2.66116714477539,4.5493431091308585,1616.1324462890625,291.99993896484375,286.1247863769531,-3.8065719604492174,3.431747436523437,297.9986877441406,289.6737365722656,-2.8488922119140625,0.965728759765625,303.0693054199219,293.8956604003906,-0.737213134765625,-0.24054718017578125,0.0,0.005465507507324219,-0.00160980224609375,102175.0,189.74585819244385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.58135986328125,-0.5422344207763672,99440.0,239.6202545166016,301.2275695800781,0.0,58.3,0.0,0.0,0.0,0.0,301.53021240234375,302.0721130371094,0.01598,294.4444580078125,62.8,-0.7551918029785156,-0.3648567199707031,0.8775520336348563,-0.7551918029785156,-0.3648567199707031,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.0,1.0,0.0,14.0,-5.300000000000002,1690.0,-27.0,42.2251808643341,0.0,0.0,0.0,0.0,--,--,--,--,--,284.7,0.0,404.5,0.0,429.4411315917969,0.0,0.0,0.0,40.0,29.8,0.9659957885742188,8.503334045410156,-2.665136337280273,2.0495424270629883,-3.296123504638672,1.9683761596679688,4665.1695312500015,62.0,58900.0,4670.0,61.0,58800.0,6420.0,7950.0,-4.3,1180.0
1,0,2018,9,4,-10.0,-999.0,0.0,20000.0,-10.0,-10.0,-10.0,1.192128360271454,-7.4346046447753915,-6.815317153930664,-6.926059722900393,-5.9381256103515625,5953.10009765625,265.7838592529297,257.31228637695307,-4.8429832458496085,2.484982490539551,3255.447265625,280.9864501953125,276.62478637695307,-2.9971790313720703,4.714920997619629,1620.016357421875,292.08282470703125,286.5622863769531,-4.094442367553712,4.581930160522461,297.8016357421875,290.4580841064453,-3.847232818603516,2.139825820922852,301.94268798828125,294.0041809082031,-0.3978424072265625,-0.4318885803222656,0.0,0.025104522705078125,-0.02533578872680664,102230.0,194.42269897460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5005130767822266,-0.5782279968261719,99490.0,239.6202545166016,299.1245422363281,0.0,58.3,0.0,0.0,0.0,0.0,299.4087829589844,299.86688232421875,0.01685,295.2891082763672,75.8,-0.1262950897216797,-0.5267744064331055,0.5657669492065907,-0.1262950897216797,-0.5267744064331055,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.01,0.0,0.0,30.0,14.0,-5.6000000000000005,1840.0,-70.0,43.565508246421814,0.0,0.0,0.0,0.0,--,--,--,--,--,283.3,0.0,399.6,0.0,417.5850830078125,0.0,0.0,0.0,52.6,51.90000000000001,1.3631362915039062,8.582618713378906,-4.3667259216308585,3.9327220916748047,-3.0912570953369136,2.31679916381836,4652.499531250001,63.0,59000.0,4650.0,63.0,58900.0,6380.0,7880.0,-4.1000000000000005,1140.0
2,0,2018,9,4,-10.0,-999.0,0.0,17600.0,-10.0,-10.0,-10.0,1.392413109540939,-8.116196632385254,-8.285144805908201,-8.175103187561035,-6.606433868408202,5957.36572265625,265.517593383789,256.68728637695307,-5.34147834777832,2.5437374114990234,3261.26806640625,281.02850341796875,275.74978637695307,-3.3126087188720703,4.6019287109375,1625.6505126953125,292.2315673828125,286.8122863769531,-4.031341552734375,5.274181365966797,298.14666748046875,290.4320373535156,-3.742353439331055,2.3244571685791016,300.9831237792969,293.5630187988281,-0.4533500671386719,-0.6478672027587891,0.0,0.01035308837890625,0.008073806762695312,102290.0,199.63955879211426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3111896514892578,-0.9608135223388672,99556.09375,239.6202545166016,297.8824768066406,0.0,58.3,0.0,0.0,0.0,0.0,297.9847106933594,298.38763427734375,0.01634,294.82733154296875,81.0,-0.2999210357666016,-0.8271856307983398,0.875715016736649,-0.2999210357666016,-0.8271856307983398,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.0,0.0,30.0,14.0,-4.5,1240.0,-148.0,43.1879061460495,0.0,0.0,0.0,0.0,--,--,--,--,--,282.1,0.0,394.6,0.0,410.699951171875,0.0,0.0,0.0,52.0,51.1,0.9402637481689452,8.81236457824707,-3.8617877960205083,4.824333190917969,-3.7236461639404297,2.495063781738281,4630.620625000001,63.0,59200.0,4630.0,63.0,59100.0,6340.0,7860.0,-4.1000000000000005,1080.0
3,0,2018,9,4,-10.0,-999.0,0.0,15900.0,-10.0,-10.0,-10.0,2.1719144955277443,-7.8183135986328125,-7.084123611450195,-8.271417617797853,-5.221351623535156,5959.8125,265.49951171875,257.71446228027344,-4.026538848876953,2.5425033569335938,3264.9267578125,281.02734375,275.37478637695307,-2.6884708404541016,5.0559959411621085,1628.747802734375,292.1539306640625,288.09368896484375,-4.692359924316406,5.805042266845702,298.4613342285156,290.3122863769531,-4.142953872680663,2.7629356384277344,300.4140625,293.4997863769531,-0.9775676727294922,-0.8635330200195312,0.0,-0.012902259826660156,0.010694265365600586,102321.0,202.2361011505127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2947921752929688,-1.4280128479003906,99580.0,239.6202545166016,296.773681640625,0.0,58.40000000000001,0.0,0.0,0.0,0.0,297.0180969238281,297.3721923828125,0.01615,294.6247863769531,84.60000000000002,-0.6487483978271484,-1.0776481628417969,1.2540293005295098,-0.6487483978271484,-1.0776481628417969,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.04,-1.0,0.0,40.0,14.0,-3.9,940.0,-184.0,44.09486973285675,0.0,0.0,0.0,0.0,--,--,--,--,--,281.3,0.0,393.70000000000016,0.0,404.84185791015625,0.0,0.0,0.0,71.0,61.7,3.112857818603516,6.368419647216798,-3.9849452972412114,5.447380065917969,-1.521198272705078,2.800802230834961,4599.070625,65.0,59400.0,4600.0,65.0,59400.0,6350.0,7890.0,-4.2,1070.0
4,0,2018,9,4,-10.0,-999.0,0.0,14900.0,-10.0,-10.0,-10.0,2.137045368552208,-8.032075881958008,-8.328886032104492,-7.024472236633301,-6.871858596801758,5960.8037109375,265.34873962402344,254.7740478515625,-3.74570369720459,2.404871940612793,3266.877685546875,281.74273681640625,269.99978637695307,-2.927032470703125,3.4286899566650386,1629.4232177734375,291.99505615234375,287.8747863769531,-5.0343780517578125,3.7744159698486333,298.230712890625,290.30657958984375,-4.716754913330078,2.2532501220703125,299.6754455566406,293.9736785888672,-0.7855644226074219,-0.25634765625,0.0,-0.010471343994140623,-0.013063669204711914,102332.0,203.79182052612305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.237167358398437,-0.18749046325683594,99600.0,239.6202545166016,296.2231140136719,0.0,58.40000000000001,0.0,0.0,0.0,0.0,296.3984069824219,296.7875671386719,0.016110000000000003,294.6247863769531,87.2,-0.30095672607421875,-0.21879005432128906,0.3791887373663485,-0.30095672607421875,-0.21879005432128906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.01,0.0,0.0,50.0,14.0,-3.7,890.0,-160.0,39.99380314350128,0.0,0.0,0.0,0.0,--,--,--,--,--,280.90000000000003,0.0,388.5,0.0,401.6821441650391,0.0,0.0,0.0,49.0,43.3,3.47817611694336,3.7300434112548833,-4.896812438964844,3.44281005859375,-0.4219493865966797,2.00738525390625,4614.72640625,48.0,59300.0,4610.0,48.0,59300.0,6330.0,7860.0,-4.1000000000000005,1000.0
5,0,2018,9,4,-10.0,-999.0,0.0,13400.0,-10.0,-10.0,-10.0,1.690671056509018,-9.235197067260742,-7.868295669555664,-9.76667308807373,-6.5818748474121085,5954.85107421875,265.0574188232422,254.70913696289062,-3.98551082611084,2.783099174499512,3264.34814453125,281.80572509765625,268.62478637695307,-3.5346336364746094,3.680792808532715,1627.2960205078125,291.86456298828125,287.8122863769531,-3.706989288330078,2.5523128509521484,298.07464599609375,290.18092346191406,-3.972824096679688,2.1297473907470703,299.01055908203125,294.2185974121094,-0.7063713073730469,-0.4612178802490234,0.0,-0.03544425964355469,0.015851259231567383,102320.0,202.7977600097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.217714309692384,0.0944366455078125,99590.0,239.6202545166016,295.51182556152344,0.0,58.40000000000001,0.0,0.0,0.0,0.0,295.70208740234375,296.079345703125,0.0161,294.6002502441406,91.3,0.03173637390136719,-0.7383460998535156,0.7510516841430217,0.03173637390136719,-0.7383460998535156,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.0,0.0,53.0,14.0,-3.6,870.0,-120.0,39.29203867912293,7.75,0.0,0.0,7.75,--,--,--,--,--,281.0,0.0,385.0,0.0,397.90521240234375,0.0,0.0,0.0,42.5,38.7,3.4733200073242188,4.2739219665527335,-4.081544876098634,3.0775127410888667,-0.7141971588134766,2.3372802734375,4523.663984375,48.0,60000.0,4520.0,48.0,59900.0,6280.0,7840.0,-4.2,960.0
6,0,2018,9,4,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.4225660488009453,-8.121500968933105,-8.058710098266603,-8.835105895996094,-6.431318283081055,5951.26318359375,265.22607421875,254.31228637695312,-3.652313232421875,3.2641963958740234,3261.36328125,281.5375671386719,270.18728637695307,-3.9604549407958975,3.8020753860473633,1624.51806640625,292.1647033691406,287.3747863769531,-3.3552837371826167,2.635074615478516,298.15985107421875,290.0622863769531,-2.9230899810791016,2.621612548828125,298.4302673339844,294.4372863769531,-0.040363311767578125,-0.8344078063964844,0.0,0.016801834106445312,-0.03386533260345459,102291.0,200.00181579589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2409992218017583,-0.40542030334472656,99560.0,239.6202545166016,294.806396484375,0.0,58.40000000000001,0.0,0.0,0.0,0.0,295.02734375,295.3880615234375,0.015940000000000003,294.41571044921875,94.8,0.5873432159423828,-1.1715431213378906,1.3145825951360166,0.5873432159423828,-1.1715431213378906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.06,-2.0,0.0,44.0,14.0,-2.9000000000000004,930.0,-120.0,39.99249911308289,7.75,0.0,0.0,7.75,--,--,--,--,--,280.5,0.0,382.8,0.0,394.1154174804688,0.0,0.0,0.0,50.90000000000001,45.5,3.0939502716064453,6.4156131744384775,-4.2120609283447275,3.6706275939941406,-1.6717414855957031,2.6170005798339844,4480.503437500001,54.0,60300.0,4480.0,54.0,60200.0,6310.0,7860.0,-4.0,930.0
7,0,2018,9,4,-10.0,-999.0,0.0,12400.0,-10.0,-10.0,-10.0,1.5975560396909714,-8.53373908996582,-9.123567581176758,-9.059207916259766,-7.086326599121094,5952.33203125,265.71224975585943,255.6907196044922,-3.7644977569580083,3.3782072067260738,3258.774658203125,281.43731689453125,272.74978637695307,-3.988603591918945,3.4075489044189453,1621.7587890625,292.5966796875,286.3122863769531,-2.5677738189697266,2.648733139038086,298.5636901855469,289.6872863769531,-1.709209442138672,1.9134254455566408,297.95355224609375,293.9997863769531,0.2743473052978516,-0.8919239044189453,0.0,-0.012719154357910156,-0.016707658767700195,102253.0,196.63750457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3355770111083984,-0.8783321380615234,99520.0,239.6202545166016,294.1811065673828,0.0,58.40000000000001,0.0,0.0,0.0,0.0,294.4576416015625,294.8620300292969,0.015330000000000003,293.77037048339844,94.4,0.7032337188720703,-1.3802490234375,1.565977457910776,0.7032337188720703,-1.3802490234375,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.07,-2.0,0.0,35.0,14.0,-1.4,610.0,-160.0,41.25759732723236,7.75,0.0,0.0,7.75,--,--,--,--,--,280.3,0.0,380.8,0.0,390.72911071777344,0.0,0.0,0.0,47.0,35.2,2.8778057098388667,7.138339996337893,-2.9988307952880864,3.757848739624024,-2.852716445922852,3.081207275390625,4538.000625,63.0,59900.0,4540.0,63.0,59800.0,6400.0,7940.0,-3.3000000000000003,750.0
8,0,2018,9,4,-10.0,-999.0,0.0,12500.0,-10.0,-10.0,-10.0,1.0945441015064716,-11.160070419311523,-8.533796310424805,-10.252397537231444,-7.232465744018555,5950.365234375,265.94888305664057,255.27464294433602,-3.5451335906982417,3.4550609588623047,3255.697265625,281.36099243164057,272.06228637695307,-4.010059356689453,2.1539525985717773,1619.914306640625,292.20458984375,287.3122863769531,-0.8969497680664062,3.054004669189453,298.28741455078125,290.1247863769531,0.03391075134277344,2.388866424560547,297.5087890625,293.6872863769531,-0.2282390594482422,-0.34119415283203125,0.0,-0.024231433868408203,-0.021770000457763672,102245.0,195.89208602905273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.218950271606445,-0.35111427307128906,99510.0,239.6202545166016,293.77919006347656,0.0,58.40000000000001,0.0,0.0,0.0,0.0,294.0010986328125,294.41204833984375,0.014980000000000004,293.438232421875,93.9,0.008710861206054688,-0.6850528717041016,0.6908710089046508,0.008710861206054688,-0.6850528717041016,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.0,0.0,42.0,14.0,-0.6000000000000001,390.0,-170.0,41.47795331478119,0.0,0.0,0.0,0.0,--,--,--,--,--,281.5,0.0,381.4,0.0,388.7156677246094,0.0,0.0,0.0,28.20000000000001,10.5,2.8173065185546875,7.864727020263673,0.065673828125,3.856258392333984,-3.0725250244140625,2.5485076904296875,4578.03921875,58.0,59500.0,4580.0,58.0,59500.0,6460.0,7950.0,-3.4000000000000004,870.0
9,0,2018,9,4,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.5359065867960453,-12.18705940246582,-7.16783332824707,-10.448591232299805,-6.439695358276367,5951.06640625,266.3514404296875,254.80723571777344,-3.6881999969482417,4.057994842529297,3253.41650390625,281.49365234375,273.62478637695307,-3.592815399169922,1.2070026397705078,1617.0760498046875,291.7889099121094,287.9372863769531,0.19034385681152344,2.671728134155273,297.84259033203125,291.21495056152344,0.7197360992431641,2.4123458862304688,296.2915954589844,293.6939697265625,-0.6842250823974609,-0.12346839904785155,0.0,-0.01990938186645508,-0.01233506202697754,102234.0,195.1090240478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8022136688232424,0.8454742431640625,99500.0,239.6202545166016,293.5624084472656,0.0,58.40000000000001,0.0,0.0,0.0,0.0,293.6408996582031,294.1016540527344,0.014770000000000004,293.20387268066406,96.1,-0.4406261444091797,-0.1986103057861328,0.5027033570222557,-0.4406261444091797,-0.1986103057861328,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.01,0.0,0.0,37.0,14.0,0.5,170.0,-230.0,43.1586891412735,7.75,0.0,0.0,7.75,--,--,--,--,--,280.6,0.0,381.70000000000016,0.0,387.3690643310547,0.0,0.0,0.0,23.20000000000001,1.3,3.393983840942384,7.689220428466798,1.6208019256591797,3.282093048095703,-2.7454833984375,2.6288089752197266,4606.99140625,59.0,59300.0,4610.0,59.0,59200.0,6520.0,7960.0,-3.9,1200.0
