Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,9,8,-10.0,-999.0,0.0,14200.0,-10.0,-10.0,-10.0,8.049979779869316,17.419075012207028,-7.961223602294923,11.984821319580078,-2.9974803924560547,5879.24658203125,266.1898193359375,265.31228637695307,3.4461116790771484,3.22951602935791,3185.07421875,279.77587890625,275.24978637695307,5.124025344848633,7.481685638427732,1559.90234375,289.6164245605469,288.9997863769531,-3.3376026153564453,0.9915447235107422,293.1676025390625,292.43775939941406,-4.876171112060547,-3.6809415817260738,297.559326171875,295.7756042480469,-1.9451751708984373,-2.6744632720947266,0.0,-0.017122745513916016,-0.033713340759277344,101748.0,151.97495651245114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.382159233093262,-4.853872299194336,99750.0,173.80775451660156,297.20880126953125,0.0,76.60000000000002,0.5,0.0,0.0,0.0,297.338623046875,297.5743103027344,0.01702,295.4991149902344,88.7,-1.9610280990600584,-2.538741111755371,3.1911153404507786,-1.9610280990600584,-2.538741111755371,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.2,-5.0,22.0,10.0,14.0,-4.2,1430.0,0.0,53.3310923576355,0.0,22.5,0.0,22.5,--,--,--,--,--,265.6,0.0,396.6,0.0,406.91790771484375,0.0,0.0,0.0,171.10000000000005,12.5,5.28148078918457,-4.094741821289063,-1.4674549102783203,0.8836402893066406,6.9695796966552725,8.645191192626951,4409.50109375,91.0,60300.0,4410.0,91.0,60200.0,6420.0,8020.0,-4.3,1480.0
1,0,2018,9,8,-10.0,-999.0,0.0,13800.0,-10.0,-10.0,-10.0,7.918648932129145,18.879135131835934,-7.22186279296875,13.575949668884276,-4.33184814453125,5888.86328125,266.23007202148443,265.06228637695307,2.472997665405273,3.720111846923828,3192.0283203125,280.76251220703125,272.49978637695307,4.690631866455078,8.096046447753906,1563.9974365234375,290.142822265625,289.1247863769531,-4.9417457580566415,1.3273029327392578,293.2660217285156,293.1460418701172,-6.616851806640625,-2.7256155014038086,297.041259765625,295.49217224121094,-1.7406415939331057,-2.2325363159179688,0.0,-0.01187419891357422,0.0209040641784668,101778.0,155.3545379638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6548023223876953,-3.784229278564453,99800.0,173.80775451660156,296.6375427246094,0.0,75.4,0.4,0.0,0.0,0.0,296.77130126953125,296.9618835449219,0.016630000000000002,295.1415252685547,89.7,-1.5394058227539062,-2.124126434326172,2.568673434201628,-1.5394058227539062,-2.124126434326172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.16,-4.0,15.0,30.0,14.0,-3.4000000000000004,1010.0,-8.0,52.491350531578064,0.0,14.25,71.625,71.625,--,--,473.70746994018555,--,13297.476531982422,263.8,0.0,395.5,0.0,403.8483276367188,0.0,0.0,0.0,186.8,25.70000000000001,4.574435234069824,-3.3969764709472656,-3.4505615234375,1.1062068939208984,6.266914367675781,7.876415252685548,4453.8824218750015,81.0,60000.0,4450.0,81.0,59900.0,6490.0,8030.0,-4.2,1360.0
2,0,2018,9,8,-10.0,-999.0,0.0,13500.0,-10.0,-10.0,-10.0,8.48969280719757,18.32657814025879,-6.2770538330078125,12.925806999206545,-5.597326278686523,5884.8984375,265.8800201416016,265.1081085205078,3.4087848663330083,2.222879409790039,3190.7373046875,280.7846069335937,271.06228637695307,4.288392066955566,6.304194450378418,1563.543701171875,289.8880310058594,288.9372863769531,-4.309208869934082,1.535491943359375,293.49169921875,291.9372863769531,-6.36761474609375,-2.0035839080810547,296.43499755859375,294.9997863769531,-2.0277767181396484,-2.3207454681396484,0.0,0.010570526123046877,-0.00646662712097168,101794.0,156.60492706298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.325639724731444,-4.075767517089844,99810.0,173.80775451660156,296.24261474609375,0.0,74.4,0.4,0.0,0.0,0.0,296.3493957519531,296.47845458984375,0.016300000000000002,294.8122863769531,90.8,-1.7637338638305664,-2.360945701599121,2.938447873282712,-1.7637338638305664,-2.360945701599121,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.2,-3.0,17.0,30.0,14.0,-3.1,650.0,-20.0,49.519415378570564,20.875,38.375,100.0,100.0,25600.0,10777.567476272583,9944.876655578613,21400.0,13290.349571228027,249.6,0.0,390.6,0.0,401.7515563964844,0.0,0.0,0.0,172.60000000000005,32.0,3.1758956909179688,-5.039806365966797,-2.657360076904297,2.371814727783203,8.266202926635742,6.226249694824219,4445.971953125,68.0,60000.0,4450.0,68.0,60000.0,6430.0,8030.0,-3.2,660.0
3,0,2018,9,8,-10.0,-999.0,0.0,13400.0,-10.0,-10.0,-10.0,7.788522019982338,19.22770118713379,-2.2764625549316406,13.556509017944336,-5.4807777404785165,5884.576171875,266.1527099609375,265.6526336669922,4.917036056518555,1.671173095703125,3188.066650390625,280.71343994140625,271.56228637695307,5.103950500488281,6.907989501953125,1561.4952392578125,289.6593933105469,288.4997863769531,-3.2522611618041988,2.8863964080810547,292.68499755859375,292.6872863769531,-6.719650268554688,-1.4019699096679688,296.2741394042969,294.8747863769531,-1.6897220611572266,-2.434024810791016,0.0,0.02505970001220703,0.02781987190246582,101793.0,156.49354934692386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.553112030029297,-3.8254356384277344,99810.0,173.80775451660156,295.9458923339844,0.0,73.60000000000002,0.4,0.0,0.0,0.0,296.0851745605469,296.31182861328125,0.016190000000000003,294.7497863769531,91.2,-1.3776741027832031,-2.3615493774414062,2.7535917877685283,-1.3776741027832031,-2.3615493774414062,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.18,-4.0,13.0,30.0,14.0,-2.7,470.0,-10.0,51.094884395599365,80.75,40.375,100.0,100.0,94800.0,624.9500350952148,472.9385452270508,22800.0,13211.991844177246,212.4,0.0,428.6,0.0,400.18939208984375,0.0,0.0,0.0,177.9,46.7,2.639322280883789,-5.207176208496094,-2.4700946807861333,3.6257057189941406,9.489715576171877,4.767786026000977,4519.114296875,69.0,59500.0,4520.0,69.0,59400.0,6510.0,8120.0,-3.4000000000000004,800.0
4,0,2018,9,8,-4.0,-999.0,0.008,13500.0,-10.0,-10.0,-4.625,7.90702261775732,12.286293029785154,2.716907501220703,8.197417259216309,0.5654430389404297,5876.36962890625,266.2097930908203,265.4727783203125,4.973671913146973,0.8095016479492188,3181.562744140625,280.4124755859375,271.24978637695307,5.600379943847656,6.630796432495117,1557.0892333984375,289.35565185546875,288.3122863769531,-2.114574432373047,3.089710235595703,292.4759826660156,292.6872863769531,-7.249641418457031,-0.7038860321044922,296.2635803222656,294.8122863769531,-2.327596664428711,-2.2347354888916016,0.0,0.0017914772033691406,-0.0023593902587890625,101764.0,153.45288848876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9805393218994136,-3.507640838623047,99760.0,173.80775451660156,296.0982666015625,0.0,72.9,0.4,0.0,0.0,0.0,296.1986999511719,296.3713073730469,0.01615,294.6872863769531,90.8,-2.367128372192384,-2.1575975418090816,3.18780950125074,-2.367128372192384,-2.1575975418090816,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.22,-3.0,19.0,46.0,14.0,-2.5,550.0,-10.0,50.73202443122864,80.75,98.125,100.0,100.0,96500.0,463.5415458679199,349.93924713134766,20000.0,13302.63003540039,155.3,0.0,429.5,0.0,400.86944580078125,0.0,0.0,0.0,151.4,51.6,1.0656185150146484,-5.782480239868164,-0.8394126892089844,3.8452663421630864,10.827713012695312,2.643867492675781,4451.844765625,67.0,59900.0,4450.0,67.0,59800.0,6470.0,8040.0,-3.2,890.0
5,0,2018,9,8,9.375,-999.0,0.0064,13400.0,-10.0,-10.0,-10.0,7.877123102545737,15.97928237915039,4.932910919189453,9.657270431518556,4.128852844238281,5877.5263671875,266.517105102539,265.8511962890625,4.814477920532227,0.2097320556640625,3180.876953125,280.57376098632807,270.43728637695307,5.851679801940918,6.203963279724121,1556.6383056640625,289.434326171875,288.6872863769531,-3.206977844238281,4.607768058776856,292.73931884765625,292.7497863769531,-8.442844390869139,0.4022998809814453,296.1363525390625,294.8122863769531,-2.0867691040039062,-1.8222198486328125,0.0,0.011727333068847656,-0.017938613891601562,101747.0,152.4259262084961,9.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7747726440429688,-3.255992889404297,99770.0,173.80775451660156,296.0897521972656,0.0,72.4,0.4,0.0,0.0,0.0,296.09735107421875,296.308349609375,0.016059999999999998,294.5622863769531,90.8,-1.94655990600586,-1.8020992279052728,2.6893963618204,-1.94655990600586,-1.8020992279052728,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.18,-1.0,18.0,48.0,14.0,-2.1,480.0,-10.0,50.58461380004883,80.75,100.0,100.0,100.0,94700.0,624.2770538330078,472.2654495239258,22800.0,12809.129852294922,218.3,0.0,427.9,0.0,400.819091796875,0.0,0.0,0.0,176.0,70.9,0.5864534378051758,-5.524755477905273,-2.329132080078125,5.293689727783203,10.03793716430664,2.1197166442871094,4499.400859375,63.0,59600.0,4500.0,63.0,59500.0,6460.0,7980.0,-3.1,950.0
6,0,2018,9,8,3.4375,-999.0,0.0,12900.0,-10.0,-10.0,-10.0,5.665632579475641,13.212970733642578,12.289775848388672,9.850900650024414,9.37008285522461,5871.75537109375,266.33682250976557,265.74978637695307,1.172163009643555,-1.9830350875854488,3180.66015625,280.4525146484375,273.56228637695307,6.602450370788574,8.023656845092772,1553.5936279296875,289.7615051269531,288.2497863769531,-0.8538932800292969,5.728684425354004,293.1130676269531,293.1416931152344,-6.546062469482423,1.7955589294433594,295.80743408203125,294.6872863769531,-0.9067115783691406,-1.804365158081055,0.0,-0.025981903076171875,0.020444869995117188,101698.0,148.22288894653317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.093038558959961,-3.457103729248047,99720.0,173.80775451660156,295.76202392578125,0.0,72.0,0.4,0.0,0.0,0.0,295.7016906738281,296.0021057128906,0.01593,294.4372863769531,92.2,-0.4261541366577149,-1.7929363250732422,1.8780571243260056,-0.4261541366577149,-1.7929363250732422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.13,0.0,11.0,47.0,14.0,-2.0,380.0,-30.0,52.388394117355354,80.75,100.0,99.375,100.0,96500.0,462.99120330810547,349.4111442565918,52800.0,12815.719814300537,240.1,0.0,427.6,0.0,399.1030883789063,0.0,0.0,0.0,145.0,66.8,-0.2078237533569336,-5.5014686584472665,-2.609292984008789,6.508291244506836,4.0867061614990225,0.0320587158203125,4294.42734375,75.0,61100.0,4290.0,75.0,61000.0,6450.0,8090.0,-3.9,1240.0
7,0,2018,9,8,22.125,5910.6,0.2768,12800.0,20.5,18.625,7.5625,9.173823583871128,8.59037971496582,8.468727111816406,10.33560562133789,7.218360900878906,5868.2470703125,266.0562744140625,265.74978637695307,4.11187744140625,3.1114273071289062,3175.8291015625,280.12060546875,276.0448760986328,5.206974983215332,8.637164115905763,1544.7117919921875,290.6785888671875,287.98292541503906,0.8982458114624023,5.696744918823242,293.4126892089844,293.6043701171875,-9.745231628417967,3.314739227294922,295.6445007324219,294.6148681640625,-3.23725700378418,-0.9032306671142578,0.0,-0.014347553253173828,-0.029404640197753906,101585.0,137.55765151977542,0.3125,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031899999999999997,0.0,0.0,0.0,-5.84422779083252,-2.3678741455078125,99580.0,173.80775451660156,295.5174255371094,0.0,71.5,0.30000000000000004,0.0,0.0,0.0,295.462890625,295.8294677734375,0.015710000000000002,294.19261169433594,92.4,-3.1432790756225586,-1.1431922912597656,3.3780841981060803,-3.1432790756225586,-1.1431922912597656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.23,2.0,19.0,45.0,14.0,-1.9,260.0,-90.0,51.07676810026169,75.5,100.0,97.75,100.0,94600.0,623.6109313964844,349.1630439758301,21400.0,13117.759460449219,172.8,0.0,425.5,0.0,397.95501708984375,0.0,0.0,0.0,208.0,125.5,2.7601184844970703,-2.9956150054931636,-1.3199844360351562,6.197378158569336,10.811443328857422,5.692411422729492,4359.295205078125,98.0,60600.0,4360.0,98.0,60500.0,6440.0,8090.0,-5.0,1670.0
8,0,2018,9,8,22.3125,6058.200000000003,0.302,12700.0,21.1875,17.125,8.6875,7.7998610846698275,9.654394149780273,0.7916831970214844,7.995302200317383,2.1543216705322266,5866.1953125,265.81521606445307,265.5901336669922,8.558407783508299,1.4824581146240234,3172.216064453125,280.71026611328125,277.37478637695307,6.0507755279541025,4.220996856689453,1540.3470458984375,290.51873779296875,288.0622863769531,0.25873470306396484,2.5697174072265625,292.2362060546875,292.6210174560547,-9.179349899291992,0.5585756301879883,295.36053466796875,294.5893859863281,-0.5755596160888672,-1.5792217254638672,0.0,0.009218215942382812,0.008873224258422852,101560.0,135.9287185668945,10.3125,15.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004770000000000001,0.0,0.0,0.0,-3.199531555175781,-1.6611957550048828,99560.0,173.80775451660156,295.3421630859375,0.0,73.2,0.4,0.0,0.0,0.0,295.3035888671875,295.6751708984375,0.015719999999999998,294.2353820800781,93.3,-0.4390430450439453,-1.15435791015625,1.250482678588014,-0.4390430450439453,-1.15435791015625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.07,0.0,5.0,21.0,14.0,-2.0,240.0,-50.0,53.22221922874451,99.125,96.375,92.25,99.125,94500.0,622.8672409057617,471.37545013427734,21400.0,13786.067817687988,163.0,0.0,424.1,0.0,396.9444274902344,0.0,0.0,0.0,157.0,44.6,2.540568351745605,-6.1784515380859375,-3.49539566040039,2.768239974975586,14.22650146484375,2.5259666442871094,4346.51888305664,100.0,60600.0,4350.0,100.0,60600.0,6360.0,8060.0,-3.7,820.0
9,0,2018,9,8,26.5625,5684.6,0.44799999999999995,12200.0,26.5,21.375,-3.4375,4.721886843442917,6.978269577026367,-1.0421180725097656,6.780158996582031,4.715553283691406,5863.2373046875,265.99038696289057,265.43728637695307,8.212875366210938,-1.1133699417114258,3169.775390625,279.90921020507807,279.62478637695307,4.725226402282715,6.3391218185424805,1542.0487060546875,289.22369384765625,288.78590393066406,0.29978179931640625,6.02094841003418,291.60858154296875,291.5877227783203,-5.7005882263183585,3.858748435974121,295.0052490234375,294.7400207519531,-0.5972728729248047,-0.3871116638183594,0.0,-0.033036231994628906,0.015552997589111328,101625.0,141.45592117309567,14.5625,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058200000000000005,0.0,0.1,0.0,-1.5446939468383791,-0.3888816833496094,99620.0,173.80775451660156,295.25018310546875,0.0,100.0,0.5,0.0,0.0,0.0,294.8985595703125,295.2218017578125,0.015850000000000003,294.32652282714844,96.9,-0.8872852325439453,-0.3251552581787109,0.9394952515140176,-0.8872852325439453,-0.3251552581787109,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,0.07,4.0,5.0,19.0,14.0,-1.7000000000000002,250.0,-20.0,56.384582579135895,78.25,91.125,91.375,91.375,96400.0,461.98015213012695,348.6567573547363,24100.0,13169.40966796875,196.8,0.0,422.8,0.0,396.38743591308594,0.0,0.0,0.0,102.7,16.3,-0.9913311004638672,-4.351001739501953,-4.6109352111816415,6.4641361236572275,10.864221572875977,-1.6739578247070312,4357.92,100.0,60500.0,4360.0,100.0,60400.0,6410.0,8120.0,-2.3000000000000003,350.0
