Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,9,11,-10.0,-999.0,0.0,16200.0,-10.0,-10.0,-10.0,3.6845213286578655,6.978523254394531,-8.740865707397461,-2.3009166717529297,-3.713459014892578,5876.84716796875,266.702865600586,260.93728637695307,2.3897247314453125,1.6014156341552734,3172.515380859375,281.33529663085943,277.18728637695307,2.481912612915039,1.633344650268555,1540.591064453125,290.45703125,286.4372863769531,0.4143753051757813,1.2256088256835938,296.02801513671875,291.6872863769531,1.5033893585205078,2.558675765991211,298.7991943359375,295.5622863769531,0.5462970733642578,2.3374347686767583,0.0,-0.007404327392578125,-0.014370918273925781,101407.0,123.59493827819824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016000747680664,3.41604995727539,100350.0,92.27650451660156,298.2022705078125,0.0,66.0,0.0,0.0,0.0,0.0,298.3974304199219,298.1039123535156,0.01737,295.9372863769531,84.7,0.26331329345703125,0.9141826629638672,0.9403372518718244,0.26331329345703125,0.9141826629638672,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.02,0.0,0.0,-30.0,8.0,-4.2,1380.0,-40.0,50.42314493656158,11.125,30.125,0.0,30.125,--,--,--,--,--,269.8,0.0,400.8,0.0,417.07855224609375,0.0,0.0,0.0,5.0,3.8,-5.2925567626953125,-0.5139961242675781,0.7219352722167969,0.8075103759765625,0.7061271667480469,-1.8662643432617188,4632.6584375,87.0,58500.0,4630.0,87.0,58500.0,6480.0,8040.0,-4.5,1370.0
1,0,2018,9,11,-10.0,-999.0,0.0,13700.0,-10.0,-10.0,-10.0,4.722050856798886,5.9638614654541025,-8.401645660400389,-0.9952096939086914,-2.722007751464844,5880.89892578125,266.167709350586,264.24978637695307,2.1498336791992188,1.215280532836914,3176.7978515625,281.74658203125,277.87478637695307,2.285541534423828,1.6810016632080078,1541.34033203125,290.79998779296875,286.3122863769531,0.898895263671875,1.704389572143555,296.179931640625,290.2497863769531,2.248477935791016,2.347354888916016,297.63232421875,295.8122863769531,0.6023159027099609,2.7657203674316406,0.0,0.005847930908203125,0.006525754928588867,101428.0,124.4958724975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0082874298095703,4.4573822021484375,100360.0,92.27650451660156,297.2384033203125,0.0,67.10000000000001,0.0,0.0,0.0,0.0,297.3420104980469,297.06842041015625,0.01737,295.9372863769531,90.8,0.1761150360107422,1.4451665878295898,1.5047309561632574,0.1761150360107422,1.4451665878295898,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.06,-1.0,2.0,0.0,8.0,-4.5,1300.0,-46.0,52.666559398174286,0.0,37.625,0.0,37.625,--,--,--,--,--,266.6,0.0,397.9,0.0,411.4096374511719,0.0,0.0,0.0,18.0,14.2,-5.61884880065918,1.5037727355957031,1.068927764892578,0.19417190551757807,0.312957763671875,-2.6377944946289062,4625.15828125,96.0,58600.0,4630.0,96.0,58600.0,6400.0,8020.0,-5.300000000000002,1510.0
2,0,2018,9,11,1.5625,-999.0,0.0,13700.0,-10.0,-10.0,-10.0,3.4070731699466705,4.106199264526366,-8.389425277709961,-1.808990478515625,-1.7946529388427734,5880.8974609375,265.73049926757807,264.74978637695307,1.7138118743896484,-0.4394187927246094,3180.2265625,281.34146118164057,277.62478637695307,2.641040802001953,1.4511489868164062,1548.191162109375,290.1226806640625,287.0622863769531,0.5143470764160156,1.8563833236694336,295.2852478027344,290.3747863769531,3.036602020263672,2.198890686035156,297.31976318359375,295.3747863769531,0.2942638397216797,2.114276885986328,0.0,-0.0303645133972168,-0.02934575080871582,101538.0,134.9320774078369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7693500518798828,3.042932510375977,100500.0,92.27650451660156,297.05523681640625,0.0,67.7,0.0,0.0,0.0,0.0,297.0921936035156,296.65631103515625,0.016970000000000002,295.6247863769531,90.8,0.4000701904296875,0.31698036193847656,0.5639196167467162,0.4000701904296875,0.31698036193847656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.02,0.0,1.0,28.0,8.0,-4.2,1100.0,-37.0,54.31167995929718,80.75,36.25,0.0,80.75,88400.0,1211.892816543579,972.6350250244141,27300.0,5417.288055419922,166.0,0.0,431.0,0.0,410.5706481933594,0.0,0.0,0.0,16.0,7.7,-5.5849952697753915,2.2424602508544917,1.7780685424804688,1.3047714233398438,-0.2578773498535156,-3.399864196777344,4548.83140625,98.0,59200.0,4550.0,98.0,59100.0,6280.0,7950.0,-5.0,1240.0
3,0,2018,9,11,32.5625,9032.6,0.56,13300.0,31.5625,27.0,20.1875,1.28360653296113,1.6448249816894531,-7.205137252807617,-1.6707534790039062,-0.4630012512207031,5895.2314453125,266.0746917724609,263.81228637695307,1.9160070419311523,-0.15986919403076172,3190.054931640625,282.1158447265625,277.24978637695307,2.5177440643310547,0.9191579818725586,1552.7484130859375,290.6776123046875,286.3122863769531,0.4454879760742188,4.548173904418945,294.1405029296875,293.9997863769531,1.4057674407958984,2.5702228546142583,297.0821533203125,295.2497863769531,-0.9033699035644532,-0.13960838317871094,0.0,0.008551597595214844,0.023216962814331055,101603.0,141.36724853515625,0.0,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7174530029296875,-0.07761001586914062,100570.0,92.27650451660156,297.0992126464844,0.0,68.0,0.0,0.0,0.0,0.0,297.06097412109375,296.56573486328125,0.016980000000000002,295.6247863769531,91.6,-0.8120203018188477,-0.1376323699951172,0.8142232432728633,-0.8120203018188477,-0.1376323699951172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.07,1.0,10.0,60.0,8.0,-3.8,730.0,-38.0,54.95612692832947,85.25,20.0,0.0,85.25,93300.0,745.8870697021484,556.157642364502,25600.0,1218.415916442871,154.4,0.0,436.0,0.0,410.9743347167969,0.0,0.0,0.0,31.0,-4.0,-3.0022125244140625,-4.595998764038086,1.7993831634521484,3.6772708892822266,1.6147079467773438,-1.0588912963867188,4663.5059375,93.0,58500.0,4660.0,93.0,58400.0,6370.0,8040.0,-5.7,1720.0
4,0,2018,9,11,27.5625,7468.6,0.5479999999999999,12800.0,26.6875,22.875,16.875,0.7523015737533569,0.5983963012695312,-6.152713775634768,-1.5772972106933594,2.156543731689453,5898.6806640625,266.08621215820307,264.43728637695307,1.8943758010864256,0.7434120178222656,3191.43701171875,282.1058349609375,277.99978637695307,2.336627960205078,1.5177059173583984,1553.068115234375,290.8580322265625,285.4997863769531,1.1017951965332031,4.274555206298828,294.2306823730469,293.0622863769531,1.624471664428711,3.1809444427490234,296.86932373046875,295.3122863769531,-0.2960853576660156,0.4772224426269531,0.0,-0.022898197174072262,-0.02297401428222656,101620.0,142.14446830749512,0.0,24.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.333648681640625,0.6247329711914062,100560.0,92.27650451660156,297.0304260253906,0.0,72.7,0.0,0.0,0.0,0.0,296.93267822265625,296.497802734375,0.017140000000000002,295.7497863769531,93.0,0.10072135925292967,0.6547622680664062,0.6270579341799021,0.10072135925292967,0.6547622680664062,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.05,1.0,10.0,43.0,8.0,-4.0,790.0,-34.0,54.810961961746216,0.0,19.0,0.0,19.0,62500.0,4125.009960174561,--,29100.0,--,189.8,0.0,422.6,0.0,410.59765625,0.0,0.0,0.0,19.0,-3.0,-2.028188705444336,-4.579547882080078,1.0915985107421875,2.9351348876953125,1.4842147827148438,-0.7628936767578125,4716.56953125,96.0,58100.0,4720.0,96.0,58000.0,6360.0,8050.0,-5.1000000000000005,1340.0
5,0,2018,9,11,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.1513715237379074,-0.4566268920898438,-6.833518981933594,-1.4759464263916016,0.9883365631103516,5895.119140625,266.4433135986328,263.49978637695307,1.2914085388183594,1.259119987487793,3185.345703125,282.01605224609375,278.31228637695307,2.0124950408935547,1.0992202758789062,1547.6773681640625,290.72100830078125,285.8122863769531,1.6655235290527344,3.4668979644775386,294.30322265625,292.9372863769531,1.5945091247558594,2.769054412841797,296.6760559082031,295.3122863769531,-0.16638469696044922,0.7752342224121094,0.0,0.020540714263916016,-0.016286134719848633,101567.0,137.15791320800778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549468994140625,0.6689586639404297,100510.0,92.27650451660156,296.4224548339844,0.0,73.7,0.1,0.0,0.0,0.0,296.47479248046875,296.0815124511719,0.017150000000000002,295.7497863769531,95.3,0.04202461242675781,1.142578125,1.1277780027594415,0.04202461242675781,1.142578125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.08,-1.0,2.0,53.0,8.0,-3.4000000000000004,670.0,-32.0,53.942487478256226,0.5,0.5,0.0,0.5,--,--,--,--,--,267.40000000000003,0.0,395.1,0.0,407.1060485839844,0.0,0.0,0.0,18.0,5.2,-0.8696022033691406,-5.153289794921875,1.5626602172851562,2.0521564483642583,0.832916259765625,-0.2430686950683593,4797.71421875,81.0,57400.0,4800.0,81.0,57400.0,6440.0,8060.0,-4.4,1150.0
6,0,2018,9,11,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,0.8235184103250504,0.030096054077148438,-7.080970764160156,0.2844676971435547,-0.09014892578125,5888.873046875,266.69357299804693,263.11178588867193,0.2309761047363281,1.76666259765625,3177.6474609375,281.90948486328125,277.56228637695307,0.8064556121826172,1.5418071746826172,1542.587890625,290.1452331542969,286.3747863769531,1.1528816223144531,2.067859649658203,293.707275390625,293.5279693603516,1.755329132080078,2.1040477752685547,296.41595458984375,295.16619873046875,0.2920980453491211,0.2318763732910156,0.0,0.006811141967773438,-0.009910345077514648,101528.0,134.27996253967285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3745288848876953,0.16471099853515625,100480.0,92.27650451660156,296.1537170410156,0.0,72.7,0.1,0.0,0.0,0.0,296.2168273925781,295.8319091796875,0.016810000000000002,295.4372863769531,95.2,0.5122060775756836,0.6476869583129883,0.814621334662661,0.5122060775756836,0.6476869583129883,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.06,0.0,3.0,48.0,8.0,-2.6,370.0,-29.0,53.137607097625725,4.5,0.0,0.0,4.5,--,--,--,--,--,269.1,0.0,394.5,0.0,405.7111511230469,0.0,0.0,0.0,4.0,-0.2,6.5310630798339835,6.713144302368164,1.0744915008544922,1.3142013549804688,-0.4967460632324219,0.5852527618408203,4824.8346875,72.0,57200.0,4820.0,72.0,57200.0,6520.0,8240.0,-4.4,1210.0
7,0,2018,9,11,6.75,-999.0,0.008,12300.0,-10.0,-10.0,-10.0,0.6745339557528496,-0.3739719390869141,-6.0562095642089835,1.1046085357666016,-0.3010826110839844,5882.7255859375,266.3246459960937,263.06228637695307,-0.7267398834228516,2.3487939834594727,3173.9453125,281.82696533203125,277.49978637695307,1.2091751098632812,1.4826335906982422,1540.3140869140625,289.70050048828125,286.7497863769531,1.3038177490234375,2.217021942138672,293.4608154296875,293.1247863769531,1.69268798828125,2.499702453613281,296.1300048828125,294.8747863769531,-0.4893798828125,-0.12873077392578125,0.0,-0.006694793701171875,0.0240468978881836,101521.0,133.6542892456055,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6205120086669922,-0.2332592010498047,100470.0,92.27650451660156,296.3248748779297,0.0,72.2,0.1,0.0,0.0,0.0,295.9640197753906,295.5511474609375,0.01643,295.0622863769531,94.5,-0.4008035659790039,-0.03036212921142578,0.3767972989007831,-0.4008035659790039,-0.03036212921142578,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.04,3.0,9.0,30.0,8.0,-2.4000000000000004,310.0,-50.0,52.517680764198296,0.5,0.0,0.0,0.5,--,--,--,--,--,269.3,0.0,392.6,0.0,406.3965759277344,0.0,0.0,0.0,5.0,8.0,7.4079627990722665,5.071868896484375,2.04324722290039,2.5181198120117188,-0.8636417388916016,1.6544876098632812,4771.7375,72.0,57500.0,4770.0,72.0,57500.0,6440.0,8310.0,-4.4,1090.0
8,0,2018,9,11,7.25,-999.0,0.008,300.0,-10.0,-10.0,-10.0,0.9394301027059556,-1.0839309692382812,-5.2430076599121085,0.8320541381835938,-0.21737289428710926,5881.22265625,266.1204833984375,262.62478637695307,-1.5230340957641602,1.9454517364501955,3172.967041015625,281.96856689453125,276.18728637695307,1.181781768798828,2.277872085571289,1539.2481689453125,289.71600341796875,286.0622863769531,1.8444366455078125,2.868837356567384,293.53369140625,293.3122863769531,2.7146358489990234,3.139610290527344,295.84600830078125,295.6247863769531,-0.6573371887207031,-0.3726482391357422,0.0,-0.010857582092285156,0.024872541427612305,101506.0,132.41033363342285,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8088645935058594,-0.4284019470214844,100450.0,92.27650451660156,296.1962127685547,0.0,72.10000000000002,0.1,0.0,0.0,0.0,296.0017395019531,295.658935546875,0.016380000000000002,294.9997863769531,94.1,-0.5275239944458008,-0.12256336212158205,0.5022828124929221,-0.5275239944458008,-0.12256336212158205,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.04,1.0,6.0,18.0,8.0,-2.6,1050.0,0.0,50.87072551250458,81.125,0.0,0.0,81.125,99500.0,175.10331535339355,132.56729888916016,90900.0,1215.8949890136719,268.6,0.0,434.4,0.0,405.7576599121094,0.0,0.0,0.0,-3.0,-8.6,5.433158874511719,7.938365936279298,3.15554428100586,3.4112567901611333,-1.770036697387695,1.350627899169922,4762.85171875,67.0,57600.0,4760.0,67.0,57600.0,6370.0,8340.0,-4.800000000000002,1180.0
9,0,2018,9,11,-10.0,-999.0,0.0,300.0,-10.0,-10.0,-10.0,1.4836757220327854,-0.3070182800292969,-1.89875602722168,-0.12524032592773438,1.227254867553711,5879.8486328125,266.1746826171875,261.99978637695307,-1.401044845581055,1.992380142211914,3172.906494140625,281.94610595703125,274.99978637695307,1.204793930053711,2.514347076416016,1538.97802734375,290.0979309082031,285.6872863769531,2.3822479248046875,2.97414779663086,293.6758728027344,293.1951904296875,2.916175842285156,3.3189048767089844,295.93310546875,295.6985626220703,-1.1622638702392578,-0.4417495727539063,0.0,4.863739013671875e-05,0.02213311195373535,101496.0,131.47852516174316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3880634307861328,-0.4313755035400391,100440.0,92.27650451660156,296.2534942626953,0.0,73.8,0.1,0.0,0.0,0.0,296.04229736328125,295.6889953613281,0.016630000000000002,295.2497863769531,95.5,-0.8567380905151367,-0.2437677383422852,0.8762191721471027,-0.8567380905151367,-0.2437677383422852,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.07,3.0,8.0,23.0,8.0,-2.8000000000000003,1120.0,0.0,49.88499402999878,81.125,0.0,0.0,81.125,99500.0,175.08953094482422,132.5788803100586,88300.0,1495.0714645385742,268.7,0.0,434.20000000000016,0.0,406.25071716308594,0.0,0.0,0.0,2.0,1.6,6.933483123779298,6.442094802856445,3.157554626464844,3.5257530212402344,-1.278730392456055,1.7604331970214844,4735.132343750001,63.0,57800.0,4740.0,63.0,57800.0,6350.0,8300.0,-5.0,1310.0
