Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,9,23,40.5625,8466.6,0.4512000000000001,12700.0,17.75,1.5625,20.0,9.988021966069935,22.003406524658203,8.829376220703125,20.92542266845703,6.0654563903808585,5869.0693359375,265.05117797851557,263.37478637695307,11.499361038208008,11.680694580078125,3179.760009765625,280.12548828125,279.99978637695307,6.222381591796875,3.11624526977539,1553.6298828125,288.32891845703125,286.8122863769531,-2.397655487060547,3.835655212402344,289.6322937011719,289.3775177001953,-6.769763946533202,-4.1383113861083975,290.9739685058594,289.9885559082031,-0.8536138534545898,-2.621063232421875,0.0,0.028713226318359375,0.034305334091186516,101881.0,163.72789764404297,15.0625,27.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6099987030029297,-5.778164863586426,98660.0,283.9327545166016,289.88665771484375,0.0,91.1,0.1,0.0,0.0,0.0,290.12811279296875,291.27630615234375,0.01163,289.2967071533203,93.7,-0.5559406280517578,-2.6012868881225586,2.692133795004338,-0.5559406280517578,-2.6012868881225586,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.17,-6.0,5.0,10.0,14.0,5.2,0.0,0.0,50.334393948316574,85.0,34.5,0.0,85.0,91600.0,913.9753818511964,454.8761444091797,35700.0,6111.16682434082,192.1,0.0,399.3,0.0,368.4603576660156,0.0,0.0,0.0,232.0,79.10000000000002,6.272475242614746,-3.750694274902344,-4.496999740600586,3.0642871856689453,17.254884719848633,18.54137420654297,4269.955,100.0,61300.0,4270.0,100.0,61200.0,6210.0,8020.0,-1.3,110.0
1,0,2018,9,23,23.9375,8132.6,0.264,12200.0,13.75,13.375,18.3125,10.935993161052464,23.939607620239247,3.45001220703125,19.94629669189453,6.168476104736327,5866.77099609375,265.0990753173828,264.56228637695307,9.029678344726562,11.569393157958984,3177.47216796875,279.5819549560547,279.74978637695307,7.7303123474121085,6.206226348876952,1553.5382080078125,288.26336669921875,287.7497863769531,0.18807220458984367,3.657105445861816,289.9662170410156,289.1247863769531,-7.0868988037109375,-4.9415550231933585,290.7449951171875,290.1247863769531,-1.0399761199951172,-3.362259864807129,0.0,-0.013877391815185549,0.010265588760375977,101892.0,163.8646297454834,18.25,26.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236,0.0,0.0,0.0,-3.271892547607422,-6.832134246826173,98640.0,283.9327545166016,289.87176513671875,0.0,91.2,0.2,0.0,0.0,0.0,289.91937255859375,291.103271484375,0.01165,289.3122863769531,95.5,-0.8821992874145508,-3.8325252532958975,3.9402777480427176,-0.8821992874145508,-3.8325252532958975,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.27,-4.0,6.0,10.0,14.0,5.300000000000002,0.0,0.0,50.48623982071877,45.625,73.75,81.125,81.125,61700.0,4208.90020942688,454.7167625427246,24100.0,11541.324020385742,163.9,0.0,386.70000000000016,0.0,368.199951171875,0.0,0.0,0.0,243.0,93.9,7.314315795898437,-2.4926490783691406,-3.3019962310791016,4.283372879028319,14.961328506469727,19.03591537475586,4274.08,100.0,61300.0,4270.0,100.0,61100.0,6200.0,8010.0,-1.2000000000000002,110.0
2,0,2018,9,23,31.5625,8515.0,0.7392000000000001,6400.0,30.125,13.25,18.625,8.014154449105263,23.64996337890625,0.5368080139160156,15.418952941894533,3.2948226928710938,5870.521484375,265.7679901123047,264.87478637695307,9.24621295928955,9.253507614135742,3181.34423828125,278.9315795898437,278.74978637695307,8.281985282897951,9.068971633911133,1558.75439453125,288.5848693847656,288.5622863769531,-1.067657470703125,3.239424705505371,289.0998229980469,288.6872863769531,-8.213315963745117,-3.2157011032104488,290.7520446777344,290.1872863769531,-0.7402420043945312,-0.5924320220947266,0.0,0.0004658699035644531,-0.01313328742980957,101954.0,169.47220039367676,30.0,26.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00214,0.0,0.0,0.0,-1.6962242126464844,-2.8836116790771484,98710.0,283.9327545166016,289.9938049316406,0.0,95.2,0.5,0.0,0.0,0.0,289.97882080078125,291.0419006347656,0.01178,289.4997863769531,96.7,0.3323202133178711,-0.7032270431518555,0.752346761059016,0.3323202133178711,-0.7032270431518555,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.05,0.0,0.0,10.0,14.0,6.0,0.0,0.0,50.83995068073273,65.5,75.5,78.25,78.25,81100.0,1953.2437438964844,454.80402755737305,29100.0,10494.671775817873,174.4,0.0,396.4,0.0,368.9173431396485,0.0,0.0,0.0,190.0,66.4,6.485006332397461,-2.8471622467041016,-5.324422836303711,2.1637678146362305,13.752123832702635,13.164695739746096,4274.24,100.0,61300.0,4270.0,100.0,61200.0,6320.0,7990.0,-1.4,250.0
3,0,2018,9,23,25.375,7423.400000000002,0.3856,12200.0,24.0625,19.5,16.875,7.974905304610728,25.62461280822754,2.407173156738281,15.311565399169922,5.867473602294923,5871.83984375,265.97158813476557,265.18728637695307,13.042647361755373,7.157371520996094,3177.862060546875,279.3668975830078,278.93728637695307,7.5230350494384775,5.382264137268066,1555.93212890625,288.78466796875,286.3122863769531,4.199665069580078,6.731529235839844,290.75146484375,289.6872863769531,-8.626316070556639,0.9806194305419922,291.12969970703125,290.5622863769531,-1.7246351242065432,-0.0715627670288086,0.0,-0.031873226165771484,-0.024697542190551758,101880.0,162.7758827209473,4.5,23.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00214,0.0,0.0,0.0,-5.204851150512695,-0.699127197265625,98620.0,283.9327545166016,290.0577392578125,0.0,95.9,0.5,0.0,0.0,0.0,290.2008972167969,291.4132385253906,0.01196,289.6872863769531,96.0,-1.5987138748168943,0.4647483825683594,1.690502266632393,-1.5987138748168943,0.4647483825683594,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.1,-2.0,0.0,17.0,14.0,5.6000000000000005,0.0,0.0,48.401455879211426,42.625,55.75,0.0,55.75,66100.0,3644.261955261231,372.8984680175781,33300.0,4838.696327209474,201.3,0.0,389.9,0.0,369.2411804199219,0.0,0.0,0.0,193.0,88.30000000000004,4.072477340698241,-2.656087875366211,1.849054336547852,4.136597633361816,21.94435310363769,7.282577514648437,4396.8,100.0,60300.0,4400.0,100.0,60200.0,6350.0,7980.0,-0.30000000000000004,100.0
4,0,2018,9,23,28.9375,8585.4,0.6816,12200.0,28.5625,25.5,20.0,7.959168363362551,28.02963256835937,4.240345001220703,15.72990608215332,8.112281799316406,5874.82177734375,266.07867431640625,265.68728637695307,12.92087459564209,4.627601623535156,3178.2099609375,279.7132568359375,278.81228637695307,7.460996627807617,7.695882797241211,1554.9453125,289.1500244140625,286.6872863769531,6.198808670043945,5.9318809509277335,291.0841064453125,291.0622863769531,-7.0651893615722665,1.1559267044067385,291.38946533203125,290.7915344238281,-1.4501276016235352,-0.6478309631347656,0.0,-0.003434181213378907,0.023257970809936523,101840.0,159.79063415527344,18.4375,27.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.882865905761719,-1.5396881103515625,98620.0,283.9327545166016,290.173583984375,0.0,94.4,0.5,0.0,0.0,0.0,290.3262023925781,291.5039978027344,0.01212,289.9372863769531,96.2,-1.1113862991333008,-0.4274024963378906,1.189951259177178,-1.1113862991333008,-0.4274024963378906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.05,-1.0,0.0,10.0,14.0,5.300000000000002,0.0,0.0,50.17495530843735,100.0,53.25,0.0,100.0,95400.0,566.4433670043945,373.0837516784668,27300.0,4841.2696838378915,181.8,0.0,403.20000000000016,0.0,369.9943389892578,0.0,0.0,0.0,121.0,88.5,4.262669563293457,-3.070863723754884,4.519660949707031,3.6350040435791016,19.51008701324463,4.280029296875,4432.16,100.0,60100.0,4430.0,100.0,60000.0,6360.0,7940.0,-2.0,370.0
5,0,2018,9,23,31.8125,8504.2,0.684,12300.0,28.0625,22.6875,20.0,9.189412459731102,26.693302154541016,6.766773223876952,12.923051834106445,9.159786224365234,5878.8076171875,265.7761383056641,265.49978637695307,12.697052001953125,4.501501083374023,3180.18310546875,280.87643432617193,278.06228637695307,7.995738983154298,7.872123718261719,1550.5439453125,290.16168212890625,286.2497863769531,3.2653846740722656,5.961418151855469,291.113037109375,290.9372863769531,-8.345453262329103,-0.3911228179931641,291.5360412597656,290.8747863769531,-1.8741321563720703,-0.9650821685791016,0.0,0.028034210205078125,0.019370079040527344,101769.0,153.78997421264646,14.0625,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028899999999999998,0.0,0.0,0.0,-5.737163543701173,-2.2080230712890625,98530.0,283.9327545166016,290.4214172363281,0.0,93.7,0.5,0.0,0.0,0.0,290.6367492675781,291.86480712890625,0.01207,289.8122863769531,94.3,-1.761850357055664,-0.943716049194336,2.063690947368741,-1.761850357055664,-0.943716049194336,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.12,-4.0,3.0,5.0,14.0,5.0,0.0,0.0,48.96209007501602,100.0,77.375,1.625,100.0,95300.0,566.6558113098146,455.496997833252,27300.0,6125.472434997559,177.4,0.0,403.5,0.0,371.18011474609375,0.0,0.0,0.0,162.0,71.8,4.024131774902344,-3.656627655029297,2.9635372161865234,4.763469696044922,20.1364107131958,5.345632553100586,4497.440000000001,99.0,59600.0,4500.0,99.0,59500.0,6330.0,7890.0,-3.0,590.0
6,0,2018,9,23,35.9375,8468.800000000001,1.0304,4100.0,32.4375,21.625,19.5625,4.922993872314692,27.98324966430664,6.9892845153808585,13.235383987426758,10.103874206542967,5883.48046875,265.488296508789,264.99978637695307,12.10930347442627,4.964948654174805,3183.8037109375,280.72805786132807,280.56228637695307,6.3399009704589835,10.30879020690918,1551.541259765625,289.6014099121094,289.274658203125,6.5474586486816415,1.1306390762329102,290.2039794921875,290.1247863769531,-8.34869384765625,1.5556697845458984,291.386962890625,290.91693115234375,-0.2599010467529297,-0.3053150177001953,0.0,0.029928207397460938,0.005133867263793945,101784.0,156.0090751647949,34.625,27.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043100000000000005,0.0,0.02,0.0,-1.707563400268555,-1.4512042999267578,98590.0,283.9327545166016,290.54331970214844,0.0,100.0,0.5,0.0,0.0,0.0,290.46722412109375,291.6695556640625,0.012159999999999999,289.94932556152344,96.6,1.4447402954101562,-0.04435157775878906,1.4397417856380343,1.4447402954101562,-0.04435157775878906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.1,1.0,3.0,3.0,14.0,4.6000000000000005,0.0,0.0,54.22668045759201,100.0,86.875,1.375,100.0,95400.0,566.1370754241942,455.3090438842773,27300.0,6132.302825927734,177.4,0.0,401.4,0.0,371.7468719482422,0.0,0.0,0.0,15.0,45.5,5.7001399993896475,-4.0576133728027335,-0.3581676483154297,-0.04614067077636719,16.491493225097653,5.936691284179688,4571.84,100.0,59100.0,4570.0,100.0,59000.0,6230.0,7760.0,-2.9000000000000004,490.0
7,0,2018,9,23,28.375,6913.0,0.64,12200.0,25.0,28.125,15.5,2.877221375703812,24.20432472229004,8.688327789306639,12.710084915161133,11.361480712890625,5876.4814453125,265.86260986328125,265.74978637695307,9.565099716186523,4.810832977294922,3177.55322265625,280.6487274169922,280.81228637695307,4.719573974609375,11.373003005981445,1546.575927734375,289.379150390625,289.2497863769531,5.5528106689453125,2.944320678710937,290.097900390625,289.7674255371094,-6.108661651611327,3.87929916381836,291.4075622558594,291.14051818847656,-1.152851104736328,-0.4724559783935547,0.0,0.013446331024169922,-0.024717330932617188,101753.0,152.3942451477051,20.4375,22.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007120000000000001,0.0,0.16,0.0,-1.4354228973388672,-1.3161754608154297,98500.0,283.9327545166016,290.40782165527344,0.0,100.0,0.5,0.0,0.0,0.0,290.400390625,291.69586181640625,0.01229,290.1452941894531,97.8,-0.6572027206420898,-0.5621261596679688,0.875549923046492,-0.6572027206420898,-0.5621261596679688,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.04,0.0,0.0,-4.0,14.0,4.9,0.0,0.0,54.41167706251144,79.125,93.0,79.875,93.0,95300.0,566.3400592803955,372.9843215942383,25600.0,11894.712051391602,194.4,0.0,401.20000000000016,0.0,371.0117492675781,0.0,0.0,0.0,94.8,90.0,5.012126922607422,-2.388988494873047,1.0181560516357422,4.568231582641602,13.7994384765625,6.00001335144043,4478.4000000000015,100.0,59700.0,4480.0,100.0,59600.0,6350.0,7860.0,-2.7,530.0
8,0,2018,9,23,28.25,8487.4,0.634,12200.0,26.5,25.375,18.875,2.677770283073187,18.00028419494629,2.1065635681152344,14.405338287353516,9.877216339111328,5869.4697265625,266.68017578125,265.56228637695307,8.038214683532715,3.770404815673828,3165.43408203125,280.7001953125,279.43728637695307,5.616552352905273,8.253671646118164,1540.6341552734375,287.89837646484375,287.5622863769531,7.057740211486816,14.224508285522461,290.42315673828125,290.4372863769531,-0.1564960479736328,9.00326156616211,291.0423889160156,290.8122863769531,-0.7636003494262695,-0.8800048828125,0.0,0.0018162727355957031,-0.02495288848876953,101674.0,146.67647552490234,20.5625,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026100000000000003,0.0,0.0,0.0,-1.2436466217041016,-0.20800018310546875,98500.0,283.9327545166016,290.2578582763672,0.0,100.0,0.5,0.0,0.0,0.0,290.11767578125,291.4277648925781,0.012159999999999999,289.9372863769531,98.9,-0.8834133148193359,-1.1461591720581057,1.440765642793849,-0.8834133148193359,-1.1461591720581057,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.09,1.0,0.0,-9.0,14.0,6.1000000000000005,0.0,0.0,51.189448595047,54.375,72.5,76.25,76.25,96700.0,445.2879104614258,372.83060455322266,24100.0,12297.074264526367,152.9,0.0,400.20000000000016,0.0,370.1927490234375,0.0,0.0,0.0,148.4,187.7,4.0348873138427725,-0.4630565643310547,9.545305252075195,14.01483154296875,8.814872741699219,-0.08600044250488281,4556.0,100.0,59100.0,4560.0,100.0,59000.0,6460.0,7850.0,-0.1,60.0
9,0,2018,9,23,26.125,8428.6,0.4144000000000001,12200.0,21.9375,26.125,17.4375,5.4783665500581264,19.44129943847656,5.1284942626953125,14.744743347167967,7.481834411621094,5862.8154296875,266.09580993652344,265.74978637695307,7.300200462341309,5.251394271850586,3161.04736328125,280.27548217773443,280.18728637695307,11.918598175048828,7.464851379394531,1537.5296630859375,288.4069519042969,288.32737731933594,7.4479408264160165,12.593692779541016,291.75830078125,291.6048583984375,1.175069808959961,9.490793228149414,291.3280334472656,291.19508361816406,-2.442789077758789,-0.2444143295288086,0.0,0.008723735809326172,0.01575756072998047,101619.0,140.96554183959958,22.75,23.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00644,0.0,0.1,0.0,-4.117980003356934,0.1281414031982422,98390.0,283.9327545166016,290.3296661376953,0.0,100.0,0.5,0.0,0.0,0.0,290.3777770996094,291.6932067871094,0.012350000000000002,290.17584228515625,98.5,-2.5087928771972656,-0.16757678985595706,2.501417326857336,-2.5087928771972656,-0.16757678985595706,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30960000000000004,0.17,-1.0,-6.0,1.0,14.0,4.9,0.0,0.0,53.10734647512436,79.125,90.0,100.0,100.0,96500.0,445.5555992126465,323.0384826660156,20000.0,13283.516525268557,162.0,0.0,403.5,0.0,370.6322326660156,0.0,0.0,0.0,339.2000000000001,193.9,6.3855037689208975,-0.3556556701660156,9.205320358276367,10.82641887664795,9.797540664672852,1.7192955017089844,4569.28,100.0,58900.0,4570.0,100.0,58900.0,6360.0,7790.0,-2.0,400.0
