Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,10,18,-10.0,-999.0,0.0,30700.0,-10.0,-10.0,-10.0,4.305590439587832,70.01624870300293,1.3002357482910156,56.56217765808106,-0.0604095458984375,5796.1826171875,261.8145751953125,234.31228637695312,33.78343963623047,-4.99017333984375,3134.939453125,276.5365447998047,248.06228637695312,22.90583229064941,-5.790794372558594,1563.572998046875,276.40310668945307,267.56228637695307,10.805191040039062,-2.0189151763916016,283.430419921875,269.31228637695307,11.104976654052734,-3.3065280914306636,287.9847412109375,277.62478637695307,2.2167644500732417,-0.5927524566650391,0.0,-0.009046554565429688,-0.004469633102416992,102500.0,214.6433792114257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.954612731933594,-2.259481430053711,100280.0,191.7765045166016,284.8050537109375,0.0,69.3,0.0,0.0,0.0,0.0,285.4747314453125,285.2889404296875,0.0059299999999999995,279.43728637695307,61.6,1.9404621124267576,-0.11045455932617188,1.9404764152131968,1.9404621124267576,-0.11045455932617188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6087,0.06,-4.0,6.0,90.0,4.0,15.7,0.0,0.0,8.197654247283937,0.0,0.0,14.75,14.75,--,--,--,--,--,268.1,0.0,274.6,0.0,346.8261413574219,0.0,0.0,0.0,61.0,54.6,15.609537124633787,-11.47663688659668,8.793085098266603,-2.4168949127197266,26.552682876586914,-2.613388061523437,4041.76,18.0,62600.0,4040.0,18.0,62500.0,5600.0,6860.0,16.900000000000002,0.0
1,0,2018,10,18,-10.0,-999.0,0.0,27600.0,-10.0,-10.0,-10.0,3.413312952965498,71.03071975708008,-0.8966560363769531,57.16780853271485,0.034801483154296875,5798.337890625,261.86257934570307,234.56228637695312,32.55915069580078,-3.980545043945313,3137.203125,276.6740264892578,248.81228637695312,21.52398109436035,-6.263496398925781,1566.381103515625,275.97891235351557,267.43728637695307,11.537210464477539,-3.1625328063964844,282.7065124511719,269.31228637695307,10.689903259277344,-4.9347190856933585,286.816162109375,277.49978637695307,2.147379875183105,-0.5669164657592773,0.0,-0.022899627685546875,0.0195772647857666,102579.0,221.2828598022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1301307678222665,-2.525613784790039,100350.0,191.7765045166016,283.7566223144531,0.0,69.9,0.0,0.0,0.0,0.0,284.41900634765625,284.1682434082031,0.005900000000000001,279.37478637695307,65.60000000000001,1.5987892150878906,0.25733184814453125,1.6278255027718842,1.5987892150878906,0.25733184814453125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.04,-3.0,3.0,91.0,4.0,16.6,0.0,0.0,8.346562504768372,0.0,0.0,84.625,84.625,--,--,10574.195472717285,--,12169.308067321777,253.4,0.0,274.40000000000003,0.0,341.95628356933594,0.0,0.0,0.0,56.0,40.5,15.240991592407227,-12.020086288452148,9.343931198120117,-4.198710441589356,26.242877960205078,-0.7254905700683594,3999.84,17.0,63000.0,4000.0,17.0,62900.0,5610.0,6850.0,17.6,0.0
2,0,2018,10,18,-10.0,-999.0,0.0,23000.0,-10.0,-10.0,-10.0,1.4924095273017883,70.71517562866211,-1.2376670837402344,56.50590133666992,-1.3323211669921875,5801.67431640625,262.0194854736328,233.74978637695312,31.215717315673828,-4.566574096679688,3140.47802734375,276.5878448486328,246.18728637695312,19.524309158325195,-6.7048091888427725,1571.35400390625,275.75177001953125,268.31228637695307,10.207141876220703,-3.167465209960937,281.76007080078125,268.31228637695307,6.504026412963867,-8.525876998901367,285.1385803222656,277.43728637695307,0.9974088668823242,-0.8853960037231445,0.0,0.01636648178100586,-0.013242721557617188,102693.0,231.03086280822757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98529052734375,-3.228187561035156,100470.0,191.7765045166016,283.17457580566406,0.0,70.4,0.0,0.0,0.0,0.0,283.5421447753906,283.1288146972656,0.0059700000000000005,279.56228637695307,72.8,0.2202110290527344,0.3170938491821289,0.3780255115125328,0.2202110290527344,0.3170938491821289,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.01,0.0,0.0,80.0,4.0,17.6,0.0,0.0,8.209709763526918,0.0,0.0,100.0,100.0,24100.0,10992.161787033081,10150.872714996338,22800.0,12634.531211853027,245.9,0.0,270.7,0.0,339.1705780029297,0.0,0.0,0.0,43.0,-13.5,12.938070297241213,-13.225234985351562,7.550788879394531,-5.828636169433594,28.332658767700195,0.747802734375,3967.84,16.0,63300.0,3970.0,16.0,63100.0,5640.0,6860.0,18.5,0.0
3,0,2018,10,18,-10.0,-999.0,0.0,23400.0,-10.0,-10.0,-10.0,2.676683783531189,68.41487693786621,0.5392112731933594,57.82806396484375,-4.0691566467285165,5807.9560546875,261.94412231445307,235.49978637695312,30.327392578125,-4.934001922607422,3145.35546875,277.13021850585943,244.56228637695312,19.47340965270996,-6.548187255859375,1572.795166015625,275.89129638671875,267.37478637695307,10.47252082824707,-2.3273696899414062,280.57760620117193,270.31228637695307,5.423501968383789,-9.864033699035645,284.1167297363281,276.68728637695307,1.322650909423828,-2.1958065032958984,0.0,0.0005273818969726561,-0.02730965614318848,102756.0,236.74999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.446481704711914,-4.636056900024414,100540.0,191.7765045166016,282.4572448730469,0.0,70.7,0.0,0.0,0.0,0.0,282.92718505859375,282.4794921875,0.005690000000000001,278.87478637695307,71.7,1.056779861450195,-0.548182487487793,1.188502452452667,1.056779861450195,-0.548182487487793,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.03,-1.0,0.0,82.0,4.0,18.5,0.0,0.0,8.45943796634674,0.0,0.0,0.0,0.0,--,--,--,--,--,260.5,0.0,265.90000000000003,0.0,335.61329650878906,0.0,0.0,0.0,45.0,-34.4,12.857185363769533,-13.822187423706055,6.3704376220703125,-4.7235374450683585,27.94992256164551,2.1695289611816406,4045.6,14.0,62700.0,4050.0,14.0,62600.0,5640.0,6880.0,18.5,0.0
4,0,2018,10,18,-10.0,-999.0,0.0,22300.0,-10.0,-10.0,-10.0,12.365345381200314,63.96936988830566,2.456989288330078,58.40494346618652,-5.521697998046875,5810.7958984375,261.85552978515625,232.49978637695312,29.23923110961914,-4.895612716674805,3147.0625,277.5301513671875,244.99978637695312,18.426898956298828,-6.160057067871094,1572.483642578125,275.57955932617193,266.12478637695307,9.672542572021484,-2.5903892517089844,279.1810913085937,270.8525238037109,4.0891876220703125,-10.976396560668944,282.7567443847656,276.1278533935547,0.4341106414794922,-3.2363796234130864,0.0,0.031244277954101562,0.02874922752380371,102825.0,243.1076316833496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597084045410156,-6.783403396606445,100620.0,191.7765045166016,281.68946838378906,0.0,70.9,0.0,0.0,0.0,0.0,282.03857421875,281.5878601074219,0.005450000000000001,278.24978637695307,73.60000000000002,0.5566635131835938,-0.8889493942260742,1.0663942347746342,0.5566635131835938,-0.8889493942260742,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.03,-1.0,1.0,88.0,4.0,19.6,0.0,0.0,8.509042799472809,0.0,0.0,100.0,100.0,25600.0,10605.284320831299,9731.434394836426,22800.0,12612.053833007812,232.8,0.0,273.0,0.0,331.9967956542969,0.0,0.0,0.0,19.0,-67.9,11.96501922607422,-14.31963348388672,6.6415042877197275,-5.517385482788086,28.97338676452637,3.8665809631347656,4124.96,15.0,62100.0,4120.0,15.0,62000.0,5630.0,6890.0,19.4,0.0
5,0,2018,10,18,-10.0,-999.0,0.0,24300.0,-10.0,-10.0,-10.0,11.09651245176792,61.01545906066895,3.695613861083984,56.02727317810058,-4.016761779785156,5810.2255859375,262.0891265869141,233.93728637695312,28.168161392211914,-4.4869956970214835,3145.372802734375,277.22225952148443,245.18728637695312,17.708675384521484,-6.303691864013673,1573.374267578125,275.1871337890625,263.87478637695307,9.159454345703123,-2.581974029541016,277.55880737304693,270.56228637695307,3.541912078857422,-12.378853797912598,281.5108642578125,274.9366455078125,0.42543792724609375,-3.7479228973388654,0.0,-0.02080535888671875,0.02581000328063965,102919.0,250.98872756958008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609134674072266,-5.648225784301758,100710.0,191.7765045166016,281.1066131591797,0.0,70.9,0.0,0.0,0.0,0.0,281.6138000488281,281.00326538085943,0.0048400000000000006,276.62478637695307,68.8,0.3780384063720703,-2.0386619567871094,2.0661384996492416,0.3780384063720703,-2.0386619567871094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.12,-9.0,15.0,90.0,4.0,21.5,0.0,0.0,8.339949250221252,0.0,0.0,100.0,100.0,29100.0,9740.319114685059,8864.026138305664,22800.0,12675.364074707031,191.0,0.0,283.9000000000001,0.0,329.2773742675781,0.0,0.0,0.0,19.0,-73.0,11.01729965209961,-14.02971649169922,5.906806945800781,-5.758293151855469,28.514404296875,3.0706710815429688,4142.4,15.0,61900.0,4140.0,15.0,61800.0,5660.0,6920.0,21.3,0.0
6,0,2018,10,18,-10.0,-999.0,0.0,23100.0,-10.0,-10.0,-10.0,9.79608365520835,58.60778617858887,3.266029357910156,56.19815254211426,-3.2308120727539062,5815.8759765625,262.0929718017578,233.12478637695312,26.094280242919922,-4.433757781982422,3148.49951171875,277.29702758789057,246.93728637695312,16.563567161560062,-7.117250442504883,1575.893310546875,275.107666015625,258.49978637695307,7.85072135925293,-2.8987522125244136,276.15478515625,269.81228637695307,1.0086097717285156,-12.112381935119627,280.43783569335943,274.62478637695307,0.3552236557006836,-3.22171401977539,0.0,-0.026426315307617188,-0.006800413131713867,103012.0,259.1153888702393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5770301818847656,-4.8063926696777335,100810.0,191.7765045166016,280.3562774658203,0.0,70.8,0.0,0.0,0.0,0.0,280.72967529296875,280.1327514648437,0.00463,275.93728637695307,70.4,0.4381980895996094,-2.0884361267089844,2.1281388862989843,0.4381980895996094,-2.0884361267089844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.15,-9.0,19.0,94.0,4.0,22.6,0.0,0.0,7.689486145973206,0.0,0.0,100.0,100.0,29100.0,9743.615131378174,8778.207786560059,22800.0,12525.914840698242,212.5,0.0,272.7,0.0,325.7854309082031,0.0,0.0,0.0,33.0,-64.8,9.623876571655273,-13.836837768554688,4.025482177734375,-6.077014923095702,26.776351928710927,2.035552978515625,4218.08,14.0,61400.0,4220.0,14.0,61300.0,5660.0,6930.0,22.8,0.0
7,0,2018,10,18,-10.0,-999.0,0.0,22000.0,-10.0,-10.0,-10.0,8.714954357594253,54.94568824768066,4.485801696777344,55.03315544128418,-5.2272987365722665,5815.4990234375,262.18154907226557,233.37478637695312,25.12164306640625,-3.721714019775391,3147.15234375,277.39703369140625,248.18728637695312,16.545825958251953,-7.484016418457031,1573.2344970703125,274.76376342773443,253.31228637695312,7.149673461914063,-3.3433971405029297,275.0185546875,269.37478637695307,-0.6333236694335938,-10.850442886352539,279.536865234375,274.43728637695307,0.1324901580810547,-3.1203832626342773,0.0,0.030205726623535163,-0.01425933837890625,103035.0,261.2309913635254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809070587158203,-4.4673500061035165,100840.0,191.7765045166016,279.69119262695307,0.0,70.7,0.0,0.0,0.0,0.0,279.92764282226557,279.24118041992193,0.004430000000000001,275.37478637695307,72.0,0.27716064453125,-2.289706230163574,2.313846578937955,0.27716064453125,-2.289706230163574,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.18,-7.0,23.0,88.0,4.0,23.8,0.0,0.0,7.373692572116853,0.0,0.0,100.0,100.0,29100.0,9740.671201705933,8778.290023803711,22800.0,12668.865173339844,227.7,0.0,259.7,0.0,322.67408752441406,0.0,0.0,0.0,50.0,-52.6,9.078912734985352,-13.483139038085938,2.9801540374755864,-5.28013801574707,26.14581298828125,2.126270294189453,4237.12,13.0,61200.0,4240.0,13.0,61100.0,5670.0,6940.0,24.0,0.0
8,0,2018,10,18,-10.0,-999.0,0.0,20600.0,-10.0,-10.0,-10.0,6.986422561109066,54.79933166503906,3.8914642333984375,54.98975944519043,-7.344718933105469,5820.1787109375,262.3109130859375,232.06228637695312,23.47984313964844,-3.0322494506835938,3149.1337890625,277.8032989501953,249.81228637695312,16.330214500427243,-8.489681243896483,1570.384033203125,275.1448974609375,248.24978637695312,5.92340087890625,-4.480855941772461,274.57583618164057,269.37478637695307,-3.1532058715820312,-10.384294509887695,278.68121337890625,274.18728637695307,-0.34662437438964844,-2.6702747344970703,0.0,-0.02684307098388672,0.01827573776245117,103019.0,260.2042655944824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3112945556640625,-4.078815460205078,100820.0,191.7765045166016,278.9118194580078,0.0,70.8,0.0,0.0,0.0,0.0,279.03659057617193,278.37368774414057,0.00432,274.99978637695307,74.7,-0.08628273010253906,-1.8982181549072263,1.8769937802571803,-0.08628273010253906,-1.8982181549072263,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.14,-3.0,10.0,75.0,4.0,24.9,0.0,0.0,7.0883216857910165,0.0,0.0,100.0,100.0,29100.0,9748.249124526978,8798.389205932617,21400.0,12720.883026123047,209.6,0.0,261.40000000000003,0.0,319.0204315185547,0.0,0.0,0.0,53.0,-65.60000000000001,8.074478149414062,-13.638349533081055,1.157026290893555,-5.837211608886719,25.6927547454834,2.559619903564453,4285.6,12.0,60900.0,4290.0,12.0,60800.0,5700.0,6990.0,24.6,0.0
9,0,2018,10,18,-10.0,-999.0,0.0,18100.0,-10.0,-10.0,-10.0,4.210861250758172,54.11300277709961,3.522205352783203,52.213134765625,-7.250812530517577,5826.39892578125,262.366226196289,231.12478637695312,24.134052276611328,-4.025859832763672,3153.152587890625,278.21807861328125,250.88275146484366,16.191197395324707,-10.63323974609375,1572.498291015625,275.42974853515625,244.81228637695312,5.444882392883301,-5.26138973236084,274.48504638671875,269.18728637695307,-4.5056495666503915,-8.501789093017576,277.8583984375,274.49978637695307,0.04990386962890625,-2.0190534591674805,0.0,0.028168678283691406,0.010104656219482422,103049.0,263.0950088500977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16325950622558594,-2.9535160064697266,100860.0,191.7765045166016,278.29872131347656,0.0,70.9,0.0,0.0,0.0,0.0,278.27828979492193,277.5772705078125,0.004350000000000001,275.12478637695307,79.9,0.4094028472900391,-1.228816032409668,1.2523632554803044,0.4094028472900391,-1.228816032409668,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.1,0.0,10.0,68.0,4.0,25.5,0.0,0.0,6.867832183837893,0.0,1.625,100.0,100.0,29100.0,9749.884729385376,8798.694366455078,21400.0,12957.061897277832,201.8,0.0,261.5,0.0,316.36671447753906,0.0,0.0,0.0,51.0,-68.2,7.159782409667969,-13.870687484741213,-0.3656749725341797,-5.81751823425293,26.438777923583984,0.3648948669433594,4344.480000000001,10.0,60500.0,4340.0,10.0,60400.0,5710.0,6990.0,24.20000000000001,0.0
