Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,11,8,-10.0,-999.0,0.0,21400.0,-10.0,-10.0,-10.0,1.9434013366699217,37.146536827087395,29.94304656982422,35.16544818878174,24.941978454589844,5694.009765625,259.0912628173828,242.43728637695312,34.61263084411621,8.312601089477539,3083.917236328125,270.79464721679693,262.43728637695307,12.724427700042725,0.9051990509033204,1521.837646484375,277.495834350586,255.12478637695312,7.165071487426758,-8.449974060058594,279.99191284179693,270.06228637695307,1.9404411315917969,-3.995204925537109,283.68804931640625,275.74978637695307,-0.3391332626342773,1.0916404724121094,0.0,0.02885913848876953,0.009542465209960938,102210.0,185.8536605834961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704505920410156,1.5361061096191406,99580.0,222.1202545166016,280.05010986328125,0.0,72.8,0.0,0.0,0.0,0.0,280.4660186767578,280.8524780273437,0.005090000000000001,277.118667602539,76.10000000000002,-0.4071121215820313,1.4992818832397459,1.563882203074172,-0.4071121215820313,1.4992818832397459,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1391,0.04,-2.0,2.0,60.0,12.0,18.2,0.0,0.0,10.941837012767794,0.0,0.0,0.0,0.0,--,--,--,--,--,248.5,0.0,261.90000000000003,0.0,326.1554412841797,0.0,0.0,0.0,-12.6,-71.10000000000002,11.563833236694336,-7.06781005859375,4.001131057739259,-9.78713607788086,34.8602237701416,7.4877471923828125,2716.8,40.0,73400.0,2720.0,40.0,73300.0,4850.0,6740.0,16.5,0.0
1,0,2018,11,8,-10.0,-999.0,0.0,18400.0,-10.0,-10.0,-10.0,1.8560705669224264,37.661503791809075,28.508071899414066,35.278568267822266,24.25922775268555,5695.2880859375,259.28536987304693,242.87478637695312,33.76582145690918,8.743484497070312,3084.92919921875,270.45379638671875,262.81228637695307,12.67849063873291,2.0416259765625,1522.538818359375,277.337646484375,256.93728637695307,6.46489143371582,-6.863090515136719,279.958740234375,271.49978637695307,1.3849601745605469,-3.92153549194336,282.3741149902344,275.56228637695307,0.1839609146118164,1.043039321899414,0.0,-0.011546134948730469,0.009500503540039062,102243.0,188.3030776977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495681762695312,1.0451583862304688,99600.0,222.1202545166016,278.91018676757807,0.0,72.8,0.0,0.0,0.0,0.0,279.2875366210937,279.59698486328125,0.0049299999999999995,276.68728637695307,81.0,0.08921146392822266,1.535932540893555,1.5682098884135485,0.08921146392822266,1.535932540893555,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.05,-2.0,2.0,60.0,12.0,19.6,0.0,0.0,11.505110383033752,0.0,0.0,0.0,0.0,--,--,--,--,--,246.1,0.0,260.2,0.0,320.8761749267578,0.0,0.0,0.0,-6.4,-65.5,11.743555068969727,-6.6904869079589835,2.8577280044555664,-7.759462356567383,33.480552673339844,9.011497497558594,2697.92,39.0,73600.0,2700.0,39.0,73500.0,4930.0,6700.0,16.8,0.0
2,0,2018,11,8,-10.0,-999.0,0.0,17000.0,-10.0,-10.0,-10.0,1.361204631626606,39.15630340576172,28.335323333740234,36.8414545059204,24.98603820800781,5693.349609375,259.2086639404297,243.56228637695312,32.36276626586914,9.505531311035156,3083.5166015625,270.13363647460943,263.49978637695307,12.052783012390135,0.9345130920410156,1522.23095703125,277.50302124023443,254.87478637695312,5.625055313110352,-6.528392791748048,279.30172729492193,271.74978637695307,-0.2627992630004883,-4.114269256591797,281.25067138671875,275.12478637695307,0.3315563201904297,0.4848899841308594,0.0,0.007123470306396484,-0.004894256591796875,102271.0,190.43359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1396846771240234,0.2399005889892578,99630.0,222.1202545166016,277.9843292236328,0.0,72.8,0.0,0.0,0.0,0.0,278.18698120117193,278.51437377929693,0.00474,276.12478637695307,84.10000000000002,0.18934154510498047,1.0102691650390625,1.063614876009524,0.18934154510498047,1.0102691650390625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.03,-1.0,1.0,60.0,12.0,20.8,0.0,0.0,11.636403679847716,0.0,0.0,0.0,0.0,--,--,--,--,--,242.6,0.0,257.1,0.0,316.52813720703125,0.0,0.0,0.0,2.2,-49.2,11.72859001159668,-6.977823257446289,0.8421535491943359,-5.632303237915039,31.3814697265625,11.256855010986328,2632.48,41.0,74200.0,2630.0,41.0,74100.0,4970.0,6630.0,17.2,0.0
3,0,2018,11,8,-10.0,-999.0,0.0,17100.0,-10.0,-10.0,-10.0,1.7719321548938751,37.375994682312005,29.10787582397461,36.110857963562005,24.883960723876953,5701.0849609375,259.5757293701172,243.62478637695312,30.678985118865967,10.756526947021484,3086.089111328125,270.327163696289,262.49978637695307,10.884933471679688,1.5413665771484375,1524.61279296875,278.1598358154297,252.81228637695312,4.40221118927002,-5.6011314392089835,279.23562622070307,272.62478637695307,-0.6574573516845703,-2.8293666839599614,280.5159912109375,274.81228637695307,0.8263368606567383,0.3918266296386719,0.0,0.025980472564697262,-0.03161931037902832,102294.0,192.48074913024902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42413330078125,0.0398406982421875,99650.0,222.1202545166016,277.206298828125,0.0,72.9,0.0,0.0,0.0,0.0,277.54641723632807,277.867919921875,0.004560000000000001,275.56228637695307,83.5,0.8346328735351562,0.8701381683349609,1.188821176532656,0.8346328735351562,0.8701381683349609,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.03,-1.0,1.0,60.0,12.0,21.8,0.0,0.0,11.108409523963928,0.0,0.0,0.0,0.0,--,--,--,--,--,240.8,0.0,254.7,0.0,312.98350524902344,0.0,0.0,0.0,41.7,-24.70000000000001,11.70560359954834,-6.355276107788086,0.10762405395507812,-3.993242263793945,29.035991668701172,13.150871276855467,2605.44,37.0,74500.0,2610.0,37.0,74300.0,5130.0,6590.0,17.1,0.0
4,0,2018,11,8,-10.0,-999.0,0.0,18200.0,-10.0,-10.0,-10.0,1.9303725175559519,36.42885780334473,28.816349029541016,34.783740997314446,23.31804656982422,5699.24560546875,259.4626007080078,242.18728637695312,30.504413604736328,12.21518325805664,3087.732421875,270.3476104736328,261.68728637695307,10.731626510620117,4.628433227539063,1527.49267578125,278.2974395751953,255.06228637695312,4.930719375610352,-4.785270690917969,279.1343994140625,272.31228637695307,0.225494384765625,-2.6839580535888667,280.27508544921875,274.06228637695307,0.7817983627319336,-0.492177963256836,0.0,-0.006909370422363281,-0.031012535095214844,102336.0,196.11101531982425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387603759765625,-2.3421363830566406,99690.0,222.1202545166016,276.8111572265625,0.0,72.9,0.0,0.0,0.0,0.0,277.35861206054693,277.62600708007807,0.0044399999999999995,275.24978637695307,80.9,0.8294382095336914,-0.4842777252197266,0.9399744044058024,0.8294382095336914,-0.4842777252197266,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.02,-1.0,0.0,70.0,12.0,21.9,0.0,0.0,10.731052994728088,0.0,0.0,0.0,0.0,--,--,--,--,--,240.5,0.0,253.7,0.0,311.2599792480469,0.0,0.0,0.0,81.10000000000002,-2.1,12.555511474609375,-5.722919464111327,1.393960952758789,-2.013357162475586,28.704179763793945,16.500762939453125,2533.76,35.0,75100.0,2530.0,35.0,75000.0,5040.0,6570.0,17.2,0.0
5,0,2018,11,8,-10.0,-999.0,0.0,18400.0,-10.0,-10.0,-10.0,3.927186843007803,37.18884086608887,26.128890991210927,35.34405708312988,19.01693344116211,5700.1396484375,259.36705017089844,245.74978637695312,29.49713134765625,12.613691329956055,3087.279541015625,270.24539184570307,262.18728637695307,10.768950462341307,3.2480144500732417,1526.865478515625,278.89102172851557,252.56228637695312,3.837966918945313,-3.5645980834960938,278.88360595703125,271.49978637695307,0.06380558013916016,-3.910175323486328,280.11456298828125,273.37478637695307,0.7313861846923828,-1.242410659790039,0.0,0.02582263946533203,-0.001550436019897461,102338.0,196.142692565918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551584243774414,-5.684425354003906,99690.0,222.1202545166016,276.7175750732422,0.0,72.8,0.0,0.0,0.0,0.0,277.1971435546875,277.50457763671875,0.004370000000000001,274.99978637695307,80.5,0.8132362365722656,-1.4375991821289062,1.6307452847249806,0.8132362365722656,-1.4375991821289062,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.04,-2.0,1.0,70.0,12.0,22.1,0.0,0.0,10.400721341371538,0.0,0.0,0.0,0.0,--,--,--,--,--,240.4,0.0,251.9,0.0,310.69317626953125,0.0,0.0,0.0,124.8,13.7,12.605735778808596,-6.313575744628906,1.214324951171875,-0.6513385772705078,28.370290756225586,19.562885284423828,2500.32,36.0,75500.0,2500.0,36.0,75300.0,5020.0,6610.0,17.7,0.0
6,0,2018,11,8,-10.0,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,4.6569389812648305,37.80340576171875,23.94031143188477,37.72092723846436,18.700271606445312,5694.873046875,258.3344268798828,248.99978637695312,30.76696968078613,11.954353332519533,3088.27880859375,270.0714569091797,261.99978637695307,10.3883056640625,4.272197723388672,1527.758544921875,279.33123779296875,250.2660980224609,3.4200382232666016,-4.1289710998535165,278.78076171875,270.35557556152344,0.001514434814453125,-4.795875549316406,279.7625732421875,272.6910552978516,0.9889841079711914,-1.9937095642089844,0.0,0.009325027465820312,0.01867771148681641,102354.0,197.40050888061523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7780990600585938,-6.878562927246094,99710.0,222.1202545166016,276.45645141601557,0.0,72.8,0.0,0.0,0.0,0.0,277.19082641601557,277.43679809570307,0.00417,274.37478637695307,78.30000000000003,1.0307579040527344,-2.1509037017822266,2.3792334301397204,1.0307579040527344,-2.1509037017822266,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.1,-10.0,5.0,70.0,12.0,21.6,0.0,0.0,10.588231712579725,0.0,0.0,0.0,0.0,--,--,--,--,--,237.6,0.0,250.4,0.0,309.5302734375,0.0,0.0,0.0,151.1,9.2,12.459576606750488,-6.948415756225586,1.050048828125,-0.7354888916015625,30.151897430419922,19.94500732421875,2489.76,35.0,75600.0,2490.0,35.0,75500.0,4850.0,6490.0,17.400000000000002,0.0
7,0,2018,11,8,-10.0,-999.0,0.0,19300.0,-10.0,-10.0,-10.0,4.816215142607688,37.584530830383294,24.11730194091797,37.847102165222175,19.92197036743164,5693.13232421875,257.76248168945307,254.18728637695312,30.864548683166504,11.40771484375,3090.7294921875,270.35122680664057,261.93728637695307,11.168630599975586,4.900531768798828,1529.21728515625,279.36395263671875,251.7605743408203,3.0411968231201167,-3.576728820800781,278.6015625,270.87478637695307,-1.346043586730957,-4.86906623840332,278.85159301757807,272.62478637695307,0.8211212158203125,-1.854806900024414,0.0,-0.01596832275390625,0.012434720993041992,102385.0,200.2695407867432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4530792236328125,-7.44854736328125,99740.0,222.1202545166016,276.0417633056641,0.0,72.8,0.0,0.0,0.0,0.0,276.7005615234375,276.968994140625,0.004050000000000001,273.93728637695307,78.30000000000003,1.0348663330078125,-2.0173568725585938,2.2532541737891734,1.0348663330078125,-2.0173568725585938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.09,-8.0,4.0,70.0,12.0,21.70000000000001,0.0,0.0,11.913548529148102,0.0,0.0,0.0,0.0,--,--,--,--,--,234.6,0.0,250.2,0.0,307.7149658203125,0.0,0.0,0.0,174.4,19.4,11.870054244995115,-7.0092315673828125,0.8597774505615234,-0.7366905212402344,31.53647804260254,19.43963623046875,2532.64,37.0,75200.0,2530.0,37.0,75100.0,4720.0,6490.0,16.400000000000002,0.0
8,0,2018,11,8,-10.0,-999.0,0.0,17600.0,-10.0,-10.0,-10.0,5.2935606241226205,37.543086051940925,24.89387130737305,37.42855548858642,22.418949127197266,5688.50390625,257.46237182617193,254.12478637695312,32.0350284576416,10.736957550048828,3089.031982421875,270.25924682617193,261.49978637695307,10.995522499084473,4.741853713989258,1527.9735107421875,278.96902465820307,250.62478637695312,0.5504951477050781,-2.395608901977539,278.14849853515625,270.81423950195307,-2.974106788635254,-3.7653732299804688,277.39013671875,273.014389038086,-0.025970458984375,-2.067695617675781,0.0,-0.02813053131103516,0.02969074249267578,102406.0,202.07751274108887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0254230499267583,-7.164264678955077,99760.0,222.1202545166016,275.5864105224609,0.0,72.8,0.0,0.0,0.0,0.0,276.101089477539,276.3232421875,0.00398,273.7132568359375,81.80000000000003,0.14424896240234375,-2.086023330688477,2.0658613236155356,0.14424896240234375,-2.086023330688477,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.09,-6.0,4.0,60.0,12.0,22.20000000000001,0.0,0.0,12.292352974414824,0.0,0.0,0.0,0.0,--,--,--,--,--,233.4,0.0,247.9,0.0,305.8687896728516,0.0,0.0,0.0,199.0,35.5,10.331445693969727,-6.952903747558594,-0.16928863525390625,0.06787681579589844,34.5920467376709,17.974685668945312,2536.48,36.0,75100.0,2540.0,35.0,75000.0,4660.0,6480.0,16.3,0.0
9,0,2018,11,8,-10.0,-999.0,0.0,16300.0,-10.0,-10.0,-10.0,8.312138989567758,37.710478782653816,23.24259948730469,38.08907794952393,22.56238555908203,5688.34130859375,257.12655639648443,253.99978637695312,32.42652988433838,10.039043426513672,3089.92333984375,270.640380859375,260.56228637695307,13.097822189331055,3.7453384399414062,1528.455810546875,278.61651611328125,250.62478637695312,0.013906478881835938,-1.9747734069824217,277.84039306640625,269.79916381835943,-2.925617218017578,-3.7902545928955083,276.6972045898437,273.66854858398443,0.005786895751953125,-2.062479019165039,0.0,-0.00138092041015625,-0.013512372970581056,102438.0,205.1679573059082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4838294982910156,-5.842231750488281,99800.0,222.1202545166016,275.7071685791016,0.0,72.7,0.0,0.0,0.0,0.0,276.153335571289,276.30419921875,0.004079999999999999,274.09182739257807,84.30000000000003,0.044094085693359375,-2.2015533447265625,2.252643954474479,0.044094085693359375,-2.2015533447265625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.11,-7.0,4.0,60.0,12.0,21.70000000000001,0.0,0.0,12.437945008277893,0.0,0.0,0.0,0.0,--,--,--,--,--,233.3,0.0,246.7,0.0,306.21923828125,0.0,0.0,0.0,208.0,29.1,10.343313217163086,-7.131471633911133,-0.4017124176025391,0.14842605590820312,35.352155685424805,16.124641418457028,2578.24,33.0,74700.0,2580.0,33.0,74600.0,4560.0,6510.0,16.3,0.0
