Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,11,13,23.9375,5117.4000000000015,0.168,12200.0,-10.0,18.3125,7.4375,3.229845754802227,21.668249130249023,18.298599243164066,19.35431480407715,20.188217163085934,5808.4609375,263.6514434814453,262.87478637695307,14.54033660888672,22.35953521728516,3131.34521484375,278.8494873046875,275.93728637695307,14.144283294677734,12.834024429321287,1510.2579345703125,288.24359130859375,283.4372863769531,15.4207763671875,1.4436931610107422,291.7167510986328,287.9997863769531,10.511541366577148,-2.634220123291016,292.8457336425781,291.3747863769531,3.288238525390625,1.753662109375,0.0,-0.030852317810058594,0.005890130996704102,101350.0,115.12625122070312,0.0,12.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.421083450317384,1.673471450805664,101170.0,15.026504516601562,292.02638244628906,0.0,92.6,0.5,0.0,0.0,0.0,292.2532043457031,291.2616271972656,0.01329,291.7497863769531,94.4,-0.14060211181640625,0.43967247009277344,0.5012468920322135,-0.14060211181640625,0.43967247009277344,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.01,0.0,0.0,10.0,8.0,1.0,0.0,0.0,45.12699258327484,35.125,41.0,10.375,41.0,62800.0,4017.975521087647,--,38600.0,--,200.2,0.0,397.6,0.0,383.52349853515625,0.0,0.0,0.0,-11.0,-53.0,17.282691955566403,2.9582996368408203,12.570388793945312,-2.580465316772461,10.592033386230467,21.58757781982422,4124.64,89.0,62000.0,4120.0,89.0,61900.0,5890.0,7470.0,-1.1,90.0
1,0,2018,11,13,13.0625,-999.0,0.0112,12200.0,-10.0,-10.0,-10.0,4.615266155451536,28.54008674621582,21.566387176513672,20.258319854736328,21.15658187866211,5804.72119140625,263.59609985351557,262.62643432617193,13.492101669311525,22.305137634277344,3129.34716796875,278.0039825439453,276.99978637695307,14.170108795166016,12.485626220703125,1512.9783935546875,287.5714874267578,284.6247863769531,13.833465576171875,3.4539012908935547,290.3098602294922,288.04815673828125,8.773397445678711,-1.735433578491211,292.23590087890625,291.4372863769531,4.922767639160156,1.3811683654785156,0.0,-0.019489288330078125,-0.026353836059570312,101431.0,121.61194610595705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1966915130615225,1.3054943084716797,101250.0,15.026504516601562,291.34532165527344,0.0,91.8,0.5,0.0,0.0,0.0,291.67413330078125,290.71189880371094,0.01289,291.3122863769531,95.6,1.69091796875,0.5973148345947266,1.813904627226293,1.69091796875,0.5973148345947266,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.09,-4.0,-10.0,20.0,8.0,1.9,0.0,0.0,46.42513543367386,35.125,10.0,27.25,35.125,62800.0,4010.51516532898,--,62800.0,--,247.6,0.0,371.8,0.0,380.1411285400391,0.0,0.0,0.0,7.0,-39.0,17.352527618408207,4.0601768493652335,9.347635269165039,-0.4754180908203125,8.818710327148438,21.720539093017575,4074.4,87.0,62400.0,4070.0,87.0,62300.0,5870.0,7470.0,-0.9,110.0
2,0,2018,11,13,30.0625,6201.200000000003,0.4608,12200.0,21.5,18.8125,15.0625,4.551926791667938,25.64184188842773,26.252864837646484,14.87989616394043,21.04140853881836,5799.12744140625,263.51962280273443,262.68728637695307,11.26590633392334,22.459171295166016,3128.55712890625,277.398452758789,276.24978637695307,13.512232780456545,10.914886474609377,1512.9307861328125,288.23211669921875,283.1247863769531,11.8946533203125,4.035270690917969,290.03729248046875,287.0622863769531,6.4310035705566415,-1.206684112548828,291.8629150390625,291.3122863769531,3.654708862304688,-1.0253944396972656,0.0,-0.029712677001953125,0.019237518310546875,101443.0,122.46178436279295,0.0,20.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429742813110352,-1.068012237548828,101280.0,15.026504516601562,291.41502380371094,0.0,91.4,0.5,0.0,0.0,0.0,291.6295471191406,290.5636749267578,0.01278,291.1872863769531,94.4,-0.1716156005859375,-0.3263416290283203,0.37623576971236616,-0.1716156005859375,-0.3263416290283203,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.01,0.0,0.0,10.0,8.0,2.0,0.0,-146.0,45.44733363389969,0.0,99.125,99.75,99.75,67500.0,3429.9509105682373,104.96757888793945,21400.0,12689.76953125,154.4,0.0,394.70000000000016,0.0,380.2481994628906,0.0,0.0,0.0,9.0,-29.0,16.109432220458984,3.887298583984375,9.003057479858398,1.7238197326660156,7.630664825439452,23.374008178710927,4008.32,91.0,62900.0,4010.0,91.0,62800.0,5860.0,7510.0,-0.1,70.0
3,0,2018,11,13,18.3125,5913.8,0.2016,300.0,16.5,15.0,10.8125,4.543383590877057,20.1334171295166,22.588134765625,13.630086898803713,23.526203155517567,5803.01416015625,263.519775390625,262.74978637695307,13.246451377868652,22.151351928710934,3135.46240234375,277.78846740722656,277.24978637695307,14.322538375854492,13.350318908691404,1517.642333984375,288.16717529296875,284.9372863769531,10.165283203125,4.909948348999023,290.088623046875,289.9372863769531,4.535175323486328,1.0880126953125,291.0523681640625,290.9372863769531,2.2077865600585938,-2.9727020263671875,0.0,0.003627777099609375,-0.021067380905151367,101501.0,127.0249481201172,13.3125,16.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4769172668457031,-2.74592399597168,101330.0,15.026504516601562,291.5592193603516,0.0,91.2,0.5,0.0,0.0,0.0,291.7336883544922,290.6112060546875,0.01289,291.3122863769531,95.4,0.2951335906982422,-0.4867935180664063,0.5647125265095383,0.2951335906982422,-0.4867935180664063,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.01,0.0,0.0,10.0,8.0,2.0,0.0,0.0,48.53300350904465,80.75,100.0,100.0,100.0,100400.0,96.31218528747559,104.82968139648438,21400.0,12709.047317504883,141.8,0.0,409.4,0.0,381.1085968017578,0.0,0.0,0.0,54.0,6.0,15.265251159667967,3.685264587402344,6.2394676208496085,3.632396697998047,11.154918670654297,24.03832626342773,3911.2,98.0,63700.0,3910.0,97.0,63600.0,5870.0,7510.0,-2.0,350.0
4,0,2018,11,13,22.0,4199.8,0.0928,300.0,18.625,-0.4375,-0.4375,5.03749280795455,19.65536117553711,21.692848205566406,14.543693542480467,19.339942932128906,5803.8291015625,263.2510986328125,262.31228637695307,17.099644660949707,24.183826446533203,3135.85595703125,277.74227905273443,276.71762084960943,16.743356704711914,15.243547439575195,1518.95263671875,287.690185546875,284.3747863769531,9.4105224609375,4.444023132324219,289.74537658691406,289.6872863769531,3.7291011810302734,2.496297836303711,290.42466735839844,290.3747863769531,2.754581451416016,-3.2259235382080083,0.0,-0.0013399124145507812,0.019300222396850586,101545.0,130.53640747070312,0.0,4.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.346294403076172,-2.8587970733642583,101370.0,15.026504516601562,291.39866638183594,0.0,90.8,0.5,0.0,0.0,0.0,291.42767333984375,290.3048553466797,0.01244,290.7497863769531,95.4,1.3894691467285156,-1.815998077392578,2.313070221163798,1.3894691467285156,-1.815998077392578,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.16,0.0,10.0,50.0,8.0,2.9000000000000004,0.0,0.0,48.71700847148895,92.5,100.0,100.0,100.0,100400.0,96.01233291625977,104.59383392333984,22800.0,12653.036102294922,177.4,0.0,406.1,0.0,380.1109161376953,0.0,0.0,0.0,124.0,44.0,15.477880477905273,3.871425628662109,3.754350662231445,6.042930603027344,14.79705810546875,26.48245620727539,3894.08,95.0,63800.0,3890.0,94.0,63700.0,5810.0,7530.0,-2.7,450.0
5,0,2018,11,13,18.25,5584.400000000002,0.1944,13600.0,17.8125,13.4375,9.6875,6.371994569897653,26.61705017089844,26.22949981689453,17.82798957824707,22.414173126220703,5797.2666015625,263.13067626953125,261.99978637695307,20.733163833618164,21.778202056884766,3131.876708984375,277.77920532226557,276.56228637695307,19.33164405822754,17.116300582885742,1516.432861328125,286.79046630859375,284.8747863769531,7.7638206481933585,4.774707794189453,289.3170318603516,289.1247863769531,2.5947322845458984,3.4994945526123047,288.4422912597656,288.3122863769531,3.3377552032470703,-5.017753601074219,0.0,0.022045135498046875,0.029582977294921875,101593.0,133.51241302490234,13.4375,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3916263580322266,-4.5490455627441415,101420.0,15.026504516601562,290.4211883544922,0.0,90.8,0.5,0.0,0.0,0.0,289.75303649902344,288.5648193359375,0.010560000000000002,288.1872863769531,91.8,2.2618446350097656,-2.8971157073974614,3.695707169361413,2.2618446350097656,-2.8971157073974614,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.26,24.0,50.0,40.0,8.0,7.300000000000002,0.0,0.0,46.952734529972076,100.0,99.375,99.75,100.0,99500.0,176.0695343017578,103.7505874633789,21400.0,12701.589820861816,149.8,0.0,394.0,0.0,375.1961669921875,0.0,0.0,0.0,221.0,94.0,16.226390838623047,2.9613704681396484,1.3126201629638672,8.119865417480469,17.880657196044922,26.103538513183594,3855.84,95.0,64100.0,3860.0,95.0,64000.0,5780.0,7540.0,-1.8,290.0
6,0,2018,11,13,29.75,5087.0,0.4992,14100.0,26.5625,18.5,6.5625,6.016626948490739,28.85851287841797,26.72953796386719,18.509960174560547,22.734947204589844,5803.130859375,263.04025268554693,261.87478637695307,19.998427391052246,18.58386993408203,3136.44970703125,277.8510284423828,276.24978637695307,20.245403289794922,18.838451385498047,1519.549072265625,286.6391906738281,285.4171295166016,6.166053771972656,5.758033752441406,289.91259765625,289.8122863769531,2.3189735412597656,4.973857879638672,287.23133850097656,286.5956726074219,2.27957534790039,-5.827108383178711,0.0,0.017507553100585938,0.012518644332885742,101652.0,137.86885833740234,5.5625,12.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025863647460937,-4.759235382080078,101480.0,15.026504516601562,288.9158477783203,0.0,90.8,0.5,0.0,0.0,0.0,288.20106506347656,286.9999237060547,0.00942,286.4997863769531,90.5,1.410125732421875,-2.9166202545166016,3.189889079891145,1.410125732421875,-2.9166202545166016,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.23,22.0,50.0,30.0,8.0,10.1,0.0,0.0,46.78186988830566,100.0,100.0,98.875,100.0,98200.0,294.74502182006836,184.95092010498047,29100.0,12185.311920166016,189.1,0.0,387.1,0.0,367.24977111816406,0.0,0.0,0.0,296.0,125.9,15.55681610107422,2.756702423095703,2.130355834960937,9.16640853881836,18.014694213867188,22.859516143798828,3964.96,89.0,63300.0,3960.0,89.0,63200.0,5750.0,7550.0,-2.5,360.0
7,0,2018,11,13,26.875,6653.8,0.4512000000000001,13400.0,23.375,19.3125,14.0,6.881995797157288,28.32567405700684,29.201698303222656,20.92278861999512,26.80802154541016,5799.33544921875,263.0496826171875,261.93728637695307,19.100740432739254,17.99402618408203,3131.23193359375,278.2545166015625,276.43728637695307,16.949440956115726,16.505084991455078,1516.9228515625,286.07957458496094,284.9997863769531,4.752922058105469,6.590730667114258,289.5305480957031,289.4372863769531,2.1783218383789062,4.8681488037109375,286.21131896972656,285.2480773925781,0.6470870971679688,-6.487663269042969,0.0,0.022660255432128903,0.007249116897583008,101657.0,137.9228439331055,12.8125,19.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082073211669922,-5.468938827514648,101490.0,15.026504516601562,287.9106750488281,0.0,91.3,0.5,0.0,0.0,0.0,287.2129821777344,286.0352783203125,0.00904,285.8747863769531,92.5,0.2036762237548828,-3.674983978271485,3.690963627770543,0.2036762237548828,-3.674983978271485,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.26,23.0,40.0,30.0,8.0,11.4,0.0,0.0,45.975545823574066,100.0,95.0,60.375,100.0,94200.0,640.4582691192628,458.0417251586914,33400.0,9701.365905761719,189.4,0.0,387.5,0.0,362.3041687011719,0.0,0.0,0.0,280.0,118.4,13.670642852783205,2.199531555175781,3.1930160522460938,9.565433502197266,18.218196868896484,22.83209609985352,3998.72,84.0,63000.0,4000.0,84.0,62900.0,5760.0,7700.0,-1.8,250.0
8,0,2018,11,13,29.5,5461.8,0.5152,7200.0,25.625,23.3125,-6.875,6.615500390529633,23.71253204345703,30.4420166015625,31.49669075012207,27.57331085205078,5794.6962890625,262.62631225585943,261.24978637695307,20.631221771240234,12.898551940917967,3125.432373046875,278.1676483154297,277.68728637695307,10.116355895996094,15.463302612304688,1513.6181640625,285.3805236816406,285.1319732666016,4.931438446044922,5.8742027282714835,288.9976806640625,288.8747863769531,2.7861289978027344,3.3635349273681636,285.3482360839844,284.8721466064453,0.5124874114990234,-5.994081497192383,0.0,-0.020059585571289062,-0.008879423141479492,101656.0,137.4888916015625,28.875,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058200000000000005,0.0,0.1,0.0,0.6002655029296875,-4.989828109741211,101480.0,15.026504516601562,287.1864013671875,0.0,94.3,0.5,0.0,0.0,0.0,286.3576354980469,285.1355895996094,0.008650000000000001,285.1502227783203,94.0,0.3824558258056641,-3.2272205352783203,3.2515284115215763,0.3824558258056641,-3.2272205352783203,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.23,28.0,40.0,30.0,8.0,12.4,0.0,0.0,46.82909858226776,100.0,58.75,0.0,100.0,98200.0,292.35843467712397,183.44671630859375,49000.0,5297.328857421875,217.2,0.0,377.70000000000016,0.0,358.78179931640625,0.0,0.0,0.0,238.0,69.0,11.170316696166992,-0.8454055786132812,4.164735794067384,7.533275604248048,22.122053146362305,17.382305145263672,4026.88,100.0,62700.0,4030.0,100.0,62600.0,5680.0,7660.0,-2.1,270.0
9,0,2018,11,13,32.1875,5410.6,0.496,4600.0,28.125,15.125,5.3125,7.121531866490841,27.26540184020996,32.764129638671875,30.41016387939453,28.74384307861328,5796.41748046875,262.8898468017578,261.99978637695307,18.6815185546875,9.984325408935547,3123.54833984375,277.9985809326172,277.74978637695307,7.2218360900878915,12.844156265258787,1512.4732666015625,285.77191162109375,284.6960906982422,4.622528076171875,4.067398071289063,288.39837646484375,288.5622863769531,2.3505783081054688,0.5164813995361328,284.86639404296875,284.33937072753906,0.7397632598876953,-6.8551788330078125,0.0,0.017536163330078125,-0.02470922470092773,101679.0,139.0484619140625,33.4375,12.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,-0.3365154266357422,-4.8438262939453125,101480.0,15.026504516601562,286.6277160644531,0.0,100.0,0.5,0.0,0.0,0.0,285.884521484375,284.6871032714844,0.00855,284.9872131347656,95.5,-0.489156723022461,-2.7812938690185547,2.816406439989805,-0.489156723022461,-2.7812938690185547,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.21,22.0,30.0,40.0,8.0,12.9,0.0,0.0,45.57492130994797,100.0,64.0,0.5,100.0,94200.0,636.6786804199219,183.02851104736328,45200.0,5943.149368286133,214.2,0.0,379.9,0.0,355.90789794921875,0.0,0.0,0.0,111.0,24.0,10.155319213867188,-2.6474838256835938,4.627429962158203,3.2307090759277344,20.2982234954834,14.84380340576172,4012.24,100.0,62800.0,4010.0,100.0,62700.0,5740.0,7630.0,-1.5,210.0
