Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2018,12,31,-10.0,-999.0,0.0,21700.0,-10.0,-10.0,-10.0,2.814721398055553,69.19577407836914,15.24737548828125,61.50187397003174,13.225189208984375,5667.091796875,256.70925903320307,243.68728637695312,37.73013305664063,9.135299682617188,3063.703857421875,271.56069946289057,249.74978637695312,25.961541175842285,2.0864181518554688,1500.8448486328125,277.4154663085937,267.81228637695307,12.883890151977539,5.7819175720214835,278.92596435546875,265.6251220703125,4.296929359436035,7.76884651184082,278.85626220703125,271.6383819580078,-1.2546062469482422,0.5368461608886719,0.0,-0.03524017333984375,0.011494874954223631,102045.0,172.76959991455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3978252410888667,2.248573303222656,99150.0,245.5265045166016,274.55157470703125,0.0,77.4,0.0,0.0,0.0,0.0,275.4523162841797,276.1472625732422,0.00378,272.9178009033203,74.8,-2.0074090957641597,0.3718852996826172,2.0647442038171,-2.0074090957641597,0.3718852996826172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27240000000000003,0.05,0.0,0.0,40.0,13.0,21.200000000000006,0.0,0.0,9.379447519779204,0.0,90.75,69.875,90.75,--,--,6231.089183807373,--,9420.372993469238,229.5,0.0,244.9,0.0,283.46539306640625,0.0,0.0,0.0,352.0,221.7,16.029367446899414,-2.980628967285156,11.243087768554688,6.341434478759768,39.43087005615234,7.44915771484375,2728.64,16.0,73100.0,2730.0,16.0,73000.0,4650.0,6250.0,12.8,0.0
1,0,2018,12,31,-10.0,-999.0,0.0,20100.0,-10.0,-10.0,-10.0,2.5374913886189456,67.8380241394043,16.192405700683597,63.588829040527344,13.708084106445312,5673.47021484375,256.7611694335937,244.87478637695312,35.723541259765625,10.071495056152344,3068.78662109375,272.33724975585943,250.87478637695312,24.01014709472656,3.4215316772460938,1501.494140625,278.34652709960943,267.43728637695307,13.27964687347412,5.0412635803222665,279.95751953125,265.5839385986328,4.286237716674806,7.3385581970214835,278.6843414306641,272.26669311523443,-0.7919483184814453,0.494283676147461,0.0,-0.0456085205078125,-0.02542567253112793,102001.0,169.5924339294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.423179626464844,2.388368606567384,99110.0,245.5265045166016,274.09555053710943,0.0,77.7,0.0,0.0,0.0,0.0,275.05303955078125,275.7797088623047,0.00379,272.9938507080078,76.9,-1.7063446044921875,0.3192005157470703,1.755022746976465,-1.7063446044921875,0.3192005157470703,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.04,-4.0,0.0,50.0,13.0,21.4,0.0,0.0,9.678941488265993,0.0,68.875,31.25,68.875,--,--,7622.511596679687,--,8937.323623657227,230.4,0.0,245.5,0.0,281.7270202636719,0.0,0.0,0.0,322.0,214.8,15.629032135009766,-2.753280639648437,11.578105926513672,5.570014953613281,37.34498596191406,8.763648986816406,2921.92,18.0,71400.0,2920.0,18.0,71300.0,4610.0,6320.0,12.6,0.0
2,0,2018,12,31,-10.0,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,2.9864440970122814,67.32958984375,19.19598388671875,63.31388854980469,17.01141357421875,5679.423828125,257.045654296875,249.18728637695312,32.70258903503418,11.71163558959961,3070.44287109375,272.9104766845703,247.24978637695312,21.10544204711914,5.6571006774902335,1500.0753173828125,278.78970336914057,267.37478637695307,11.446148872375488,5.0616188049316415,280.67291259765625,266.755126953125,3.2273960113525386,7.7931766510009775,278.720947265625,272.81710815429693,-1.1854715347290041,0.5775947570800781,0.0,-0.04082775115966797,-0.05080604553222656,101944.0,165.0728893280029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.985363006591797,2.4004783630371094,99060.0,245.5265045166016,274.1480865478516,0.0,77.9,0.0,0.0,0.0,0.0,275.06369018554693,275.8529510498047,0.003820000000000001,273.10801696777344,78.7,-2.1596355438232417,0.377716064453125,2.189295072690584,-2.1596355438232417,0.377716064453125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.06,-10.0,0.0,40.0,13.0,21.70000000000001,0.0,0.0,9.594483643770216,0.0,100.0,100.0,100.0,35700.0,8141.430982589722,6546.108116149902,27300.0,11540.88116455078,202.9,0.0,257.6,0.0,281.82688903808594,0.0,0.0,0.0,292.0,199.0,14.227716445922852,-1.805278778076172,10.701257705688477,5.468086242675781,34.907474517822266,10.17022705078125,3044.64,12.0,70300.0,3040.0,12.0,70200.0,4690.0,6390.0,12.8,0.0
3,0,2018,12,31,-10.0,-999.0,0.0,18300.0,-10.0,-10.0,-10.0,2.972808465361595,67.02735710144043,19.193115234375,61.65438842773438,18.054840087890625,5680.7197265625,257.31573486328125,254.49978637695312,32.52581787109375,10.827953338623047,3071.404296875,273.31434631347656,238.18728637695312,18.277873992919922,6.921039581298827,1501.239990234375,278.53665161132807,266.74978637695307,10.85616970062256,4.2409305572509775,280.8591461181641,266.99978637695307,3.629901885986328,8.935050964355469,278.45858764648443,273.15670776367193,-0.7368097305297852,0.8373489379882812,0.0,-0.06693458557128906,0.005525827407836914,101948.0,165.80313873291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.630697250366211,3.145929336547852,99070.0,245.5265045166016,274.51248168945307,0.0,78.10000000000002,0.0,0.0,0.0,0.0,275.1865234375,275.92141723632807,0.00389,273.31356811523443,80.9,-1.694997787475586,0.7670917510986328,1.815243982942775,-1.694997787475586,0.7670917510986328,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.05,-3.0,0.0,14.988746643066404,13.0,22.0,0.0,0.0,10.093769758939745,0.0,74.625,100.0,100.0,31100.0,9128.214479446411,5286.203666687012,24100.0,11973.840408325195,199.7,0.0,260.1,0.0,283.3711395263672,0.0,0.0,0.0,264.0,190.0,13.056955337524414,-1.4560508728027344,9.587360382080078,5.19970703125,35.0931339263916,7.80712890625,3107.12,5.0,69800.0,3110.0,5.0,69700.0,4690.0,6600.0,13.1,0.0
4,0,2018,12,31,-10.0,-999.0,0.0,18200.0,-10.0,-10.0,-10.0,3.1946824714541435,64.70903396606445,18.08100128173828,55.71946334838867,22.29656982421875,5677.865234375,257.1586456298828,255.06228637695312,30.352554321289066,10.338462829589844,3069.32763671875,273.36444091796875,241.74978637695312,17.79622459411621,5.892620086669923,1499.5435791015625,278.49771118164057,267.93728637695307,9.551412582397461,4.542695999145508,281.4138336181641,268.32638549804693,3.693343162536621,9.267213821411133,278.8468780517578,273.52520751953125,-0.7348928451538086,0.8920936584472656,0.0,-0.04486799240112305,0.002382993698120117,101906.0,162.1018524169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4410228729248047,3.850929260253906,99030.0,245.5265045166016,274.3501434326172,0.0,78.30000000000003,0.0,0.0,0.0,0.0,275.15274047851557,275.95431518554693,0.0039299999999999995,273.43508911132807,80.7,-1.8428993225097656,0.7748680114746094,2.001165507012047,-1.8428993225097656,0.7748680114746094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.05,-4.0,0.0,20.0,13.0,21.6,0.0,0.0,11.087919652462006,0.0,100.0,100.0,100.0,33300.0,8653.915386199951,5283.448734283447,24100.0,11985.2474899292,204.1,0.0,259.6,0.0,282.80665588378906,0.0,0.0,0.0,254.0,179.0,12.233406066894533,-1.3128013610839844,8.681007385253906,5.810619354248048,32.69065093994141,6.714134216308594,3107.92,7.0,69800.0,3110.0,7.0,69600.0,4640.0,6640.0,12.3,0.0
5,0,2018,12,31,-10.0,-999.0,0.0,18400.0,-10.0,-10.0,-10.0,3.2324834167957306,63.06385803222656,17.597862243652344,53.52276992797852,27.215484619140625,5685.95947265625,257.13681030273443,255.31228637695312,29.60917854309082,9.118759155273438,3074.16943359375,273.65582275390625,251.74978637695312,18.76750087738037,6.273149490356445,1503.6807861328125,278.9730224609375,267.93728637695307,7.693526268005371,5.966991424560548,282.7757873535156,268.92819213867193,3.7918071746826167,9.564302444458008,279.37130737304693,273.81765747070307,-0.7396774291992188,0.7689361572265625,0.0,-0.05872440338134765,-0.048485517501831055,101896.0,161.53753280639646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.41092300415039,3.8132057189941406,99020.0,245.5265045166016,274.4328765869141,0.0,78.5,0.0,0.0,0.0,0.0,275.41555786132807,276.21714782714844,0.00402,273.759017944336,79.7,-1.952291488647461,0.6005344390869141,2.002697893185541,-1.952291488647461,0.6005344390869141,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.05,-5.0,0.0,11.68924331665039,13.0,20.9,0.0,0.0,13.768361270427706,0.0,100.0,100.0,100.0,35700.0,8158.374208450317,4725.583911895752,27300.0,11515.874568939209,211.0,0.0,263.90000000000003,0.0,283.0785217285156,0.0,0.0,0.0,276.0,168.0,11.374284744262695,-0.8516845703125,7.4292030334472665,7.286453247070312,31.266950607299805,4.196449279785156,3183.52,19.0,69100.0,3180.0,19.0,69000.0,4600.0,6560.0,11.7,0.0
6,0,2018,12,31,13.125,-999.0,0.0604,18100.0,-10.0,13.125,13.125,3.9553071111440654,59.82976150512695,19.268882751464844,52.9454288482666,26.41082763671875,5685.2880859375,257.96438598632807,256.24978637695307,27.9307222366333,11.770034790039062,3074.941650390625,273.1819305419922,261.49978637695307,18.222858428955078,4.1941680908203125,1500.075927734375,280.06411743164057,266.81228637695307,8.137372970581055,6.480085372924805,283.34820556640625,270.3604736328125,4.315347671508788,8.481416702270508,279.61569213867193,274.02671813964844,-0.9155569076538086,0.8423786163330078,0.0,-0.04376983642578125,-0.02461695671081543,101826.0,155.2744331359863,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3344936370849614,4.148944854736328,98950.0,245.5265045166016,275.44912719726557,0.0,78.5,0.0,0.0,0.0,0.0,276.2255859375,277.05224609375,0.0041400000000000005,274.17095947265625,80.9,-2.010540008544922,0.9223060607910156,2.1908150592353195,-2.010540008544922,0.9223060607910156,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.08,-8.0,0.0,0.0,13.0,21.4,0.0,0.0,15.829918205738068,0.0,100.0,100.0,100.0,66400.0,3500.9076347351074,4312.295265197754,25600.0,11194.34674835205,165.9,0.0,322.8,0.0,287.1779327392578,0.0,0.0,0.0,289.0,168.0,12.161197662353516,-0.7344970703125,7.6037750244140625,6.338703155517577,29.701763153076172,7.887962341308594,3097.6,41.0,69900.0,3100.0,41.0,69800.0,4590.0,6620.0,12.2,0.0
7,0,2018,12,31,11.1875,-999.0,0.0432,19300.0,-10.0,11.1875,9.0625,3.7495571486651897,60.35832405090332,22.61978912353516,52.87671661376953,20.03330993652344,5691.447265625,258.29513549804693,256.62478637695307,24.30951499938965,12.321662902832033,3076.2900390625,272.47447204589844,263.68728637695307,13.678596496582033,4.861251831054688,1498.26318359375,280.63327026367193,266.0288848876953,6.594961166381836,7.703327178955077,283.2699737548828,270.2431182861328,4.019563674926759,7.276290893554687,280.19174194335943,274.0523681640625,-0.935007095336914,0.31967735290527344,0.0,-0.07005786895751953,-0.04593396186828613,101783.0,151.5,0.0,15.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6965408325195312,2.8883132934570312,98910.0,245.5265045166016,276.01553344726557,0.0,78.60000000000002,0.0,0.0,0.0,0.0,276.8316650390625,277.72012329101557,0.004229999999999999,274.45835876464844,78.7,-2.159521102905273,0.3764934539794922,2.1935589178465307,-2.159521102905273,0.3764934539794922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.08,-7.0,4.0,10.0,13.0,21.0,0.0,0.0,17.053602039813992,0.0,97.0,95.875,97.0,70500.0,3016.603246688843,4179.124881744385,25600.0,11603.515182495117,167.60000000000005,0.0,328.5,0.0,289.6290435791016,0.0,0.0,0.0,234.0,133.0,10.537033081054688,-0.4702720642089844,6.456584930419923,6.75811767578125,26.89409065246582,7.315155029296875,2982.56,49.0,70900.0,2980.0,49.0,70800.0,4810.0,6760.0,12.0,0.0
8,0,2018,12,31,6.875,-999.0,0.0324,19300.0,-10.0,6.25,4.8125,4.742867112159728,55.20363426208496,27.533599853515625,50.89516067504883,23.64067840576172,5692.6806640625,258.366226196289,256.62478637695307,25.472341537475586,10.201156616210938,3078.001220703125,271.83950805664057,266.81228637695307,12.171880722045898,4.108896255493163,1499.468017578125,281.6929016113281,266.56228637695307,6.5414886474609375,10.36908721923828,283.7975158691406,271.3676605224609,3.3963661193847656,8.311365127563478,280.8536376953125,274.3051300048828,-0.9759311676025392,1.005596160888672,0.0,-0.025183677673339844,-0.035959720611572266,101767.0,149.47468185424802,0.0,11.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.188030242919922,4.709522247314453,98870.0,245.5265045166016,276.49327087402344,0.0,78.5,0.0,0.0,0.0,0.0,277.5023193359375,278.4010772705078,0.004350000000000001,274.814697265625,78.2,-2.2604198455810547,1.382709503173828,2.6264894395135343,-2.2604198455810547,1.382709503173828,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.13,-16.0,8.0,20.0,13.0,20.4,0.0,0.0,18.560513496398926,0.0,100.0,100.0,100.0,70500.0,3020.8269481658936,4657.915580749512,22800.0,12480.882995605469,184.0,0.0,292.2,0.0,291.70655822753906,0.0,0.0,0.0,221.0,135.0,8.796520233154297,0.3031120300292969,6.009483337402344,8.024463653564451,29.968402862548828,4.1709747314453125,2891.84,63.0,71700.0,2890.0,63.0,71600.0,4790.0,6790.0,10.0,0.0
9,0,2018,12,31,23.6875,6221.400000000002,0.2606,18600.0,22.5625,12.125,12.25,5.105525314807892,51.57870864868164,26.35987091064453,46.75107765197754,24.77510070800781,5692.283203125,259.23867797851557,257.68728637695307,25.86169242858887,12.91765594482422,3072.45654296875,271.87335205078125,270.43728637695307,11.122421264648438,8.863418579101562,1495.521240234375,282.6277160644531,274.32235717773443,8.551322937011719,12.694498062133787,283.9201354980469,273.7138061523437,2.9316654205322266,9.89177703857422,280.967025756836,274.7350311279297,-0.8124408721923828,1.1858482360839844,0.0,-0.006012916564941406,-0.00313568115234375,101689.0,143.1203193664551,0.0,17.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.427268981933594,5.2609825134277335,98810.0,245.5265045166016,276.9628295898437,0.0,78.5,0.0,0.0,0.0,0.0,277.9552459716797,278.92446899414057,0.00455,275.44473266601557,79.5,-2.1507797241210938,1.5878009796142578,2.6910807529930025,-2.1507797241210938,1.5878009796142578,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.14,-17.0,8.0,10.0,13.0,20.5,0.0,0.0,23.32699090242386,0.0,100.0,100.0,100.0,78000.0,2207.900360107422,5324.820545196533,21400.0,12739.401763916016,131.1,0.0,343.2000000000001,0.0,293.7340545654297,0.0,0.0,0.0,228.0,176.0,9.52688980102539,2.454692840576172,8.067234039306639,10.61248016357422,29.76113510131836,8.540386199951174,2784.96,92.0,72700.0,2780.0,92.0,72600.0,4890.0,6790.0,7.0,0.0
