Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,3,12,-10.0,-999.0,0.0,52000.0,-10.0,-10.0,-10.0,6.113161973655224,66.78268241882324,4.2842559814453125,56.18053436279297,-5.5994529724121085,5684.7939453125,257.3988800048828,234.37478637695312,40.14655494689941,-5.518455505371094,3089.55224609375,267.0971221923828,263.99978637695307,19.05428504943848,-5.523956298828125,1549.2996826171875,274.15191650390625,258.43728637695307,3.8834857940673833,-0.19551849365234367,278.58767700195307,262.62478637695307,1.2744741439819336,-5.244462966918945,284.1790771484375,264.56228637695307,0.9481649398803712,-1.7915267944335938,0.0,0.01894855499267578,-0.023655414581298828,102686.0,222.0792999267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9579715728759768,-5.64750862121582,99040.0,302.5890045166016,280.32296752929693,0.0,67.8,0.0,0.0,0.0,0.0,281.16305541992193,282.00489807128906,0.0034800000000000005,271.80819702148443,46.90000000000001,1.0837020874023438,-1.7433147430419922,2.065587680321187,1.0837020874023438,-1.7433147430419922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14400000000000002,0.05,-4.0,7.0,50.0,14.0,19.3,0.0,0.0,8.520824760198593,0.0,0.0,0.0,0.0,--,--,--,--,--,247.2,0.0,253.9,0.0,322.2252349853516,0.0,0.0,0.0,219.0,6.0,12.593883514404295,-12.259004592895508,0.5153255462646484,0.5737075805664062,40.5081787109375,0.3467826843261719,1782.48,20.0,82600.0,1780.0,20.0,82600.0,4770.0,6270.0,18.9,0.0
1,0,2019,3,12,-10.0,-999.0,0.0,49800.0,-10.0,-10.0,-10.0,4.1098793372511855,70.8988857269287,-0.9119644165039062,57.79540634155274,-5.917404174804688,5690.4453125,256.71080017089844,236.31228637695312,39.62100791931152,-8.079730987548826,3095.498291015625,267.30459594726557,260.24978637695307,18.28702735900879,-5.0823097229003915,1555.177490234375,274.3866577148437,256.81228637695307,3.8687343597412114,-0.9295101165771484,279.04751586914057,263.99978637695307,0.5880756378173828,-5.035858154296875,283.68353271484375,264.93728637695307,0.7474985122680664,-1.2825794219970703,0.0,0.030979156494140625,-0.02589941024780273,102736.0,226.40232944488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368844985961914,-6.2348060607910165,99100.0,302.5890045166016,279.3687744140625,0.0,68.60000000000001,0.0,0.0,0.0,0.0,280.2279052734375,280.96112060546875,0.0033799999999999998,271.37393188476557,48.3,0.9444808959960938,-1.144796371459961,1.5005346157704482,0.9444808959960938,-1.144796371459961,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.04,-3.0,5.0,60.0,14.0,19.4,0.0,0.0,8.133698016405107,0.0,0.0,0.0,0.0,--,--,--,--,--,247.0,0.0,252.3,0.0,317.8019714355469,0.0,0.0,0.0,200.0,8.4,11.684633255004885,-12.785406112670898,0.3905010223388672,-0.002307891845703125,39.42868041992188,-2.317974090576172,1839.04,19.0,82100.0,1840.0,19.0,82000.0,4760.0,6170.0,17.5,0.0
2,0,2019,3,12,-10.0,-999.0,0.0,45900.0,-10.0,-10.0,-10.0,4.45828453451395,70.55740737915039,-2.411441802978516,57.54389190673828,-5.8828773498535165,5694.623046875,256.25851440429693,237.68728637695312,38.67964553833008,-8.900848388671875,3095.8720703125,267.91421508789057,257.37478637695307,19.035198211669922,-5.5321922302246085,1555.868408203125,274.2003173828125,250.12478637695312,5.6023292541503915,-1.9166488647460933,278.3357086181641,263.68728637695307,0.4219398498535156,-4.558135986328125,283.1456756591797,264.12478637695307,0.9480457305908204,-1.4824676513671875,0.0,-0.01129150390625,-0.014348983764648438,102776.0,230.05846977233887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047006607055664,-6.396665573120117,99140.0,302.5890045166016,278.51063537597656,0.0,69.3,0.0,0.0,0.0,0.0,279.29623413085943,280.0329132080078,0.0033200000000000005,271.1869659423828,50.90000000000001,1.243459701538086,-1.2592391967773438,1.7522635785862803,1.243459701538086,-1.2592391967773438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.05,-3.0,5.0,80.0,14.0,19.700000000000006,0.0,0.0,7.320864796638489,0.0,0.0,0.0,0.0,--,--,--,--,--,246.2,0.0,248.1,0.0,313.75653076171875,0.0,0.0,0.0,199.0,16.1,11.72907257080078,-13.090984344482422,1.311199188232422,-0.2602138519287109,38.270301818847656,-3.207874298095703,1801.92,19.0,82500.0,1800.0,19.0,82400.0,4770.0,6100.0,18.2,0.0
3,0,2019,3,12,-10.0,-999.0,0.0,45300.0,-10.0,-10.0,-10.0,4.344254177063704,73.01626968383789,-3.5358619689941406,59.34136772155762,-7.683876037597656,5696.7939453125,256.2142791748047,238.06228637695312,37.06341171264648,-10.027267456054688,3097.37939453125,268.164306640625,251.37478637695312,19.31754302978516,-5.737010955810548,1558.753173828125,273.82379150390625,248.56228637695312,4.83057975769043,-2.44635009765625,278.14431762695307,263.49978637695307,0.2908897399902344,-4.589035034179688,282.6323547363281,264.06228637695307,0.8767910003662109,-1.5669937133789062,0.0,-0.024797439575195312,-0.000339508056640625,102826.0,234.43815803527832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9926261901855469,-6.29460334777832,99190.0,302.5890045166016,277.895523071289,0.0,69.7,0.0,0.0,0.0,0.0,278.643081665039,279.33261108398443,0.0032,270.6698455810547,51.5,1.2333831787109375,-1.2217884063720703,1.7520831073634326,1.2333831787109375,-1.2217884063720703,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.04,-3.0,5.0,80.0,14.0,20.4,0.0,0.0,6.517695724964143,0.0,0.0,0.0,0.0,--,--,--,--,--,246.1,0.0,244.2,0.0,311.0548858642578,0.0,0.0,0.0,193.0,9.3,10.910062789916992,-13.372314453125,1.1736412048339844,-0.9684181213378906,36.59225463867188,-4.493518829345703,1703.6,16.0,83600.0,1700.0,16.0,83500.0,4760.0,6080.0,18.3,0.0
4,0,2019,3,12,-10.0,-999.0,0.0,42600.0,-10.0,-10.0,-10.0,3.416135184466839,71.4475574493408,-5.801189422607423,57.68474960327149,-8.3477783203125,5701.37255859375,256.3814239501953,237.93728637695312,34.493690490722656,-9.31332778930664,3097.45556640625,269.06884765625,244.24978637695312,17.787918090820312,-5.925638198852539,1556.94384765625,273.59326171875,247.99978637695312,3.887617111206055,-2.1284198760986333,277.5067901611328,262.68728637695307,-0.972431182861328,-3.46889877319336,281.31301879882807,264.37478637695307,0.18775367736816406,-1.2945060729980469,0.0,0.00037384033203125,-0.031389713287353516,102828.0,235.58550643920898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14412879943847656,-5.695966720581055,99210.0,302.5890045166016,277.06661987304693,0.0,70.2,0.0,0.0,0.0,0.0,277.7548065185547,278.3936309814453,0.0031100000000000004,270.2740936279297,53.90000000000001,0.40484619140625,-1.0199813842773438,1.1276325304061174,0.40484619140625,-1.0199813842773438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.03,-2.0,3.0,80.0,14.0,21.6,0.0,0.0,5.7717552185058585,0.0,0.0,85.0,85.0,--,--,9983.525764465332,--,11897.904777526855,234.7,0.0,242.2,0.0,307.52674865722656,0.0,0.0,0.0,177.0,20.700000000000006,9.466798782348633,-13.01556396484375,1.3814029693603516,-0.10549163818359376,35.170948028564446,-4.1565284729003915,1661.84,15.0,84000.0,1660.0,15.0,83900.0,4780.0,6100.0,17.900000000000006,0.0
5,0,2019,3,12,-10.0,-999.0,0.0,40100.0,-10.0,-10.0,-10.0,4.552901394665241,74.37913131713867,-7.989677429199219,58.07976531982422,-11.871238708496096,5701.099609375,256.42697143554693,237.49978637695312,35.53018760681152,-11.924407958984375,3096.48583984375,269.8461303710937,230.93728637695312,16.649909973144528,-8.514986038208008,1555.55224609375,273.40402221679693,249.62478637695312,4.017210006713866,-2.161712646484375,276.9605255126953,263.18728637695307,-0.9951677322387696,-4.570390701293945,280.2020263671875,265.62478637695307,-0.11338996887207033,-1.7935104370117188,0.0,0.015829086303710938,-0.014836311340332031,102832.0,236.4650859832764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.674102783203125,-6.904582977294923,99220.0,302.5890045166016,276.431884765625,0.0,70.5,0.0,0.0,0.0,0.0,277.1294403076172,277.8066253662109,0.0030800000000000003,270.141357421875,55.5,-0.1828479766845703,-1.705678939819336,1.6904037653002888,-0.1828479766845703,-1.705678939819336,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.04,-3.0,4.0,70.0,14.0,22.0,0.0,0.0,4.999014049768449,0.0,0.0,47.875,47.875,--,--,9947.284923553467,--,11502.371234893799,235.8,0.0,236.7,0.0,304.6393280029297,0.0,0.0,0.0,187.0,23.0,8.787982940673826,-14.4083251953125,2.402355194091797,0.220916748046875,37.64469909667969,-5.781772613525393,1626.16,15.0,84300.0,1630.0,15.0,84200.0,4750.0,6100.0,18.4,0.0
6,0,2019,3,12,-10.0,-999.0,0.0,37100.0,-10.0,-10.0,-10.0,3.9208490438759327,72.94260787963867,-6.032390594482423,57.21588325500488,-10.127815246582033,5701.390625,256.4984588623047,237.87478637695312,33.44120407104492,-12.412151336669922,3096.72412109375,271.0155487060547,201.68728637695312,14.961196899414062,-9.246017456054688,1553.65283203125,273.27227783203125,249.43728637695312,4.1476192474365225,-1.617441177368164,276.6876220703125,263.37478637695307,-0.963693618774414,-3.111274719238281,278.92617797851557,266.24978637695307,-0.3745546340942383,-0.7365665435791016,0.0,0.017999649047851562,-0.02895116806030273,102816.0,236.17479705810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.345405578613281,-5.365049362182617,99220.0,302.5890045166016,275.40792846679693,0.0,70.8,0.0,0.0,0.0,0.0,276.0733795166016,276.7026824951172,0.00299,269.74978637695307,58.2,-0.6258487701416016,-0.7724628448486328,1.003542031161487,-0.6258487701416016,-0.7724628448486328,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.03,-2.0,2.0,80.0,14.0,23.1,0.0,0.0,4.4962245523929605,0.0,0.0,6.125,6.125,--,--,--,--,--,241.4,0.0,230.3,0.0,300.2267150878906,0.0,0.0,0.0,187.0,34.5,7.2873592376708975,-13.766427993774414,3.460235595703125,0.25374794006347656,36.825096130371094,-7.7118186950683585,1605.44,14.0,84500.0,1610.0,14.0,84400.0,4730.0,6120.0,18.8,0.0
7,0,2019,3,12,-10.0,-999.0,0.0,32100.0,-10.0,-10.0,-10.0,3.779025984928012,70.4940662384033,-7.2374000549316415,58.10626983642578,-13.966663360595705,5703.1650390625,256.56201171875,238.12478637695312,33.565603256225586,-14.298301696777346,3099.519287109375,272.2794342041016,221.87478637695312,12.55350112915039,-11.213737487792967,1552.383056640625,273.00485229492193,249.24978637695312,2.7835350036621094,-3.2655601501464844,276.05465698242193,262.82554626464844,-2.22174072265625,-4.1956443786621085,277.85415649414057,266.08767700195307,-0.4705877304077149,-0.5394535064697266,0.0,-0.008146286010742188,0.009205341339111328,102814.0,236.9452667236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.966419219970703,-4.4779396057128915,99230.0,302.5890045166016,274.5949249267578,0.0,71.0,0.0,0.0,0.0,0.0,275.03720092773443,275.6892852783203,0.0029600000000000004,269.6158599853516,63.6,-0.8819255828857422,-0.612152099609375,1.0654563026037067,-0.8819255828857422,-0.612152099609375,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.03,-1.0,2.0,70.0,14.0,24.20000000000001,0.0,0.0,4.265471637248993,0.0,0.0,81.875,81.875,--,--,9098.644676208496,--,11726.257663726807,225.9,0.0,230.7,0.0,296.64544677734375,0.0,0.0,0.0,146.0,3.0,5.68511962890625,-14.494916915893555,2.508617401123047,-1.9505538940429688,37.97621154785156,-9.974464416503906,1536.88,15.0,85200.0,1540.0,15.0,85200.0,4670.0,6130.0,19.0,0.0
8,0,2019,3,12,-10.0,-999.0,0.0,30100.0,-10.0,-10.0,-10.0,3.141423210501672,68.59482002258301,-9.591289520263672,57.12773323059082,-14.3544921875,5702.9658203125,256.48416137695307,239.87478637695312,31.88967514038086,-14.443084716796875,3102.03466796875,272.55526733398443,229.31228637695312,12.616806030273438,-10.89946746826172,1553.7100830078125,272.8226928710937,249.46124267578125,2.995790481567384,-4.152477264404297,275.9130249023437,262.57281494140625,-0.7726373672485352,-5.1221961975097665,277.45448303222656,266.2770538330078,-0.15097713470458984,-0.6838188171386719,0.0,-0.029924392700195312,-0.012784481048583984,102840.0,239.31539916992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1841602325439453,-3.7301044464111333,99260.0,302.5890045166016,274.23263549804693,0.0,71.2,0.0,0.0,0.0,0.0,274.61785888671875,275.25868225097656,0.0029600000000000004,269.6250762939453,65.8,-0.2946109771728516,-0.6744766235351562,0.7533585391938686,-0.2946109771728516,-0.6744766235351562,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.02,0.0,1.0,50.0,14.0,24.4,0.0,0.0,4.462177217006683,0.0,0.0,87.25,87.25,27300.0,9968.061574935913,8617.876445770264,27300.0,11492.707969665527,222.2,0.0,231.5,0.0,295.0201873779297,0.0,0.0,0.0,117.0,-13.4,5.725837707519531,-14.641168594360352,2.4767990112304688,-3.5286598205566406,35.21918487548828,-10.448848724365234,1478.4,18.0,85900.0,3050.0,2.0,70500.0,4590.0,6120.0,19.0,0.0
9,0,2019,3,12,-10.0,-999.0,0.0,31100.0,-10.0,-10.0,-10.0,2.552116371691227,67.54385375976561,-9.346622467041016,58.83480834960938,-15.74066925048828,5707.27734375,256.5601806640625,239.81228637695312,30.766925811767567,-14.8145751953125,3103.36083984375,272.66123962402344,232.93728637695312,13.26498031616211,-10.949974060058594,1551.470703125,273.24826049804693,249.56228637695312,2.654306411743164,-4.79405403137207,275.74295043945307,261.3645477294922,-0.5168304443359375,-6.6977806091308585,277.327377319336,266.1721954345703,-0.1506357192993164,-0.5779685974121094,0.0,0.009771347045898438,-0.025467395782470703,102816.0,237.4478530883789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6512184143066406,-3.1310863494873047,99230.0,302.5890045166016,273.49612426757807,0.0,71.4,0.0,0.0,0.0,0.0,274.1198272705078,274.7654266357422,0.00285,269.10800170898443,64.10000000000001,-0.4983081817626953,-0.3524742126464844,0.6270418660715222,-0.4983081817626953,-0.3524742126464844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457,0.02,-1.0,1.0,60.0,14.0,24.8,0.0,0.0,4.262921869754791,0.0,0.0,82.5,82.5,--,--,8627.664798736572,--,11516.635284423828,224.3,0.0,228.4,0.0,291.8991241455078,0.0,0.0,0.0,100.0,-35.0,5.50340461730957,-14.906265258789062,1.5126571655273438,-4.725313186645508,33.38587188720703,-10.97805404663086,1628.48,15.0,84300.0,3060.0,3.0,70300.0,4640.0,6120.0,18.7,0.0
