Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,3,15,-2.75,-999.0,0.008,28400.0,-7.5625,-6.1875,-6.1875,19.796285763382908,47.42743873596192,18.158626556396484,44.01982402801514,19.68259048461914,5736.625,259.64993286132807,258.18728637695307,21.33612632751465,17.206047058105472,3093.107666015625,277.32077026367193,272.31228637695307,25.011059761047363,17.89908218383789,1480.42041015625,287.310302734375,279.49978637695307,13.897378921508787,25.18302917480469,290.88958740234375,283.8747863769531,0.205683708190918,19.11617660522461,295.8828125,287.8122863769531,-0.7399797439575195,5.724743843078612,0.0,-0.14583301544189453,-0.039357900619506836,101051.0,90.4306182861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9511680603027344,13.847555160522461,94310.0,595.5577545166017,291.1466369628906,0.0,12.0,0.0,0.0,0.0,0.0,292.0182647705078,296.96417236328125,0.008990000000000001,284.6330108642578,60.90000000000001,-0.863006591796875,7.158893585205077,7.256561792455614,-0.863006591796875,7.158893585205077,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.63,-55.0,41.0,60.0,4.0,0.30000000000000004,0.0,-233.0,26.893147945404053,0.0,7.25,1.625,7.25,59900.0,4344.64019203186,--,40900.0,--,237.0,0.0,343.70000000000016,0.0,379.0186309814453,0.0,0.0,0.0,666.0,457.0,15.058902740478516,11.156522750854492,17.156915664672848,17.416975021362305,21.06871795654297,1.931236267089844,3669.92,76.0,65300.0,3660.0,76.0,65200.0,5150.0,6870.0,0.4,0.0
1,0,2019,3,15,-10.0,-999.0,0.0,26800.0,-10.0,-10.0,-10.0,20.28822096437216,46.2553129196167,19.84762954711914,40.45223426818848,23.48565673828125,5740.57666015625,260.57229614257807,255.93728637695312,23.08314323425293,19.00920867919922,3088.766357421875,276.8740081787109,272.68728637695307,26.96001625061035,15.93421745300293,1476.8616943359375,287.49066162109375,279.93728637695307,14.047866821289062,26.93157958984375,290.5718994140625,284.3122863769531,0.5835361480712891,19.86194610595703,295.516357421875,288.1872863769531,0.02588462829589844,5.780181884765625,0.0,-0.09073162078857422,-0.02309608459472656,101015.0,87.31034088134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027904510498046875,13.422088623046875,94280.0,595.5577545166017,290.25038146972656,0.0,19.9,0.0,0.0,0.0,0.0,291.59471130371094,296.5702819824219,0.00917,284.9372863769531,63.40000000000001,0.09977912902832033,7.138392448425293,7.128737186314537,0.09977912902832033,7.138392448425293,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.62,-82.0,51.0,50.0,4.0,1.2000000000000002,0.0,0.0,25.51480856537819,0.0,11.375,12.875,12.875,--,--,--,--,--,258.40000000000003,0.0,326.6,0.0,374.1402740478516,0.0,0.0,0.0,748.0,478.0,16.188589096069336,11.676151275634766,15.632230758666992,19.86642837524414,21.367305755615234,3.388374328613281,3720.48,54.0,64800.0,3720.0,54.0,64700.0,5370.0,6790.0,1.1,0.0
2,0,2019,3,15,-10.0,-999.0,0.0,25100.0,-10.0,-10.0,-10.0,15.810075491666794,43.889140129089355,22.333911895751953,40.17385673522949,24.994590759277344,5746.64453125,261.3554229736328,247.87478637695312,28.223182678222656,21.277193069458008,3089.93896484375,277.34396362304693,270.24978637695307,30.03824615478516,15.96917724609375,1477.3172607421875,288.1093444824219,279.43728637695307,14.401159286499025,27.6433219909668,290.956787109375,284.9372863769531,0.12750244140625,19.978490829467773,295.2972106933594,288.5622863769531,-0.4411306381225586,5.798355102539063,0.0,-0.12477588653564453,-0.055358171463012695,100993.0,85.62022399902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4229412078857422,13.112005233764648,94270.0,595.5577545166017,289.9226989746094,0.0,23.6,0.0,0.0,0.0,0.0,291.19703674316406,296.19158935546875,0.00932,285.1872863769531,66.0,-0.6037960052490234,7.098213195800781,7.066227321047336,-0.6037960052490234,7.098213195800781,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.61,-77.0,57.0,30.0,4.0,2.1,0.0,0.0,22.955909997224808,0.0,10.875,24.0,24.0,--,--,--,--,--,263.1,0.0,324.3,0.0,372.5074005126953,0.0,0.0,0.0,842.0,566.0,18.52044010162353,12.336362838745115,16.279546737670902,20.85810089111328,27.50498962402344,7.88568115234375,3854.16,35.0,63800.0,3850.0,35.0,63600.0,5500.0,6820.0,1.5,0.0
3,0,2019,3,15,16.0,-999.0,0.0704,24400.0,-10.0,16.0,16.0,21.271492172032595,43.68941688537598,22.191627502441406,37.479500770568855,27.539093017578125,5739.39013671875,260.6767120361328,256.99978637695307,31.00985050201416,19.06553649902344,3089.09814453125,277.269287109375,273.18728637695307,28.0379581451416,18.803363800048828,1475.652099609375,288.1717834472656,278.18728637695307,14.608428955078125,29.24367332458496,290.6618347167969,284.1247863769531,0.5994138717651367,22.056459426879886,295.0623779296875,288.4372863769531,-0.4184989929199219,6.479326248168945,0.0,-0.11872720718383788,-0.08283710479736328,100986.0,84.931396484375,0.0,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8145713806152344,14.840139389038086,94250.0,595.5577545166017,289.5262756347656,0.0,27.9,0.0,0.0,0.0,0.0,291.06243896484375,296.0332946777344,0.00942,285.3747863769531,67.2,-0.6347846984863281,8.079145431518555,8.128672905033454,-0.6347846984863281,8.079145431518555,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.71,-100.0,71.0,40.0,4.0,1.1,0.0,0.0,25.228123396635056,0.0,39.875,39.25,39.875,59900.0,4344.00136756897,--,30900.0,--,169.60000000000005,0.0,371.1,0.0,370.6968078613281,0.0,0.0,0.0,786.0,564.0,17.223617553710938,13.175840377807615,15.946981430053713,21.25163078308105,30.283945083618164,2.753795623779297,3736.16,54.0,64700.0,3740.0,54.0,64600.0,5350.0,6810.0,1.4,0.0
4,0,2019,3,15,-10.0,-999.0,0.0,26000.0,-10.0,-10.0,-10.0,22.010482542216774,41.47019386291504,21.69021987915039,36.63695335388184,28.22608184814453,5733.7958984375,260.19158935546875,251.99978637695312,31.011563301086426,21.527511596679688,3085.647705078125,276.9618530273437,274.06228637695307,27.742645263671875,19.167573928833008,1472.024169921875,288.3697509765625,279.62478637695307,16.276458740234375,29.74454498291016,290.82275390625,283.9372863769531,3.213068962097168,21.02101325988769,295.520751953125,288.2497863769531,0.6019258499145508,5.6485795974731445,0.0,-0.14770126342773438,-0.06543922424316406,100966.0,83.20140075683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859127044677734,14.879411697387695,94190.0,595.5577545166017,289.22967529296875,0.0,42.2,0.0,0.0,0.0,0.0,291.34710693359375,296.38934326171875,0.009370000000000002,285.2330627441406,64.7,0.1859607696533203,7.6283817291259775,7.630213052500039,0.1859607696533203,7.6283817291259775,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.66,-132.0,108.0,80.0,4.0,0.4,0.0,0.0,25.886646270751953,0.0,6.625,1.375,6.625,--,--,--,--,--,259.8,0.0,328.7000000000001,0.0,369.14398193359375,0.0,0.0,0.0,779.0,597.0,18.85153293609619,14.068426132202148,18.25595092773437,22.194101333618164,28.898277282714844,4.863334655761719,3747.12,60.0,64600.0,3750.0,59.0,64500.0,5270.0,6780.0,-0.7000000000000001,40.0
5,0,2019,3,15,12.1875,-999.0,0.0112,23300.0,-10.0,-10.0,-10.0,17.300381131470207,40.22203063964844,22.93991851806641,34.54854965209961,27.00094985961914,5724.47314453125,260.86032104492193,242.31228637695312,32.0837345123291,22.893312454223643,3077.39013671875,276.02130126953125,276.12478637695307,26.757476806640625,20.036705017089844,1476.43896484375,285.0552978515625,283.3747863769531,14.601058959960938,27.05747985839844,289.82659912109375,284.6247863769531,8.458015441894531,14.192232131958008,294.776611328125,288.7497863769531,2.3290462493896484,3.020488739013672,0.0,-0.05498790740966797,-0.04461932182312012,101054.0,90.20457458496094,11.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.185087203979492,7.8137760162353525,94320.0,595.5577545166017,289.03126525878906,0.0,61.6,0.0,0.0,0.0,0.0,290.81671142578125,295.7493591308594,0.009729999999999999,285.82383728027344,69.3,3.293304443359375,3.9826641082763667,5.190819844370708,3.293304443359375,3.9826641082763667,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.42,-82.0,87.0,80.0,4.0,1.0,10.0,-46.0,28.136913657188416,25.375,5.25,1.625,25.375,--,--,--,--,--,260.1,0.0,333.5,0.0,368.14524841308594,0.0,0.0,0.0,526.0,332.0,23.10666465759277,12.528450012207033,12.273033142089846,23.3802547454834,23.74077320098877,14.525897979736328,3546.64,95.0,66100.0,3550.0,95.0,66000.0,5360.0,6810.0,0.7000000000000001,10.0
6,0,2019,3,15,-0.6875,-999.0,0.0024,19800.0,-10.0,-10.0,-10.0,18.755202285945405,41.6062068939209,22.40286636352539,37.78833198547363,24.066883087158203,5720.0625,260.1930694580078,234.74978637695312,32.046594619750984,22.67650032043457,3074.357177734375,276.38601684570307,273.62478637695307,26.92187118530273,23.63495635986328,1469.826416015625,285.47198486328125,284.9372863769531,14.871124267578125,24.69075584411621,288.89605712890625,285.6247863769531,6.074363708496094,16.525077819824222,293.8758544921875,289.4997863769531,1.5417366027832031,3.885421752929688,0.0,-0.06328296661376953,-0.02078413963317871,101003.0,86.01760864257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2558555603027344,10.729522705078123,94240.0,595.5577545166017,289.0323944091797,0.0,59.40000000000001,0.0,0.0,0.0,0.0,290.1884765625,295.1725158691406,0.01002,286.2497863769531,75.60000000000002,1.6316280364990234,5.368925094604492,5.632391085848213,1.6316280364990234,5.368925094604492,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.47,-58.0,79.0,40.0,4.0,0.4,0.0,0.0,26.28450629115105,50.125,0.875,0.0,50.125,83100.0,1655.9677600860596,1431.1567916870117,83100.0,1924.497085571289,262.7,0.0,379.5,0.0,368.1585998535156,0.0,0.0,0.0,489.0,378.0,20.93216896057129,12.715486526489258,14.059270858764648,19.80349349975586,27.28637504577637,11.007373809814453,3670.48,46.0,65100.0,3680.0,46.0,65000.0,5290.0,6700.0,-1.5,250.0
7,0,2019,3,15,18.5625,1732.6,0.0096,19200.0,-10.0,-10.0,-10.0,14.713170239701867,43.88614082336426,22.35782623291016,41.949501037597656,23.96257781982422,5715.966796875,260.01934814453125,237.93728637695312,32.318042755126946,21.75836753845215,3073.38525390625,276.36973571777344,272.12478637695307,24.99128150939941,24.33707427978516,1471.619873046875,285.2444152832031,283.7497863769531,16.041519165039062,22.59662628173828,289.3135986328125,286.1872863769531,6.618389129638673,16.062170028686527,293.84271240234375,289.6247863769531,1.6244773864746094,3.884424209594727,0.0,-0.04432296752929688,-0.03992962837219238,101017.0,87.1766357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.284059524536134,10.494012832641602,94260.0,595.5577545166017,288.96881103515625,0.0,58.90000000000001,0.0,0.0,0.0,0.0,289.91876220703125,294.8982849121094,0.00993,286.15553283691406,76.4,2.348672866821289,5.182903289794922,5.687827908957843,2.348672866821289,5.182903289794922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.48,-50.0,80.0,30.0,4.0,0.4,0.0,0.0,25.111310869455338,38.375,0.0,0.0,38.375,--,--,--,--,--,263.3,0.0,328.5,0.0,367.8197479248047,0.0,0.0,0.0,417.0,347.0,21.34878921508789,12.264202117919922,14.869359970092773,17.344406127929688,25.60453987121582,9.545555114746094,3594.64,51.0,65700.0,3590.0,51.0,65600.0,5240.0,6630.0,-1.1,220.0
8,0,2019,3,15,-8.125,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,14.029993195086718,45.02504539489746,20.982784271240234,40.819902420043945,23.907901763916016,5705.5078125,260.0518798828125,240.24978637695312,34.524024963378906,19.506969451904297,3065.443359375,275.942626953125,272.68728637695307,25.57586479187012,24.024524688720703,1469.18798828125,284.4630126953125,284.4372863769531,15.799667358398438,20.937549591064453,288.447021484375,284.9372863769531,7.124767303466798,13.1248779296875,293.00579833984375,288.8122863769531,1.387430191040039,2.956396102905273,0.0,-0.08678150177001953,-0.04618573188781738,101029.0,88.20317077636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9403076171875,8.381214141845701,94260.0,595.5577545166017,288.82025146484375,0.0,59.40000000000001,0.0,0.0,0.0,0.0,289.5213317871094,294.4698791503906,0.009710000000000002,285.8231506347656,77.0,1.7840805053710938,4.232176780700684,4.566474395804106,1.7840805053710938,4.232176780700684,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.38,-30.0,69.0,10.0,4.0,1.3,0.0,-39.0,25.47970893979073,97.0,0.0,0.0,97.0,87600.0,1217.2301044464111,1037.9207458496094,80600.0,2215.7522468566895,253.2,0.0,389.9,0.0,366.74949645996094,0.0,0.0,0.0,433.0,303.0,22.010337829589844,10.591384887695312,14.85699462890625,16.949491500854492,27.902013778686523,12.776561737060547,3537.36,62.0,66100.0,3540.0,62.0,66000.0,5210.0,6740.0,-0.9,220.0
9,0,2019,3,15,12.6875,-999.0,0.0104,18400.0,-10.0,-10.0,-10.0,13.530895387753846,45.74437713623047,20.680809020996094,42.50117874145508,22.511703491210934,5703.34521484375,259.65408325195307,240.81228637695312,34.97286605834961,22.13280487060547,3063.8095703125,276.69927978515625,271.62478637695307,26.66193008422852,26.747760772705078,1468.7567138671875,283.0740661621094,282.9372863769531,15.880453109741213,16.497264862060547,287.8551025390625,285.4372863769531,9.545791625976562,9.117416381835938,292.1307678222656,288.9372863769531,3.748638153076172,2.3630294799804688,0.0,-0.031042098999023438,0.013340950012207031,101062.0,91.2387237548828,11.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.672191619873048,5.887228012084961,94290.0,595.5577545166017,288.64451599121094,0.0,58.6,0.0,0.0,0.0,0.0,289.2405548095703,294.1988830566406,0.009670000000000002,285.7294158935547,78.4,4.843208312988281,3.1633243560791016,5.820935873314737,4.843208312988281,3.1633243560791016,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,-34.0,81.0,0.0,4.0,0.9,20.0,-10.0,25.01023632287979,75.0,0.0,0.0,75.0,83200.0,1651.0035877227783,1427.6969680786133,77800.0,2540.4101638793945,250.2,0.0,383.5,0.0,366.0319519042969,0.0,0.0,0.0,397.0,177.0,24.10588264465332,10.754413604736328,11.646656036376953,13.717697143554688,25.94684219360352,16.35397720336914,3601.52,58.0,65600.0,3600.0,58.0,65500.0,5110.0,6710.0,-0.5,130.0
