Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,4,18,-10.0,-999.0,0.0,27900.0,-10.0,-10.0,-10.0,6.398342192173004,30.603763580322266,14.81732177734375,20.47127914428711,5.225872039794922,5840.37841796875,264.59133911132807,242.81228637695312,10.34156608581543,6.403697967529298,3154.196533203125,281.04327392578125,234.37478637695312,3.2557315826416016,5.54985237121582,1530.9176025390625,288.903564453125,261.31228637695307,-3.3065280914306636,7.571687698364258,291.17724609375,283.0948486328125,-3.050479888916016,5.332404136657715,296.36968994140625,288.9224090576172,-1.5536966323852541,5.529180526733398,0.0,0.006241798400878906,-0.03542017936706543,101585.0,138.14547729492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6665973663330078,5.684438705444336,100770.0,70.52650451660156,295.5923767089844,0.0,11.2,0.0,0.0,0.0,0.0,296.297119140625,295.6462707519531,0.01112,288.93690490722656,61.90000000000001,-1.0660076141357422,3.326969146728516,3.50796702131629,-1.0660076141357422,3.326969146728516,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.22,-20.0,30.0,100.0,8.0,2.8000000000000003,0.0,0.0,16.01190972328186,0.0,0.0,0.0,0.0,--,--,--,--,--,281.9000000000001,18.2,343.2000000000001,2.375,402.62445068359375,11.3,17.7,9.6,41.0,-12.0,1.3172025680541992,-1.234262466430664,-2.2422332763671875,1.98811149597168,12.370960235595705,0.8802413940429688,4456.08,7.0,59700.0,4460.0,7.0,59600.0,6030.0,7360.0,1.7000000000000002,0.0
1,0,2019,4,18,-10.0,-999.0,0.0,20600.0,-10.0,-10.0,-10.0,4.9420972019433975,28.678823471069336,12.415973663330078,21.012657165527344,6.734092712402344,5838.9755859375,264.76959228515625,244.37478637695312,10.148590087890623,7.535575866699219,3150.89599609375,281.12252807617193,237.74978637695312,3.6789951324462886,6.6686859130859375,1527.87451171875,288.51727294921875,264.56228637695307,-3.374156951904297,7.001262664794923,291.23846435546875,281.4997863769531,-3.4776630401611333,5.362060546875,295.0102233886719,289.8833312988281,-2.196451187133789,5.588529586791992,0.0,-0.009528160095214844,0.01748967170715332,101567.0,136.35739517211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2913780212402344,5.7078495025634775,100750.0,70.52650451660156,294.3475646972656,0.0,14.2,0.0,0.0,0.0,0.0,294.60247802734375,293.95770263671875,0.01189,289.9781646728516,74.10000000000002,-1.1538448333740234,2.251720428466797,2.5674549359828243,-1.1538448333740234,2.251720428466797,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.14,-4.0,10.0,20.0,8.0,2.9000000000000004,0.0,0.0,16.522355556488034,2.25,0.0,0.0,2.25,--,--,--,--,--,278.5,0.0,338.1,0.0,395.8536682128906,0.0,0.0,0.0,56.0,-7.0,1.8541288375854488,-0.8813610076904297,-2.1237449645996094,2.7200641632080083,13.062370300292967,2.2368202209472656,4480.64,7.0,59400.0,4480.0,7.0,59400.0,6040.0,7370.0,1.8,0.0
2,0,2019,4,18,4.125,-999.0,0.004,16100.0,-10.0,-10.0,-10.0,5.203450970351696,25.93837738037109,12.95297622680664,23.92178726196289,7.624160766601562,5844.8701171875,264.79644775390625,245.43728637695312,10.484086990356444,8.424716949462889,3154.127197265625,281.292236328125,237.87478637695312,4.420245170593262,6.3008079528808585,1530.586181640625,288.7184143066406,262.84487915039057,-2.388568878173828,7.476478576660156,290.52716064453125,281.9997863769531,-2.9683990478515625,7.068450927734375,293.650634765625,290.5622863769531,-3.0644130706787114,5.806375503540039,0.0,-0.009444713592529295,0.01752638816833496,101630.0,142.022216796875,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2159996032714844,5.7236175537109375,100820.0,70.52650451660156,293.5215148925781,0.0,18.1,0.0,0.0,0.0,0.0,293.46533203125,292.8216857910156,0.01247,290.71282958984375,83.9,-1.4086923599243164,2.3969039916992188,2.754531339276582,-1.4086923599243164,2.3969039916992188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.18,0.0,10.0,10.0,8.0,2.9000000000000004,0.0,0.0,16.663308143615726,0.25,0.0,0.0,0.25,48900.0,6025.850601196289,--,48900.0,--,276.3,0.0,335.6,0.0,391.2379760742188,0.0,0.0,0.0,71.0,15.0,2.254138946533203,-0.4035568237304688,-1.5672245025634766,3.8670368194580083,14.182374954223633,2.691417694091797,4554.4000000000015,7.0,58900.0,4550.0,7.0,58900.0,6050.0,7370.0,1.8,0.0
3,0,2019,4,18,-10.0,-999.0,0.0,13200.0,-10.0,-10.0,-10.0,6.76284421980381,25.63265609741211,12.032936096191404,24.197490692138672,7.119659423828125,5848.73974609375,264.82876586914057,247.24978637695312,10.04430103302002,9.762840270996094,3157.451171875,281.40643310546875,236.87478637695312,3.894810676574707,6.6119232177734375,1532.3975830078125,289.27606201171875,253.37478637695312,-2.294763565063477,7.3181209564208975,290.448974609375,280.87478637695307,-3.804737091064453,7.500019073486327,292.9346008300781,291.7497863769531,-4.1251306533813485,5.236501693725586,0.0,-0.04563188552856445,-0.01567840576171875,101658.0,144.50242996215817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.107185363769531,5.102302551269531,100850.0,70.52650451660156,292.6159973144531,0.0,23.3,0.0,0.0,0.0,0.0,292.9372253417969,292.2793884277344,0.01326,291.6872863769531,91.3,-1.7469463348388672,2.2876739501953125,2.8764771984424438,-1.7469463348388672,2.2876739501953125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.18,-10.0,0.0,41.0,8.0,2.0,0.0,0.0,16.048047602176663,0.625,0.0,0.0,0.625,--,--,--,--,--,276.40000000000003,0.0,335.1,0.0,386.5541076660156,0.0,0.0,0.0,77.0,25.0,2.3060379028320312,-0.0521392822265625,-2.037055969238281,4.512853622436523,14.652587890625,4.144294738769531,4573.92,8.0,58800.0,4570.0,8.0,58800.0,6050.0,7380.0,1.0,10.0
4,0,2019,4,18,-10.0,-999.0,0.0,13100.0,-10.0,-10.0,-10.0,8.84213312715292,26.41974639892578,11.83123016357422,24.003570556640625,7.9862022399902335,5841.22265625,264.738037109375,249.62478637695312,11.08592700958252,10.41326141357422,3150.96044921875,281.10745239257807,239.68728637695312,3.3646144866943364,7.246438980102539,1527.0345458984375,289.08673095703125,258.74978637695307,-2.0873756408691406,7.933952331542969,289.4957275390625,284.0622863769531,-3.0998210906982417,10.07858657836914,292.694091796875,291.3747863769531,-4.194326400756837,5.418054580688477,0.0,-0.004424571990966797,-0.02726435661315918,101627.0,141.69337272644043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1845951080322275,5.465291976928711,100820.0,70.52650451660156,292.86566162109375,0.0,30.4,0.0,0.0,0.0,0.0,293.0079040527344,292.2980041503906,0.0133,291.7497863769531,92.0,-2.179264068603516,3.014404296875,3.7545160036534067,-2.179264068603516,3.014404296875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.25,0.0,10.0,22.0,8.0,1.9,10.0,0.0,17.302915096282963,51.0,0.0,0.0,51.0,95700.0,517.7209968566895,366.58908462524414,93600.0,931.892707824707,272.8,0.0,406.20000000000016,0.0,387.9607391357422,0.0,0.0,0.0,80.0,49.0,2.4096832275390625,0.7794055938720703,-0.8114395141601562,6.056415557861327,15.689241409301758,4.0055580139160165,4553.92,8.0,58900.0,4550.0,8.0,58900.0,6030.0,7330.0,1.8,10.0
5,0,2019,4,18,-10.0,-999.0,0.0,13600.0,-10.0,-10.0,-10.0,9.551835227757694,28.35525321960449,12.904136657714846,22.277135848999023,9.666526794433594,5833.837890625,264.7796173095703,249.24978637695312,12.37132978439331,10.85028076171875,3141.99951171875,281.09854125976557,240.68728637695312,2.503901481628418,8.006231307983397,1517.361572265625,289.44268798828125,256.24978637695307,-3.4250354766845703,8.297449111938478,288.3585205078125,286.2497863769531,-3.646797180175781,11.096569061279297,292.5648193359375,290.9997863769531,-3.7966623306274414,4.966875076293945,0.0,0.0007085800170898438,0.010010480880737305,101539.0,133.79276275634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9753265380859375,5.209493637084961,100730.0,70.52650451660156,293.0747985839844,0.0,37.2,0.0,0.0,0.0,0.0,293.0242614746094,292.463623046875,0.013070000000000002,291.4372863769531,90.4,-2.4570274353027344,3.0823287963867188,4.0030049895867705,-2.4570274353027344,3.0823287963867188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.27,1.0,17.0,7.0,8.0,2.2,10.0,0.0,17.971030563116074,62.375,0.0,0.0,62.375,95600.0,516.7232151031494,366.3842315673828,93500.0,930.2264404296875,269.6,0.0,405.1,0.0,389.0087585449219,0.0,0.0,0.0,73.0,48.0,2.140920639038086,1.227865219116211,-1.3547420501708984,7.1178627014160165,17.14272689819336,4.521106719970703,4602.0,8.0,58500.0,4600.0,8.0,58400.0,6020.0,7270.0,2.3000000000000003,10.0
6,0,2019,4,18,-10.0,-999.0,0.0,13100.0,-10.0,-10.0,-10.0,9.968821797519922,29.798620223999023,12.51288604736328,21.703712463378906,11.560314178466795,5828.70361328125,264.7313842773437,247.68728637695312,13.902534008026125,10.038692474365234,3135.4638671875,281.39242553710943,241.37478637695312,2.2600345611572266,8.591821670532228,1508.88427734375,290.1176452636719,248.31228637695312,-3.7936744689941406,9.552753448486328,288.4443359375,286.00047302246094,-3.7665748596191406,12.13079833984375,292.7591552734375,291.40528869628906,-3.234106063842773,5.0684967041015625,0.0,-0.03386116027832031,-0.04286384582519531,101436.0,124.51742553710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5749473571777344,5.470216751098633,100620.0,70.52650451660156,292.6906280517578,0.0,44.90000000000001,0.0,0.0,0.0,0.0,293.0370788574219,292.5390319824219,0.01343,291.85723876953125,91.9,-2.0664663314819336,3.2922763824462886,3.8797992588952175,-2.0664663314819336,3.2922763824462886,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.26,-11.0,8.0,48.0,8.0,1.5,40.0,-420.0,17.514560282230374,28.625,0.0,0.0,28.625,--,--,--,--,--,273.5,0.0,336.0,0.0,387.0599060058594,0.0,0.0,0.0,73.0,47.0,1.7937135696411133,1.511556625366211,-2.085424423217773,8.394321441650389,18.48305892944336,3.409961700439453,4631.84,7.0,58200.0,4630.0,7.0,58200.0,6010.0,7230.0,2.0,20.0
7,0,2019,4,18,-10.0,-999.0,0.0,12600.0,-10.0,-10.0,-10.0,9.471642490476368,33.39763832092285,12.311717987060547,22.98316287994385,13.055988311767578,5821.5654296875,264.84336853027344,245.31228637695312,12.982093811035154,9.528968811035156,3128.405029296875,281.4809265136719,242.56228637695312,2.045816421508789,8.952213287353516,1500.1611328125,290.64202880859375,228.81228637695312,-4.044637680053712,10.09105110168457,289.2295227050781,284.80224609375,-3.0597248077392583,12.754510879516602,292.4599914550781,291.39463806152344,-3.53498649597168,4.97139835357666,0.0,-0.011386871337890623,0.014449357986450197,101311.0,113.86700630187988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0477294921875,5.785148620605469,100500.0,70.52650451660156,292.02149963378906,0.0,50.90000000000001,0.0,0.0,0.0,0.0,292.39691162109375,292.02886962890625,0.013219999999999999,291.5622863769531,93.6,-2.1066141128540044,2.8042469024658203,3.502855208935216,-2.1066141128540044,2.8042469024658203,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.23,-14.0,1.0,80.0,8.0,2.2,0.0,0.0,16.43504819273949,29.875,0.0,0.0,29.875,--,--,--,--,--,274.1,0.0,333.0,0.0,383.3926849365234,0.0,0.0,0.0,79.0,51.0,1.3337631225585938,1.7112312316894531,-2.167581558227539,9.113689422607422,17.74017333984375,2.429157257080078,4617.440000000001,6.0,58300.0,4620.0,6.0,58200.0,6030.0,7230.0,2.1,0.0
8,0,2019,4,18,-10.0,-999.0,0.0,12700.0,-10.0,-10.0,-10.0,7.847239837050438,31.95035743713379,13.075969696044922,22.90522003173828,12.269779205322266,5811.544921875,264.7782592773437,244.12478637695312,11.573910236358644,8.859661102294922,3120.191650390625,281.7181396484375,243.18728637695312,2.540142059326172,9.447206497192383,1490.323486328125,290.66632080078125,239.56228637695312,-4.258102416992188,10.729000091552734,289.35064697265625,284.9997863769531,-3.0437793731689453,13.72171401977539,291.92987060546875,290.8122863769531,-3.867290496826172,4.623478889465332,0.0,-0.012467384338378906,-0.00597381591796875,101193.0,103.71795272827148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.787467956542969,6.026100158691406,100380.0,70.52650451660156,291.3225860595703,0.0,54.8,0.0,0.0,0.0,0.0,291.78546142578125,291.52728271484375,0.012690000000000002,290.9372863769531,93.2,-2.5743894577026367,2.776111602783203,3.7512203735532235,-2.5743894577026367,2.776111602783203,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.25,-16.0,2.0,70.0,8.0,3.2,0.0,0.0,16.290259569883347,16.375,0.0,0.0,16.375,--,--,--,--,--,271.8,0.0,329.1,0.0,379.8338623046875,0.0,0.0,0.0,101.0,68.0,0.5773859024047852,2.0157394409179688,-1.4116706848144531,9.830072402954102,16.84901237487793,1.2276649475097656,4544.480000000001,5.0,58800.0,4540.0,5.0,58700.0,6020.0,7190.0,3.0,0.0
9,0,2019,4,18,-10.0,-999.0,0.0,13000.0,-10.0,-10.0,-10.0,8.611688174307346,30.29374694824219,14.484012603759766,22.87450981140137,12.112510681152346,5809.20654296875,264.46826171875,244.43728637695312,11.451345443725586,8.318569183349611,3119.8759765625,281.99310302734375,241.18728637695312,3.6067867279052734,10.07888412475586,1487.68994140625,291.3333740234375,222.18728637695312,-4.084352493286134,11.472780227661133,289.34686279296875,284.0318603515625,-3.088367462158203,13.858854293823242,291.83575439453125,290.50901794433594,-3.5422039031982417,5.3986854553222665,0.0,-0.04464292526245117,-0.04007029533386231,101153.0,100.29160690307616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.59239387512207,7.153045654296875,100340.0,70.52650451660156,291.0567169189453,0.0,56.3,0.0,0.0,0.0,0.0,291.61029052734375,291.3455505371094,0.012480000000000002,290.6782989501953,92.5,-2.588184356689453,3.4677524566650386,4.315992237068713,-2.588184356689453,3.4677524566650386,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.28,-21.0,0.0,60.0,8.0,3.3000000000000003,0.0,0.0,15.219971150159836,4.25,0.0,0.0,4.25,--,--,--,--,--,271.3,0.0,325.7000000000001,0.0,378.3723449707031,0.0,0.0,0.0,108.0,49.0,-0.03216552734375,2.420696258544922,-1.8105640411376955,9.157421112060547,16.962383270263672,-0.3484840393066406,4483.68,2.0,59200.0,4480.0,2.0,59100.0,5990.0,7180.0,3.0,0.0
