Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,5,5,21.375,682.6,0.020800000000000003,7600.0,-10.0,-10.0,-10.0,2.8420779556035995,27.090259552001953,24.880470275878906,20.537267684936523,23.59521102905273,5708.62890625,262.0992431640625,260.87478637695307,12.577707290649414,16.524429321289062,3049.06689453125,276.19659423828125,274.18728637695307,14.367294311523438,2.406549453735352,1454.380859375,284.162109375,283.6247863769531,0.9541511535644532,-0.9748201370239258,289.64599609375,288.84185791015625,0.3986282348632813,-2.801629066467285,294.4451904296875,292.5747375488281,0.12955856323242188,0.17772865295410156,0.0,-0.013486862182617188,-0.001976251602172852,100809.0,69.45706844329834,27.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29034423828125,0.1657085418701172,96940.0,337.1827545166016,293.347900390625,0.0,52.1,0.0,0.0,0.0,0.0,293.1015625,295.7467956542969,0.013070000000000002,290.8320007324219,87.0,-0.16331005096435547,0.6490440368652344,0.6907626318279654,-0.16331005096435547,0.6490440368652344,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969,0.05,0.0,9.0,0.0,14.0,-2.3000000000000003,550.0,-3.0,36.66184854507446,50.375,94.125,100.0,100.0,90000.0,970.46164894104,787.6388740539551,24100.0,11297.66897201538,165.9,4.5,406.20000000000016,0.625,386.2704162597656,0.0,4.5,41.1,25.0,-35.9,11.88420581817627,-1.0555458068847656,0.7814064025878906,-2.780338287353516,12.431661605834961,18.311508178710934,3787.12,79.0,64000.0,3790.0,79.0,63900.0,5510.0,7170.0,-2.3000000000000003,550.0
1,0,2019,5,5,26.6875,696.6,0.041600000000000005,5900.0,-10.0,-10.0,-10.0,3.186260350048542,29.06506156921387,27.44728660583496,23.82408332824707,24.191598892211914,5700.802734375,262.0593414306641,260.87478637695307,12.280683517456055,18.42258071899414,3053.0419921875,274.6430206298828,274.43728637695307,12.475765228271484,6.1926841735839835,1457.139892578125,284.7591552734375,284.4372863769531,0.467595100402832,0.3995704650878906,289.2720947265625,289.1872863769531,-1.5831012725830078,-2.9457015991210938,293.876708984375,292.9372863769531,-0.8754444122314453,0.32550621032714844,0.0,-0.024946212768554688,0.0005195140838623047,100862.0,73.64568901062013,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4190349578857417,2.0975284576416016,96980.0,337.1827545166016,292.5185852050781,0.0,53.2,0.0,0.0,0.0,0.0,292.2362365722656,294.78619384765625,0.0133,291.1247863769531,93.7,-1.629228591918945,1.6859750747680664,2.3152827927842736,-1.629228591918945,1.6859750747680664,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.16,6.0,12.0,10.0,14.0,-2.1,590.0,0.0,38.71868121623993,34.25,99.375,100.0,100.0,92100.0,778.7037200927734,509.73280334472656,21400.0,12115.413627624512,154.0,0.0,405.9,0.0,381.8373107910156,0.0,0.0,0.0,20.0,-59.7,10.042006492614746,0.5060214996337891,1.6529312133789062,-3.571636199951172,14.56800651550293,19.00229263305664,3359.52,99.0,67500.0,3360.0,99.0,67400.0,5450.0,7220.0,-2.1,590.0
2,0,2019,5,5,20.5625,3315.0,0.12,12700.0,19.5625,-0.1875,-5.3125,3.621185570955277,26.20712471008301,28.860015869140625,24.945730209350586,29.293804168701172,5706.2705078125,262.76934814453125,260.37478637695307,14.525955200195312,20.009109497070312,3053.8515625,274.6526031494141,274.56228637695307,13.349151611328125,7.5284061431884775,1455.98486328125,285.163330078125,285.1247863769531,0.07583045959472656,1.1963119506835938,288.8035888671875,287.7497863769531,-1.8469009399414065,-3.47786808013916,293.5608215332031,292.3122863769531,-0.37667274475097656,-0.3494091033935547,0.0,0.02523994445800781,0.012830018997192385,100866.0,74.00706672668456,5.4375,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1673049926757812,-0.7339687347412109,96980.0,337.1827545166016,291.7256164550781,0.0,57.90000000000001,0.0,0.0,0.0,0.0,291.7441101074219,294.3744201660156,0.013160000000000002,290.9372863769531,94.0,-0.2902202606201172,-0.06902408599853516,0.3141961588989943,-0.2902202606201172,-0.06902408599853516,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.01,0.0,0.0,30.0,14.0,-0.9,440.0,0.0,38.230979561805725,43.25,53.25,75.5,75.5,73100.0,2703.0898399353027,4445.148906707765,35600.0,10493.82490158081,205.0,0.0,383.0,0.0,377.6348876953125,0.0,0.0,0.0,102.0,-7.0,11.327890396118164,0.3024845123291016,0.35231971740722656,0.38033294677734375,17.024311065673828,22.753814697265625,3348.16,100.0,67600.0,3350.0,100.0,67500.0,5620.0,7350.0,-0.30000000000000004,340.0
3,0,2019,5,5,26.1875,5735.0,0.424,9200.0,25.0625,18.5,13.5625,4.100284896790981,20.6860294342041,31.19887733459473,19.789396286010746,27.08011245727539,5706.861328125,261.40643310546875,259.49978637695307,10.041692733764648,19.43568420410156,3054.395751953125,275.40301513671875,274.49978637695307,13.088634490966795,8.781655311584473,1454.462158203125,285.19525146484375,283.1872863769531,-0.7356834411621094,3.4347915649414062,288.21856689453125,287.1872863769531,-2.9042987823486333,-0.9436988830566406,292.81170654296875,291.7497863769531,-0.6336736679077148,-0.8510322570800781,0.0,-0.00047397613525390647,-0.010890722274780272,100858.0,73.51681232452394,26.3125,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236,0.0,0.0,0.0,-2.895715713500977,-1.3138542175292969,96980.0,337.1827545166016,291.2571105957031,0.0,65.0,0.1,0.0,0.0,0.0,291.2616882324219,293.82659912109375,0.01268,290.3747863769531,94.4,-0.8844470977783203,-0.7098245620727539,1.1258515876252204,-0.8844470977783203,-0.7098245620727539,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.07,0.0,4.0,21.0,14.0,-1.2000000000000002,290.0,0.0,35.900805950164795,21.125,92.125,78.625,92.125,73100.0,2701.0967388153076,3836.368396759033,29000.0,10488.077732086182,183.1,0.0,384.9,0.0,375.4240112304688,0.0,0.0,0.0,86.0,47.6,11.007591247558594,2.127059936523437,-0.18485450744628906,2.9728603363037114,14.129594802856445,21.12247085571289,3543.680000000001,97.0,66000.0,3540.0,97.0,65900.0,5360.0,7290.0,-0.30000000000000004,140.0
4,0,2019,5,5,28.9375,4740.6,0.27040000000000003,12200.0,19.25,10.625,3.5625,2.4857668280601497,18.465442657470703,32.752140045166016,19.485239028930664,28.45660781860352,5702.96630859375,261.8352813720703,258.99978637695307,7.576042175292969,17.319517135620114,3051.20751953125,275.3960723876953,274.37478637695307,12.051481246948242,8.615182876586914,1450.43505859375,284.94830322265625,284.6247863769531,0.10532951354980467,4.117403030395509,287.805908203125,287.0622863769531,-2.0429840087890625,-0.1496753692626953,292.1310729980469,291.4997863769531,-0.26679229736328125,-0.9412498474121094,0.0,-0.004130840301513672,-0.002307891845703125,100823.0,70.55418586730956,16.625,11.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031899999999999997,0.0,0.0,0.0,-1.0872421264648438,-1.4031047821044922,96960.0,337.1827545166016,290.36199951171875,0.0,64.9,0.2,0.0,0.0,0.0,290.409423828125,293.0252380371094,0.012350000000000002,289.9372863769531,96.1,0.2615165710449219,-0.6761455535888672,0.7525017790030688,0.2615165710449219,-0.6761455535888672,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.02,0.0,0.0,12.0,14.0,-0.1,180.0,-1.0,35.93828171491622,51.5,73.875,70.5,73.875,85400.0,1408.1380367279053,508.4458885192871,33200.0,9137.00566482544,189.0,0.0,390.70000000000016,0.0,370.8488311767578,0.0,0.0,0.0,157.0,60.3,11.540009498596193,2.9454345703125,-0.35190391540527344,4.237531661987306,8.960954666137695,19.316144943237305,3498.56,100.0,66300.0,3500.0,100.0,66200.0,5430.0,7190.0,0.30000000000000004,110.0
5,0,2019,5,5,39.25,5627.8,0.7712,6100.0,29.25,18.1875,4.3125,3.3016980849206448,19.75105857849121,34.306900024414055,18.658634185791016,29.59427261352539,5702.05615234375,262.1477813720703,259.49978637695307,5.44025993347168,20.130481719970703,3048.6298828125,275.82553100585943,275.81228637695307,9.084059715270996,5.072599411010742,1445.929443359375,285.0199279785156,284.7497863769531,1.21112060546875,4.1673336029052725,287.67657470703125,287.3747863769531,-2.8838529586791988,0.6002540588378906,292.0254821777344,291.6872863769531,-0.3095712661743164,-0.9529800415039062,0.0,-0.02322864532470703,-0.02799820899963379,100764.0,65.64709186553955,30.5,18.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058200000000000005,0.0,0.0,0.0,-1.7699947357177734,-1.7971229553222656,96910.0,337.1827545166016,290.0502014160156,0.0,66.7,0.30000000000000004,0.0,0.0,0.0,290.18072509765625,292.8023986816406,0.01229,289.8747863769531,97.0,-0.413970947265625,-1.1852884292602541,1.2520982669666407,-0.413970947265625,-1.1852884292602541,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.05,-1.0,-1.0,17.0,14.0,0.30000000000000004,140.0,-2.0,38.751253187656395,58.75,49.375,3.0,58.75,90000.0,963.9313049316406,627.6037979125978,41200.0,4885.740570068359,205.6,0.0,394.20000000000016,0.0,369.0865631103516,0.0,0.0,0.0,103.0,67.2,9.748794555664062,2.697303771972656,1.083148956298828,4.959617614746094,9.208541870117188,24.94287109375,3510.4,100.0,66200.0,3510.0,100.0,66100.0,5530.0,7060.0,0.30000000000000004,110.0
6,0,2019,5,5,29.3125,5731.0,0.5152,12200.0,27.6875,20.1875,6.625,3.1487359292805195,18.063995361328125,36.56395149230957,19.07487678527832,24.88986968994141,5697.58544921875,262.03526306152344,260.44741821289057,9.95271110534668,18.103939056396484,3042.55859375,275.4778594970703,274.31228637695307,7.447987556457519,5.084484100341797,1442.7041015625,285.51434326171875,285.4997863769531,5.21434211730957,3.612335205078125,287.79217529296875,287.6872863769531,0.5818471908569336,4.0524330139160165,292.005615234375,291.8122863769531,0.3524913787841797,0.0178070068359375,0.0,-0.008454322814941406,0.01839447021484375,100723.0,62.03503608703613,22.625,20.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385976791381836,0.4191436767578125,96860.0,337.1827545166016,290.32981872558594,0.0,92.3,0.5,0.0,0.0,0.0,290.3082580566406,292.9768981933594,0.012520000000000002,290.1247863769531,98.9,0.8111648559570312,-0.17421436309814453,0.8173237559385598,0.8111648559570312,-0.17421436309814453,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.05,0.0,-2.0,14.0,14.0,0.0,180.0,-4.0,37.80849432945252,58.75,46.5,0.0,58.75,92000.0,775.1145935058594,627.5942459106445,41200.0,1683.1852340698242,199.1,0.0,395.6,0.0,370.5549011230469,0.0,0.0,0.0,77.0,67.8,11.30429458618164,1.6342086791992188,4.270111083984375,4.3586463928222665,11.803138732910154,18.65536117553711,3559.200000000001,96.0,65700.0,3560.0,95.0,65600.0,5500.0,7000.0,-0.30000000000000004,180.0
7,0,2019,5,5,22.375,4373.4000000000015,0.1632,12200.0,20.5625,2.25,-8.0625,3.6184295937418938,21.00800132751465,31.07447052001953,20.208621978759766,22.185726165771484,5689.87109375,261.40835571289057,260.24978637695307,14.530953407287598,19.019704818725586,3037.45751953125,275.49099731445307,274.99978637695307,6.921764373779298,8.421596527099611,1437.1632080078125,284.9547119140625,284.9372863769531,3.6455307006835938,4.453163146972656,287.9495849609375,287.8122863769531,0.412816047668457,4.899148941040039,291.8819580078125,291.6872863769531,-0.08501243591308594,0.3228034973144531,0.0,-0.010480880737304688,0.017503738403320312,100662.0,56.8001594543457,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028899999999999998,0.0,0.0,0.0,-0.6996383666992188,0.7263469696044922,96790.0,337.1827545166016,290.1424865722656,0.0,79.2,0.5,0.0,0.0,0.0,290.12481689453125,292.8513488769531,0.01232,289.8747863769531,98.5,-0.06776618957519531,0.004919052124023438,0.06848997948691249,-0.06776618957519531,0.004919052124023438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.01,0.0,0.0,11.0,14.0,-0.30000000000000004,130.0,0.0,37.05065536499024,100.0,98.625,0.0,100.0,91900.0,775.0895690917969,508.1901588439941,44400.0,5991.4480056762695,209.2,0.0,395.4,0.0,369.8297729492188,0.0,0.0,0.0,102.0,66.60000000000001,10.24727725982666,1.2015666961669922,3.410511016845703,4.485095977783203,16.04147720336914,15.384099960327148,3513.200000000001,100.0,66100.0,3510.0,100.0,66000.0,5400.0,6850.0,-0.6000000000000001,150.0
8,0,2019,5,5,30.5,6118.200000000003,0.606,12200.0,30.0,21.625,15.25,4.479030326008797,19.839534759521484,27.875732421875,19.21600914001465,23.416973114013672,5686.4248046875,261.217529296875,260.18728637695307,16.592939376831055,13.106029510498047,3032.06884765625,275.35195922851557,275.12478637695307,6.77711296081543,7.5483551025390625,1433.7681884765625,284.4947509765625,284.2497863769531,2.8971881866455083,2.852001190185547,287.85394287109375,287.6407165527344,0.9555816650390624,5.884981155395508,291.6743469238281,291.5622863769531,-0.28766441345214844,0.32135581970214844,0.0,-0.029952049255371094,0.013820409774780272,100631.0,54.11842727661133,22.6875,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026100000000000003,0.0,0.0,0.0,-0.9092617034912108,1.4944190979003906,96780.0,337.1827545166016,290.02305603027344,0.0,79.4,0.5,0.0,0.0,0.0,289.869384765625,292.65899658203125,0.01224,289.7497863769531,99.3,-0.4499683380126953,0.3729610443115233,0.6277831569314003,-0.4499683380126953,0.3729610443115233,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.05,1.0,0.0,9.0,14.0,-0.2,120.0,0.0,36.71844136714935,99.75,62.625,0.0,99.75,89900.0,964.4193439483643,426.1096954345703,41200.0,4145.1507568359375,199.9,0.0,393.3,0.0,369.2243194580078,0.0,0.0,0.0,111.0,58.7,8.585317611694336,-1.1618366241455078,3.117279052734375,2.9772872924804688,18.597652435302734,9.18219757080078,3531.36,100.0,65900.0,3530.0,99.0,65800.0,5410.0,6820.0,-0.471087646484375,130.0
9,0,2019,5,5,5.0625,-999.0,0.0176,12200.0,2.8125,-9.9375,-10.0,3.659338656812906,21.237621307373047,25.06752777099609,21.06098937988281,23.870473861694336,5685.41796875,260.64132690429693,259.43728637695307,16.717677116394047,11.56093978881836,3030.730712890625,276.26406860351557,274.74978637695307,8.257665634155272,8.342836380004883,1430.28857421875,284.3797607421875,284.2497863769531,3.8253040313720703,-0.6592330932617188,287.68927001953125,287.6247863769531,3.1012020111083984,3.813663482666016,291.6902160644531,291.3122863769531,-0.19598388671875,-0.2402458190917969,0.0,-0.016621112823486328,0.029872894287109375,100589.0,50.67230987548828,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19155311584472656,0.2307929992675781,96730.0,337.1827545166016,289.9440460205078,0.0,75.3,0.5,0.0,0.0,0.0,289.871826171875,292.6716613769531,0.01204,289.4997863769531,97.5,-0.39730262756347656,-0.4458074569702149,0.6264339900808409,-0.39730262756347656,-0.4458074569702149,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984,0.03,0.0,0.0,8.0,14.0,-0.5,70.0,-7.0,35.84315967559815,100.0,38.125,0.0,100.0,93600.0,618.5412540435791,508.08043670654297,56300.0,1679.3784675598145,226.3,0.0,394.9,0.0,368.60438537597656,0.0,0.0,0.0,136.0,42.3,10.208030700683594,-2.0561389923095703,4.369142532348634,-0.03898429870605469,16.624116897583008,9.961669921875,3672.8,94.0,64700.0,3670.0,94.0,64600.0,5320.0,6680.0,-0.5,60.0
