Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,5,18,-10.0,-999.0,0.0,33600.0,-10.0,-10.0,-10.0,3.2149713411927223,12.082258224487305,0.7158737182617188,11.897954940795898,1.3165054321289062,5802.2724609375,263.3828887939453,238.49978637695312,14.073172569274902,-1.1695785522460938,3135.994873046875,279.0240020751953,265.49978637695307,13.335329055786133,4.047004699707031,1516.886962890625,291.04327392578125,283.8122863769531,8.627950668334961,3.0834255218505864,298.57867431640625,284.06590270996094,8.160434722900389,2.0201120376586914,303.0179138183594,289.5878143310547,1.2703285217285156,0.1451120376586914,0.0,0.02446794509887696,-0.02295970916748047,101099.0,95.42755126953124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.489727020263672,0.35862159729003906,98310.0,243.9952545166016,299.9085998535156,0.0,55.5,0.0,0.0,0.0,0.0,300.3437805175781,301.8465270996094,0.01468,292.90968322753906,60.7,1.673969268798828,0.09009361267089844,1.6920131361112,1.673969268798828,0.09009361267089844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272,0.04,-2.0,10.0,-20.0,12.0,-4.800000000000002,1840.0,-20.0,25.91658967733383,0.0,0.0,13.875,13.875,--,--,--,--,--,287.3,73.3,375.9,12.375,428.7004089355469,204.0,46.8,42.40000000000001,75.0,47.0,7.954477310180664,-5.781381607055664,7.1265296936035165,2.7690448760986333,8.89703369140625,-1.7159042358398438,4043.2,20.0,62700.0,4040.0,20.0,62500.0,5840.0,7310.0,-2.2,580.0
1,0,2019,5,18,-10.0,-999.0,0.0,28100.0,-10.0,-10.0,-10.0,3.684344917535782,12.85727310180664,0.8438224792480469,12.977727890014648,0.7048492431640625,5807.34765625,263.49209594726557,237.06228637695312,13.610443115234375,-0.8016414642333984,3139.912841796875,278.94125366210943,266.31228637695307,13.716926574707033,3.85708999633789,1520.477294921875,290.90789794921875,282.1247863769531,8.531755447387695,2.831989288330078,297.98480224609375,283.8747863769531,8.306377410888674,3.5185832977294917,302.2841796875,290.3122863769531,1.170450210571289,1.2385292053222656,0.0,-0.0015039443969726562,-0.02684545516967773,101168.0,101.38308715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.779909133911133,2.950372695922852,98380.0,243.9952545166016,297.8532409667969,0.0,57.3,0.0,0.0,0.0,0.0,298.8450012207031,300.24664306640625,0.01411,292.3122863769531,64.0,1.815589904785156,1.6359386444091797,2.441790360026061,1.815589904785156,1.6359386444091797,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.11,-14.0,40.0,60.0,12.0,-4.4,1580.0,-50.0,24.598138451576233,0.0,0.0,58.0,58.0,--,--,--,--,--,287.9000000000001,0.0,367.70000000000016,0.0,417.4769287109375,0.0,0.0,0.0,69.0,57.0,6.668813705444336,-4.659965515136719,6.4975547790527335,1.510711669921875,8.118282318115233,-3.461040496826172,4047.2,23.0,62700.0,4050.0,23.0,62500.0,5860.0,7390.0,-1.8,420.0
2,0,2019,5,18,-10.0,-999.0,0.0,25100.0,-10.0,-10.0,-10.0,4.2687695045024165,13.660099029541016,3.874603271484375,12.436246871948242,1.446636199951172,5799.82666015625,262.75860595703125,235.56228637695312,12.819567680358887,-1.0400276184082031,3138.5693359375,278.31549072265625,264.18728637695307,12.073970794677734,2.3438377380371094,1520.751220703125,290.6755676269531,281.31228637695307,7.947858810424805,4.141651153564453,297.5182800292969,283.6005401611328,8.619430541992188,4.8554229736328125,300.63916015625,289.4263153076172,1.031230926513672,1.4668226242065432,0.0,-0.0024242401123046875,-0.006869316101074219,101210.0,104.70475769042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.160978317260742,4.819097518920898,98410.0,243.9952545166016,295.43719482421875,0.0,58.0,0.0,0.0,0.0,0.0,296.4271545410156,297.81298828125,0.013370000000000002,291.4372863769531,68.60000000000001,1.7469558715820312,1.7413616180419922,2.4385388088412583,1.7469558715820312,1.7413616180419922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.09,-10.0,20.0,76.0,12.0,-3.1,870.0,-120.0,24.03835964202881,0.0,0.0,28.125,28.125,--,--,--,--,--,282.2,0.0,358.8,0.0,404.0157012939453,0.0,0.0,0.0,68.0,59.0,4.4640846252441415,-2.8615398406982417,6.7995147705078125,2.414987564086914,6.437725067138673,-5.465686798095703,3925.12,29.0,63600.0,3930.0,29.0,63500.0,5720.0,7300.0,-0.9,170.0
3,0,2019,5,18,-10.0,-999.0,0.0,24500.0,-10.0,-10.0,-10.0,6.415837351232767,14.762479782104492,2.187328338623047,12.829784393310547,1.3380966186523438,5802.55810546875,262.81570434570307,233.99978637695312,10.953319549560547,1.0635833740234375,3141.150146484375,278.56912231445307,262.93728637695307,9.25175666809082,3.1840858459472656,1523.781982421875,290.220947265625,279.56228637695307,7.5093135833740225,3.672075271606445,297.1585998535156,283.0927734375,10.732107162475586,6.339550018310548,299.52313232421875,287.6885223388672,1.2553653717041016,1.6847858428955078,0.0,0.016519546508789062,0.011651277542114258,101272.0,110.14883422851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957353591918945,6.042739868164063,98470.0,243.9952545166016,294.1447448730469,0.0,59.0,0.0,0.0,0.0,0.0,295.15423583984375,296.51812744140625,0.0122,290.0113220214844,69.0,1.9143199920654297,2.10024642944336,2.8775273605715483,1.9143199920654297,2.10024642944336,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.14,-17.0,30.0,81.0,12.0,-0.7000000000000001,150.0,-170.0,20.84729790687561,0.0,0.0,43.125,43.125,--,--,--,--,--,283.4000000000001,0.0,347.90000000000015,0.0,396.6839141845703,0.0,0.0,0.0,45.0,45.0,2.8652172088623047,-1.2566204071044922,6.984048843383789,2.780344009399414,3.234508514404297,-3.8949508666992174,3919.84,27.0,63700.0,3920.0,26.0,63500.0,5730.0,7300.0,0.5,30.0
4,0,2019,5,18,-10.0,-999.0,0.0,24300.0,-10.0,-10.0,-10.0,7.676404893398285,13.165266036987305,-1.069477081298828,14.432968139648438,-0.01061248779296875,5802.955078125,262.7951202392578,236.87478637695312,11.723387718200685,0.15772438049316406,3141.34814453125,278.56002807617193,263.68728637695307,9.098751068115234,3.0375804901123047,1523.3355712890625,289.93701171875,277.68728637695307,5.6371498107910165,2.437067031860352,296.9532470703125,282.1247863769531,9.42084503173828,6.150318145751952,299.25799560546875,287.8747863769531,1.6470193862915041,2.0920839309692383,0.0,0.012238025665283205,0.02971673011779785,101283.0,111.09683227539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69422721862793,6.186464309692383,98480.0,243.9952545166016,293.1812438964844,0.0,59.40000000000001,0.0,0.0,0.0,0.0,294.35888671875,295.66094970703125,0.01178,289.4372863769531,69.3,1.904521942138672,2.0693836212158203,2.8172351513057947,1.904521942138672,2.0693836212158203,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.12,-17.0,22.0,88.0,12.0,0.1,60.0,-220.0,19.36253607273101,0.0,0.0,20.0,20.0,--,--,--,--,--,282.0,0.0,342.0,0.0,391.66583251953125,0.0,0.0,0.0,37.0,27.0,2.669851303100586,-2.023965835571289,4.856054306030273,2.058771133422852,4.4981727600097665,-4.862804412841797,3967.36,27.0,63300.0,3970.0,27.0,63200.0,5700.0,7290.0,0.5,0.0
5,0,2019,5,18,-10.0,-999.0,0.0,24700.0,-10.0,-10.0,-10.0,7.6368692740798,11.769866943359375,-2.294403076171875,13.472606658935547,-0.8919906616210938,5803.0859375,262.49951171875,241.68728637695312,10.85256576538086,0.5455608367919922,3142.527099609375,278.49627685546875,262.74978637695307,8.814922332763672,3.871597290039064,1524.181396484375,290.04608154296875,275.62478637695307,5.262016296386719,2.8922653198242188,296.38934326171875,282.1247863769531,7.999870300292969,5.6075286865234375,299.52911376953125,287.7497863769531,2.4537811279296875,1.7863407135009766,0.0,0.02861309051513672,0.014745712280273438,101306.0,113.08667373657228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25997543334961,5.454465866088867,98510.0,243.9952545166016,292.6466369628906,0.0,59.8,0.0,0.0,0.0,0.0,294.1841125488281,295.4479064941406,0.0116,289.2497863769531,68.3,2.797719955444336,1.6689586639404297,3.2545510828495026,2.797719955444336,1.6689586639404297,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.15,-25.0,24.0,100.0,12.0,0.0,50.0,-230.0,18.712562143802646,0.0,0.0,0.0,0.0,--,--,--,--,--,280.7,0.0,339.7000000000001,0.0,388.9156036376953,0.0,0.0,0.0,15.0,-5.0,1.9982833862304688,-1.579071044921875,2.807758331298828,2.359659194946289,3.486095428466797,-4.2264671325683585,3968.64,29.0,63300.0,3970.0,29.0,63200.0,5630.0,7290.0,0.30000000000000004,40.0
6,0,2019,5,18,-10.0,-999.0,0.0,23800.0,-10.0,-10.0,-10.0,6.823635622859001,11.411947250366213,-1.23211669921875,12.181249618530273,-1.0651817321777344,5800.275390625,262.521240234375,238.49978637695312,10.085197448730467,2.0760211944580083,3141.099609375,278.44790649414057,262.81228637695307,7.349210739135742,5.96380615234375,1522.3516845703125,289.860107421875,276.4856109619141,6.941452026367188,2.415264129638672,296.08941650390625,284.2128143310547,7.540306091308594,5.768287658691406,299.5987548828125,287.67994689941406,1.8273658752441408,1.3755369186401367,0.0,-0.027278900146484368,-7.343292236328125e-05,101286.0,111.4137725830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.336202621459961,4.7608070373535165,98490.0,243.9952545166016,292.33160400390625,0.0,60.2,0.0,0.0,0.0,0.0,293.4607849121094,294.79840087890625,0.01157,289.1922302246094,70.4,2.1647262573242188,1.1273937225341797,2.4407977333758017,2.1647262573242188,1.1273937225341797,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.09,-10.0,10.0,90.0,12.0,0.5,50.0,-150.0,19.099390029907227,0.0,0.0,0.0,0.0,--,--,--,--,--,280.5,0.0,341.8,0.0,387.1157531738281,0.0,0.0,0.0,14.0,11.0,3.4339599609375,-2.729694366455078,4.713132858276367,2.377876281738281,3.839599609375,-2.398296356201172,3911.36,31.0,63700.0,3910.0,31.0,63600.0,5650.0,7280.0,0.0,70.0
7,0,2019,5,18,-10.0,-999.0,0.0,22100.0,-10.0,-10.0,-10.0,4.943140819668769,11.688854217529295,-1.1534385681152344,12.06252670288086,-1.4725685119628906,5797.89697265625,262.44259643554693,233.68728637695312,10.598760604858398,2.4225330352783203,3139.66650390625,278.52838134765625,262.43728637695307,8.081243515014647,6.9965248107910165,1521.467529296875,289.31689453125,279.56228637695307,6.329387664794923,2.1920928955078125,295.87835693359375,286.18556213378906,7.6645545959472665,5.3774681091308585,299.00433349609375,288.2279510498047,1.411163330078125,0.9039897918701172,0.0,0.005481243133544922,-0.030442476272583008,101283.0,111.14606094360352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.064929962158202,3.927940368652344,98490.0,243.9952545166016,291.8617858886719,0.0,60.6,0.0,0.0,0.0,0.0,292.69757080078125,293.99920654296875,0.01159,289.22630310058594,73.5,1.5676803588867188,0.7304306030273438,1.7530867045279592,1.5676803588867188,0.7304306030273438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.04,-3.0,3.0,70.0,12.0,0.8,80.0,-100.0,21.31849962472916,0.0,0.0,0.0,0.0,--,--,--,--,--,278.8,0.0,347.1,0.0,384.6647033691406,0.0,0.0,0.0,25.0,19.0,5.102100372314453,-3.3337554931640625,4.460693359375,2.5304031372070312,5.086982727050781,-1.5874786376953125,3894.24,30.0,63900.0,3890.0,30.0,63700.0,5630.0,7280.0,-2.1,380.0
8,0,2019,5,18,-10.0,-999.0,0.0,18400.0,-10.0,-10.0,-10.0,4.681555900722742,12.371011734008787,-1.0876579284667969,11.585138320922852,-0.9919967651367188,5792.1982421875,262.45877075195307,228.87478637695312,10.491460800170898,3.2731857299804688,3134.96533203125,278.12530517578125,263.18728637695307,9.84177017211914,7.438924789428711,1518.7855224609375,289.19488525390625,279.37478637695307,8.21453857421875,4.829098701477051,295.4317932128906,285.7497863769531,9.272979736328123,6.257896423339844,297.18646240234375,288.9372863769531,1.0433979034423828,0.9157848358154296,0.0,-0.01678180694580078,0.014732599258422853,101284.0,111.03433227539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.627960205078125,4.6385765075683585,98480.0,243.9952545166016,290.9064178466797,0.0,60.90000000000001,0.0,0.0,0.0,0.0,291.43780517578125,292.7568359375,0.01146,289.0029296875,80.30000000000003,1.0354528427124023,0.8470001220703125,1.3140835491940381,1.0354528427124023,0.8470001220703125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.03,-2.0,1.0,40.0,12.0,1.8,90.0,-111.0,21.761804074049,0.0,0.0,0.0,0.0,--,--,--,--,--,277.5,0.0,341.8,0.0,379.4661560058594,0.0,0.0,0.0,45.0,44.0,6.1473121643066415,-2.22048568725586,6.95240592956543,4.583230972290039,4.7836761474609375,-1.4285850524902344,3859.68,29.0,64100.0,3860.0,29.0,64000.0,5640.0,7240.0,-1.5,260.0
9,0,2019,5,18,-10.0,-999.0,0.0,18500.0,-10.0,-10.0,-10.0,3.23160644248128,10.70766830444336,-1.5837059020996094,11.04096794128418,-0.6797103881835938,5805.24609375,263.8336181640625,232.93728637695312,10.340599060058594,1.222848892211914,3139.3271484375,278.4583740234375,262.56228637695307,10.754243850708008,4.995222091674805,1521.670654296875,289.9017639160156,275.49978637695307,9.357305526733398,2.508617401123047,295.7106628417969,283.74810791015625,9.989543914794922,4.406822204589844,296.7527770996094,289.28759765625,0.6182594299316406,0.00778961181640625,0.0,-0.0232844352722168,-0.00585174560546875,101314.0,113.77241897583008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297117233276367,2.685922622680664,98510.0,243.9952545166016,290.5684356689453,0.0,61.1,0.0,0.0,0.0,0.0,291.31495666503906,292.5745544433594,0.01143,288.9906768798828,79.7,0.5574636459350586,-0.11744499206542967,0.5643227219115943,0.5574636459350586,-0.11744499206542967,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.01,-1.0,1.0,40.0,12.0,3.2,20.0,-119.0,20.165591806173325,0.0,0.0,0.0,0.0,--,--,--,--,--,276.5,0.0,335.9000000000001,0.0,377.8722229003906,0.0,0.0,0.0,65.0,72.0,5.248289108276367,-3.749156951904297,9.47968292236328,2.572225570678711,5.250640869140625,-2.296436309814453,3963.52,24.0,63300.0,3960.0,24.0,63200.0,5920.0,7390.0,0.6000000000000001,60.0
