Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,5,30,-10.0,-999.0,0.0,35500.0,-10.0,-10.0,-10.0,5.526066869497299,30.443397521972656,0.3521347045898437,22.96801376342773,8.536289215087889,5875.27685546875,268.8995819091797,226.06228637695312,8.059124946594237,9.70284652709961,3152.07373046875,283.6907653808594,237.68728637695312,1.7036781311035156,8.993927001953125,1523.9395751953125,289.64105224609375,287.1161651611328,-1.9279842376708984,4.726123809814453,296.7249755859375,290.62132263183594,-1.082275390625,5.574989318847656,303.27490234375,292.5009460449219,-0.1697540283203125,3.7055892944335938,0.0,0.014879226684570312,0.0051854848861694345,101164.0,102.8689956665039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9549198150634766,5.230077743530273,100090.0,94.93275451660156,302.6521911621094,0.0,7.4,0.0,0.0,0.0,0.0,303.1736755371094,303.1365051269531,0.01404,292.5044250488281,51.90000000000001,-0.68914794921875,3.8570165634155273,3.9405891499482095,-0.68914794921875,3.8570165634155273,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1212,0.26,-18.0,33.0,80.0,14.0,-0.8,650.0,-10.0,27.42147707939148,0.0,0.0,0.0,0.0,--,--,--,--,--,308.3,90.6,402.70000000000016,12.5,437.6657409667969,303.3,46.1,42.5,42.0,0.30000000000000004,2.825450897216797,-0.15788650512695312,-0.7447547912597656,1.3581628799438477,10.188772201538086,3.638500213623047,5128.64,2.0,54900.0,5130.0,2.0,54900.0,6670.0,7960.0,-1.0,740.0
1,0,2019,5,30,-10.0,-999.0,0.0,30500.0,-10.0,-10.0,-10.0,6.072675652801991,29.18741226196289,1.074188232421875,23.02412986755371,8.477329254150389,5876.765625,269.0839233398437,226.43728637695312,9.585644721984863,11.124099731445312,3154.236083984375,283.36785888671875,239.62478637695312,1.246983528137207,8.868675231933594,1525.37060546875,289.8309020996094,285.89654541015625,-1.9188899993896484,3.8025131225585938,296.74420166015625,287.8155670166016,-0.374176025390625,6.2412471771240225,301.8367004394531,292.8280029296875,0.3173675537109375,2.8929405212402344,0.0,-0.017940521240234375,0.01335752010345459,101205.0,106.3190689086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3376760482788086,5.162879943847656,100130.0,94.93275451660156,301.2010803222656,0.0,7.4,0.0,0.0,0.0,0.0,301.56390380859375,301.4462890625,0.014369999999999999,292.879150390625,58.3,-0.2516422271728516,1.930402755737305,1.9393090958474204,-0.2516422271728516,1.930402755737305,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.11,-6.0,6.0,60.0,14.0,-0.2,500.0,-10.0,24.23582375049591,0.0,0.0,0.0,0.0,--,--,--,--,--,308.5,0.0,389.1,0.0,429.2846984863281,0.0,0.0,0.0,50.0,7.5,3.6908855438232417,0.25543785095214844,-0.6418991088867188,3.0287113189697266,11.184738159179688,4.8144187927246085,5136.480000000001,2.0,54800.0,5140.0,2.0,54900.0,6680.0,7970.0,-0.2,500.0
2,0,2019,5,30,-10.0,-999.0,0.0,24600.0,-10.0,-10.0,-10.0,3.5506356954574585,29.51862907409668,1.1820106506347656,23.04509925842285,7.247509002685548,5881.35693359375,269.43838500976557,226.24978637695312,9.424409866333008,10.366527557373047,3157.04931640625,283.37030029296875,240.06228637695312,0.6194686889648438,9.715423583984377,1528.4600830078125,290.679443359375,278.49978637695307,-4.251619338989259,3.730911254882813,295.78082275390625,289.3122863769531,-0.8831977844238281,5.206489562988281,300.1753234863281,293.3747863769531,0.4862260818481445,2.9797725677490234,0.0,-0.01806354522705078,0.0008900165557861328,101274.0,112.59026336669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4781208038330078,4.819536209106445,100200.0,94.93275451660156,299.2540283203125,0.0,7.7,0.0,0.0,0.0,0.0,299.6310119628906,299.42730712890625,0.01489,293.4372863769531,66.9,0.2479686737060547,1.7189655303955078,1.7535983347333968,0.2479686737060547,1.7189655303955078,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.07,-3.0,2.0,50.0,14.0,0.5,400.0,-30.0,22.66940802335739,0.0,0.0,0.0,0.0,--,--,--,--,--,307.7000000000001,0.0,380.6,0.0,418.1805419921875,0.0,0.0,0.0,65.0,-9.9,3.118183135986328,0.3194732666015625,-2.291845321655273,1.858604431152344,9.872215270996094,3.999103546142578,5199.68,2.0,54400.0,5200.0,2.0,54500.0,6740.0,7990.0,0.2,420.0
3,0,2019,5,30,-10.0,-999.0,0.0,20100.0,-10.0,-10.0,-10.0,3.810501106083393,28.974035263061523,1.1603355407714844,23.45397186279297,7.3426475524902335,5885.93896484375,269.51699829101557,227.12478637695312,10.01750946044922,9.816730499267578,3161.7626953125,283.48968505859375,239.87478637695312,1.8112211227416992,9.782245635986328,1531.82177734375,291.45391845703125,269.87478637695307,-3.812026023864746,5.501750946044922,295.434326171875,288.4372863769531,-1.1198463439941406,4.507305145263672,298.77386474609375,293.5622863769531,0.4478416442871094,3.2817058563232417,0.0,-0.021950721740722656,0.001836538314819336,101338.0,118.27349090576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7614097595214844,5.1210784912109375,100260.0,94.93275451660156,297.6845703125,0.0,8.1,0.0,0.0,0.0,0.0,298.0072326660156,297.82037353515625,0.01508,293.6247863769531,74.9,0.2778949737548828,1.483449935913086,1.5026550879701972,0.2778949737548828,1.483449935913086,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.05,-2.0,1.0,56.0,14.0,1.2000000000000002,280.0,-100.0,20.24457824230194,0.0,0.0,0.0,0.0,--,--,--,--,--,306.0,0.0,368.9,0.0,409.67430114746094,0.0,0.0,0.0,62.0,-10.4,3.3558788299560547,0.33056640625,-2.9900856018066406,2.4368209838867188,9.934219360351562,3.5524044036865234,5225.28,3.0,54300.0,5230.0,3.0,54300.0,6760.0,7990.0,0.8,300.0
4,0,2019,5,30,-10.0,-999.0,0.0,17500.0,-10.0,-10.0,-10.0,4.74794864654541,27.71389198303223,2.392833709716797,23.178544998168945,8.884563446044922,5885.392578125,269.0231475830078,226.06228637695312,10.483497619628906,9.974777221679688,3163.625,283.6544189453125,247.62478637695312,2.125450134277344,9.666778564453123,1530.084716796875,291.8350830078125,266.1934356689453,-3.355121612548828,7.505561828613281,295.71209716796875,283.4997863769531,-2.5355396270751958,6.490612030029298,297.9298400878906,293.6247863769531,-0.3164606094360352,3.9758529663085938,0.0,0.02807044982910156,0.02648806571960449,101330.0,117.43485641479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08080291748046875,5.962360382080077,100250.0,94.93275451660156,296.70013427734375,0.0,8.5,0.0,0.0,0.0,0.0,297.0116271972656,296.826904296875,0.01517,293.7497863769531,80.4,-0.1978588104248047,2.0229530334472656,2.000796854903456,-0.1978588104248047,2.0229530334472656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.11,-5.0,2.0,59.0,14.0,1.1,230.0,-99.0,17.856888115406033,0.0,0.0,0.0,0.0,--,--,--,--,--,304.2,0.0,356.6,0.0,404.1648712158203,0.0,0.0,0.0,44.0,-3.6,2.873188018798828,0.9646282196044922,-3.3986301422119136,4.938762664794922,11.2318115234375,3.4024219512939453,5142.56,3.0,54900.0,5140.0,3.0,54900.0,6720.0,7950.946350097656,0.8,200.0
5,0,2019,5,30,-10.0,-999.0,0.0,15100.0,-10.0,-10.0,-10.0,5.298349224030972,27.825366973876953,2.8534164428710938,23.1862850189209,9.52011489868164,5881.6083984375,268.18600463867193,227.62478637695312,10.744007110595703,9.65640640258789,3164.15771484375,283.6099548339844,255.62478637695312,3.325425148010254,9.220054626464844,1527.652587890625,292.30462646484375,265.5377197265625,-2.1708354949951167,8.820890426635742,295.4124755859375,281.88316345214844,-2.619009017944336,9.203994750976562,297.031005859375,293.8191375732422,-0.8551273345947266,4.302639961242677,0.0,-0.026014328002929688,0.01777482032775879,101318.0,115.98711919784546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7592601776123047,6.538270950317383,100240.0,94.93275451660156,295.65135192871094,0.0,9.0,0.0,0.0,0.0,0.0,295.9979553222656,295.7987060546875,0.015309999999999999,293.86473083496094,86.4,-0.42923450469970703,2.013445854187012,2.0675331228412688,-0.42923450469970703,2.013445854187012,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.12,-6.0,1.0,70.0,14.0,0.6000000000000001,190.0,-94.0,17.669379711151127,0.0,0.0,0.0,0.0,--,--,--,--,--,302.4000000000001,0.0,351.40000000000015,0.0,398.4353332519531,0.0,0.0,0.0,47.0,8.200000000000001,2.507340431213379,1.40191650390625,-2.397970199584961,7.338149070739746,12.37789535522461,2.3944339752197266,5022.08,3.0,55700.0,5020.0,3.0,55700.0,6650.0,7950.0,0.2,140.0
6,0,2019,5,30,-10.0,-999.0,0.0,14000.0,-10.0,-10.0,-10.0,5.175167102366687,28.618593215942386,4.894981384277344,24.017253875732425,10.085102081298828,5873.72412109375,267.4437255859375,228.62478637695312,9.361419677734377,9.74740982055664,3160.8525390625,283.26129150390625,260.68728637695307,3.782444953918457,8.743501663208008,1523.826904296875,292.52911376953125,269.7146148681641,-1.2015037536621094,9.16559600830078,294.8780517578125,284.8855285644531,-1.4291706085205078,10.566226959228516,296.5331115722656,293.90057373046875,-1.170022964477539,3.9892520904541016,0.0,-0.02390432357788086,0.016046762466430664,101281.0,112.54252004623413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2407684326171875,6.544212341308594,100200.0,94.93275451660156,295.04364013671875,0.0,9.6,0.0,0.0,0.0,0.0,295.49761962890625,295.3122863769531,0.0154,293.9525604248047,89.30000000000004,-0.7511358261108398,1.884176254272461,2.0011598984710868,-0.7511358261108398,1.884176254272461,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.11,-7.0,1.0,70.0,14.0,0.0,280.0,-80.0,21.254904866218567,0.0,0.0,0.0,0.0,--,--,--,--,--,300.3,0.0,357.5,0.0,395.41969299316406,0.0,0.0,0.0,55.0,29.9,2.6422882080078125,1.722148895263672,-0.5234756469726562,8.793375015258789,11.114282608032227,2.095388412475586,4934.4000000000015,3.0,56300.0,4930.0,3.0,56300.0,6580.0,7950.0,-0.8,240.0
7,0,2019,5,30,-10.0,-999.0,0.0,13200.0,-10.0,-10.0,-10.0,3.5558150112628937,28.14807510375977,4.2436485290527335,23.51055908203125,9.361091613769533,5870.68603515625,267.08779907226557,230.62478637695312,8.62379264831543,9.153097152709961,3159.86572265625,282.71820068359375,264.93728637695307,3.188248634338379,9.049564361572266,1523.489501953125,292.34124755859375,274.49978637695307,0.1695079803466797,9.299503326416016,293.8409423828125,288.6122589111328,0.5239410400390625,10.301395416259766,296.2095031738281,294.0244445800781,-0.5039129257202148,2.914261817932129,0.0,0.019094467163085938,0.022540807723999023,101295.0,113.90316867828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4503307342529297,5.6988582611083975,100210.0,94.93275451660156,294.5912628173828,0.0,10.1,0.0,0.0,0.0,0.0,294.84521484375,294.7132568359375,0.01544,294.00030517578125,91.7,-0.21259117126464844,0.7022838592529297,0.7533209787216038,-0.21259117126464844,0.7022838592529297,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.02,-1.0,0.0,83.0,14.0,-0.2,370.0,-64.0,26.163560390472412,0.0,0.0,0.0,0.0,--,--,--,--,--,298.2,0.0,365.20000000000016,0.0,392.9794616699219,0.0,0.0,0.0,54.0,46.1,3.579364776611328,1.4829254150390625,1.1557979583740234,9.772638320922852,9.250471115112305,2.1081829071044917,4916.480000000001,4.0,56400.0,4920.0,4.0,56400.0,6530.0,7950.0,-1.3,310.0
8,0,2019,5,30,-10.0,-999.0,0.0,12800.0,-10.0,-10.0,-10.0,2.2858867421746254,27.52834701538086,3.51590347290039,23.3088321685791,8.474544525146483,5865.625,266.82833862304693,231.06228637695312,7.343399047851562,7.673641204833982,3156.90478515625,282.39434814453125,265.49978637695307,2.1028881072998047,9.009021759033203,1522.27685546875,291.6275634765625,277.87478637695307,0.6906270980834961,9.50112533569336,293.1676025390625,290.6361389160156,2.440126419067384,9.031335830688477,295.6590270996094,293.7850036621094,-0.11769676208496095,1.8687696456909184,0.0,-0.02010536193847656,0.025252103805541992,101305.0,114.86657524108887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572498321533203,4.654722213745117,100230.0,94.93275451660156,294.3514099121094,0.0,10.7,0.0,0.0,0.0,0.0,294.533447265625,294.3177795410156,0.015150000000000004,293.7186737060547,93.0,-0.2275981903076172,0.120880126953125,0.2525302181020379,-0.2275981903076172,0.120880126953125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.01,0.0,0.0,63.0,14.0,0.1,360.0,-46.0,29.18458092212677,0.0,0.0,0.0,0.0,--,--,--,--,--,297.2,0.0,369.20000000000016,0.0,391.4656066894531,0.0,0.0,0.0,41.0,46.8,3.834014892578125,0.8353805541992188,2.880889892578125,9.136026382446287,6.876140594482423,1.4812164306640625,4887.36,6.0,56600.0,4890.0,6.0,56600.0,6470.0,7900.0,-1.4,310.0
9,0,2019,5,30,-10.0,-999.0,0.0,13000.0,-10.0,-10.0,-10.0,2.1694689467549324,25.43657112121582,2.4188766479492188,24.24409294128418,8.514457702636719,5865.11669921875,266.72467041015625,229.74978637695312,6.84373664855957,6.536705017089844,3157.7734375,282.5692138671875,264.18728637695307,1.4654645919799805,8.176410675048826,1522.8524169921875,291.3423767089844,280.24978637695307,1.098175048828125,9.705507278442383,293.275146484375,290.7882537841797,3.0914697647094727,8.362024307250978,295.3423156738281,293.20355224609375,-1.2409934997558594,1.4343290328979492,0.0,0.023606300354003903,-0.018027067184448242,101316.0,115.72100782394408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7636508941650391,4.189910888671875,100240.0,94.93275451660156,294.3974609375,0.0,11.3,0.0,0.0,0.0,0.0,294.3504943847656,294.15594482421875,0.014560000000000003,293.0690155029297,92.5,-1.119119644165039,-0.2348070144653321,1.1254766027559526,-1.119119644165039,-0.2348070144653321,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.06,1.0,1.0,27.0,14.0,1.2000000000000002,200.0,-77.0,29.90478527545929,0.0,0.0,0.0,0.0,--,--,--,--,--,297.6,0.0,369.3,0.0,392.0025177001953,0.0,0.0,0.0,43.0,63.6,3.3108854293823238,0.03502082824707031,4.2973365783691415,9.242914199829102,6.9737396240234375,1.2065162658691406,4840.480000000001,7.0,56900.0,4840.0,7.0,56900.0,6490.0,7890.0,-1.6,390.0
