Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,6,12,-10.0,-999.0,0.0,45700.0,-10.0,-10.0,-10.0,4.173771560192108,33.15663528442383,26.2203369140625,32.629423141479485,18.143848419189453,5799.30615234375,261.12069702148443,241.24978637695312,14.513571739196776,6.046876907348633,3138.47314453125,276.98016357421875,238.06228637695312,2.1911535263061523,0.3250465393066406,1549.291748046875,282.6795654296875,274.49978637695307,-4.579087257385254,-1.7743854522705078,289.2749938964844,276.49978637695307,-2.793402671813965,-0.08467864990234375,295.618896484375,280.81228637695307,-0.8544759750366211,0.1898765563964844,0.0,0.008104324340820312,-0.030155181884765625,101974.0,169.6524486541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6757164001464844,0.31066131591796875,99440.0,218.2765045166016,294.6624755859375,0.0,58.8,0.0,0.0,0.0,0.0,294.86138916015625,295.3193054199219,0.007940000000000001,283.5665740966797,47.5,-0.7761220932006836,0.3176765441894531,0.8807739624753594,-0.7761220932006836,0.3176765441894531,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.02,0.0,0.0,60.0,4.0,6.0,0.0,0.0,13.34154176712036,0.0,0.0,0.0,0.0,--,--,--,--,--,275.40000000000003,105.1,317.4000000000001,17.625,397.54095458984375,312.0,55.0,51.90000000000001,17.0,-19.3,3.6513986587524414,-6.3538551330566415,-2.4317703247070312,-0.7147140502929688,16.775737762451172,6.234485626220702,4174.88,5.0,61600.0,4170.0,5.0,61500.0,5510.0,6850.0,7.1000000000000005,0.0
1,0,2019,6,12,-10.0,-999.0,0.0,39500.0,-10.0,-10.0,-10.0,1.7770311906933784,33.062673568725586,24.954917907714844,31.624469757080078,18.30911636352539,5796.5390625,261.13265991210943,240.18728637695312,14.966082572937012,5.568071365356445,3138.669921875,276.57696533203125,239.06228637695312,1.2467613220214844,0.5432548522949219,1549.1922607421875,283.18365478515625,273.43728637695307,-7.129962921142577,-2.925941467285156,289.20001220703125,277.12478637695307,-4.157480239868163,0.5338115692138672,294.77593994140625,280.93728637695307,-0.7872676849365234,0.7434930801391602,0.0,0.010440826416015623,-0.006523847579956055,101976.0,169.6351737976074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9909687042236328,1.3188152313232422,99440.0,218.2765045166016,291.9951477050781,0.0,59.0,0.0,0.0,0.0,0.0,292.5965270996094,293.0467834472656,0.007640000000000002,282.9997863769531,50.2,-0.8336200714111328,0.954071044921875,1.317581688053906,-0.8336200714111328,0.954071044921875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,0.0,2.0,80.0,4.0,6.6000000000000005,0.0,0.0,12.973204135894775,0.0,0.0,0.0,0.0,--,--,--,--,--,271.8,0.0,313.3,0.0,383.321533203125,0.0,0.0,0.0,14.0,-43.3,1.996236801147461,-6.4433326721191415,-4.217161178588866,-2.154022216796875,17.972766876220703,4.4664268493652335,4075.52,4.0,62400.0,4080.0,4.0,62300.0,5510.0,6800.0,7.5,0.0
2,0,2019,6,12,-10.0,-999.0,0.0,33600.0,-10.0,-10.0,-10.0,2.0600876733660702,31.7624626159668,26.1397705078125,31.46412849426269,17.836387634277344,5801.44140625,261.4571685791016,239.18728637695312,15.507308959960938,4.845758438110352,3141.478759765625,276.81289672851557,237.87478637695312,1.496013641357422,2.0515899658203125,1551.770263671875,283.3558654785156,273.06228637695307,-9.826058387756348,-2.142099380493164,289.27215576171875,276.31228637695307,-6.529348373413086,-0.3190288543701172,293.3835754394531,280.99978637695307,-1.1260442733764648,0.3126955032348633,0.0,-0.03820514678955078,0.019948959350585938,102013.0,172.95668029785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8691978454589844,1.0865764617919922,99480.0,218.2765045166016,289.9788818359375,0.0,59.2,0.0,0.0,0.0,0.0,290.5392150878906,290.9945373535156,0.0075099999999999984,282.7497863769531,56.40000000000001,-0.8854665756225586,0.477656364440918,1.002157786861062,-0.8854665756225586,0.477656364440918,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,-1.0,1.0,70.0,4.0,8.4,0.0,0.0,12.744012713432312,0.0,0.0,0.0,0.0,--,--,--,--,--,268.6,0.0,306.5,0.0,372.96624755859375,0.0,0.0,0.0,54.0,-70.7,0.3879051208496094,-6.451679229736327,-7.751363754272461,-2.6075763702392583,19.66954803466797,3.612159729003906,4086.783203125,5.0,62300.0,4090.0,5.0,62200.0,5570.0,6810.0,8.8,0.0
3,0,2019,6,12,-10.0,-999.0,0.0,28900.0,-10.0,-10.0,-10.0,1.673034355044365,30.668768882751465,25.05881500244141,30.38297271728516,17.04095458984375,5805.59912109375,261.53131103515625,239.99978637695312,14.916020393371582,5.300334930419922,3144.03369140625,277.12603759765625,238.68728637695312,1.2896404266357422,3.1665191650390625,1551.4884033203125,283.69635009765625,271.74978637695307,-10.980178833007812,-1.4450149536132812,289.14300537109375,276.18728637695307,-9.00213623046875,-1.6158733367919922,292.6230163574219,281.8122863769531,-0.9296798706054688,0.012950897216796877,0.0,-0.03978586196899414,-0.015763521194458008,102013.0,173.14398956298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7226333618164062,0.2991809844970703,99480.0,218.2765045166016,288.6407775878906,0.0,59.3,0.0,0.0,0.0,0.0,289.24273681640625,289.6887512207031,0.0077,283.1247863769531,62.0,-1.0029773712158203,0.2992725372314453,1.0640622762730343,-1.0029773712158203,0.2992725372314453,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,-2.0,1.0,80.0,4.0,8.8,0.0,0.0,12.562279224395752,0.0,0.0,0.0,0.0,--,--,--,--,--,265.90000000000003,0.0,302.9000000000001,0.0,365.9327087402344,0.0,0.0,0.0,96.0,-73.0,0.2775554656982422,-6.2315616607666025,-10.019624710083008,-2.5064735412597656,19.267866134643555,5.286666870117188,4078.950390625,6.0,62400.0,4080.0,6.0,62300.0,5590.0,6820.0,8.700000000000001,0.0
4,0,2019,6,12,-10.0,-999.0,0.0,24100.0,-10.0,-10.0,-10.0,2.170519296079874,30.54622554779053,25.07678985595703,29.18488693237305,17.805355072021484,5803.1455078125,261.40377807617193,242.49978637695312,13.959858894348145,5.6920433044433585,3142.091796875,277.0780029296875,239.31228637695312,1.7908191680908203,4.391988754272462,1546.759765625,284.17803955078125,270.24978637695307,-10.743118286132812,0.6274986267089844,289.19464111328125,276.87478637695307,-10.29548454284668,-1.536579132080078,292.044677734375,282.6872863769531,-1.276874542236328,-0.22132492065429688,0.0,-0.014912605285644531,-0.03008580207824707,101957.0,168.35791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.303913116455078,-0.6259994506835938,99430.0,218.2765045166016,287.6600036621094,0.0,59.40000000000001,0.0,0.0,0.0,0.0,288.2950744628906,288.82293701171875,0.00804,283.7497863769531,68.8,-1.6212930679321291,-0.3786811828613281,1.6876934633764904,-1.6212930679321291,-0.3786811828613281,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.05,-3.0,1.0,82.0,4.0,8.6,0.0,0.0,12.272467136383055,0.0,0.0,0.0,0.0,--,--,--,--,--,264.2,0.0,300.5,0.0,360.97357177734375,0.0,0.0,0.0,166.0,-45.5,0.6487903594970703,-5.422456741333008,-9.82197380065918,-0.5938167572021484,19.061458587646484,6.964714050292969,4046.5021875,8.0,62700.0,4050.0,8.0,62500.0,5580.0,6780.0,8.4,0.0
5,0,2019,6,12,-10.0,-999.0,0.0,19900.0,-10.0,-10.0,-10.0,2.0346733778715134,30.66108989715576,25.311317443847656,28.33666610717773,19.912288665771484,5796.16796875,261.180404663086,245.18728637695312,14.070316314697266,6.391927719116211,3136.71142578125,276.87289428710943,235.87478637695312,1.500640869140625,5.022907257080078,1541.021728515625,283.8255615234375,268.81228637695307,-10.045127868652344,1.6256332397460938,289.0456848144531,277.31228637695307,-8.896005630493164,-0.5638046264648438,290.9335632324219,283.4997863769531,-0.8128633499145508,-0.1067352294921875,0.0,-0.004352569580078125,-0.03785562515258789,101911.0,164.3592109680176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1918258666992188,-0.5655574798583984,99380.0,218.2765045166016,286.81036376953125,0.0,59.40000000000001,0.0,0.0,0.0,0.0,287.28240966796875,287.843505859375,0.00824,284.1060485839844,76.10000000000002,-1.0598440170288086,-0.4684295654296875,1.1884592974674888,-1.0598440170288086,-0.4684295654296875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,-2.0,0.0,75.0,4.0,8.700000000000001,0.0,0.0,11.965981245040894,0.0,0.0,0.0,0.0,--,--,--,--,--,262.3,0.0,297.3,0.0,356.67698669433594,0.0,0.0,0.0,166.0,-36.5,1.6695671081542969,-4.668617248535156,-9.832267761230467,0.22179031372070312,18.66106986999512,7.96502685546875,4014.093203125,8.0,62900.0,4010.0,8.0,62800.0,5540.0,6750.0,8.0,0.0
6,0,2019,6,12,-10.0,-999.0,0.0,17300.0,-10.0,-10.0,-10.0,1.974867932498455,30.750914573669434,23.9442138671875,26.685635566711426,19.548545837402344,5789.486328125,261.0041961669922,246.43728637695312,13.014503479003904,6.11345100402832,3131.935546875,276.91439819335943,229.93728637695312,0.8444890975952148,6.441171646118164,1536.408935546875,283.68701171875,269.18728637695307,-10.126689910888672,3.5646514892578125,288.9451904296875,275.99978637695307,-8.744968414306639,-0.3174571990966797,290.30352783203125,283.9997863769531,-0.8444347381591797,-0.3139667510986328,0.0,-0.005296230316162109,-0.013443708419799805,101866.0,160.562744140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8979721069335938,-0.8668212890625,99340.0,218.2765045166016,286.01080322265625,0.0,59.40000000000001,0.0,0.0,0.0,0.0,286.5581359863281,287.11297607421875,0.00842,284.4372863769531,81.4,-1.068568229675293,-0.7271442413330078,1.3140326640568674,-1.068568229675293,-0.7271442413330078,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,-2.0,0.0,71.0,4.0,8.6,0.0,0.0,11.803491830825806,0.0,0.0,0.0,0.0,--,--,--,--,--,260.0,0.0,293.8,0.0,352.86631774902344,0.0,0.0,0.0,172.0,-19.200000000000006,1.667194366455078,-4.196004867553712,-10.344148635864258,1.865507125854492,17.578216552734375,7.722511291503906,3973.82375,7.0,63200.0,3970.0,7.0,63000.0,5510.0,6730.0,7.9,0.0
7,0,2019,6,12,-10.0,-999.0,0.0,16000.0,-10.0,-10.0,-10.0,2.1564614549279213,28.25797176361084,25.447174072265625,23.34030532836914,20.67336654663086,5787.4248046875,261.029037475586,247.2653961181641,12.148809432983398,6.657196044921875,3128.92236328125,277.29315185546875,207.18728637695312,1.2589702606201172,7.685943603515625,1532.43505859375,283.7344665527344,269.37478637695307,-10.087543487548828,5.041772842407227,288.9057312011719,276.447998046875,-9.140626907348633,-0.0364837646484375,289.8028564453125,284.0171203613281,-0.6844596862792969,-0.4286346435546875,0.0,-0.059581756591796875,-0.009831666946411131,101821.0,156.9286346435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9427261352539062,-1.4720802307128906,99300.0,218.2765045166016,285.41802978515625,0.0,59.5,0.0,0.0,0.0,0.0,285.9423522949219,286.5224914550781,0.00837,284.37261962890625,84.4,-0.6620550155639648,-1.0790424346923828,1.2521184764336797,-0.6620550155639648,-1.0790424346923828,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,-2.0,0.0,65.0,4.0,9.1,0.0,0.0,12.08770489692688,0.0,0.875,30.375,30.375,--,--,--,--,--,258.90000000000003,0.0,292.9000000000001,0.0,349.98268127441406,0.0,0.0,0.0,199.0,4.5,1.8088855743408203,-3.6185245513916016,-11.692790985107422,3.6129550933837886,16.922111511230472,8.443859100341799,4004.1103125,7.0,62900.0,4000.0,7.0,62800.0,5500.0,6750.0,8.3,0.0
8,0,2019,6,12,-10.0,-999.0,0.0,15400.0,-10.0,-10.0,-10.0,2.5492942780256267,25.362797737121586,25.13772201538086,22.93687629699707,20.11534118652344,5783.859375,260.98458862304693,248.50732421875,10.180700302124023,6.569137573242188,3124.68359375,277.61065673828125,196.18728637695312,2.2100706100463867,8.096450805664062,1527.106201171875,284.0775451660156,270.68728637695307,-9.219676971435547,6.1862640380859375,289.041259765625,276.05166625976557,-10.462265014648438,0.7588996887207031,289.22088623046875,284.0350036621094,-0.8692684173583984,-0.3348274230957031,0.0,-0.04267168045043945,-0.029878616333007806,101757.0,151.53185272216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.843297958374024,-1.1886043548583984,99240.0,218.2765045166016,285.06524658203125,0.0,59.5,0.0,0.0,0.0,0.0,285.5915222167969,286.2004699707031,0.008310000000000001,284.24127197265625,85.7,-0.9193296432495116,-0.8088827133178711,1.2524076800327748,-0.9193296432495116,-0.8088827133178711,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.03,-2.0,0.0,45.0,4.0,9.4,0.0,0.0,12.910044193267822,0.0,100.0,100.0,100.0,31100.0,9240.60677909851,6656.773410797119,27300.0,11604.442886352539,232.1,0.0,298.8,0.0,348.16204833984375,0.0,0.0,0.0,210.0,20.1,1.287494659423828,-3.1320743560791016,-12.237127304077148,4.980457305908203,15.711801528930664,8.001136779785156,4033.736640625,7.0,62600.0,4030.0,7.0,62500.0,5480.0,6750.0,8.6,0.0
9,0,2019,6,12,-10.0,-999.0,0.0,16000.0,-10.0,-10.0,-10.0,3.423030346632004,24.82878875732422,25.95740127563477,21.653937339782715,20.62579345703125,5784.1005859375,260.51974487304693,252.0830993652344,9.19122314453125,8.323188781738281,3123.471923828125,277.75537109375,200.31228637695312,3.796953201293945,7.611236572265625,1525.6644287109375,284.5314636230469,271.37478637695307,-8.466377258300781,7.238729476928711,288.8217468261719,275.62747192382807,-11.974590301513672,2.1661663055419917,288.4705810546875,283.9332275390625,-1.227067947387695,-0.2326183319091797,0.0,-0.0370020866394043,-0.027385473251342773,101747.0,150.84921264648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.259969711303711,-0.7089424133300781,99230.0,218.2765045166016,285.1329650878906,0.0,59.5,0.0,0.0,0.0,0.0,285.56640625,286.2464904785156,0.008140000000000001,283.92491149902344,84.30000000000003,-1.2215957641601562,-0.694697380065918,1.4380857972428205,-1.2215957641601562,-0.694697380065918,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790000000000001,0.04,-2.0,0.0,30.0,4.0,9.3,0.0,0.0,14.032673358917235,0.0,100.0,100.0,100.0,33300.0,8759.095497131348,6011.270656585693,29100.0,10909.483581542969,232.5,0.0,299.6,0.0,348.3678894042969,0.0,0.0,0.0,225.0,48.40000000000001,1.3386116027832031,-2.128396987915039,-11.887365341186525,6.424629211425781,15.858749389648438,9.154251098632812,4116.066015625,9.0,62000.0,4120.0,9.0,61900.0,5450.0,6740.0,8.6,0.0
